date,open,high,low,close,volume
2016-01-04T14:30,56.01,56.12,55.11,55.76,337320
2016-01-04T16:30,55.76,55.96,55.35,55.36,106833
2016-01-04T18:30,55.37,55.53,54.98,55.52,303271
2016-01-05T14:30,54.98,55.38,54.34,54.77,428995
2016-01-05T16:30,54.79,55.02,54.72,54.91,133935
2016-01-05T18:30,54.91,55.04,54.75,54.75,435773
2016-01-06T14:30,54.19,55.03,54.19,54.82,318214
2016-01-06T16:30,54.82,54.82,54.42,54.43,170487
2016-01-06T18:30,54.42,54.5,54.02,54.19,771291
2016-01-07T14:30,53.61,54.92,53.36,54.85,248511
2016-01-07T16:30,54.85,54.88,54.22,54.44,157401
2016-01-07T18:30,54.42,54.92,54.24,54.54,431980
2016-01-08T14:30,54.73,54.97,54.08,54.19,130618
2016-01-08T16:30,54.23,54.71,54.12,54.6,135147
2016-01-08T18:30,54.62,54.96,54.19,54.27,383409
2016-01-11T14:30,54.37,54.79,54.3,54.49,186787
2016-01-11T16:30,54.49,54.63,54.3,54.41,120788
2016-01-11T18:30,54.41,55.11,54.34,54.88,385119
2016-01-12T14:30,55.06,55.39,54.74,54.82,124680
2016-01-12T16:30,54.85,55.06,54.67,54.98,73550
2016-01-12T18:30,54.94,55.26,54.85,55.24,166813
2016-01-13T14:30,55.28,55.36,54.6,54.85,195785
2016-01-13T16:30,54.83,54.94,54.55,54.65,163342
2016-01-13T18:30,54.65,54.78,54.19,54.41,472604
2016-01-14T14:30,54.45,55.02,53.36,54.66,145325
2016-01-14T16:30,54.67,55.04,54.52,55.03,103387
2016-01-14T18:30,55.05,55.16,54.78,54.88,312653
2016-01-15T14:30,53.87,55.31,53.85,54.8,192654
2016-01-15T16:30,54.8,54.92,54.05,54.86,250715
2016-01-15T18:30,54.86,55.47,54.71,55.37,417036
2016-01-19T14:30,56.1,57.01,55.76,56.05,377526
2016-01-19T16:30,56.07,56.14,55.54,55.64,166486
2016-01-19T18:30,55.64,55.9,55.34,55.37,567766
2016-01-20T14:30,55.3,55.75,55,55.32,403960
2016-01-20T16:30,55.31,55.36,54.11,54.61,268599
2016-01-20T18:30,54.64,55.54,54.61,55.09,394247
2016-01-21T14:30,56.03,56.03,54.53,54.58,324913
2016-01-21T16:30,54.66,54.82,54.26,54.27,144605
2016-01-21T18:30,54.26,54.3,53.86,54.04,517612
2016-01-22T14:30,54.51,55.31,54.21,55.07,121116
2016-01-22T16:30,55.04,55.68,54.66,55.63,119410
2016-01-22T18:30,55.66,56.25,55.66,56.14,299674
2016-01-25T14:30,56.25,56.25,55.43,55.57,128052
2016-01-25T16:30,55.55,55.71,55.39,55.5,82109
2016-01-25T18:30,55.5,55.66,54.85,55,279051
2016-01-26T14:30,55.37,55.68,55.1,55.28,147539
2016-01-26T16:30,55.28,55.55,55.2,55.41,140355
2016-01-26T18:30,55.41,55.58,55.24,55.44,263310
2016-01-27T14:30,55.26,55.84,55.24,55.81,155271
2016-01-27T16:30,55.79,56.3,55.76,55.99,73442
2016-01-27T18:30,56.03,56.14,55.5,55.79,307886
2016-01-28T14:30,56.08,56.35,55.52,56.22,171331
2016-01-28T16:30,56.25,56.61,56.1,56.23,99045
