date,open,high,low,close,volume
2016-01-04T14:30,17.4,17.59,17.23,17.36,1636237
2016-01-04T16:30,17.36,17.45,17.3,17.32,1076835
2016-01-04T18:30,17.32,17.46,17.3,17.45,1834035
2016-01-05T14:30,17.47,17.56,17.32,17.35,1853936
2016-01-05T16:30,17.35,17.43,17.28,17.31,1633566
2016-01-05T18:30,17.31,17.4,17.27,17.38,2681903
2016-01-06T14:30,17.15,17.28,17.02,17.24,1799846
2016-01-06T16:30,17.24,17.25,17.17,17.21,709252
2016-01-06T18:30,17.21,17.22,17.05,17.12,2699151
2016-01-07T14:30,16.78,16.86,16.45,16.82,1653061
2016-01-07T16:30,16.82,16.84,16.68,16.7,1314642
2016-01-07T18:30,16.71,16.76,16.61,16.65,1784493
2016-01-08T14:30,16.79,16.84,16.27,16.31,3323706
2016-01-08T16:30,16.31,16.34,16.19,16.2,3327669
2016-01-08T18:30,16.19,16.32,16.01,16.11,3622983
2016-01-11T14:30,16.32,16.4,16.05,16.07,2056616
2016-01-11T16:30,16.07,16.17,16.04,16.05,1530120
2016-01-11T18:30,16.05,16.22,16.02,16.16,3185645
2016-01-12T14:30,16.31,16.34,16.14,16.16,2963560
2016-01-12T16:30,16.16,16.19,16.05,16.07,903758
2016-01-12T18:30,16.07,16.24,15.96,16.18,3016911
2016-01-13T14:30,16.3,16.34,16.03,16.08,1309579
2016-01-13T16:30,16.08,16.11,15.73,15.74,1490633
2016-01-13T18:30,15.75,15.8,15.53,15.71,5120668
2016-01-14T14:30,15.8,15.82,15.29,15.56,2102786
2016-01-14T16:30,15.56,15.61,15.5,15.61,1921062
2016-01-14T18:30,15.61,15.66,15.42,15.48,5169694
2016-01-15T14:30,15.02,15.21,14.78,14.92,3357512
2016-01-15T16:30,14.92,14.98,14.69,14.9,3271354
2016-01-15T18:30,14.91,15.21,14.77,15.09,5939528
2016-01-19T14:30,15.33,15.37,15.07,15.17,2446615
2016-01-19T16:30,15.17,15.26,15.08,15.15,2651435
2016-01-19T18:30,15.15,15.19,14.92,15.04,4043662
2016-01-20T14:30,14.85,14.87,14.39,14.54,4168408
2016-01-20T16:30,14.54,14.55,14.21,14.31,2688635
2016-01-20T18:30,14.31,14.83,14.31,14.6,4085234
2016-01-21T14:30,14.64,14.78,14.5,14.61,3547563
2016-01-21T16:30,14.62,14.75,14.52,14.53,1647711
2016-01-21T18:30,14.53,14.55,14.3,14.42,4465588
2016-01-22T14:30,14.65,14.75,13.37,13.89,8144728
2016-01-22T16:30,13.89,14,13.61,13.98,4751874
2016-01-22T18:30,13.98,14.11,13.74,14.06,9978723
2016-01-25T14:30,14.06,14.15,13.51,13.68,3634863
2016-01-25T16:30,13.67,13.7,13.54,13.62,3368059
2016-01-25T18:30,13.62,13.72,13.35,13.37,5293018
2016-01-26T14:30,13.51,13.86,13.51,13.64,5737744
2016-01-26T16:30,13.64,13.92,13.6,13.8,3619720
2016-01-26T18:30,13.8,13.88,13.66,13.73,6533528
2016-01-27T14:30,14.2,14.62,14.08,14.52,15265910
2016-01-27T16:30,14.53,14.56,14.31,14.51,6226701
2016-01-27T18:30,14.51,14.55,14.16,14.35,11957034
2016-01-28T14:30,14.55,14.71,14.31,14.54,7601399
2016-01-28T16:30,14.54,14.79,14.5,14.6,5315757
2016-01-28T18:30,14.6,14.79,14.6,14.72,8170616
2016-01-29T14:30,14.81,14.85,14.6,14.64,6923728
2016-01-29T16:30,14.63,14.65,14.45,14.52,5108772
2016-01-29T18:30,14.52,14.63,14.39,14.46,12912928
2016-02-01T14:30,14.29,14.35,14.02,14.06,3599102
2016-02-01T16:30,14.06,14.11,13.92,13.99,2115633
2016-02-01T18:30,13.99,14.16,13.91,14.06,4712089
2016-02-02T14:30,13.95,14.01,13.65,14,3277406
2016-02-02T16:30,13.99,14.02,13.8,13.82,3041987
2016-02-02T18:30,13.82,13.84,13.69,13.75,5790653
2016-02-03T14:30,13.78,13.81,13.09,13.31,6766878
2016-02-03T16:30,13.31,13.46,13.25,13.42,2167301
2016-02-03T18:30,13.42,13.68,13.4,13.63,5066710
2016-02-04T14:30,13.63,13.97,13.53,13.77,3097214
2016-02-04T16:30,13.77,13.77,13.58,13.6,2714284
2016-02-04T18:30,13.6,13.77,13.54,13.76,3106644
2016-02-05T14:30,13.78,14.02,13.68,13.74,2307531
2016-02-05T16:30,13.75,13.78,13.56,13.63,1786143
2016-02-05T18:30,13.63,13.66,13.44,13.51,3709084
2016-02-08T14:30,13.27,13.42,13.08,13.22,3815113
