date,open,high,low,close,volume
2016-01-04T14:30,26.02,26.14,25.87,26.08,775889
2016-01-04T16:30,26.08,26.21,26.07,26.14,428193
2016-01-04T18:30,26.14,26.14,25.61,25.88,3140917
2016-01-05T14:30,25.83,25.92,25.39,25.86,772672
2016-01-05T16:30,25.86,25.98,25.83,25.96,418966
2016-01-05T18:30,25.97,26.16,25.92,26.07,896845
2016-01-06T14:30,25.93,26.15,25.81,26.06,458829
2016-01-06T16:30,26.07,26.09,26,26.06,460528
2016-01-06T18:30,26.05,26.2,25.99,26.11,768379
2016-01-07T14:30,25.85,26.21,25.8,26.12,639809
2016-01-07T16:30,26.12,26.16,25.97,26.02,432987
2016-01-07T18:30,26.01,26.32,25.96,26.26,2055461
2016-01-08T14:30,26.26,26.4,26.17,26.2,627916
2016-01-08T16:30,26.19,26.43,26.14,26.4,546083
2016-01-08T18:30,26.4,26.42,26.14,26.21,1632545
2016-01-11T14:30,26.25,26.45,26.14,26.31,754222
2016-01-11T16:30,26.3,26.31,26.14,26.15,418239
2016-01-11T18:30,26.15,26.28,26.02,26.2,1366116
2016-01-12T14:30,26.31,26.34,25.78,26.09,741446
2016-01-12T16:30,26.08,26.12,25.89,25.96,590670
2016-01-12T18:30,25.96,26.12,25.92,26.09,1296123
2016-01-13T14:30,26.1,26.37,26.1,26.33,839735
2016-01-13T16:30,26.33,26.42,26.28,26.34,345951
2016-01-13T18:30,26.35,26.48,26.2,26.24,1883954
2016-01-14T14:30,26.22,26.77,26.08,26.65,1315108
2016-01-14T16:30,26.66,26.66,26.49,26.62,405685
2016-01-14T18:30,26.62,26.83,26.5,26.65,1593383
2016-01-15T14:30,26.32,26.68,26.08,26.43,839377
2016-01-15T16:30,26.43,26.44,26.08,26.13,571051
2016-01-15T18:30,26.13,26.4,26.05,26.28,1485849
2016-01-19T14:30,26.51,26.71,26.35,26.47,1317800
2016-01-19T16:30,26.48,26.79,26.48,26.78,1225057
2016-01-19T18:30,26.77,26.86,26.7,26.78,1191747
2016-01-20T14:30,26.63,26.76,26.16,26.17,835866
2016-01-20T16:30,26.17,26.22,25.77,25.97,516230
2016-01-20T18:30,25.96,26.25,25.85,26.12,1246912
2016-01-21T14:30,26.16,26.34,25.89,26.13,802784
2016-01-21T16:30,26.12,26.21,25.99,26.01,554606
2016-01-21T18:30,26.01,26.21,25.85,26.11,1101147
2016-01-22T14:30,26.3,26.36,26.01,26.27,1083209
2016-01-22T16:30,26.26,26.46,26.22,26.42,344299
2016-01-22T18:30,26.43,26.61,26.43,26.55,947741
2016-01-25T14:30,26.61,26.62,26.29,26.44,577116
2016-01-25T16:30,26.45,26.6,26.42,26.5,354748
2016-01-25T18:30,26.49,26.52,26.29,26.43,743779
2016-01-26T14:30,26.49,27.06,26.46,26.78,834194
2016-01-26T16:30,26.77,26.86,26.67,26.7,518505
2016-01-26T18:30,26.7,26.84,26.67,26.78,1441928
2016-01-27T14:30,26.81,27.21,26.68,27.09,1345627
2016-01-27T16:30,27.09,27.31,27.08,27.21,560197
2016-01-27T18:30,27.22,27.31,26.89,27.13,1327827
2016-01-28T14:30,27.13,27.47,26.9,27.41,709656
2016-01-28T16:30,27.41,27.71,27.36,27.71,704091
2016-01-28T18:30,27.7,27.82,27.5,27.5,1378998
2016-01-29T14:30,27.77,28.32,27.63,28.26,1432097
2016-01-29T16:30,28.26,28.38,28.24,28.28,828789
2016-01-29T18:30,28.28,28.4,28.18,28.22,1811982
2016-02-01T14:30,28.23,28.43,28.08,28.33,987306
2016-02-01T16:30,28.34,28.64,28.33,28.53,561164
2016-02-01T18:30,28.53,28.61,28.44,28.45,1295691
2016-02-02T14:30,28.53,28.53,28.3,28.43,838627
2016-02-02T16:30,28.42,28.6,28.37,28.55,732260
2016-02-02T18:30,28.55,28.77,28.52,28.66,1575437
2016-02-03T14:30,29.12,29.12,28.78,28.98,1403396
2016-02-03T16:30,28.97,29.01,28.72,28.92,811543
2016-02-03T18:30,28.92,29.07,28.7,28.86,2301528
2016-02-04T14:30,28.17,29.1,27.5,28.74,1202496
2016-02-04T16:30,28.75,28.94,28.67,28.92,1021184
2016-02-04T18:30,28.92,28.99,28.66,28.73,1669778
2016-02-05T14:30,28.59,28.94,28.28,28.91,636548
2016-02-05T16:30,28.91,29.05,28.87,29.05,370642
2016-02-05T18:30,29.05,29.28,29,29.19,1330196
2016-02-08T14:30,29.26,29.7,28.86,28.88,997876
2016-02-08T16:30,28.88,29.1,28.83,29.06,640321
2016-02-08T18:30,29.06,29.16,28.99,29.16,2065262
2016-02-09T14:30,29.16,29.43,28.94,29.23,1104656
2016-02-09T16:30,29.23,29.27,29.12,29.15,621959
2016-02-09T18:30,29.15,29.26,29.08,29.18,1273246
2016-02-10T14:30,29.08,29.37,28.52,28.81,1318063
2016-02-10T16:30,28.81,29.01,28.81,28.93,739446
2016-02-10T18:30,28.92,29.1,28.89,28.9,1267740
2016-02-11T14:30,28.88,28.99,28.62,28.83,618354
2016-02-11T16:30,28.83,28.88,28.74,28.83,451390
2016-02-11T18:30,28.83,28.84,28.61,28.74,1372392
2016-02-12T14:30,28.79,29.01,28.44,28.6,1009832
2016-02-12T16:30,28.61,28.67,28.44,28.57,900521
2016-02-12T18:30,28.57,28.69,28.47,28.67,1342678
2016-02-16T14:30,28.8,28.8,28.28,28.6,985671
2016-02-16T16:30,28.61,28.74,28.55,28.55,506074
2016-02-16T18:30,28.56,28.67,28.42,28.67,1124685
2016-02-17T14:30,28.69,28.75,28.4,28.56,843990
2016-02-17T16:30,28.56,28.62,28.44,28.51,609140
2016-02-17T18:30,28.51,28.64,28.47,28.55,986965
2016-02-18T14:30,28.53,28.94,28.42,28.92,642419
2016-02-18T16:30,28.92,29.1,28.89,29.05,521927
2016-02-18T18:30,29.04,29.17,28.94,29.05,959955
2016-02-19T14:30,29.02,29.13,28.75,28.9,632788
2016-02-19T16:30,28.89,28.97,28.86,28.91,378885
2016-02-19T18:30,28.91,29.02,28.81,28.84,863635
2016-02-22T14:30,28.89,29.16,28.81,29.01,393308
2016-02-22T16:30,29.01,29.04,28.84,28.84,405377
2016-02-22T18:30,28.85,29.05,28.81,29.04,922103
2016-02-23T14:30,28.97,29.1,28.69,29.05,571420
2016-02-23T16:30,29.05,29.1,28.99,29.07,291787
2016-02-23T18:30,29.07,29.28,28.99,29.24,1422104
2016-02-24T14:30,29.24,29.46,29.1,29.25,1116274
2016-02-24T16:30,29.25,29.28,29.16,29.21,499120
2016-02-24T18:30,29.21,29.48,29.2,29.43,1198107
2016-02-25T14:30,29.57,29.74,29.37,29.68,558759
2016-02-25T16:30,29.68,29.86,29.66,29.68,563110
2016-02-25T18:30,29.68,29.73,29.53,29.71,909410
2016-02-26T14:30,29.51,29.62,28.99,29.01,747097
2016-02-26T16:30,29.02,29.16,28.84,28.91,744112
2016-02-26T18:30,28.91,29.04,28.86,28.91,1036008
2016-02-29T14:30,28.85,29.13,28.79,29.11,855380
2016-02-29T16:30,29.1,29.2,29.05,29.07,346853
2016-02-29T18:30,29.07,29.19,28.96,28.97,1159220
2016-03-01T14:30,29.07,29.2,28.73,28.95,609526
2016-03-01T16:30,28.94,28.95,28.75,28.78,493094
2016-03-01T18:30,28.78,29.05,28.61,28.87,1289877
2016-03-02T14:30,28.74,28.74,28.05,28.57,881188
2016-03-02T16:30,28.58,28.83,28.52,28.75,392043
2016-03-02T18:30,28.76,28.88,28.65,28.88,950694
2016-03-03T14:30,28.79,28.96,28.39,28.6,825082
2016-03-03T16:30,28.59,28.75,28.58,28.75,417465
2016-03-03T18:30,28.74,29.07,28.71,29.07,946465
2016-03-04T14:30,28.86,29.32,28.75,29.22,709844
2016-03-04T16:30,29.22,29.46,29.17,29.45,805057
2016-03-04T18:30,29.45,29.63,29.37,29.57,1893488
2016-03-07T14:30,29.63,29.7,29.37,29.57,813131
2016-03-07T16:30,29.57,29.73,29.51,29.69,504268
2016-03-07T18:30,29.69,29.71,29.61,29.69,1000059
2016-03-08T14:30,29.67,30.1,29.57,30.03,884193
2016-03-08T16:30,30.03,30.09,29.8,29.82,785052
2016-03-08T18:30,29.83,29.94,29.73,29.92,1676552
2016-03-09T14:30,29.76,30.12,29.76,29.89,745966
2016-03-09T16:30,29.9,30.05,29.8,29.88,564946
2016-03-09T18:30,29.87,29.95,29.78,29.94,1508000
2016-03-10T14:30,29.95,30.11,29.76,29.93,693463
2016-03-10T16:30,29.93,30.13,29.74,30.07,581550
2016-03-10T18:30,30.07,30.1,29.93,30.01,1455941
2016-03-11T14:30,30.1,30.23,29.86,30.11,1176434
2016-03-11T16:30,30.11,30.25,30.07,30.12,383321
2016-03-11T18:30,30.12,30.13,29.98,30,989157
2016-03-14T13:30,30,30.14,29.81,29.93,449884
2016-03-14T15:30,29.93,30.01,29.79,29.9,580119
2016-03-14T17:30,29.9,30.04,29.84,29.98,741879
2016-03-15T13:30,29.91,30.14,29.91,30.08,732907
2016-03-15T15:30,30.08,30.12,29.99,30.07,330472
2016-03-15T17:30,30.07,30.13,30,30.05,866580
2016-03-16T13:30,29.95,29.95,29.72,29.88,478122
2016-03-16T15:30,29.88,30.04,29.82,29.82,521184
2016-03-16T17:30,29.83,30.38,29.81,30.3,1584109
2016-03-17T13:30,30.38,30.52,30.28,30.42,1118403
2016-03-17T15:30,30.42,30.51,30.37,30.49,1040351
2016-03-17T17:30,30.49,30.65,30.47,30.59,852761
2016-03-18T13:30,30.64,30.69,30.37,30.37,1788900
2016-03-18T15:30,30.37,30.47,30.32,30.36,413053
2016-03-18T17:30,30.37,30.47,30.25,30.25,1144827
2016-03-21T13:30,30.09,30.32,29.88,30.3,681413
2016-03-21T15:30,30.3,30.45,30.21,30.31,546746
2016-03-21T17:30,30.31,30.36,30.23,30.25,773264
2016-03-22T13:30,30.33,30.42,30.12,30.25,589084
2016-03-22T15:30,30.24,30.35,30.17,30.29,237117
2016-03-22T17:30,30.3,30.31,30.06,30.08,884661
2016-03-23T13:30,30.12,30.43,29.98,30.41,350334
2016-03-23T15:30,30.41,30.63,30.36,30.47,368853
2016-03-23T17:30,30.47,30.65,30.44,30.44,1319461
2016-03-24T13:30,30.44,30.63,30.39,30.46,328986
2016-03-24T15:30,30.46,30.57,30.44,30.52,216413
2016-03-24T17:30,30.52,30.59,30.49,30.52,531378
2016-03-28T13:30,30.59,30.82,30.42,30.43,377085
2016-03-28T15:30,30.43,30.49,30.34,30.35,292598
2016-03-28T17:30,30.35,30.55,30.35,30.48,713360
2016-03-29T13:30,30.58,30.76,30.54,30.54,388052
2016-03-29T15:30,30.53,30.76,30.49,30.74,393465
2016-03-29T17:30,30.74,30.96,30.72,30.93,770579
2016-03-30T13:30,30.88,30.89,30.66,30.81,399944
2016-03-30T15:30,30.81,30.93,30.77,30.84,384881
2016-03-30T17:30,30.84,30.99,30.79,30.9,686168
2016-03-31T13:30,30.93,31.01,30.78,30.93,469800
2016-03-31T15:30,30.93,30.93,30.84,30.89,225315
2016-03-31T17:30,30.89,31.1,30.87,31.06,776205
2016-04-01T13:30,31.03,31.24,30.9,30.93,691073
2016-04-01T15:30,30.93,31.04,30.87,31.02,420781
2016-04-01T17:30,31.01,31.29,31.01,31.26,769369
2016-04-04T13:30,31.35,31.38,30.86,31.11,570616
2016-04-04T15:30,31.11,31.18,31.04,31.12,358865
2016-04-04T17:30,31.12,31.25,31.08,31.24,892805
2016-04-05T13:30,30.9,31.22,30.66,30.7,761359
2016-04-05T15:30,30.69,30.73,30.6,30.65,479474
2016-04-05T17:30,30.64,30.71,30.55,30.58,684885
2016-04-06T13:30,30.47,30.67,30.38,30.53,668623
2016-04-06T15:30,30.54,30.55,30.43,30.52,288763
2016-04-06T17:30,30.52,30.63,30.44,30.63,952081
2016-04-07T13:30,30.5,30.8,30.5,30.52,414907
2016-04-07T15:30,30.52,30.58,30.4,30.43,373925
2016-04-07T17:30,30.43,30.48,30.33,30.44,1229020
2016-04-08T13:30,30.54,30.69,30.47,30.56,483973
2016-04-08T15:30,30.55,30.74,30.54,30.66,305568
2016-04-08T17:30,30.65,30.71,30.47,30.54,554195
2016-04-11T13:30,30.58,30.7,30.4,30.47,381278
2016-04-11T15:30,30.46,30.52,30.39,30.5,318090
2016-04-11T17:30,30.49,30.57,30.45,30.46,695654
2016-04-12T13:30,30.52,30.57,30.36,30.55,463945
2016-04-12T15:30,30.55,30.61,30.43,30.44,354813
2016-04-12T17:30,30.44,30.56,30.41,30.53,654656
2016-04-13T13:30,30.61,30.61,30.05,30.13,512883
2016-04-13T15:30,30.14,30.18,30.04,30.15,364199
2016-04-13T17:30,30.16,30.25,30.14,30.25,767039
2016-04-14T13:30,30.16,30.33,30.11,30.14,429629
2016-04-14T15:30,30.14,30.28,30.13,30.25,231517
2016-04-14T17:30,30.26,30.27,30.16,30.22,510382
