date,open,high,low,close,volume
2016-01-04T14:30,70.22,70.45,69.77,70.07,644501
2016-01-04T16:30,70.06,70.13,69.86,69.93,514568
2016-01-04T18:30,69.92,70.09,69.52,69.93,1000179
2016-01-05T14:30,70.14,70.69,69.72,70.5,420876
2016-01-05T16:30,70.47,70.62,70.2,70.29,415255
2016-01-05T18:30,70.3,70.97,70.28,70.95,1103375
2016-01-06T14:30,69.91,70.45,69.53,70.32,671409
2016-01-06T16:30,70.31,70.42,70.02,70.17,394016
2016-01-06T18:30,70.17,70.25,69.57,69.86,1009246
2016-01-07T14:30,69.23,69.42,68.56,68.59,1770921
2016-01-07T16:30,68.61,68.68,68.14,68.19,411338
2016-01-07T18:30,68.17,68.21,67.6,67.62,1343271
2016-01-08T14:30,68.04,68.3,67.47,67.52,464499
2016-01-08T16:30,67.52,67.73,67.23,67.44,369173
2016-01-08T18:30,67.44,67.56,67.12,67.22,876059
2016-01-11T14:30,65.55,65.89,64.39,65.17,1926867
2016-01-11T16:30,65.18,65.44,64.74,64.76,1256804
2016-01-11T18:30,64.76,64.84,64.4,64.59,2666349
2016-01-12T14:30,64.82,65.55,64.6,65.21,908395
2016-01-12T16:30,65.2,65.33,64.58,64.58,615237
2016-01-12T18:30,64.58,64.76,64.36,64.63,1979767
2016-01-13T14:30,64.7,65.1,64.12,64.67,959614
2016-01-13T16:30,64.67,64.71,63.97,64.02,1011948
2016-01-13T18:30,64,64.43,63.79,63.93,1935902
2016-01-14T14:30,63.81,64.6,63.43,64.03,728328
2016-01-14T16:30,64.05,64.62,63.83,64.61,582186
2016-01-14T18:30,64.63,64.68,64.28,64.32,1304923
2016-01-15T14:30,64.19,64.19,62.75,63.03,1242278
2016-01-15T16:30,63.06,63.25,62.87,63.23,844126
2016-01-15T18:30,63.23,63.79,63.16,63.68,1013725
2016-01-19T14:30,63.99,64.06,63.16,63.39,593482
2016-01-19T16:30,63.4,63.52,63.01,63.15,1035749
2016-01-19T18:30,63.14,63.76,62.86,63.51,1634612
2016-01-20T14:30,62.99,63.31,61.84,62,1624141
2016-01-20T16:30,62.01,62.09,61.55,61.79,1415007
2016-01-20T18:30,61.78,62.81,61.78,62.4,1387473
2016-01-21T14:30,62.39,63.03,61.63,62.27,794871
2016-01-21T16:30,62.26,62.83,62.17,62.17,381455
2016-01-21T18:30,62.17,62.44,61.87,62.15,917468
2016-01-22T14:30,63.12,63.2,62.35,62.43,607287
2016-01-22T16:30,62.44,62.9,62.4,62.78,279099
2016-01-22T18:30,62.81,62.87,62.39,62.46,813769
2016-01-25T14:30,63.14,63.3,62.58,63,580708
2016-01-25T16:30,62.99,63.28,62.82,63.2,902936
2016-01-25T18:30,63.19,63.26,62.49,62.64,894128
2016-01-26T14:30,62.74,62.86,62.19,62.44,405085
2016-01-26T16:30,62.44,62.63,62.29,62.61,174562
2016-01-26T18:30,62.61,62.64,62.31,62.63,657607
2016-01-27T14:30,62.66,62.66,62.07,62.35,953001
2016-01-27T16:30,62.33,62.81,62.24,62.24,616527
2016-01-27T18:30,62.25,62.43,61.58,61.89,1133945
2016-01-28T14:30,62.11,62.27,60.78,61.23,1441648
2016-01-28T16:30,61.22,61.23,60.4,60.5,2296224
2016-01-28T18:30,60.5,60.5,59.77,59.9,2218973
2016-01-29T14:30,60.09,60.92,59.9,60.81,714671
2016-01-29T16:30,60.81,61.29,60.75,61.13,840960
2016-01-29T18:30,61.13,61.5,60.97,61.45,1659714
2016-02-01T14:30,61.16,61.25,60.16,60.93,1137337
2016-02-01T16:30,60.93,61.12,60.69,60.91,550347
2016-02-01T18:30,60.91,61.34,60.79,61.08,1212444
2016-02-02T14:30,60.81,61.69,60.45,60.5,720224
2016-02-02T16:30,60.49,60.89,60.36,60.71,505684
2016-02-02T18:30,60.7,60.8,60.46,60.5,1420953
2016-02-03T14:30,60.63,60.77,59.65,59.71,1152266
2016-02-03T16:30,59.71,60.02,59.62,59.7,775273
2016-02-03T18:30,59.69,60.57,59.65,60.38,1846952
2016-02-04T14:30,55.68,60.38,55.25,59.31,3454922
2016-02-04T16:30,59.31,59.59,58.34,58.87,1103225
2016-02-04T18:30,58.88,58.99,57.81,57.93,3362367
2016-02-05T14:30,57.65,59.11,56.73,58.6,1621305
2016-02-05T16:30,58.61,59.06,57.85,57.98,934258
2016-02-05T18:30,57.97,58.19,57.81,58.13,2124602
2016-02-08T14:30,57.58,57.82,56.77,57.19,1300105
2016-02-08T16:30,57.19,57.47,56.95,57.08,1100680
2016-02-08T18:30,57.08,57.59,56.82,57.38,1964130
2016-02-09T14:30,56.75,58.19,56.7,57.93,631954
2016-02-09T16:30,57.89,57.93,57.45,57.69,533290
2016-02-09T18:30,57.71,58.37,57.58,58.17,1342635
2016-02-10T14:30,58.64,59.26,58.49,58.91,904184
2016-02-10T16:30,58.88,59.15,58.71,59.06,520333
2016-02-10T18:30,59.07,59.12,58.61,58.74,1187743
2016-02-11T14:30,57.88,58.4,57.8,57.81,658170
2016-02-11T16:30,57.79,58.19,57.78,58.13,527525
2016-02-11T18:30,58.11,58.39,57.82,58.04,1320063
2016-02-12T14:30,58.33,58.41,57.99,58.39,360581
2016-02-12T16:30,58.41,58.7,58.32,58.56,350984
2016-02-12T18:30,58.57,58.76,58.47,58.75,1009704
2016-02-16T14:30,59.1,59.18,58.34,58.43,666640
2016-02-16T16:30,58.43,58.97,58.42,58.87,494583
2016-02-16T18:30,58.87,58.96,58.67,58.75,824380
2016-02-17T14:30,59.07,59.48,58.83,59.24,876931
2016-02-17T16:30,59.23,59.89,59.23,59.88,768127
2016-02-17T18:30,59.89,60.28,59.73,60.05,1696144
2016-02-18T14:30,60.06,60.28,59.72,59.81,922728
2016-02-18T16:30,59.83,60.03,59.7,59.92,357145
2016-02-18T18:30,59.92,60.01,59.66,59.74,701924
2016-02-19T14:30,59.74,59.96,59.45,59.85,455675
2016-02-19T16:30,59.85,59.9,59.68,59.76,249014
2016-02-19T18:30,59.77,59.98,59.76,59.83,685940
2016-02-22T14:30,59.85,60.5,59.83,60.36,650848
2016-02-22T16:30,60.36,60.53,60.3,60.36,370900
2016-02-22T18:30,60.36,60.56,60.35,60.43,900701
2016-02-23T14:30,60.42,60.76,59.86,60.05,434548
2016-02-23T16:30,60.07,60.38,59.85,60.25,417108
2016-02-23T18:30,60.25,60.31,60.09,60.19,723217
2016-02-24T14:30,59.96,59.96,59.12,59.59,1198795
2016-02-24T16:30,59.57,59.79,59.3,59.7,642099
2016-02-24T18:30,59.71,60.14,59.65,60.01,746113
2016-02-25T14:30,60.32,60.65,60.02,60.11,312921
2016-02-25T16:30,60.11,60.14,59.86,60.03,228017
2016-02-25T18:30,60.03,60.38,60.02,60.35,618409
2016-02-26T14:30,60.53,61.03,60.27,60.7,373393
2016-02-26T16:30,60.68,60.89,60.63,60.7,253149
2016-02-26T18:30,60.7,60.75,60.28,60.31,439677
2016-02-29T14:30,60.13,60.3,59.55,60.09,860813
2016-02-29T16:30,60.1,60.27,60.08,60.14,281076
2016-02-29T18:30,60.13,60.23,59.67,59.67,949701
2016-03-01T14:30,59.81,60.31,59.58,60.25,521784
2016-03-01T16:30,60.25,60.42,60.08,60.27,408864
2016-03-01T18:30,60.28,60.45,60.16,60.24,859883
2016-03-02T14:30,60.24,60.54,59.97,60.16,559285
2016-03-02T16:30,60.16,60.32,60.16,60.23,293918
2016-03-02T18:30,60.22,60.61,60.21,60.38,687032
2016-03-03T14:30,60.58,60.62,60.03,60.19,525212
2016-03-03T16:30,60.18,60.5,60.15,60.45,291969
2016-03-03T18:30,60.47,60.87,60.47,60.79,820780
2016-03-04T14:30,60.75,60.86,60.48,60.63,377756
2016-03-04T16:30,60.67,60.96,60.66,60.92,288618
2016-03-04T18:30,60.92,60.95,60.58,60.63,911700
2016-03-07T14:30,60.09,60.66,60.07,60.66,615367
2016-03-07T16:30,60.67,60.81,60.5,60.65,277061
2016-03-07T18:30,60.66,60.74,60.43,60.71,649193
2016-03-08T14:30,60.7,60.87,60.04,60.43,520512
2016-03-08T16:30,60.44,60.79,60.33,60.77,323644
2016-03-08T18:30,60.78,60.85,60.42,60.5,779814
2016-03-09T14:30,60.49,60.64,60.2,60.49,540699
2016-03-09T16:30,60.5,60.59,60.38,60.45,212302
2016-03-09T18:30,60.46,60.6,60.22,60.33,980998
2016-03-10T14:30,60.64,60.74,59.76,59.87,573493
2016-03-10T16:30,59.86,59.89,59.42,59.55,1310295
2016-03-10T18:30,59.54,59.57,59.12,59.39,1336746
2016-03-11T14:30,59.96,60.85,59.64,60.79,900186
2016-03-11T16:30,60.79,61.18,60.78,61.17,1244080
2016-03-11T18:30,61.18,61.76,60.99,61.7,1293916
2016-03-14T13:30,61.36,61.85,60.66,60.67,287237
2016-03-14T15:30,60.67,60.97,60.56,60.89,314576
2016-03-14T17:30,60.88,61.01,60.55,60.61,749909
2016-03-15T13:30,60.29,60.72,59.65,59.74,640917
2016-03-15T15:30,59.74,59.83,59.64,59.71,386069
2016-03-15T17:30,59.71,59.75,59.33,59.46,1094140
2016-03-16T13:30,59.45,60.05,59.21,59.84,379217
2016-03-16T15:30,59.85,59.89,59.6,59.68,299116
2016-03-16T17:30,59.68,60.18,59.6,60.01,650093
2016-03-17T13:30,59.99,60.27,59.32,59.34,633968
2016-03-17T15:30,59.35,59.4,59.13,59.2,928499
2016-03-17T17:30,59.19,59.41,59.07,59.19,1251387
2016-03-18T13:30,59.34,60.38,58.85,60.29,1490056
2016-03-18T15:30,60.3,60.42,60.17,60.29,857977
2016-03-18T17:30,60.29,60.48,60.2,60.27,1093914
2016-03-21T13:30,60.34,60.52,59.81,59.9,366619
2016-03-21T15:30,59.9,60.2,59.86,60.14,304755
2016-03-21T17:30,60.13,60.19,59.99,60.03,766451
2016-03-22T13:30,60.13,60.31,59.68,60.21,443500
2016-03-22T15:30,60.21,60.23,60.01,60.19,360106
2016-03-22T17:30,60.18,60.25,59.99,60.07,744040
2016-03-23T13:30,60.29,60.52,60.01,60.4,327134
2016-03-23T15:30,60.39,60.52,60.24,60.45,257431
2016-03-23T17:30,60.44,60.47,60.12,60.12,636802
2016-03-24T13:30,59.85,60.1,59.63,59.7,452272
2016-03-24T15:30,59.7,59.71,59.41,59.47,632992
2016-03-24T17:30,59.47,59.55,59.22,59.4,1115133
2016-03-28T13:30,59.97,60.22,59.06,59.28,534189
2016-03-28T15:30,59.28,59.73,59.26,59.63,230518
2016-03-28T17:30,59.63,59.81,59.56,59.59,560257
2016-03-29T13:30,60.1,60.31,59.66,59.76,344243
2016-03-29T15:30,59.76,59.95,59.53,59.86,334875
2016-03-29T17:30,59.86,60.15,59.83,60,632853
2016-03-30T13:30,60.06,60.47,60.01,60.41,371885
2016-03-30T15:30,60.4,60.47,60.31,60.4,328979
2016-03-30T17:30,60.4,60.72,60.39,60.45,869987
2016-03-31T13:30,60.5,60.93,60.21,60.22,357988
2016-03-31T15:30,60.23,60.36,60.12,60.12,277959
2016-03-31T17:30,60.13,60.27,59.93,60.11,902120
2016-04-01T13:30,60.14,60.31,59.71,60.05,647740
2016-04-01T15:30,60.05,60.29,59.83,59.91,267369
2016-04-01T17:30,59.92,60.14,59.86,60.07,661245
2016-04-04T13:30,60.22,60.83,60.14,60.77,747824
2016-04-04T15:30,60.77,61.18,60.75,61.09,584531
2016-04-04T17:30,61.09,61.17,60.41,60.52,858775
2016-04-05T13:30,59.97,60.42,59.48,59.66,624988
2016-04-05T15:30,59.67,59.68,59.46,59.56,478207
2016-04-05T17:30,59.56,59.63,59.43,59.5,1110463
2016-04-06T13:30,59.55,60.31,59.52,59.95,1103535
2016-04-06T15:30,59.95,60.72,59.95,60.65,695845
2016-04-06T17:30,60.65,60.83,60.56,60.8,919534
2016-04-07T13:30,60.62,61.11,60.34,60.56,708591
2016-04-07T15:30,60.56,60.88,60.52,60.77,242653
2016-04-07T17:30,60.76,60.79,60.13,60.18,910606
2016-04-08T13:30,60.24,60.34,59.41,59.61,678658
2016-04-08T15:30,59.61,59.62,59.35,59.37,425651
2016-04-08T17:30,59.37,59.49,59.11,59.22,1255418
2016-04-11T13:30,59.13,59.39,58.75,58.91,444553
2016-04-11T15:30,58.9,59.08,58.78,58.93,245068
2016-04-11T17:30,58.93,59,58.58,58.64,930739
2016-04-12T13:30,58.79,59.13,58.56,58.67,390933
2016-04-12T15:30,58.67,58.68,58.36,58.47,287598
2016-04-12T17:30,58.47,59.04,58.45,58.95,929631
2016-04-13T13:30,59.25,59.56,58.79,58.95,658640
2016-04-13T15:30,58.97,59.06,58.78,58.84,360313
2016-04-13T17:30,58.85,59.15,58.84,59.14,830963
2016-04-14T13:30,58.81,60,58.77,59.97,471328
2016-04-14T15:30,59.97,60.51,59.96,60.48,425783
2016-04-14T17:30,60.48,60.5,60.19,60.21,1112369
2016-04-15T13:30,60.13,60.39,60.06,60.11,401649
2016-04-15T15:30,60.13,60.78,60.07,60.76,427028
2016-04-15T17:30,60.75,61.02,60.68,60.97,1325909
2016-04-18T13:30,61.13,61.6,60.86,61.49,398070
2016-04-18T15:30,61.49,61.58,61.31,61.51,201670
2016-04-18T17:30,61.5,61.61,61.43,61.56,887698
2016-04-19T13:30,62.09,62.66,61.97,62.15,667999
2016-04-19T15:30,62.14,62.2,61.99,62.15,404869
2016-04-19T17:30,62.15,62.19,61.95,62.14,863827
2016-04-20T13:30,62.44,63.18,62.24,63.17,847050
2016-04-20T15:30,63.18,63.51,63.16,63.33,760029
2016-04-20T17:30,63.33,63.86,63.31,63.79,1419468
2016-04-21T13:30,63.63,64.22,63.55,64.16,633475
2016-04-21T15:30,64.17,64.18,63.68,63.69,505145
2016-04-21T17:30,63.68,63.95,63.58,63.75,1008773
2016-04-22T13:30,64.06,64.18,63.29,63.43,347311
2016-04-22T15:30,63.43,63.54,63.3,63.36,518044
2016-04-22T17:30,63.36,63.84,63.36,63.82,978118
2016-04-25T13:30,63.71,63.88,63.18,63.34,641122
2016-04-25T15:30,63.34,63.46,63.28,63.43,510027
2016-04-25T17:30,63.44,63.63,63.42,63.54,896842
2016-04-26T13:30,63.7,63.88,63.29,63.36,346125
2016-04-26T15:30,63.36,63.54,63.31,63.39,238255
2016-04-26T17:30,63.4,63.47,63.28,63.37,478557
2016-04-27T13:30,63.54,63.64,62.89,62.97,343297
