date,open,high,low,close,volume
2016-01-04T14:30,140.31,142.29,139.52,141.43,315539
2016-01-04T16:30,141.4,141.905,140.9,141.39,111012
2016-01-04T18:30,141.51,141.51,139.39,140.6,273203
2016-01-05T14:30,141.45,141.45,137.86,137.9,129467
2016-01-05T16:30,137.85,138.11,136.33,136.71,170958
2016-01-05T18:30,136.56,137.17,136.01,136.75,353370
2016-01-06T14:30,134.66,135.72,134.02,134.505,283422
2016-01-06T16:30,134.77,135.01,133.09,133.09,372269
2016-01-06T18:30,133.11,133.4,131.26,132.67,577716
2016-01-07T14:30,130.2,131.32,128.78,130.485,335736
2016-01-07T16:30,130.61,130.9,128.91,129.11,210844
2016-01-07T18:30,129.03,129.59,128.43,128.5,398770
2016-01-08T14:30,129.54,130.46,128.74,129.08,194847
2016-01-08T16:30,128.94,131.28,128.68,130.865,188828
2016-01-08T18:30,130.91,132.7,128.97,129.18,432855
2016-01-11T14:30,130.15,130.28,125.41,125.58,172349
2016-01-11T16:30,125.56,125.77,123.78,124.2,327824
2016-01-11T18:30,124.18,126.31,123.7,125.48,382596
2016-01-12T14:30,126.25,126.61,122.9,123.02,141576
2016-01-12T16:30,122.99,123.9,122.2501,123.03,211019
2016-01-12T18:30,123.11,124.55,121.96,124.33,550949
2016-01-13T14:30,125.13,125.13,121.45,121.585,365880
2016-01-13T16:30,121.79,121.9675,119.5925,119.66,277539
2016-01-13T18:30,119.62,119.9,116.8575,117.66,782489
2016-01-14T14:30,117.82,120.26,115.9901,118.12,385015
2016-01-14T16:30,118.14,119.9,117.87,119.69,132528
2016-01-14T18:30,119.77,120.62,119.27,119.97,332337
2016-01-15T14:30,116.6,118.63,115.75,117.7,339603
2016-01-15T16:30,117.74,117.93,116.3901,117.2,230473
2016-01-15T18:30,117.29,118.68,117.09,118.11,421561
2016-01-19T14:30,119.46,119.71,117.26,117.98,323267
2016-01-19T16:30,118.05,118.75,116.6,116.75,149195
2016-01-19T18:30,116.75,116.75,114.24,114.8,506836
2016-01-20T14:30,112.95,113.36,108.814,109.4,282129
2016-01-20T16:30,109.5,109.62,107.56,108.46,361151
2016-01-20T18:30,108.53,116.21,108.48,115.02,1035077
2016-01-21T14:30,114.83,115.5,112.81,114.65,258685
2016-01-21T16:30,114.615,116.16,114.61,115.65,362027
2016-01-21T18:30,115.63,117.43,115.52,116.75,721899
2016-01-22T14:30,118.49,122.31,118.31,121.38,578863
2016-01-22T16:30,121.35,122.52,121.06,122.4,211934
2016-01-22T18:30,122.435,123.77,121.96,123.66,694677
2016-01-25T14:30,123.4,123.65,119.64,120.56,287922
2016-01-25T16:30,120.65,122.02,120.38,121.65,290026
2016-01-25T18:30,121.59,121.65,118.57,118.95,600056
2016-01-26T14:30,119.39,120.1,117.85,117.9,175105
2016-01-26T16:30,117.96,120.37,117.65,120.3,211026
2016-01-26T18:30,120.3,120.59,119.71,120.13,222521
2016-01-27T14:30,119.15,120.37,118.01,118.73,165319
2016-01-27T16:30,118.73,120.26,118.695,119.01,120415
2016-01-27T18:30,118.97,120,117.42,118.02,599191
2016-01-28T14:30,119.86,120.35,117.48,117.51,291513
2016-01-28T16:30,117.44,118.06,117.36,117.58,239743
2016-01-28T18:30,117.67,118.1,117.42,117.5,543460
2016-01-29T14:30,118.26,121.36,118,121.21,321971
2016-01-29T16:30,121.29,121.635,120.2,120.23,118631
2016-01-29T18:30,120.25,122.89,120.09,122.81,278467
2016-02-01T14:30,121.24,122.16,120.36,121.74,142255
2016-02-01T16:30,121.78,122.22,121.1,121.95,84317
2016-02-01T18:30,122.13,122.75,121.11,121.78,225606
2016-02-02T14:30,120.51,120.51,118.3718,118.93,147275
2016-02-02T16:30,119.015,119.405,117.5,118.01,347689
2016-02-02T18:30,118,118.38,117.47,117.75,613656
2016-02-03T14:30,118.24,119.51,117.16,119.26,537185
2016-02-03T16:30,119.18,122.25,118.9483,121.58,289998
2016-02-03T18:30,121.5,122,119.516,121.95,467749
2016-02-04T14:30,121.09,125.3,121.09,124.39,202977
2016-02-04T16:30,124.12,124.54,123.09,124.25,229090
2016-02-04T18:30,124.25,124.78,123.49,124.75,466315
2016-02-05T14:30,120.38,126.41,117.6,122.97,1106315
2016-02-05T16:30,122.99,124.11,122.32,123.15,486948
2016-02-05T18:30,123.1,124.21,122.04,123.835,1182009
2016-02-08T14:30,121.52,122.58,114.21,114.71,905478
2016-02-08T16:30,114.65,116.33,113.9,116,524397
2016-02-08T18:30,116.01,117.61,115.85,117.3,1530845
2016-02-09T14:30,115.77,117.13,113.35,114.06,426949
2016-02-09T16:30,114,114.09,111.23,111.52,309218
2016-02-09T18:30,111.54,115.05,111.54,113.79,556281
2016-02-10T14:30,114.98,117.61,113.64,114.808,376022
2016-02-10T16:30,115.02,116.34,114.3,115.37,220780
2016-02-10T18:30,115.48,116.69,114.7501,115.01,402439
2016-02-11T14:30,112.8,114.23,112.08,112.555,211774
2016-02-11T16:30,112.63,113.76,112.09,113.27,217209
2016-02-11T18:30,113.12,114.32,112.23,113.365,447617
2016-02-12T14:30,114.38,116.05,112.63,116.05,154641
2016-02-12T16:30,116.08,117.95,115.8,116.725,175345
2016-02-12T18:30,116.72,117.72,116.37,117.49,389393
2016-02-16T14:30,119.11,121.135,118.41,121,254497
2016-02-16T16:30,120.95,123.7,120.95,123.63,387816
2016-02-16T18:30,123.65,124.87,123.09,124.63,478890
2016-02-17T14:30,126.13,129.94,125.74,129.41,382879
2016-02-17T16:30,129.42,130.25,127.9,128.05,255892
2016-02-17T18:30,128.16,128.26,126.6,127.49,244571
2016-02-18T14:30,128.42,128.46,125.77,126.25,241845
2016-02-18T16:30,126.29,127.545,125.8101,126.89,132222
2016-02-18T18:30,126.99,128.24,126.35,127,292353
2016-02-19T14:30,126.7,128.535,125.72,128.325,173167
2016-02-19T16:30,128.39,128.41,127.54,127.84,58342
2016-02-19T18:30,127.93,128.09,127.69,127.95,252125
2016-02-22T14:30,129.21,132.4,128.43,129.62,406871
2016-02-22T16:30,129.7325,129.97,128.785,129.89,210220
2016-02-22T18:30,129.88,130.0725,129.54,129.67,355308
2016-02-23T14:30,129.18,129.3599,126.66,127.7099,262963
2016-02-23T16:30,127.77,128.65,127.11,127.79,85873
2016-02-23T18:30,127.96,127.96,126.18,126.37,221101
2016-02-24T14:30,124.9,125.93,124.205,125.36,269346
2016-02-24T16:30,125.355,126.78,125.2701,125.99,104503
2016-02-24T18:30,126.05,128.27,125.93,128.175,417185
2016-02-25T14:30,128.27,130.07,125.67,126.14,214070
2016-02-25T16:30,126.04,126.68,125.82,126.68,143744
2016-02-25T18:30,126.88,127.7,126.12,127.66,455898
2016-02-26T14:30,128.36,128.49,126.87,127.73,194384
2016-02-26T16:30,127.69,128.36,127.49,127.73,184714
2016-02-26T18:30,127.68,128.19,127.22,127.93,262170
2016-02-29T14:30,128.3,129.79,127.42,129.25,113188
2016-02-29T16:30,129.11,129.85,128.64,129.58,153438
2016-02-29T18:30,129.645,129.88,127.66,127.69,256585
2016-03-01T14:30,129.5,130.62,127.97,130.23,438000
2016-03-01T16:30,130.22,132.09,129.53,131.56,627151
2016-03-01T18:30,131.57,134.8,131.57,134.66,603929
2016-03-02T14:30,134.15,134.445,132.06,132.52,240756
2016-03-02T16:30,132.61,134.27,131.74,134.02,327305
2016-03-02T18:30,134,135.38,133.805,135.19,775411
2016-03-03T14:30,135.31,136.97,134.6601,136.35,286033
2016-03-03T16:30,136.33,137.69,136.16,137.52,150900
2016-03-03T18:30,137.51,138.43,137.51,137.69,539155
2016-03-04T14:30,138,139.36,136.54,139.15,611180
2016-03-04T16:30,139.18,139.503,138.565,138.96,532382
2016-03-04T18:30,138.91,140.1,137.86,138.01,635623
2016-03-07T14:30,136.365,140.91,136.365,140.725,469716
2016-03-07T16:30,140.71,142.97,140.16,142.11,321826
2016-03-07T18:30,142.19,142.31,141.2,141.74,552106
