date,open,high,low,close,volume
2019-06-03T13:30,24.24,24.66,22.44,22.82,4699802
2019-06-03T15:30,22.82,22.86,22.56,22.83,3405624
2019-06-03T17:30,22.82,22.97,22.26,22.52,8251697
2019-06-04T13:30,22.38,24.13,22.24,23.8,8828404
2019-06-04T15:30,23.79,24.02,23.51,23.74,2855882
2019-06-04T17:30,23.74,25.52,23.73,25.1,7081930
2019-06-05T13:30,25.15,25.78,24.17,24.54,2773942
2019-06-05T15:30,24.55,24.85,24.31,24.49,1333930
2019-06-05T17:30,24.5,25.58,24.4,25.55,4927909
2019-06-06T13:30,25.29,25.29,24.51,24.62,4098717
2019-06-06T15:30,24.64,24.73,23.96,24.52,3788442
2019-06-06T17:30,24.51,24.69,24.3,24.56,4220913
2019-06-07T13:30,23.91,24.46,23.49,24.43,4543051
2019-06-07T15:30,24.44,24.56,23.99,24.18,1830514
2019-06-07T17:30,24.18,24.6,24.02,24.03,2771478
2019-06-10T13:30,23.81,24.43,23.74,23.82,3435806
2019-06-10T15:30,23.82,24.03,23.68,23.71,1640601
2019-06-10T17:30,23.72,23.81,22.95,23.12,3234918
2019-06-11T13:30,22.85,23.17,22.63,22.7,4670599
2019-06-11T15:30,22.7,22.91,22.55,22.55,2360525
2019-06-11T17:30,22.56,22.84,22.41,22.79,4000877
2019-06-12T13:30,23,23.25,22.38,22.4,3241213
2019-06-12T15:30,22.39,22.9,22.36,22.9,2451752
2019-06-12T17:30,22.89,23.25,22.66,22.95,4285692
2019-06-13T13:30,22.84,23.01,22.66,22.66,2146584
2019-06-13T15:30,22.66,22.77,22.56,22.69,2315465
2019-06-13T17:30,22.7,22.87,22.69,22.83,4572060
2019-06-14T13:30,22.62,22.72,22.43,22.63,2030120
2019-06-14T15:30,22.64,22.66,22.59,22.6,1782878
2019-06-14T17:30,22.6,23.06,22.54,23.01,2904117
2019-06-17T13:30,23.32,24.57,23.25,24.19,4972816
2019-06-17T15:30,24.2,24.24,23.91,23.97,2036438
2019-06-17T17:30,23.98,23.98,23.5,23.73,5068461
2019-06-18T13:30,23.78,24.87,23.52,24.66,4409040
2019-06-18T15:30,24.66,25.01,24.65,24.89,2516105
2019-06-18T17:30,24.9,25.19,24.85,24.94,4889784
2019-06-19T13:30,25.1,25.1,24.64,24.81,4175123
2019-06-19T15:30,24.81,24.9,24.55,24.78,2202089
2019-06-19T17:30,24.78,24.87,24.64,24.8,2612688
2019-06-20T13:30,25.03,25.21,24.13,24.26,3046021
2019-06-20T15:30,24.26,24.71,24.22,24.7,1245419
2019-06-20T17:30,24.71,24.94,24.48,24.82,2693753
2019-06-21T13:30,24.55,25.3,24.55,25.18,4628296
2019-06-21T15:30,25.18,25.31,25.06,25.21,1978904
2019-06-21T17:30,25.21,25.21,24.83,24.86,3315601
2019-06-24T13:30,24.77,25.35,24.71,25.35,1673266
2019-06-24T15:30,25.35,25.99,25.21,25.83,1585592
2019-06-24T17:30,25.83,25.87,25.47,25.58,2518592
2019-06-25T13:30,25.66,25.66,25.22,25.55,2110973
2019-06-25T15:30,25.56,25.6,25.1,25.52,1061175
2019-06-25T17:30,25.53,25.54,25.18,25.28,2890904
2019-06-26T13:30,25.51,26.76,25.44,26.45,2691805
2019-06-26T15:30,26.45,26.72,26.4,26.7,1235056
2019-06-26T17:30,26.7,26.83,26.65,26.73,2298334
2019-06-27T13:30,26.84,27.39,26.73,27.35,1162627
2019-06-27T15:30,27.34,27.71,27.32,27.41,1923251
2019-06-27T17:30,27.41,27.45,26.93,26.98,1971517
2019-06-28T13:30,27.04,27.18,26.76,26.94,1433880
2019-06-28T15:30,26.93,27.09,26.73,26.86,1387226
2019-06-28T17:30,26.85,27.04,26.75,26.99,5304023
2019-07-01T13:30,27.01,28.09,26.51,26.61,1757628
2019-07-01T15:30,26.57,26.77,26.45,26.56,848243
2019-07-01T17:30,26.56,27.18,26.53,27.11,1818856
2019-07-02T13:30,26.95,27.04,25.71,26.05,2000641
2019-07-02T15:30,26.06,26.09,25.77,26.03,1006672
2019-07-02T17:30,26.03,26.53,26.02,26.48,1835811
2019-07-03T13:30,26.29,26.29,25.76,26.14,1049097
2019-07-03T15:30,26.14,26.4,26.03,26.31,1380779
2019-07-05T13:30,25.99,26.78,25.82,26.48,903013
2019-07-05T15:30,26.49,26.49,26.04,26.27,497173
2019-07-05T17:30,26.27,26.37,26.04,26.16,707419
2019-07-08T13:30,25.93,25.93,25.35,25.48,800094
2019-07-08T15:30,25.49,25.58,25.4,25.55,526547
2019-07-08T17:30,25.55,25.62,25.25,25.37,1662368
2019-07-09T13:30,25.09,25.37,24.79,24.81,1646356
2019-07-09T15:30,24.81,25.1,24.71,24.86,1118587
2019-07-09T17:30,24.86,24.87,24.51,24.66,1586926
2019-07-10T13:30,24.49,24.66,24.15,24.26,1368190
2019-07-10T15:30,24.26,24.63,24.25,24.44,1062675
2019-07-10T17:30,24.44,24.51,24.17,24.24,1402220
2019-07-11T13:30,24.25,24.48,24.04,24.12,782700
2019-07-11T15:30,24.12,24.19,23.75,23.82,592846
2019-07-11T17:30,23.84,24.2,23.71,24.15,4229661
2019-07-12T13:30,24.13,24.75,23.99,24.66,1093848
2019-07-12T15:30,24.65,25.29,24.49,25.08,1946809
2019-07-12T17:30,25.08,25.33,25.02,25.2,1590807
2019-07-15T13:30,25.08,25.52,25.03,25.35,865444
2019-07-15T15:30,25.34,25.41,25.27,25.36,587581
2019-07-15T17:30,25.37,25.82,25.37,25.65,1452224
2019-07-16T13:30,25.51,25.81,25.32,25.75,1017418
2019-07-16T15:30,25.76,25.96,25.74,25.94,754135
2019-07-16T17:30,25.94,26.03,25.4,25.45,1381675
2019-07-17T13:30,25.14,25.31,24.67,24.88,1331941
2019-07-17T15:30,24.88,25.08,24.54,24.55,672252
2019-07-17T17:30,24.55,24.75,24.53,24.56,1603022
2019-07-18T13:30,24.28,24.65,24.13,24.5,1024787
2019-07-18T15:30,24.49,24.61,24.22,24.41,553952
2019-07-18T17:30,24.4,24.4,24.23,24.34,1090125
2019-07-19T13:30,24.47,24.73,24.34,24.66,1099431
2019-07-19T15:30,24.66,24.85,24.59,24.83,938827
2019-07-19T17:30,24.84,25.1,24.83,25.03,1952746
2019-07-22T13:30,24.93,25.44,24.86,25.17,706643
2019-07-22T15:30,25.18,25.29,25.08,25.16,527603
2019-07-22T17:30,25.16,25.43,25.14,25.37,994615
2019-07-23T13:30,25.26,25.71,25.08,25.55,546470
2019-07-23T15:30,25.55,25.62,25.51,25.56,339776
2019-07-23T17:30,25.56,26.02,25.44,25.69,1669096
2019-07-24T13:30,25.37,26.05,25.24,25.97,730362
2019-07-24T15:30,25.96,26.03,25.73,25.87,506667
2019-07-24T17:30,25.87,25.9,25.64,25.86,865180
2019-07-25T13:30,25.67,25.94,25.35,25.52,754106
2019-07-25T15:30,25.52,25.61,25.47,25.54,462743
2019-07-25T17:30,25.53,25.62,25.4,25.6,2089067
2019-07-26T13:30,25.32,25.94,25.26,25.92,745750
2019-07-26T15:30,25.93,25.94,25.83,25.89,480826
2019-07-26T17:30,25.89,26.06,25.83,26.02,1362211
2019-07-29T13:30,25.91,26.21,25.87,26.03,3764504
2019-07-29T15:30,26.04,26.45,26.02,26.2,899803
2019-07-29T17:30,26.18,26.38,26.08,26.3,1168743
2019-07-30T13:30,25.43,26.84,25.43,26.61,2986592
2019-07-30T15:30,26.6,26.74,26.55,26.69,1886525
2019-07-30T17:30,26.69,26.88,26.57,26.73,1906327
2019-07-31T13:30,26.7,27.67,26.35,27.13,2402025
2019-07-31T15:30,27.13,27.25,27,27.24,797581
2019-07-31T17:30,27.23,27.31,27.01,27.11,2383632
2019-08-01T13:30,27.15,30.06,26.9,29.77,3783800
2019-08-01T15:30,29.77,30.08,29.25,29.27,2703204
2019-08-01T17:30,29.28,29.35,27.94,28.68,4606639
2019-08-02T13:30,28.39,28.94,28.31,28.69,1818768
2019-08-02T15:30,28.69,28.8,28.45,28.64,3216635
2019-08-02T17:30,28.64,28.94,28.62,28.85,1816234
2019-08-05T13:30,28.03,28.42,27.73,27.74,1504078
2019-08-05T15:30,27.74,27.79,27.36,27.64,1180951
2019-08-05T17:30,27.64,27.69,27.2,27.44,2026397
2019-08-06T13:30,27.58,27.68,27.04,27.23,1324143
2019-08-06T15:30,27.24,27.32,27.16,27.25,936250
2019-08-06T17:30,27.26,27.73,27.18,27.57,2574775
2019-08-07T13:30,27.14,27.69,27.01,27.46,874712
2019-08-07T15:30,27.46,27.79,27.41,27.7,976458
2019-08-07T17:30,27.7,28.29,27.56,28.12,2153938
2019-08-08T13:30,28.18,28.92,28.14,28.89,855791
2019-08-08T15:30,28.88,29.04,28.86,29.02,657964
2019-08-08T17:30,29.02,29.17,28.92,29.02,1752969
2019-08-09T13:30,29.31,29.36,28.65,28.77,1448435
2019-08-09T15:30,28.76,29.08,28.69,29.08,596648
2019-08-09T17:30,29.08,29.16,28.78,29.02,1470754
2019-08-12T13:30,28.91,29.21,28.6,29,1095040
2019-08-12T15:30,29,29.01,27.6,27.64,2845177
2019-08-12T17:30,27.64,27.69,27.1,27.29,2199644
2019-08-13T13:30,26.91,27.67,26.79,27.38,2599421
2019-08-13T15:30,27.38,27.54,27.27,27.4,1270882
2019-08-13T17:30,27.39,27.44,27.12,27.16,2557074
2019-08-14T13:30,26.72,26.94,26.53,26.75,963801
2019-08-14T15:30,26.75,26.84,26.03,26.13,1016047
2019-08-14T17:30,26.13,26.24,25.95,26.01,1784982
2019-08-15T13:30,26.49,26.82,26.11,26.36,1194163
2019-08-15T15:30,26.36,26.37,25.86,25.86,622015
2019-08-15T17:30,25.86,26.19,25.63,26.08,1168460
2019-08-16T13:30,26.26,27.2,26.21,27.19,1003653
2019-08-16T15:30,27.19,27.48,27.18,27.44,998104
2019-08-16T17:30,27.45,27.81,27.36,27.74,1595028
2019-08-19T13:30,28.21,28.3,27.76,28.18,1127575
2019-08-19T15:30,28.18,28.26,28.05,28.11,594277
2019-08-19T17:30,28.11,28.17,28,28.05,1304609
2019-08-20T13:30,28.06,28.15,27.83,27.98,818418
2019-08-20T15:30,28.01,28.1,27.94,28.05,571462
2019-08-20T17:30,28.05,28.06,27.61,27.76,1195832
2019-08-21T13:30,27.8,28.43,27.79,28.05,839841
2019-08-21T15:30,28.04,28.24,27.95,28.19,588788
2019-08-21T17:30,28.18,28.19,28.02,28.08,1114763
2019-08-22T13:30,28.24,28.4,27.85,28.03,573827
2019-08-22T15:30,28.04,28.24,28.04,28.19,438163
2019-08-22T17:30,28.19,28.23,27.72,27.8,1867211
2019-08-23T13:30,27.35,27.68,27.08,27.23,805417
2019-08-23T15:30,27.23,27.36,27.12,27.14,734974
2019-08-23T17:30,27.13,27.22,26.44,26.66,1090796
2019-08-26T13:30,27.05,27.05,26.49,26.67,742044
2019-08-26T15:30,26.67,26.84,26.33,26.39,785632
2019-08-26T17:30,26.39,26.63,26.31,26.6,1258835
2019-08-27T13:30,26.75,27.01,26.57,26.6,609069
2019-08-27T15:30,26.59,26.64,26.21,26.26,470589
2019-08-27T17:30,26.27,26.5,26.18,26.36,1590515
2019-08-28T13:30,26.13,26.68,25.98,26.58,1540558
