date,open,high,low,close,volume
2021-01-04T15:00,67.16,67.4,65.99,66.6,2313175
2021-01-04T17:00,66.59,67.1,66.33,66.92,1540356
2021-01-04T19:00,66.93,66.98,66.32,66.66,2379184
2021-01-05T15:00,68.02,68.98,67.41,68.84,3078036
2021-01-05T17:00,68.85,70.18,68.76,69.76,3590320
2021-01-05T19:00,69.75,70.03,68.35,68.43,3714262
2021-01-06T15:00,69.41,71.03,69.33,70.78,4266342
2021-01-06T17:00,70.79,71.41,70.57,71.17,2220729
2021-01-06T19:00,71.17,71.27,70.27,70.64,4345272
2021-01-07T15:00,70.71,71.44,70.3,70.46,2298237
2021-01-07T17:00,70.47,70.92,70.36,70.66,1707363
2021-01-07T19:00,70.66,71.38,70.56,70.99,2679363
2021-01-08T15:00,71.76,72.36,71.27,72.19,2884923
2021-01-08T17:00,72.19,72.48,71.15,71.38,2212235
2021-01-08T19:00,71.37,72.14,71.36,71.58,2888522
2021-01-11T15:00,71,72.11,70.82,72.07,2050664
2021-01-11T17:00,72.08,72.44,71.73,71.82,2038628
2021-01-11T19:00,71.82,72.22,71.6,72.03,2681592
2021-01-12T15:00,73.29,73.78,73.11,73.58,2900629
2021-01-12T17:00,73.55,73.55,73.01,73.19,1636496
2021-01-12T19:00,73.19,73.88,73.12,73.42,3128309
2021-01-13T15:00,72.6,73.35,72.37,73.15,2418513
2021-01-13T17:00,73.16,73.49,72.99,73.47,1362400
2021-01-13T19:00,73.46,73.56,73.18,73.34,2651731
2021-01-14T15:00,74.39,75.21,74.2,75.02,3397284
2021-01-14T17:00,75.02,75.68,74.95,75.57,3075061
2021-01-14T19:00,75.56,75.76,75.1,75.11,4103623
2021-01-15T15:00,73.7,73.77,72.14,73.23,3066621
2021-01-15T17:00,73.22,73.52,72.69,72.89,1596649
2021-01-15T19:00,72.89,72.89,72.21,72.43,2506740
2021-01-19T15:00,74.12,74.71,73.64,74.36,2532367
2021-01-19T17:00,74.36,74.51,73.95,74.4,1305861
2021-01-19T19:00,74.4,74.75,74.32,74.34,3124102
2021-01-20T15:00,74.66,75.17,74.51,74.79,2593047
2021-01-20T17:00,74.8,75.12,74.73,74.93,1220557
2021-01-20T19:00,74.93,75.16,74.67,75.02,2285477
2021-01-21T15:00,73.51,73.7,72.61,72.7,2616129
2021-01-21T17:00,72.7,72.77,71.75,72.15,2376319
2021-01-21T19:00,72.15,72.85,72.14,72.37,2636788
2021-01-22T15:00,71.32,72,71.05,71.83,2014533
2021-01-22T17:00,71.85,72.11,71.69,71.97,1060102
2021-01-22T19:00,71.98,72.39,71.89,72.15,1866889
2021-01-25T15:00,70.33,71.6,70.28,71,2199177
2021-01-25T17:00,70.99,71.27,70.45,70.86,1572120
2021-01-25T19:00,70.88,71.56,70.64,71.52,1990164
2021-01-26T15:00,71.89,72.22,70.8,70.91,1952158
2021-01-26T17:00,70.91,71.06,70.53,70.62,1366388
2021-01-26T19:00,70.61,70.73,70.22,70.3,2182347
2021-01-27T15:00,69.02,70.61,68.72,70.31,2565610
2021-01-27T17:00,70.31,71.07,70.24,70.34,1608460
2021-01-27T19:00,70.34,70.56,69.17,69.42,3085321
2021-01-28T15:00,70,70.59,69.72,70.24,2032037
2021-01-28T17:00,70.27,70.53,69.84,70.2,1522432
2021-01-28T19:00,70.2,70.49,69.97,69.97,2490529
2021-01-29T15:00,68.2,68.7,67.45,67.69,3007130
2021-01-29T17:00,67.66,67.7,66.8,67.01,2656965
2021-01-29T19:00,67.01,67.52,66.8,66.98,3474937
2021-02-01T15:00,66.88,67.65,66.6,67.46,1866901
2021-02-01T17:00,67.47,67.86,67.11,67.8,1709430
2021-02-01T19:00,67.82,68.67,67.8,67.98,2439392
2021-02-02T15:00,68.68,69.51,68.35,69.16,2576374
2021-02-02T17:00,69.17,69.18,68.38,68.41,1691250
2021-02-02T19:00,68.39,68.83,68.39,68.48,2268600
2021-02-03T15:00,69.38,70.31,69.15,69.87,3331380
2021-02-03T17:00,69.86,70,69.4,69.63,1524915
2021-02-03T19:00,69.64,70.16,69.61,69.96,2428195
2021-02-04T15:00,70.22,70.38,69.18,69.94,2092245
2021-02-04T17:00,69.94,70.13,69.79,70.01,1441557
2021-02-04T19:00,70.01,70.05,69.69,70.02,2366953
2021-02-05T15:00,70.55,70.75,69.96,70,2216417
2021-02-05T17:00,70,70.2,69.72,70.01,1404321
2021-02-05T19:00,70.01,70.26,69.92,70.18,2329638
2021-02-08T15:00,71.28,71.86,71.16,71.39,2658090
2021-02-08T17:00,71.39,72.07,71.37,72.01,1508764
2021-02-08T19:00,72.01,72.4,71.83,71.97,2937433
2021-02-09T15:00,71.17,71.45,70.64,70.97,1982336
2021-02-09T17:00,70.97,71.67,70.87,71.62,1382886
2021-02-09T19:00,71.62,71.79,71.42,71.57,2043362
2021-02-10T15:00,71.86,72.44,71.27,72.28,2440349
2021-02-10T17:00,72.27,72.51,72.1,72.21,1475026
2021-02-10T19:00,72.22,72.83,72.13,72.78,2852992
2021-02-11T15:00,72.37,72.7,71.43,71.56,2166953
2021-02-11T17:00,71.56,71.89,70.86,71.84,1879139
2021-02-11T19:00,71.83,72.49,71.78,72.36,2212572
2021-02-12T15:00,72.36,72.71,71.94,72.41,1749114
2021-02-12T17:00,72.41,72.78,72.25,72.31,1823163
2021-02-12T19:00,72.31,72.94,72.16,72.78,2750439
2021-02-16T15:00,74.75,74.87,73.88,74.12,2718548
2021-02-16T17:00,74.12,74.51,73.91,74.22,1597111
2021-02-16T19:00,74.23,74.7,74.16,74.26,3829403
2021-02-17T15:00,76.65,77.15,75.14,75.68,4649888
2021-02-17T17:00,75.69,76.2,75.48,75.94,1810050
2021-02-17T19:00,75.96,76.69,75.95,76.52,2879420
2021-02-18T15:00,76.05,76.39,75.22,76.33,2409228
2021-02-18T17:00,76.32,76.34,75.76,75.93,1410762
2021-02-18T19:00,75.92,76.11,75.75,75.78,2209433
2021-02-19T15:00,76.35,76.52,76.11,76.34,2167711
2021-02-19T17:00,76.33,76.73,76.29,76.69,2135714
2021-02-19T19:00,76.69,76.88,76.28,76.44,2179402
2021-02-22T15:00,77.88,79.03,77.85,78.93,3690370
2021-02-22T17:00,78.93,79.42,78.82,79.08,2458787
2021-02-22T19:00,79.08,79.48,78.45,78.48,3570990
2021-02-23T15:00,78.38,79.36,78.01,78.5,3775896
2021-02-23T17:00,78.49,79.44,78.24,79.36,2220473
2021-02-23T19:00,79.36,79.84,79.2,79.44,4504011
2021-02-24T15:00,81.05,82.42,80.74,81.92,5811416
2021-02-24T17:00,81.92,82.74,81.87,82.55,2954081
2021-02-24T19:00,82.56,82.99,82.33,82.41,4338716
2021-02-25T15:00,82.51,83.09,82.2,82.52,3088910
2021-02-25T17:00,82.5,82.55,81.04,81.98,2665748
2021-02-25T19:00,81.97,82.86,81.33,81.65,4214419
2021-02-26T15:00,79.25,79.74,77.86,79.27,4833955
2021-02-26T17:00,79.28,80.27,79.21,79.92,2008291
2021-02-26T19:00,79.92,80.62,79.51,79.74,3080148
2021-03-01T15:00,82.22,82.8,81.61,81.77,2400287
2021-03-01T17:00,81.78,82.03,80.89,81.56,1917585
2021-03-01T19:00,81.57,81.88,81.2,81.38,3157320
2021-03-02T15:00,81.69,82.05,81.37,81.77,2760848
2021-03-02T17:00,81.74,82.18,81.64,82.05,1395616
