date,open,high,low,close,volume
2016-01-04T14:30,42.58,42.65,42.2,42.36,1238893
2016-01-04T16:30,42.36,42.68,42.34,42.64,765079
2016-01-04T18:30,42.64,42.95,42.44,42.95,1551008
2016-01-05T14:30,42.81,42.9,42.15,42.8,834091
2016-01-05T16:30,42.79,43.03,42.78,43.02,430458
2016-01-05T18:30,43.01,43.34,43,43.3,1058699
2016-01-06T14:30,42.99,43.55,42.83,43.45,618906
2016-01-06T16:30,43.45,43.58,43.3,43.56,491801
2016-01-06T18:30,43.56,43.81,43.45,43.56,1406130
2016-01-07T14:30,43.05,43.67,43,43.58,960667
2016-01-07T16:30,43.58,43.71,43.49,43.57,870949
2016-01-07T18:30,43.57,43.71,43.51,43.58,1927072
2016-01-08T14:30,43.56,44.14,43.5,44.14,1595909
2016-01-08T16:30,44.14,44.41,43.99,44.41,1007290
2016-01-08T18:30,44.41,44.47,44.14,44.21,2500047
2016-01-11T14:30,44.14,44.49,44.14,44.47,991705
2016-01-11T16:30,44.47,44.47,44.31,44.32,827720
2016-01-11T18:30,44.33,44.36,44.09,44.16,1960972
2016-01-12T14:30,44.3,44.45,43.58,43.87,1151810
2016-01-12T16:30,43.86,43.91,43.77,43.83,1014030
2016-01-12T18:30,43.82,43.96,43.63,43.83,1837275
2016-01-13T14:30,43.92,44.18,43.81,44.13,1056605
2016-01-13T16:30,44.12,44.14,43.98,44.09,489255
2016-01-13T18:30,44.08,44.21,43.84,43.91,1791114
2016-01-14T14:30,43.88,44.45,43.8,44.26,815732
2016-01-14T16:30,44.27,44.32,44.03,44.32,473574
2016-01-14T18:30,44.32,44.51,44.26,44.32,1608538
2016-01-15T14:30,43.9,44.18,43.71,43.79,1213715
2016-01-15T16:30,43.79,43.83,43.43,43.44,937048
2016-01-15T18:30,43.44,43.92,43.37,43.81,1490770
2016-01-19T14:30,44.04,44.28,43.7,44.01,954994
2016-01-19T16:30,44.01,44.21,43.99,44.16,570010
2016-01-19T18:30,44.15,44.57,44.14,44.46,1281281
2016-01-20T14:30,44.18,44.37,43.63,43.68,1036663
2016-01-20T16:30,43.67,43.78,43.22,43.35,890461
2016-01-20T18:30,43.34,44.02,43.25,43.73,1677250
2016-01-21T14:30,43.93,43.93,43.24,43.63,591664
2016-01-21T16:30,43.63,43.73,43.36,43.37,593926
2016-01-21T18:30,43.37,43.72,43.24,43.59,828299
2016-01-22T14:30,43.98,44.01,43.59,44,825706
2016-01-22T16:30,44,44.21,43.95,44.19,310277
2016-01-22T18:30,44.19,44.42,44.19,44.37,793376
2016-01-25T14:30,44.4,44.51,44.07,44.45,455373
2016-01-25T16:30,44.45,44.62,44.34,44.51,491155
2016-01-25T18:30,44.51,44.57,44.14,44.26,1124259
2016-01-26T14:30,44.26,44.89,44.19,44.43,494809
2016-01-26T16:30,44.42,44.61,44.33,44.35,335987
2016-01-26T18:30,44.36,44.41,44.18,44.35,1100894
2016-01-27T14:30,44.42,44.45,44.16,44.41,444228
2016-01-27T16:30,44.42,44.61,44.42,44.47,581277
2016-01-27T18:30,44.48,44.58,44,44.35,1138350
2016-01-28T14:30,44.34,45.08,44.17,44.98,1282268
2016-01-28T16:30,44.96,45.31,44.85,45.26,885276
2016-01-28T18:30,45.26,45.49,45.09,45.14,1240738
2016-01-29T14:30,45.46,45.76,45.19,45.65,746807
2016-01-29T16:30,45.66,45.92,45.63,45.86,455991
2016-01-29T18:30,45.86,45.93,45.54,45.9,1601774
2016-02-01T14:30,44.7,45.35,44.7,45.18,3036658
2016-02-01T16:30,45.18,45.43,44.86,45.08,2044885
2016-02-01T18:30,45.08,45.09,44.49,44.61,4222682
2016-02-02T14:30,44.05,44.59,43.65,44.52,2445800
2016-02-02T16:30,44.52,44.58,44.18,44.46,1116132
2016-02-02T18:30,44.46,44.6,44.31,44.47,2123281
2016-02-03T14:30,44.56,44.8,44.18,44.38,1697594
2016-02-03T16:30,44.38,44.49,44.1,44.38,1050094
2016-02-03T18:30,44.39,44.71,44.07,44.49,2556114
2016-02-04T14:30,44.58,45,44.29,44.82,1358025
2016-02-04T16:30,44.82,45.14,44.47,45.09,730306
2016-02-04T18:30,45.09,45.27,44.68,44.8,1774576
2016-02-05T14:30,44.75,45.15,44.33,45.14,837721
2016-02-05T16:30,45.14,45.22,44.88,45.04,834723
2016-02-05T18:30,45.04,45.44,45.01,45.21,1810952
2016-02-08T14:30,44.57,45.1,44.09,44.19,2131137
2016-02-08T16:30,44.2,44.43,44.11,44.19,1191083
2016-02-08T18:30,44.2,44.26,43.95,44.21,2230730
2016-02-09T14:30,44.21,44.66,44,44.49,1007128
2016-02-09T16:30,44.49,44.96,44.45,44.89,906315
2016-02-09T18:30,44.89,45.08,44.75,44.82,1708143
2016-02-10T14:30,44.61,45,43.93,44.05,1232627
2016-02-10T16:30,44.04,44.58,44.04,44.55,666551
2016-02-10T18:30,44.55,44.95,44.53,44.71,1168693
2016-02-11T14:30,44.5,44.84,44.12,44.27,802670
2016-02-11T16:30,44.26,44.3,44.04,44.15,475774
2016-02-11T18:30,44.15,44.3,43.96,44.02,1394430
2016-02-12T14:30,44.11,44.3,43.6,43.81,779915
2016-02-12T16:30,43.82,43.88,43.55,43.83,596002
2016-02-12T18:30,43.83,43.91,43.65,43.85,1289827
2016-02-16T14:30,44.21,44.25,43.62,43.95,672411
2016-02-16T16:30,43.94,44.13,43.91,43.91,426534
2016-02-16T18:30,43.91,44,43.69,43.99,916095
2016-02-17T14:30,44.19,44.3,43.77,44.21,733612
2016-02-17T16:30,44.22,44.35,44.18,44.35,595123
2016-02-17T18:30,44.35,44.42,44.26,44.37,1067704
2016-02-18T14:30,44.09,44.63,44.02,44.53,1767482
2016-02-18T16:30,44.54,44.66,44.46,44.48,1173566
2016-02-18T18:30,44.48,44.54,44.21,44.36,3144402
2016-02-19T14:30,44.25,44.38,43.9,44.18,1374999
2016-02-19T16:30,44.18,44.27,44.04,44.14,692367
2016-02-19T18:30,44.14,44.25,44.08,44.18,1387607
2016-02-22T14:30,44.39,44.95,44.29,44.74,917073
2016-02-22T16:30,44.74,44.89,44.68,44.75,394268
2016-02-22T18:30,44.75,45.03,44.73,45.01,1077670
2016-02-23T14:30,44.78,45.29,44.7,45.21,778069
2016-02-23T16:30,45.21,45.21,45.04,45.08,514922
2016-02-23T18:30,45.08,45.15,44.86,45.1,1125635
2016-02-24T14:30,45.12,45.34,44.82,44.89,979102
2016-02-24T16:30,44.88,44.97,44.74,44.84,689698
2016-02-24T18:30,44.84,45.36,44.82,45.3,1611305
2016-02-25T14:30,45.38,45.69,45.27,45.57,643007
2016-02-25T16:30,45.57,45.63,45.51,45.54,397247
2016-02-25T18:30,45.52,45.72,45.34,45.7,785919
2016-02-26T14:30,45.55,45.64,44.76,44.77,669858
2016-02-26T16:30,44.77,44.85,44.51,44.53,540652
2016-02-26T18:30,44.53,44.79,44.47,44.54,1372904
2016-02-29T14:30,44.54,44.8,44.44,44.79,617069
2016-02-29T16:30,44.79,44.93,44.72,44.8,742712
2016-02-29T18:30,44.8,45,44.47,44.48,1442817
2016-03-01T14:30,44.74,44.8,44.25,44.38,738526
2016-03-01T16:30,44.38,44.44,44.28,44.42,444914
2016-03-01T18:30,44.42,44.8,44.3,44.49,1224178
2016-03-02T14:30,44.37,44.5,43.43,43.9,1637562
2016-03-02T16:30,43.9,44.27,43.9,44.21,955912
2016-03-02T18:30,44.2,44.29,44.13,44.2,1680363
2016-03-03T14:30,44.27,44.35,43.88,44.33,875679
2016-03-03T16:30,44.33,44.5,44.27,44.47,667358
2016-03-03T18:30,44.47,44.99,44.45,44.98,1656635
2016-03-04T14:30,44.69,45.15,44.54,45.01,535808
2016-03-04T16:30,45.01,45.26,44.94,45.23,400039
2016-03-04T18:30,45.22,45.48,45.14,45.37,1588896
2016-03-07T14:30,45.14,45.73,45.06,45.69,583327
2016-03-07T16:30,45.69,45.85,45.64,45.71,625970
2016-03-07T18:30,45.71,45.87,45.68,45.77,997839
2016-03-08T14:30,45.78,46.08,45.44,45.92,733639
2016-03-08T16:30,45.91,46.06,45.9,45.98,500887
2016-03-08T18:30,45.98,46.13,45.95,46.08,1317053
2016-03-09T14:30,46.07,46.48,46.01,46.16,617860
2016-03-09T16:30,46.16,46.28,46.07,46.25,524308
2016-03-09T18:30,46.25,46.34,46.1,46.32,1042749
2016-03-10T14:30,46.34,46.42,45.98,46.04,673628
2016-03-10T16:30,46.03,46.06,45.67,46.02,355080
2016-03-10T18:30,46.02,46.13,45.84,46,973180
2016-03-11T14:30,46.14,46.31,46.01,46.24,451032
2016-03-11T16:30,46.24,46.38,46.18,46.25,284347
2016-03-11T18:30,46.25,46.49,46.18,46.4,945259
2016-03-14T13:30,46.49,46.57,46.21,46.42,435188
2016-03-14T15:30,46.41,46.54,46.35,46.47,429015
2016-03-14T17:30,46.46,46.56,46.37,46.47,807448
2016-03-15T13:30,46.37,46.88,46.34,46.78,575814
2016-03-15T15:30,46.77,46.9,46.7,46.81,444434
2016-03-15T17:30,46.82,46.95,46.8,46.9,897076
2016-03-16T13:30,46.75,46.75,46.32,46.45,485248
2016-03-16T15:30,46.45,46.56,46.34,46.35,317230
2016-03-16T17:30,46.34,47.42,46.32,47.28,1968226
2016-03-17T13:30,47.4,47.59,47.14,47.57,699470
2016-03-17T15:30,47.57,47.84,47.53,47.75,468094
2016-03-17T17:30,47.76,48.13,47.74,47.91,1555226
2016-03-18T13:30,47.94,48.12,47.57,47.65,2702618
2016-03-18T15:30,47.66,47.73,47.45,47.49,456520
2016-03-18T17:30,47.49,47.58,47.2,47.21,1318592
2016-03-21T13:30,47.33,47.37,46.65,47.19,632716
2016-03-21T15:30,47.19,47.35,47.04,47.25,470671
2016-03-21T17:30,47.26,47.43,47.25,47.32,967196
