date,open,high,low,close,volume
2016-01-04T14:30,43.36,43.36,42.38,42.8,4434904
2016-01-04T16:30,42.8,43.14,42.73,42.82,2560092
2016-01-04T18:30,42.82,42.86,42.38,42.7,4851788
2016-01-05T14:30,43.26,43.65,41.27,41.96,7940887
2016-01-05T16:30,41.96,42.69,41.83,42.46,2336855
2016-01-05T18:30,42.45,42.85,42.43,42.61,3685644
2016-01-06T14:30,41.93,42.93,41.79,42.83,3910137
2016-01-06T16:30,42.83,43.25,42.74,42.91,1989724
2016-01-06T18:30,42.91,42.99,42.45,42.94,3832998
2016-01-07T14:30,42.45,42.71,41.85,42.09,3278697
2016-01-07T16:30,42.1,42.2,41.41,41.44,1760110
2016-01-07T18:30,41.43,41.66,41.01,41.26,5266394
2016-01-08T14:30,41.66,42.95,41.45,41.61,3074611
2016-01-08T16:30,41.62,41.97,41.37,41.67,1627166
2016-01-08T18:30,41.67,41.85,40.79,40.88,4687762
2016-01-11T14:30,41.23,41.49,40.73,40.82,3144575
2016-01-11T16:30,40.83,41.13,40.35,40.36,2601325
2016-01-11T18:30,40.36,41.15,39.98,40.99,5956494
2016-01-12T14:30,41.26,41.65,40.2,41.32,5375655
2016-01-12T16:30,41.31,41.5,40.93,40.95,2444995
2016-01-12T18:30,40.93,41.28,40.57,41.19,4067036
2016-01-13T14:30,41.67,41.67,40.69,40.98,2920354
2016-01-13T16:30,40.97,41.07,39.94,39.98,1970170
2016-01-13T18:30,39.99,40.06,39.08,39.41,5770384
2016-01-14T14:30,39.51,39.94,38.62,39.21,4981691
2016-01-14T16:30,39.2,39.86,39.05,39.81,2404251
2016-01-14T18:30,39.81,40.14,39.69,39.76,3499425
2016-01-15T14:30,38.5,39.41,38.12,39.06,5356348
2016-01-15T16:30,39.05,39.2,38.45,39.01,3049990
2016-01-15T18:30,39.01,39.8,38.92,39.04,7498714
2016-01-19T14:30,40.18,41.02,39.65,39.96,6901599
2016-01-19T16:30,39.98,40.95,39.98,40.16,3243812
2016-01-19T18:30,40.16,40.66,39.79,40.31,5152853
2016-01-20T14:30,40.52,40.94,37.32,39.2,10066182
2016-01-20T16:30,39.21,39.54,38.43,39.3,3520817
2016-01-20T18:30,39.28,41.02,39.27,40.09,7682596
2016-01-21T14:30,40.93,41.34,39.8,40.53,5693119
2016-01-21T16:30,40.54,41.22,40.37,40.38,2334212
2016-01-21T18:30,40.38,41.01,40.31,40.82,3981896
2016-01-22T14:30,41.3,41.66,40.82,41.45,4078612
2016-01-22T16:30,41.44,41.52,40.97,41.04,1818827
2016-01-22T18:30,41.05,41.25,40.83,41.02,3279807
2016-01-25T14:30,41.75,41.78,40.72,41.11,3096361
2016-01-25T16:30,41.11,41.15,40.8,41.03,1655591
2016-01-25T18:30,41.03,41.07,40.23,40.31,3613716
2016-01-26T14:30,40.79,41.15,40.03,40.41,3623172
2016-01-26T16:30,40.41,40.53,40.24,40.38,1566080
2016-01-26T18:30,40.39,40.52,40.13,40.46,3340380
2016-01-27T14:30,40.67,41.23,40.2,40.33,2533119
2016-01-27T16:30,40.32,40.58,40.06,40.06,2319354
