date,open,high,low,close,volume
2016-01-04T14:30,68.43,68.62,67.45,67.65,767845
2016-01-04T16:30,67.64,68.16,67.59,68.01,430250
2016-01-04T18:30,68.01,68.15,67.17,67.93,846840
2016-01-05T14:30,68.24,68.24,66.75,66.9,599784
2016-01-05T16:30,66.91,67.14,66.82,67.04,340598
2016-01-05T18:30,67.03,67.57,66.96,67.45,622744
2016-01-06T14:30,66.59,66.62,65.64,65.97,816363
2016-01-06T16:30,65.97,66.08,65.61,65.97,384998
2016-01-06T18:30,65.97,66.09,65.48,65.91,1205511
2016-01-07T14:30,64.72,65.23,64.4,64.62,692432
2016-01-07T16:30,64.62,64.64,63.21,63.23,611479
2016-01-07T18:30,63.21,63.64,62.87,63.41,1253677
2016-01-08T14:30,64,64.73,63.9,63.92,670069
2016-01-08T16:30,63.92,64.24,63.59,63.67,233323
2016-01-08T18:30,63.66,63.97,62.76,62.91,679419
2016-01-11T14:30,63.04,63.25,61.3,61.68,778420
2016-01-11T16:30,61.67,61.77,60.96,61.05,436614
2016-01-11T18:30,61.05,61.94,60.92,61.75,830225
2016-01-12T14:30,62.49,62.5,60.86,60.96,591976
2016-01-12T16:30,60.96,61.29,60.65,60.79,343434
2016-01-12T18:30,60.79,61.09,60.61,60.9,1198622
2016-01-13T14:30,61.49,61.55,59.96,60.05,535963
2016-01-13T16:30,60.04,60.22,59.6,59.65,352278
2016-01-13T18:30,59.65,59.86,59.2,59.35,776530
2016-01-14T14:30,59.37,60.11,58.53,59.54,794479
2016-01-14T16:30,59.55,60.05,59.24,60,441642
2016-01-14T18:30,60.01,60.78,59.98,60.2,1233902
2016-01-15T14:30,58.29,59.32,58.24,58.49,759704
2016-01-15T16:30,58.5,58.63,57.39,57.87,447796
2016-01-15T18:30,57.88,58.45,57.61,58.42,971612
2016-01-19T14:30,59.12,59.25,57.89,58.5,665170
2016-01-19T16:30,58.52,58.68,57.65,57.65,337969
2016-01-19T18:30,57.65,57.7,56.64,57.24,826029
2016-01-20T14:30,56.54,56.71,55.29,55.61,984253
2016-01-20T16:30,55.59,55.66,54.75,55.17,877995
2016-01-20T18:30,55.16,56.76,55.14,56.22,1083491
2016-01-21T14:30,56.23,56.53,55.43,55.77,550586
2016-01-21T16:30,55.77,57.31,55.73,56.83,544142
2016-01-21T18:30,56.83,57.25,56.34,57.12,834717
2016-01-22T14:30,58.57,60.03,57.77,58.23,926768
2016-01-22T16:30,58.23,58.5,57.67,58.37,425773
2016-01-22T18:30,58.37,58.94,58.29,58.76,805367
2016-01-25T14:30,58.27,58.86,57.67,58.12,462348
2016-01-25T16:30,58.11,58.39,57.9,58.24,273051
2016-01-25T18:30,58.26,58.33,57.24,57.35,551283
2016-01-26T14:30,57.59,57.97,56.32,57.92,573171
2016-01-26T16:30,57.92,58.15,57.71,58.05,309350
2016-01-26T18:30,58.05,58.15,57.36,57.75,686611
2016-01-27T14:30,57.92,58.27,57.07,57.52,387524
2016-01-27T16:30,57.54,58.52,57.54,58.16,375225
2016-01-27T18:30,58.15,58.49,56.29,56.29,917999
2016-01-28T14:30,57.12,57.31,55.35,55.96,662284
2016-01-28T16:30,55.95,56.53,55.67,56.39,255762
2016-01-28T18:30,56.41,56.73,56.22,56.49,706298
2016-01-29T14:30,56.88,57.06,55.33,55.77,876290
2016-01-29T16:30,55.77,56.24,55.43,56.15,716914
2016-01-29T18:30,56.16,57.1,56.05,57.03,1124248
2016-02-01T14:30,56.54,57.63,56.05,57.22,552965
2016-02-01T16:30,57.22,57.51,57.14,57.47,361464
2016-02-01T18:30,57.46,58.16,57.01,57.88,906675
2016-02-02T14:30,60.03,60.47,58.23,60.23,1332442
2016-02-02T16:30,60.23,60.91,60.13,60.91,757289
2016-02-02T18:30,60.9,61.44,60.6,61.24,1487988
2016-02-03T14:30,62.19,63.41,62.15,63.07,1332711
2016-02-03T16:30,63.07,63.07,62.56,62.69,802815
2016-02-03T18:30,62.69,63.98,62.56,63.55,1392820
2016-02-04T14:30,63.82,64.79,63.55,64.12,981607
2016-02-04T16:30,64.13,64.61,63.9,64.39,596811
2016-02-04T18:30,64.38,64.57,63.87,64.42,1014972
2016-02-05T14:30,64.57,64.6,63.49,63.67,507745
2016-02-05T16:30,63.66,63.89,63.29,63.63,312347
2016-02-05T18:30,63.63,63.64,63.11,63.44,849807
2016-02-08T14:30,63.18,63.83,62.13,62.5,825872
2016-02-08T16:30,62.5,62.61,61.74,61.87,537730
2016-02-08T18:30,61.87,62.96,61.47,62.86,1138037
2016-02-09T14:30,62.2,64.19,62.16,63.89,617344
2016-02-09T16:30,63.88,64,62.8,63.04,466637
2016-02-09T18:30,63.04,63.74,62.66,63.36,659062
2016-02-10T14:30,64,64.59,63.4,63.81,370474
2016-02-10T16:30,63.82,64.06,63.34,63.59,935725
2016-02-10T18:30,63.58,63.67,62.93,63.18,599960
2016-02-11T14:30,61.81,62.73,61.48,61.5,661711
2016-02-11T16:30,61.51,61.61,60.93,61.32,458854
2016-02-11T18:30,61.32,62.07,60.77,61.32,910329
2016-02-12T14:30,61.97,62.51,61.44,62.48,593547
2016-02-12T16:30,62.49,62.73,62.26,62.51,328433
2016-02-12T18:30,62.5,63.1,62.49,62.97,648977
2016-02-16T14:30,63.22,63.81,62.95,63.81,587778
2016-02-16T16:30,63.81,64.08,63.64,64.04,246588
2016-02-16T18:30,64.04,64.16,63.86,64.11,561119
2016-02-17T14:30,64.42,65.77,64.26,65.41,527414
2016-02-17T16:30,65.41,65.63,65.15,65.51,306376
2016-02-17T18:30,65.51,65.86,65.33,65.67,815245
2016-02-18T14:30,65.6,65.74,64.96,65.11,387110
2016-02-18T16:30,65.11,65.46,64.89,65.03,224318
2016-02-18T18:30,65.04,65.19,64.94,65.12,421884
2016-02-19T14:30,64.89,64.96,64.44,64.79,598492
2016-02-19T16:30,64.79,64.86,64.38,64.53,208454
2016-02-19T18:30,64.53,64.59,64.32,64.44,400743
2016-02-22T14:30,65.11,65.97,65.08,65.94,365923
2016-02-22T16:30,65.94,66.16,65.66,65.72,417584
2016-02-22T18:30,65.72,65.93,65.25,65.57,526441
2016-02-23T14:30,65.15,65.15,64.3,64.4,311527
2016-02-23T16:30,64.41,64.6,63.8,63.97,235119
2016-02-23T18:30,63.97,64.47,63.88,64.32,396855
2016-02-24T14:30,63.51,63.97,63.21,63.78,338939
2016-02-24T16:30,63.78,64.52,63.78,64.37,262603
2016-02-24T18:30,64.37,64.64,64.16,64.56,468385
2016-02-25T14:30,64.79,64.96,64.27,64.89,276316
2016-02-25T16:30,64.89,65.48,64.86,65.46,219036
2016-02-25T18:30,65.45,65.83,65.44,65.83,518334
2016-02-26T14:30,66.33,67.15,66.14,66.91,492617
2016-02-26T16:30,66.9,67.03,66.57,67.02,241176
2016-02-26T18:30,67.01,67.03,66.61,66.7,519389
2016-02-29T14:30,66.57,68.08,66.4,67.53,532837
2016-02-29T16:30,67.55,67.93,67.55,67.59,233612
2016-02-29T18:30,67.57,67.65,66.49,66.51,811418
2016-03-01T14:30,67.33,67.98,67.13,67.98,495151
2016-03-01T16:30,67.98,68.41,67.94,68.23,300296
2016-03-01T18:30,68.23,68.59,68.12,68.5,714512
2016-03-02T14:30,67.82,68.43,66.99,68.3,710371
2016-03-02T16:30,68.3,68.34,67.61,67.94,281433
2016-03-02T18:30,67.94,68.16,67.7,67.9,446791
2016-03-03T14:30,68,68.34,67.38,67.72,375677
2016-03-03T16:30,67.72,67.9,67.37,67.76,255158
2016-03-03T18:30,67.78,68.13,67.78,67.89,358167
2016-03-04T14:30,67.89,68.65,67.29,68.37,449713
2016-03-04T16:30,68.38,69.04,68.38,69,379366
2016-03-04T18:30,69,69.25,68.61,68.83,620590
2016-03-07T14:30,68.38,69.04,67.74,68.52,961582
2016-03-07T16:30,68.53,68.63,67.91,68.04,723239
2016-03-07T18:30,68.04,68.33,67.74,68.11,699776
2016-03-08T14:30,67.71,67.93,66.31,66.7,879773
2016-03-08T16:30,66.68,67.46,66.53,67.37,311257
2016-03-08T18:30,67.38,67.57,66.83,66.89,647940
2016-03-09T14:30,67.23,67.56,66.93,67.5,265993
2016-03-09T16:30,67.5,67.68,67.04,67.09,196646
2016-03-09T18:30,67.09,67.44,66.97,67.15,311718
2016-03-10T14:30,67.55,68.2,67.3,67.46,374159
2016-03-10T16:30,67.45,67.78,67.12,67.37,248735
2016-03-10T18:30,67.35,67.53,66.6,67.24,601998
2016-03-11T14:30,67.86,69.42,67.86,69.41,728602
2016-03-11T16:30,69.41,69.55,69.23,69.28,352041
2016-03-11T18:30,69.3,69.46,69.17,69.28,451438
2016-03-14T13:30,68.72,69.12,68.65,68.94,308262
2016-03-14T15:30,68.94,69.35,68.78,69.26,213986
2016-03-14T17:30,69.26,69.26,68.79,68.8,302879
2016-03-15T13:30,68.33,68.43,68.04,68.35,357995
2016-03-15T15:30,68.37,68.5,68.25,68.49,223397
2016-03-15T17:30,68.49,68.72,68.26,68.71,517568
2016-03-16T13:30,68.53,68.9,68.16,68.39,246187
2016-03-16T15:30,68.39,68.61,68.33,68.47,203817
2016-03-16T17:30,68.48,69.57,68.43,69.34,636293
2016-03-17T13:30,69.5,70,69.26,69.93,398523
2016-03-17T15:30,69.94,70.05,69.79,70,210267
2016-03-17T17:30,70,70.46,69.98,70.36,587365
2016-03-18T13:30,70.64,71.49,70.45,70.95,977304
2016-03-18T15:30,70.95,71.18,70.82,70.94,224541
2016-03-18T17:30,70.94,71.08,70.54,70.72,504113
2016-03-21T13:30,70.5,70.76,69.33,69.96,542284
2016-03-21T15:30,69.97,70.13,69.74,70.13,284292
