date,open,high,low,close,volume
2021-01-04T15:00,33.84,33.88,33.12,33.16,1914003
2021-01-04T17:00,33.15,33.44,33.01,33.44,1355529
2021-01-04T19:00,33.42,33.44,33.15,33.38,1557275
2021-01-05T15:00,33.55,33.6,33.38,33.49,765383
2021-01-05T17:00,33.49,34.02,33.48,33.98,917529
2021-01-05T19:00,33.99,34.07,33.74,33.85,1533223
2021-01-06T15:00,33.97,34.5,33.96,34.47,1220085
2021-01-06T17:00,34.48,34.64,34.35,34.41,1571991
2021-01-06T19:00,34.4,34.6,34.02,34.13,1177412
2021-01-07T15:00,34.63,35.09,34.62,35,1168090
2021-01-07T17:00,35,35.06,34.73,34.94,973053
2021-01-07T19:00,34.93,35.16,34.88,35.16,1373286
2021-01-08T15:00,35.6,35.61,34.88,35.19,1435865
2021-01-08T17:00,35.19,35.36,34.93,35.07,1622326
2021-01-08T19:00,35.05,35.57,35.05,35.57,1476855
2021-01-11T15:00,35.13,35.38,35.04,35.29,655838
2021-01-11T17:00,35.3,35.34,35.09,35.13,551006
2021-01-11T19:00,35.13,35.18,34.83,34.83,1252615
2021-01-12T15:00,34.92,35.3,34.85,35.18,532019
2021-01-12T17:00,35.16,35.21,34.97,35.18,614758
2021-01-12T19:00,35.19,35.35,34.91,35.34,1098174
2021-01-13T15:00,33.73,33.76,32.45,32.46,5103241
2021-01-13T17:00,32.46,32.77,32.32,32.47,3381808
2021-01-13T19:00,32.47,32.82,32.43,32.8,4206523
2021-01-14T15:00,33.34,34.01,33.33,33.83,1909302
2021-01-14T17:00,33.83,33.99,33.73,33.81,1220101
2021-01-14T19:00,33.81,34,33.67,33.73,2334537
2021-01-15T15:00,34.16,34.22,33.56,34.13,1156603
2021-01-15T17:00,34.09,34.48,34.05,34.31,1151682
2021-01-15T19:00,34.31,34.49,34.11,34.19,1757011
2021-01-19T15:00,34.41,34.55,34.25,34.35,712393
2021-01-19T17:00,34.36,34.47,34.21,34.46,723545
2021-01-19T19:00,34.45,34.48,34.37,34.47,1289872
2021-01-20T15:00,34.91,34.98,34.75,34.9,842070
2021-01-20T17:00,34.91,35.11,34.76,35.09,888357
2021-01-20T19:00,35.09,35.54,35.07,35.48,2191423
2021-01-21T15:00,35.07,35.31,34.95,35.21,1323407
2021-01-21T17:00,35.19,35.32,35.15,35.22,737288
2021-01-21T19:00,35.22,35.47,35.21,35.42,1209241
2021-01-22T15:00,34.79,34.84,34.55,34.73,590989
2021-01-22T17:00,34.73,34.77,34.64,34.69,455043
2021-01-22T19:00,34.69,35.08,34.65,34.99,783916
2021-01-25T15:00,34.82,35,33.85,34.43,1073044
2021-01-25T17:00,34.43,34.78,34.17,34.66,433327
2021-01-25T19:00,34.66,34.85,34.61,34.84,680203
2021-01-26T15:00,34.69,34.89,34.51,34.66,521028
2021-01-26T17:00,34.66,34.98,34.64,34.89,483943
2021-01-26T19:00,34.89,35.22,34.84,35.04,970527
2021-01-27T15:00,34.08,34.6,33.98,34.31,1438597
