date,open,high,low,close,volume
2016-01-04T14:30,47.84,47.94,47.51,47.67,345995
2016-01-04T16:30,47.65,47.88,47.63,47.71,182580
2016-01-04T18:30,47.69,47.71,47.19,47.63,767611
2016-01-05T14:30,47.51,47.69,46.94,47.59,309086
2016-01-05T16:30,47.59,47.95,47.57,47.91,271717
2016-01-05T18:30,47.91,48.2,47.85,48.11,613819
2016-01-06T14:30,47.76,48.02,47.62,47.87,699481
2016-01-06T16:30,47.87,47.93,47.67,47.91,812380
2016-01-06T18:30,47.91,48.18,47.76,47.89,521373
2016-01-07T14:30,47.41,47.83,47.35,47.46,455806
2016-01-07T16:30,47.48,47.62,47.33,47.43,302602
2016-01-07T18:30,47.42,47.52,47.23,47.38,541151
2016-01-08T14:30,47.37,47.59,47.23,47.33,605264
2016-01-08T16:30,47.33,47.63,47.27,47.57,353245
2016-01-08T18:30,47.57,47.6,47.09,47.15,542905
2016-01-11T14:30,47.29,47.71,47.29,47.7,709881
2016-01-11T16:30,47.69,47.73,47.44,47.53,341037
2016-01-11T18:30,47.53,47.76,47.31,47.64,692909
2016-01-12T14:30,48,48,47.21,47.72,488696
2016-01-12T16:30,47.72,47.77,47.48,47.61,219351
2016-01-12T18:30,47.62,47.94,47.59,47.89,678151
2016-01-13T14:30,48.22,48.78,48.22,48.71,693414
2016-01-13T16:30,48.71,48.85,48.57,48.57,286274
2016-01-13T18:30,48.58,48.75,48.15,48.28,632723
2016-01-14T14:30,48.25,49,48.06,48.75,385965
2016-01-14T16:30,48.75,48.8,48.5,48.76,183125
2016-01-14T18:30,48.75,49.24,48.69,48.92,481801
2016-01-15T14:30,48.31,48.86,48.15,48.59,396733
2016-01-15T16:30,48.59,48.62,48.12,48.27,352634
2016-01-15T18:30,48.27,48.59,48.03,48.47,586235
2016-01-19T14:30,48.84,49.27,48.66,49,322387
2016-01-19T16:30,49,49.27,48.98,49.24,290041
2016-01-19T18:30,49.24,49.6,49.2,49.48,982666
2016-01-20T14:30,49.17,49.58,48.33,48.43,544840
2016-01-20T16:30,48.41,48.51,47.86,48.13,432536
2016-01-20T18:30,48.12,48.51,47.91,48.26,933956
2016-01-21T14:30,48.25,48.6,47.77,47.99,452878
2016-01-21T16:30,47.97,48.03,47.74,47.74,304229
2016-01-21T18:30,47.76,47.86,47.37,47.69,583674
2016-01-22T14:30,48.08,48.63,47.77,48.58,568509
2016-01-22T16:30,48.57,48.79,48.49,48.75,197854
2016-01-22T18:30,48.77,48.99,48.72,48.95,523178
2016-01-25T14:30,48.96,49,48.46,48.75,223485
2016-01-25T16:30,48.76,48.92,48.67,48.77,174115
2016-01-25T18:30,48.76,48.79,48.48,48.6,389829
2016-01-26T14:30,48.81,49.51,48.65,48.97,210573
2016-01-26T16:30,48.95,49.28,48.95,49.16,282404
2016-01-26T18:30,49.16,49.18,49.01,49.16,394667
2016-01-27T14:30,48.9,49.31,48.77,49.3,188856
2016-01-27T16:30,49.31,49.66,49.3,49.6,200856
2016-01-27T18:30,49.61,49.67,48.92,49.34,526105
2016-01-28T14:30,49.34,49.92,49.1,49.82,190871
2016-01-28T16:30,49.82,50.19,49.66,50.19,144396
2016-01-28T18:30,50.17,50.49,50.09,50.1,382776
2016-01-29T14:30,50.49,51.18,49.83,51.13,446629
2016-01-29T16:30,51.14,51.26,51.08,51.15,293492
2016-01-29T18:30,51.15,51.2,50.88,51.15,500341
2016-02-01T14:30,50.85,51.38,50.72,51.38,301916
2016-02-01T16:30,51.39,51.65,51.31,51.5,272369
2016-02-01T18:30,51.51,51.63,51.34,51.34,402867
2016-02-02T14:30,51.24,51.49,51.14,51.43,349590
2016-02-02T16:30,51.42,51.5,51.16,51.43,266012
2016-02-02T18:30,51.41,51.93,51.37,51.89,568871
2016-02-03T14:30,52.15,52.45,51.81,52.38,566944
2016-02-03T16:30,52.37,52.44,52.11,52.41,257877
2016-02-03T18:30,52.41,52.86,52.19,52.41,858318
2016-02-04T14:30,52.32,52.61,52.05,52.3,479964
2016-02-04T16:30,52.31,52.6,52.12,52.57,263229
2016-02-04T18:30,52.57,52.69,52.01,52.12,517715
2016-02-05T14:30,51.86,52.06,51.17,52.02,551129
2016-02-05T16:30,52.01,52.17,51.77,51.98,319192
2016-02-05T18:30,51.98,52.27,51.96,52.03,726640
2016-02-08T14:30,52.26,52.84,51.44,51.47,467066
2016-02-08T16:30,51.47,51.89,51.29,51.79,335059
2016-02-08T18:30,51.78,51.9,51.53,51.9,807474
2016-02-09T14:30,51.77,52.3,51.62,52.23,322046
2016-02-09T16:30,52.24,52.42,52.11,52.3,237212
2016-02-09T18:30,52.3,52.41,52.09,52.26,755572
2016-02-10T14:30,51.53,51.82,50.43,50.9,1018779
2016-02-10T16:30,50.88,51.71,50.88,51.6,347108
2016-02-10T18:30,51.62,52.22,51.61,51.63,816295
2016-02-11T14:30,51.71,52.02,51.02,51.17,365219
2016-02-11T16:30,51.18,51.26,50.88,50.99,248913
2016-02-11T18:30,50.98,51,50.57,50.58,813809
2016-02-12T14:30,50.39,50.85,49.9,50.2,341800
2016-02-12T16:30,50.2,50.28,49.95,50.23,210025
2016-02-12T18:30,50.22,50.42,50.19,50.37,334583
2016-02-16T14:30,50.29,50.61,50.08,50.61,420090
2016-02-16T16:30,50.6,50.93,50.54,50.61,265364
2016-02-16T18:30,50.61,50.91,50.4,50.88,580131
2016-02-17T14:30,50.88,51.05,50.29,50.95,392582
2016-02-17T16:30,50.95,51,50.75,50.87,280147
2016-02-17T18:30,50.88,50.88,50.66,50.68,564452
2016-02-18T14:30,50.77,51.3,50.57,51.18,263893
2016-02-18T16:30,51.18,51.54,51.18,51.43,152325
2016-02-18T18:30,51.43,51.56,51.17,51.23,447264
2016-02-19T14:30,51.12,51.22,50.61,51.09,311570
2016-02-19T16:30,51.09,51.28,51.02,51.05,126001
2016-02-19T18:30,51.06,51.21,50.86,50.96,331970
2016-02-22T14:30,51.29,51.6,50.96,51.38,208330
2016-02-22T16:30,51.38,51.41,51.13,51.13,128304
2016-02-22T18:30,51.14,51.4,51.1,51.39,362250
2016-02-23T14:30,51.13,51.59,50.98,51.49,229868
2016-02-23T16:30,51.47,51.59,51.43,51.54,69103
2016-02-23T18:30,51.55,51.78,51.38,51.61,321185
2016-02-24T14:30,51.56,51.99,51.3,51.36,181073
2016-02-24T16:30,51.37,51.52,51.27,51.31,160845
2016-02-24T18:30,51.32,51.85,51.31,51.79,294677
2016-02-25T14:30,51.95,52.2,51.75,52.12,131743
2016-02-25T16:30,52.14,52.38,52.09,52.25,114530
2016-02-25T18:30,52.24,52.38,51.95,52.33,273865
2016-02-26T14:30,52.03,52.19,51.07,51.13,416781
2016-02-26T16:30,51.14,51.18,50.79,50.87,251572
2016-02-26T18:30,50.88,50.94,50.7,50.72,397890
2016-02-29T14:30,50.67,51.03,50.55,51.03,280213
2016-02-29T16:30,51.02,51.15,50.94,51,139960
2016-02-29T18:30,51,51.1,50.62,50.62,509052
2016-03-01T14:30,50.89,51.03,50.43,50.54,307427
2016-03-01T16:30,50.54,50.56,50.14,50.14,341822
2016-03-01T18:30,50.14,50.72,50.04,50.45,614883
2016-03-02T14:30,50.22,50.44,49.19,50.23,423314
2016-03-02T16:30,50.23,50.61,50.14,50.57,147084
2016-03-02T18:30,50.56,50.64,50.44,50.59,343498
2016-03-03T14:30,50.7,50.7,49.7,50.17,369139
2016-03-03T16:30,50.17,50.33,49.94,50.25,213874
2016-03-03T18:30,50.25,50.63,50.19,50.57,461269
2016-03-04T14:30,50.29,50.87,50.11,50.77,314922
2016-03-04T16:30,50.78,51.02,50.71,51,181320
2016-03-04T18:30,51,51.2,50.9,51.08,338840
2016-03-07T14:30,50.87,51.49,50.78,51.49,292371
2016-03-07T16:30,51.48,51.74,51.4,51.7,285815
2016-03-07T18:30,51.7,51.86,51.64,51.84,554555
2016-03-08T14:30,51.59,52.56,51.59,52.51,489597
2016-03-08T16:30,52.53,52.71,52.33,52.38,244383
2016-03-08T18:30,52.38,52.54,52.3,52.51,591690
2016-03-09T14:30,53.18,53.3,52.73,52.93,499279
2016-03-09T16:30,52.92,53.1,52.73,52.86,258106
2016-03-09T18:30,52.86,52.92,52.71,52.91,353017
2016-03-10T14:30,52.77,53.1,52.68,52.79,217698
2016-03-10T16:30,52.77,53.15,52.47,53.05,215529
2016-03-10T18:30,53.03,53.13,52.74,52.95,323822
2016-03-11T14:30,53.24,53.31,52.86,53.28,251121
2016-03-11T16:30,53.28,53.45,53.13,53.18,172031
2016-03-11T18:30,53.18,53.2,52.88,53.1,370117
2016-03-14T13:30,53.04,53.27,52.73,52.93,160040
2016-03-14T15:30,52.92,53.09,52.85,52.97,91182
2016-03-14T17:30,52.97,53.05,52.76,52.98,253972
2016-03-15T13:30,52.8,53.39,52.77,53.19,222046
2016-03-15T15:30,53.19,53.24,52.98,53.07,122897
2016-03-15T17:30,53.1,53.25,53.03,53.18,284626
2016-03-16T13:30,52.93,52.93,52.54,52.89,231204
2016-03-16T15:30,52.88,52.97,52.79,52.79,130186
2016-03-16T17:30,52.77,53.99,52.77,53.85,626431
2016-03-17T13:30,54.06,54.06,53.58,53.92,530788
2016-03-17T15:30,53.93,54.15,53.87,54.05,243881
2016-03-17T17:30,54.05,54.43,53.99,54.29,493363
2016-03-18T13:30,54.4,54.48,53.76,54.31,885211
2016-03-18T15:30,54.32,54.45,54.21,54.32,150170
2016-03-18T17:30,54.32,54.42,53.94,53.95,512090
2016-03-21T13:30,53.69,54.04,53.22,54.01,173174
2016-03-21T15:30,54,54.18,53.78,53.97,147270
2016-03-21T17:30,53.98,54.09,53.86,53.94,301534
2016-03-22T13:30,53.88,54.18,53.55,53.77,221134
2016-03-22T15:30,53.78,53.97,53.66,53.89,140237
2016-03-22T17:30,53.89,53.92,53.57,53.62,371482
2016-03-23T13:30,53.66,54.08,53.34,54.02,216920
2016-03-23T15:30,54.03,54.3,53.97,54.13,184415
2016-03-23T17:30,54.12,54.43,54.11,54.23,455859
2016-03-24T13:30,53.99,54.37,53.84,54,200058
2016-03-24T15:30,54.01,54.26,53.99,54.2,114395
2016-03-24T17:30,54.23,54.35,54.19,54.28,300413
2016-03-28T13:30,54.3,54.62,53.94,54.03,183580
2016-03-28T15:30,54.03,54.23,53.94,54.05,122217
2016-03-28T17:30,54.06,54.23,54.01,54.16,183348
2016-03-29T13:30,54.15,54.49,53.96,54.38,251574
2016-03-29T15:30,54.37,54.79,54.28,54.75,141129
2016-03-29T17:30,54.75,55.16,54.66,55.13,390467
2016-03-30T13:30,55.17,55.21,54.75,55.11,205593
2016-03-30T15:30,55.12,55.19,54.95,55.05,137164
2016-03-30T17:30,55.04,55.21,54.94,55.03,279485
2016-03-31T13:30,55.04,55.17,54.72,55.07,108084
2016-03-31T15:30,55.05,55.05,54.79,54.86,97538
2016-03-31T17:30,54.85,55.16,54.79,55.02,660915
2016-04-01T13:30,54.98,55.33,54.6,54.63,269434
2016-04-01T15:30,54.63,54.85,54.57,54.79,248254
2016-04-01T17:30,54.79,55.28,54.78,55.23,473018
2016-04-04T13:30,55.24,55.35,54.51,54.71,298846
2016-04-04T15:30,54.69,54.9,54.62,54.81,164159
2016-04-04T17:30,54.8,55.04,54.76,55.03,395610
2016-04-05T13:30,54.91,55.04,54,54.11,262058
2016-04-05T15:30,54.09,54.2,53.95,54.06,159978
2016-04-05T17:30,54.06,54.27,54,54.03,365638
2016-04-06T13:30,53.95,54.14,53.65,53.94,216441
2016-04-06T15:30,53.95,53.96,53.74,53.89,166421
2016-04-06T17:30,53.88,54.06,53.74,54,332178
2016-04-07T13:30,53.79,54.19,53.78,53.95,321727
2016-04-07T15:30,53.95,54,53.72,53.83,123830
2016-04-07T17:30,53.84,53.89,53.72,53.85,391557
2016-04-08T13:30,54,54.29,53.72,54.18,178947
2016-04-08T15:30,54.18,54.47,54.11,54.34,121952
2016-04-08T17:30,54.32,54.39,53.94,54,288280
2016-04-11T13:30,54.04,54.41,53.93,53.97,196129
2016-04-11T15:30,53.98,54,53.87,53.97,201361
2016-04-11T17:30,53.97,54,53.73,53.76,289088
2016-04-12T13:30,53.96,54.07,53.75,54.06,189176
2016-04-12T15:30,54.07,54.13,53.93,53.96,136306
2016-04-12T17:30,53.97,54.14,53.91,54.05,329746
2016-04-13T13:30,54.24,54.28,53.39,53.54,189671
2016-04-13T15:30,53.55,53.69,53.45,53.69,238294
2016-04-13T17:30,53.69,53.82,53.6,53.78,301836
2016-04-14T13:30,53.74,53.94,53.49,53.57,179374
2016-04-14T15:30,53.59,53.73,53.49,53.59,145590
2016-04-14T17:30,53.6,53.6,53.45,53.54,409015
2016-04-15T13:30,53.74,54.06,53.47,53.81,256257
2016-04-15T15:30,53.81,54.17,53.78,54.15,213483
2016-04-15T17:30,54.14,54.15,54,54.06,269293
2016-04-18T13:30,54.06,54.06,53.69,53.92,190330
2016-04-18T15:30,53.92,54.01,53.71,53.91,87950
2016-04-18T17:30,53.92,54.19,53.92,54.15,417189
2016-04-19T13:30,54.15,54.35,53.99,54.09,168348
2016-04-19T15:30,54.09,54.32,54.06,54.28,71430
2016-04-19T17:30,54.28,54.33,54.15,54.32,220677
2016-04-20T13:30,54.3,54.48,53.64,53.92,151538
2016-04-20T15:30,53.89,53.99,53.66,53.68,89149
2016-04-20T17:30,53.69,53.71,52.74,52.81,375585
2016-04-21T13:30,52.66,52.76,51.81,51.93,397514
2016-04-21T15:30,51.92,51.95,51.65,51.68,241017
2016-04-21T17:30,51.67,51.85,51.43,51.62,390872
2016-04-22T13:30,51.9,52.32,51.88,52.05,243510
2016-04-22T15:30,52.08,52.12,51.74,51.74,137428
2016-04-22T17:30,51.75,52.09,51.7,52.05,260252
2016-04-25T13:30,51.99,52.19,51.79,52.01,144306
2016-04-25T15:30,52.01,52.12,51.91,52.09,97600
2016-04-25T17:30,52.09,52.35,51.93,52.34,487535
2016-04-26T13:30,52.29,52.81,51.85,52.41,280868
2016-04-26T15:30,52.4,52.6,52.18,52.29,213319
2016-04-26T17:30,52.28,52.33,52.12,52.22,312280
2016-04-27T13:30,52.46,53.06,52.07,52.95,316414
2016-04-27T15:30,52.95,53.03,52.7,52.7,174067
2016-04-27T17:30,52.7,53.41,52.38,53.06,349476
2016-04-28T13:30,52.46,53.19,52.39,53.18,219062
2016-04-28T15:30,53.17,53.41,53.15,53.29,178678
2016-04-28T17:30,53.29,53.47,53.21,53.42,284487
2016-04-29T13:30,53.12,53.62,52.77,53.57,279229
2016-04-29T15:30,53.56,53.6,53.4,53.43,351007
2016-04-29T17:30,53.44,54.19,53.21,54.09,783755
2016-05-02T13:30,54.05,54.51,53.86,54.51,396410
2016-05-02T15:30,54.5,54.9,54.42,54.85,282860
2016-05-02T17:30,54.85,54.9,54.54,54.68,614690
2016-05-03T13:30,54.63,54.93,54.31,54.51,394129
2016-05-03T15:30,54.49,54.53,54.18,54.28,140183
2016-05-03T17:30,54.28,54.51,54.17,54.43,306491
2016-05-04T13:30,54.31,55.33,54.31,55.31,248930
2016-05-04T15:30,55.31,55.79,55.31,55.63,278462
2016-05-04T17:30,55.65,55.65,55.31,55.33,460773
2016-05-05T13:30,55.18,56.01,55.18,55.39,442061
2016-05-05T15:30,55.42,55.68,55.11,55.11,119244
2016-05-05T17:30,55.11,55.37,55.04,55.27,293092
2016-05-06T13:30,55.26,55.26,54.4,54.43,193860
2016-05-06T15:30,54.48,54.55,54.34,54.44,557762
2016-05-06T17:30,54.45,54.72,54.43,54.63,487655
2016-05-09T13:30,54.74,54.9,54.49,54.63,470848
2016-05-09T15:30,54.62,54.82,54.62,54.74,239075
2016-05-09T17:30,54.74,54.88,54.66,54.8,384184
2016-05-10T13:30,54.99,55.08,54.63,54.82,256325
2016-05-10T15:30,54.82,54.88,54.65,54.79,203978
2016-05-10T17:30,54.79,54.94,54.74,54.77,285533
2016-05-11T13:30,54.85,55.1,54.45,54.54,171809
2016-05-11T15:30,54.52,54.72,54.4,54.71,132586
2016-05-11T17:30,54.71,55.05,54.68,55.02,404988
2016-05-12T13:30,55.09,55.55,54.75,55.43,164721
2016-05-12T15:30,55.43,55.56,55.28,55.55,95851
2016-05-12T17:30,55.54,55.54,55.28,55.4,287447
2016-05-13T13:30,55.39,55.46,54.83,55.34,120666
2016-05-13T15:30,55.36,55.36,55.11,55.15,68904
2016-05-13T17:30,55.15,55.2,54.94,55.12,192270
2016-05-16T13:30,55.03,55.23,54.7,55.08,104973
2016-05-16T15:30,55.07,55.07,54.87,55.03,59910
2016-05-16T17:30,55.03,55.17,54.97,55.13,238035
2016-05-17T13:30,54.97,55.06,54.28,54.38,222641
2016-05-17T15:30,54.37,54.41,54.08,54.12,152303
2016-05-17T17:30,54.12,54.18,53.81,54.06,308305
2016-05-18T13:30,53.71,54.1,53.23,54.1,248544
2016-05-18T15:30,54.07,54.41,53.98,54.41,163006
2016-05-18T17:30,54.39,54.4,52.99,53.21,436416
2016-05-19T13:30,53.02,53.56,52.67,53.31,170528
2016-05-19T15:30,53.3,53.49,53.12,53.43,102974
2016-05-19T17:30,53.44,53.8,53.38,53.78,319890
2016-05-20T13:30,53.98,53.98,53.46,53.83,157713
2016-05-20T15:30,53.83,53.9,53.72,53.79,92420
2016-05-20T17:30,53.78,53.89,53.57,53.81,411739
2016-05-23T13:30,53.81,53.87,53.61,53.7,81547
2016-05-23T15:30,53.71,53.71,53.48,53.54,75071
2016-05-23T17:30,53.55,53.56,53.2,53.24,255782
2016-05-24T13:30,53.45,53.8,53.39,53.73,171443
2016-05-24T15:30,53.73,53.89,53.69,53.83,171782
2016-05-24T17:30,53.83,54.21,53.78,54.12,300275
2016-05-25T13:30,54,54.06,53.61,53.95,254031
2016-05-25T15:30,53.94,54.02,53.69,53.88,144016
2016-05-25T17:30,53.88,53.9,53.7,53.8,308671
2016-05-26T13:30,53.84,54.36,53.65,54.27,113255
2016-05-26T15:30,54.24,54.45,54.23,54.31,133670
2016-05-26T17:30,54.31,54.54,54.28,54.45,301625
2016-05-27T13:30,54.49,54.64,54.26,54.52,115176
2016-05-27T15:30,54.54,54.75,54.52,54.68,100952
2016-05-27T17:30,54.68,54.74,54.45,54.72,272968
2016-05-31T13:30,54.63,55.06,54.5,54.76,180961
2016-05-31T15:30,54.75,54.76,54.58,54.64,104595
2016-05-31T17:30,54.66,55.07,54.51,55.02,418233
2016-06-01T13:30,54.97,55.29,54.86,55.08,199020
2016-06-01T15:30,55.08,55.16,54.99,55.1,125419
2016-06-01T17:30,55.1,55.29,55.06,55.28,309237
2016-06-02T13:30,55.16,55.27,54.62,54.74,118661
2016-06-02T15:30,54.74,54.97,54.74,54.96,71379
2016-06-02T17:30,54.97,55.27,54.95,55.27,251792
2016-06-03T13:30,55.82,56.37,55.78,56.27,175756
2016-06-03T15:30,56.26,56.41,56.25,56.39,115470
2016-06-03T17:30,56.4,56.59,56.28,56.33,292531
2016-06-06T13:30,56.32,56.51,56.09,56.2,148140
2016-06-06T15:30,56.2,56.2,55.9,56.15,176071
2016-06-06T17:30,56.16,56.33,56.11,56.16,216980
2016-06-07T13:30,56.3,56.58,56.21,56.52,120486
2016-06-07T15:30,56.53,56.56,56.39,56.47,121228
2016-06-07T17:30,56.47,56.48,56.13,56.24,236387
2016-06-08T13:30,56.3,56.42,56.04,56.38,123260
2016-06-08T15:30,56.39,56.54,56.36,56.44,100399
2016-06-08T17:30,56.43,56.7,56.43,56.65,312304
2016-06-09T13:30,56.66,56.97,56.64,56.64,388845
2016-06-09T15:30,56.65,57,56.65,57,122047
2016-06-09T17:30,57,57.17,56.9,57.07,353777
2016-06-10T13:30,57.02,57.3,56.8,57.01,146498
2016-06-10T15:30,57.06,57.1,56.89,56.94,190181
2016-06-10T17:30,56.94,57.06,56.74,56.98,294899
2016-06-13T13:30,57.03,57.25,56.85,57.13,169359
2016-06-13T15:30,57.13,57.24,57.07,57.09,142567
2016-06-13T17:30,57.08,57.11,56.88,56.94,407819
2016-06-14T13:30,56.98,57.38,56.68,57.34,166207
2016-06-14T15:30,57.35,57.53,57.25,57.48,214930
2016-06-14T17:30,57.48,57.65,57.2,57.62,568768
2016-06-15T13:30,57.65,57.65,56.81,57.01,244718
2016-06-15T15:30,57.01,57.02,56.76,56.79,105583
2016-06-15T17:30,56.79,57.29,56.79,57.04,389552
2016-06-16T13:30,56.73,57.49,56.73,57.48,248935
2016-06-16T15:30,57.49,57.57,57.25,57.33,145381
2016-06-16T17:30,57.34,57.57,57.27,57.45,475263
2016-06-17T13:30,57.64,57.64,57.07,57.16,357108
2016-06-17T15:30,57.18,57.54,57.08,57.54,115955
2016-06-17T17:30,57.53,57.78,57.4,57.71,393750
2016-06-20T13:30,57.65,57.78,56.92,57.21,272297
2016-06-20T15:30,57.21,57.49,57.19,57.37,145910
2016-06-20T17:30,57.38,57.61,57.38,57.43,228888
2016-06-21T13:30,57.42,57.75,57.08,57.67,186384
2016-06-21T15:30,57.68,57.85,57.64,57.74,108070
2016-06-21T17:30,57.74,57.77,57.49,57.49,210284
2016-06-22T13:30,57.64,57.64,57.25,57.31,112943
2016-06-22T15:30,57.31,57.38,57.23,57.33,91535
2016-06-22T17:30,57.34,57.4,57.22,57.32,385154
2016-06-23T13:30,57.42,57.42,57.06,57.31,166024
2016-06-23T15:30,57.33,57.35,57.07,57.13,112622
2016-06-23T17:30,57.13,57.53,57.04,57.49,383697
2016-06-24T13:30,57.14,58.64,57.08,58.54,445303
2016-06-24T15:30,58.52,58.91,58.49,58.9,323754
2016-06-24T17:30,58.91,59.02,58.11,58.4,835930
2016-06-27T13:30,58.31,58.74,58.31,58.45,395932
2016-06-27T15:30,58.45,59.05,58.41,59.03,401772
2016-06-27T17:30,59.02,59.28,58.85,58.99,586973
2016-06-28T13:30,59.19,59.19,58.34,58.8,422599
2016-06-28T15:30,58.8,59.25,58.79,59.04,277728
2016-06-28T17:30,59.02,59.23,58.94,59.18,489194
2016-06-29T13:30,59.4,59.66,59.15,59.24,226441
2016-06-29T15:30,59.26,59.35,59.16,59.25,145957
2016-06-29T17:30,59.25,59.43,59.18,59.38,347012
2016-06-30T13:30,59.48,60.2,59.35,59.98,316546
2016-06-30T15:30,59.98,60.31,59.95,60.18,289097
2016-06-30T17:30,60.17,60.61,60.09,60.61,551186
2016-07-01T13:30,60.81,61.14,60.09,60.56,374380
2016-07-01T15:30,60.55,60.61,60.37,60.45,149610
2016-07-01T17:30,60.45,60.77,60.39,60.69,541275
2016-07-05T13:30,60.77,61.23,60.7,60.96,311122
2016-07-05T15:30,60.97,61.18,60.97,61.13,198894
2016-07-05T17:30,61.12,61.3,61.04,61.19,384524
2016-07-06T13:30,61.23,61.42,60.74,60.94,345170
2016-07-06T15:30,60.92,61.11,60.92,60.96,192051
2016-07-06T17:30,60.97,61.23,60.9,61.12,384117
2016-07-07T13:30,60.96,61.16,60.11,60.14,279252
2016-07-07T15:30,60.16,60.45,60.09,60.11,126713
2016-07-07T17:30,60.11,60.2,59.89,60.04,294135
2016-07-08T13:30,59.85,60.36,59.32,60.07,275514
2016-07-08T15:30,60.07,60.22,59.99,60.18,156399
2016-07-08T17:30,60.18,60.64,60.15,60.61,313840
2016-07-11T13:30,60.38,60.43,59.71,60.36,136934
2016-07-11T15:30,60.37,60.55,60.29,60.45,83057
2016-07-11T17:30,60.45,60.55,60.39,60.5,212288
2016-07-12T13:30,60.01,60.33,59.51,59.93,217062
2016-07-12T15:30,59.9,60.01,59.84,59.94,135566
2016-07-12T17:30,59.95,60.06,59.7,59.73,299978
2016-07-13T13:30,60.03,60.21,59.84,60.08,250545
2016-07-13T15:30,60.09,60.1,59.88,59.94,156096
2016-07-13T17:30,59.95,60.05,59.87,59.98,470443
2016-07-14T13:30,59.73,59.91,59.43,59.52,297034
2016-07-14T15:30,59.51,59.52,59.23,59.31,224226
2016-07-14T17:30,59.31,59.45,59.3,59.36,573239
2016-07-15T13:30,59.44,59.8,59.38,59.62,411082
2016-07-15T15:30,59.62,59.62,59.37,59.49,184631
2016-07-15T17:30,59.48,59.78,59.45,59.7,314453
2016-07-18T13:30,59.84,60.17,59.79,59.95,157500
2016-07-18T15:30,59.95,60.01,59.86,59.94,121454
2016-07-18T17:30,59.94,60.03,59.87,59.9,238605
2016-07-19T13:30,60.17,60.17,59.67,59.81,124519
2016-07-19T15:30,59.81,59.91,59.69,59.75,154081
2016-07-19T17:30,59.75,59.96,59.74,59.93,219477
2016-07-20T13:30,59.92,60.1,59.52,59.66,101557
2016-07-20T15:30,59.65,59.76,59.57,59.61,55769
2016-07-20T17:30,59.62,59.74,59.6,59.65,160804
2016-07-21T13:30,59.46,59.73,59.29,59.72,169623
2016-07-21T15:30,59.7,59.75,59.62,59.73,97182
2016-07-21T17:30,59.73,60.22,59.73,60.14,360829
2016-07-22T13:30,60.1,60.74,60.03,60.72,171085
2016-07-22T15:30,60.72,60.94,60.64,60.92,245712
2016-07-22T17:30,60.92,60.96,60.67,60.78,476228
2016-07-25T13:30,60.61,60.78,60.25,60.34,313290
2016-07-25T15:30,60.35,60.39,60.26,60.35,253559
2016-07-25T17:30,60.37,60.55,60.32,60.42,589488
2016-07-26T13:30,60.64,60.71,59.93,60.08,309908
2016-07-26T15:30,60.08,60.08,59.89,59.89,233867
2016-07-26T17:30,59.89,60.08,59.85,59.92,607689
2016-07-27T13:30,59.94,59.99,59.44,59.64,382411
2016-07-27T15:30,59.64,59.67,59.43,59.44,164753
2016-07-27T17:30,59.45,59.9,59.05,59.46,647559
2016-07-28T13:30,59.48,59.73,59.28,59.49,643877
2016-07-28T15:30,59.49,59.52,59.32,59.48,236439
2016-07-28T17:30,59.48,59.52,59.32,59.36,864176
2016-07-29T13:30,59.32,59.73,59.32,59.55,783930
2016-07-29T15:30,59.55,59.72,59.52,59.59,661102
2016-07-29T17:30,59.59,59.7,59.51,59.63,777694
2016-08-01T13:30,59.54,59.91,59.46,59.68,327944
2016-08-01T15:30,59.68,59.89,59.67,59.83,328993
2016-08-01T17:30,59.82,60.08,59.79,60.03,834891
2016-08-02T13:30,60.03,60.19,59.69,60.07,633262
2016-08-02T15:30,60.08,60.13,59.83,60.07,209531
2016-08-02T17:30,60.07,60.11,59.92,59.99,482591
2016-08-03T13:30,59.93,60.06,59.27,59.4,226745
2016-08-03T15:30,59.4,59.45,59.08,59.11,135106
2016-08-03T17:30,59.11,59.15,58.85,59.11,370761
2016-08-04T13:30,59.11,59.6,59.02,59.6,178087
2016-08-04T15:30,59.59,59.71,59.29,59.34,102182
2016-08-04T17:30,59.32,59.32,59.13,59.26,221013
2016-08-05T13:30,59.11,59.14,58.22,58.41,295340
2016-08-05T15:30,58.41,58.48,58.24,58.27,166075
2016-08-05T17:30,58.27,58.3,58.03,58.12,351883
2016-08-08T13:30,58.23,58.67,57.85,58.47,149707
2016-08-08T15:30,58.48,58.5,58.11,58.15,187568
2016-08-08T17:30,58.17,58.27,58.08,58.12,344728
2016-08-09T13:30,58.2,58.56,57.95,58.36,205210
2016-08-09T15:30,58.36,58.45,58.34,58.41,113506
2016-08-09T17:30,58.41,58.42,58.19,58.28,217169
2016-08-10T13:30,58.45,58.57,58.12,58.28,155446
2016-08-10T15:30,58.28,58.46,58.28,58.38,98951
2016-08-10T17:30,58.37,58.46,58.3,58.44,263678
2016-08-11T13:30,58.48,58.53,58.25,58.52,118902
2016-08-11T15:30,58.52,58.57,58.47,58.52,149421
2016-08-11T17:30,58.51,58.66,58.48,58.63,331890
2016-08-12T13:30,58.78,59.29,58.78,59.21,182024
