date,open,high,low,close,volume
2016-01-04T14:30,74.67,76.22,73.53,73.53,11724
2016-01-04T16:30,73.52,74.44,73.52,73.96,6435
2016-01-04T18:30,73.86,74.84,73.86,74.83,32985
2016-01-05T14:30,74.76,75.36,74.31,74.43,20868
2016-01-05T16:30,74.47,75.04,74.4,74.49,11020
2016-01-05T18:30,74.36,74.77,74.26,74.32,28732
2016-01-06T14:30,73.89,74.43,73.89,74.32,16441
2016-01-06T16:30,74.47,74.47,74.17,74.43,2669
2016-01-06T18:30,74.54,74.59,74.31,74.41,18254
2016-01-07T14:30,73.64,74.52,73.12,74.36,6404
2016-01-07T16:30,74.06,74.3,73.73,73.73,7848
2016-01-07T18:30,73.67,73.92,73.45,73.51,10782
2016-01-08T14:30,74.03,74.74,73.89,74.11,16008
2016-01-08T16:30,74.13,74.13,73.61,73.8,7196
2016-01-08T18:30,73.88,73.97,72.67,72.71,19299
2016-01-11T14:30,72.95,73.43,72.92,73.1,15361
2016-01-11T16:30,73,73.37,72.71,72.71,13371
2016-01-11T18:30,72.88,72.98,72.22,72.61,20644
2016-01-12T14:30,72.87,73.2,72.31,72.68,23567
2016-01-12T16:30,72.38,72.8,72.35,72.78,2705
2016-01-12T18:30,72.7,73.51,72.64,73.25,18262
2016-01-13T14:30,73.52,73.72,73.32,73.58,5246
2016-01-13T16:30,73.57,73.6,72.85,72.85,5705
2016-01-13T18:30,72.59,72.61,71.96,72.07,26246
2016-01-14T14:30,72.3,73.09,72.17,72.55,7461
2016-01-14T16:30,72.46,73.48,72.41,73.3,32970
2016-01-14T18:30,73.35,74.05,73.02,73.29,38695
2016-01-15T14:30,72.19,72.67,71.6,72.18,22271
2016-01-15T16:30,72.01,72.18,71.48,71.62,12496
2016-01-15T18:30,71.6,72.67,71.55,72.54,23466
2016-01-19T14:30,73.47,74.79,73.2,73.61,27419
2016-01-19T16:30,73.71,73.89,72.97,73.37,12799
2016-01-19T18:30,73.53,73.93,72.82,73.75,42122
2016-01-20T14:30,73.18,73.42,72.32,72.38,28264
2016-01-20T16:30,72.44,72.68,71.52,71.9,14668
2016-01-20T18:30,71.73,73.01,71.56,72.19,26599
2016-01-21T14:30,71.97,72.64,71.69,71.87,38986
2016-01-21T16:30,71.88,72.68,71.82,72.5,4791
2016-01-21T18:30,72.42,72.71,72.14,72.41,21852
2016-01-22T14:30,73.15,73.81,72.94,73.52,6778
2016-01-22T16:30,73.79,74.05,73.71,73.97,1795
2016-01-22T18:30,73.97,74.23,73.67,74.21,14671
2016-01-25T14:30,74.07,74.54,73.4,73.43,8584
2016-01-25T16:30,73.56,73.97,73.4,73.83,13751
2016-01-25T18:30,73.74,73.82,72.75,73.14,25377
2016-01-26T14:30,73.29,74.86,73.22,74.72,5361
2016-01-26T16:30,74.48,74.63,74.12,74.5,2900
2016-01-26T18:30,74.52,74.52,73.84,74.15,14609
2016-01-27T14:30,74.24,74.65,73.76,74.02,9598
2016-01-27T16:30,73.88,74.42,73.88,74.3,4007
2016-01-27T18:30,74.32,74.45,73.29,73.72,10522
2016-01-28T14:30,74.11,74.65,73.81,73.98,7002
2016-01-28T16:30,73.94,74.34,73.5,74.13,6871
2016-01-28T18:30,74.16,74.54,74.01,74.37,16170
2016-01-29T14:30,74.82,75.18,74.73,75.04,5503
2016-01-29T16:30,75.3,75.47,74.91,75.47,21554
2016-01-29T18:30,75.49,76.39,75.4,76.01,19232
2016-02-01T14:30,76.15,76.6,75.38,76.25,13095
2016-02-01T16:30,76.29,76.29,75.88,75.92,3727
2016-02-01T18:30,75.91,76.71,75.61,76.18,14735
2016-02-02T14:30,76,76.05,74.74,75.09,10341
2016-02-02T16:30,75.3,76.01,75.17,75.72,5664
2016-02-02T18:30,75.78,75.91,75.44,75.77,15846
2016-02-03T14:30,76.18,76.53,75,75.04,15370
2016-02-03T16:30,75.08,75.47,74.81,75.34,4232
2016-02-03T18:30,75.3,76.18,74.96,75.72,25329
2016-02-04T14:30,75.84,76.2,75,75.08,20888
2016-02-04T16:30,74.93,75.56,74.84,75.13,4132
2016-02-04T18:30,75.07,75.72,74.72,75.61,14904
2016-02-05T14:30,75.46,76.05,74.58,74.92,12213
2016-02-05T16:30,74.96,75.52,74.76,75.15,4802
2016-02-05T18:30,75.15,75.79,75.12,75.53,23301
2016-02-08T14:30,74.85,75.74,74.48,75.27,18660
2016-02-08T16:30,74.89,75.99,74.89,75.99,3470
2016-02-08T18:30,75.99,76.68,75.66,76.68,21876
2016-02-09T14:30,76.13,76.46,75.71,76,5898
2016-02-09T16:30,76.02,76.56,75.88,76.31,16025
2016-02-09T18:30,76.33,77.05,76.14,76.41,24538
2016-02-10T14:30,76.83,77.58,76.79,77.48,7111
2016-02-10T16:30,77.1,77.55,76.94,77.35,13772
2016-02-10T18:30,77.4,77.4,76.1,76.45,24066
2016-02-11T14:30,75.65,75.72,74.85,75.08,7666
2016-02-11T16:30,75.21,75.77,75.05,75.6,5989
2016-02-11T18:30,75.72,75.82,75.11,75.15,16381
2016-02-12T14:30,75.8,76.89,75.4,76.89,9449
2016-02-12T16:30,76.85,76.91,76.19,76.45,7914
2016-02-12T18:30,76.41,76.9,76.29,76.88,21361
2016-02-16T14:30,77.21,78.31,76.81,76.83,10961
2016-02-16T16:30,76.82,78.13,76.81,77.92,10406
2016-02-16T18:30,77.92,77.96,77.47,77.74,16942
2016-02-17T14:30,77.99,78.25,77.49,77.69,36470
2016-02-17T16:30,77.72,77.95,77.59,77.66,12642
2016-02-17T18:30,77.61,77.66,77.15,77.28,17495
2016-02-18T14:30,77.5,78.08,76.94,77.49,6878
2016-02-18T16:30,77.46,77.91,77.32,77.65,6062
2016-02-18T18:30,77.73,78.08,77.62,77.72,25635
2016-02-19T14:30,77.71,78.37,77.28,77.95,16243
2016-02-19T16:30,77.66,77.74,77.05,77.61,14672
2016-02-19T18:30,77.68,77.85,77.47,77.55,25434
2016-02-22T14:30,78.03,78.03,77.53,77.63,2664
2016-02-22T16:30,77.7,78.08,77.66,77.66,4178
2016-02-22T18:30,77.76,78.03,77.12,77.57,26716
2016-02-23T14:30,77.53,78.25,77.53,78.1,25246
2016-02-23T16:30,77.94,79,77.88,78.96,6710
2016-02-23T18:30,78.87,79.04,78.44,78.65,34839
2016-02-24T14:30,78.18,78.61,77.87,78.46,6504
2016-02-24T16:30,78.46,78.79,78.4,78.57,5795
2016-02-24T18:30,78.57,79.35,78.4,79.31,16922
2016-02-25T14:30,79.19,79.68,79.19,79.67,8299
2016-02-25T16:30,79.55,79.88,79.54,79.83,15579
2016-02-25T18:30,79.63,79.68,79.36,79.58,14995
2016-02-26T14:30,78.5,78.55,75.31,75.35,33728
2016-02-26T16:30,75.41,76,73.88,74.51,21004
2016-02-26T18:30,74.58,75.27,74.24,74.66,54143
2016-02-29T14:30,74.5,74.88,73.55,74.68,12093
2016-02-29T16:30,74.8,75.57,74.6,74.6,11036
2016-02-29T18:30,74.66,74.92,74.3,74.44,53600
2016-03-01T14:30,74.58,75.89,74.1,75.84,12858
2016-03-01T16:30,75.95,76.67,75.57,76.67,23946
2016-03-01T18:30,76.63,76.63,75.75,76.49,34604
2016-03-02T14:30,76.15,76.33,75.15,75.36,22818
2016-03-02T16:30,75.26,76,75.25,75.53,11571
2016-03-02T18:30,75.69,75.74,75.18,75.69,20053
2016-03-03T14:30,75.71,75.98,75.07,75.78,28866
2016-03-03T16:30,75.79,76.29,75.39,76.15,14752
2016-03-03T18:30,76.22,76.6,75.84,76.22,21953
2016-03-04T14:30,76.47,76.69,75.04,75.46,22056
2016-03-04T16:30,75.46,76.04,74.8,75.93,17353
2016-03-04T18:30,75.93,76.47,75.83,76.26,16205
2016-03-07T14:30,75.5,75.5,72.73,73.01,63599
2016-03-07T16:30,72.94,73.11,70.53,71.36,85673
2016-03-07T18:30,71.33,71.57,70.99,70.99,89841
2016-03-08T14:30,70.95,72,70.95,71.3,27267
2016-03-08T16:30,71.16,72.25,71.01,71.7,23358
2016-03-08T18:30,71.78,72.32,71.38,71.92,68181
