date,open,high,low,close,volume
2018-06-05T13:30,40.04,40.22,39.1,39.71,1215730
2018-06-05T15:30,39.7,39.91,39.62,39.68,414562
2018-06-05T17:30,39.68,40.04,39.66,39.95,989777
2018-06-06T13:30,39.71,39.82,38.8,38.83,997078
2018-06-06T15:30,38.8,38.86,38.29,38.4,499723
2018-06-06T17:30,38.4,38.62,38.35,38.41,1507185
2018-06-07T13:30,38.22,38.6,38.02,38.29,605936
2018-06-07T15:30,38.28,38.6,38.18,38.36,575194
2018-06-07T17:30,38.35,38.62,38.14,38.16,1208516
2018-06-08T13:30,38.4,38.58,38.18,38.27,446960
2018-06-08T15:30,38.27,38.29,38.02,38.1,343893
2018-06-08T17:30,38.1,38.11,37.66,37.71,831796
2018-06-11T13:30,37.81,37.96,37.39,37.67,590136
2018-06-11T15:30,37.68,37.83,37.56,37.7,407804
2018-06-11T17:30,37.7,38.03,37.54,37.89,1244808
2018-06-12T13:30,38.08,38.54,37.82,38.08,664024
2018-06-12T15:30,38.08,38.43,37.91,38.13,391508
2018-06-12T17:30,38.13,38.47,38.13,38.39,1269256
2018-06-13T13:30,38.38,39.03,38.3,38.68,789819
2018-06-13T15:30,38.68,38.68,38.31,38.31,223519
2018-06-13T17:30,38.32,38.54,37.96,38.32,767905
2018-06-14T13:30,38.54,38.76,38.16,38.62,393124
2018-06-14T15:30,38.61,38.63,38.08,38.1,561936
2018-06-14T17:30,38.1,38.18,37.94,38.17,1161239
2018-06-15T13:30,38.25,39.06,37.95,38.48,1470376
2018-06-15T15:30,38.48,38.96,38.48,38.69,1135761
2018-06-15T17:30,38.7,38.93,38.6,38.77,2079919
2018-06-18T13:30,38.75,39.1,38.4,38.97,575650
2018-06-18T15:30,38.96,38.96,38.59,38.76,270603
2018-06-18T17:30,38.74,38.95,38.68,38.89,678448
2018-06-19T13:30,39.13,39.59,39.01,39.44,547011
2018-06-19T15:30,39.44,39.46,39.24,39.3,674879
2018-06-19T17:30,39.3,39.68,39.27,39.65,851554
2018-06-20T13:30,39.47,40.01,39.16,40.01,337430
2018-06-20T15:30,40.01,40.01,39.56,39.78,288818
2018-06-20T17:30,39.79,39.92,39.75,39.83,569246
2018-06-21T13:30,39.96,40.24,39.71,40.02,306905
2018-06-21T15:30,40.03,40.04,39.73,39.74,195632
2018-06-21T17:30,39.74,39.9,39.61,39.83,614604
2018-06-22T13:30,39.72,40.08,39.72,39.82,138164
2018-06-22T15:30,39.82,39.85,39.65,39.76,110706
2018-06-22T17:30,39.76,40.07,39.73,40,451611
2018-06-25T13:30,39.94,40.32,39.7,40.23,620453
2018-06-25T15:30,40.22,40.22,39.79,39.99,242699
2018-06-25T17:30,40,40.48,39.96,40.37,767015
2018-06-26T13:30,40.1,41.04,40.1,40.68,658506
2018-06-26T15:30,40.66,40.98,40.66,40.79,459412
2018-06-26T17:30,40.8,40.98,40.49,40.57,703522
2018-06-27T13:30,40.48,40.76,40.42,40.62,187270
2018-06-27T15:30,40.63,41.01,40.63,40.93,353161
2018-06-27T17:30,40.93,41.01,40.73,40.76,727549
2018-06-28T13:30,40.68,41.26,40.63,40.9,428773
2018-06-28T15:30,40.9,41.22,40.87,41.18,121976
2018-06-28T17:30,41.18,41.36,40.84,40.93,491272
2018-06-29T13:30,40.81,41.02,40.46,40.95,410430
2018-06-29T15:30,40.96,41.24,40.95,41.15,346419
2018-06-29T17:30,41.17,41.33,41.07,41.26,714360
2018-07-02T13:30,41.25,41.8,41.25,41.45,348486
2018-07-02T15:30,41.44,41.63,41.23,41.37,617738
2018-07-02T17:30,41.34,41.79,41.29,41.73,746326
2018-07-03T13:30,41.74,41.93,41.51,41.73,249197
