date,open,high,low,close,volume
2021-01-04T15:00,25.66,25.73,24.92,24.97,7460631
2021-01-04T17:00,24.96,25.5,24.63,25.3,6778754
2021-01-04T19:00,25.3,25.32,25.01,25.27,8432433
2021-01-05T15:00,25.59,26,25.48,25.88,6466863
2021-01-05T17:00,25.88,26.34,25.84,26.31,5102570
2021-01-05T19:00,26.31,26.6,26.26,26.4,9030171
2021-01-06T15:00,27.7,28.33,27.58,27.84,13408647
2021-01-06T17:00,27.84,28.4,27.82,28.24,7186568
2021-01-06T19:00,28.25,28.31,27.67,28.07,10844882
2021-01-07T15:00,29.3,29.58,28.53,28.56,8682699
2021-01-07T17:00,28.57,29.14,28.57,28.89,4965809
2021-01-07T19:00,28.89,29.13,28.61,29,6333396
2021-01-08T15:00,28.56,28.95,28.28,28.87,8016544
2021-01-08T17:00,28.87,29.02,28.17,28.31,5111924
2021-01-08T19:00,28.3,29.02,28.3,28.99,7135517
2021-01-11T15:00,27.76,28.24,27.68,28.22,6144558
2021-01-11T17:00,28.22,28.39,28.12,28.36,3093660
2021-01-11T19:00,28.35,28.43,28.14,28.23,4629814
2021-01-12T15:00,28.05,28.44,27.96,28.23,5771765
2021-01-12T17:00,28.24,28.49,28.03,28.48,4553438
2021-01-12T19:00,28.48,28.93,28.48,28.83,5862874
2021-01-13T15:00,28.62,29.07,28.48,28.53,4305455
2021-01-13T17:00,28.53,28.92,28.41,28.9,5167278
2021-01-13T19:00,28.9,29,28.37,28.44,6302236
2021-01-14T15:00,29.04,29.58,29.01,29.55,5695463
2021-01-14T17:00,29.56,30.19,29.45,30.01,5398604
2021-01-14T19:00,30,30.24,29.73,29.78,6899082
2021-01-15T15:00,28.99,28.99,27.99,28.56,7660401
2021-01-15T17:00,28.57,28.81,28.48,28.63,2321175
2021-01-15T19:00,28.63,28.64,28.14,28.26,5229064
2021-01-19T15:00,28.75,29.71,28.63,29.45,6710599
2021-01-19T17:00,29.45,29.46,29.13,29.36,3663699
2021-01-19T19:00,29.36,29.6,29.24,29.5,4223419
2021-01-20T15:00,29.93,29.99,29.29,29.4,4551461
2021-01-20T17:00,29.4,29.42,28.86,28.86,3886934
2021-01-20T19:00,28.87,29.17,28.77,28.82,5158849
2021-01-21T15:00,28.53,28.77,28.3,28.3,3541157
2021-01-21T17:00,28.3,28.43,28,28.07,4022288
2021-01-21T19:00,28.06,28.26,27.85,27.95,6284535
2021-01-22T15:00,27.84,28.28,27.72,28.04,5101225
2021-01-22T17:00,28.05,28.33,28.04,28.26,2738074
2021-01-22T19:00,28.25,28.52,28.12,28.37,4608537
2021-01-25T15:00,27.82,27.83,26.1,26.59,12265874
2021-01-25T17:00,26.59,26.72,26.23,26.62,5124718
2021-01-25T19:00,26.63,27.05,26.47,26.97,8019361
2021-01-26T15:00,25.87,26.35,24.94,25.02,11169750
2021-01-26T17:00,25.01,25.68,24.92,25.58,6727511
2021-01-26T19:00,25.58,25.64,25.08,25.14,7513741
2021-01-27T15:00,23.65,24.5,23.45,23.91,12710501
2021-01-27T17:00,23.91,24.37,23.85,24.32,5995174
