date,open,high,low,close,volume
2016-01-04T14:30,20.14,20.21,19.98,20.02,1182017
2016-01-04T16:30,20.02,20.13,20,20.11,1018565
2016-01-04T18:30,20.11,20.13,19.95,20.13,2023315
2016-01-05T14:30,20.21,20.21,19.77,19.93,1320132
2016-01-05T16:30,19.93,19.93,19.84,19.87,1462913
2016-01-05T18:30,19.87,20.15,19.86,20.14,2015115
2016-01-06T14:30,20.01,20.27,19.92,20.25,996961
2016-01-06T16:30,20.24,20.37,20.21,20.3,863964
2016-01-06T18:30,20.3,20.45,20.26,20.35,1680256
2016-01-07T14:30,20.14,20.3,20.07,20.1,1080015
2016-01-07T16:30,20.11,20.12,19.92,19.95,664674
2016-01-07T18:30,19.95,19.98,19.74,19.81,2053503
2016-01-08T14:30,19.82,20.09,19.79,20.06,1465262
2016-01-08T16:30,20.06,20.3,19.97,20.23,1060268
2016-01-08T18:30,20.23,20.27,20.13,20.18,1742349
2016-01-11T14:30,20.25,20.6,20.2,20.5,1813483
2016-01-11T16:30,20.5,20.57,20.46,20.52,1020045
2016-01-11T18:30,20.52,20.52,20.34,20.48,1819783
2016-01-12T14:30,20.57,20.63,20.18,20.4,1267411
2016-01-12T16:30,20.4,20.42,20.25,20.37,1346158
2016-01-12T18:30,20.37,20.6,20.34,20.55,2225294
2016-01-13T14:30,20.58,20.7,20.44,20.48,990597
2016-01-13T16:30,20.48,20.51,20.28,20.29,575024
2016-01-13T18:30,20.3,20.36,20.07,20.13,1916777
2016-01-14T14:30,20.2,20.51,20.02,20.4,1084521
2016-01-14T16:30,20.41,20.42,20.25,20.42,455033
2016-01-14T18:30,20.41,20.96,20.38,20.8,2731383
2016-01-15T14:30,20.53,20.75,20.37,20.54,1453028
2016-01-15T16:30,20.54,20.57,20.13,20.13,1229263
2016-01-15T18:30,20.13,20.39,20.06,20.33,2390658
2016-01-19T14:30,20.39,20.52,20.26,20.41,1035633
2016-01-19T16:30,20.41,20.48,20.29,20.31,559640
2016-01-19T18:30,20.32,20.82,20.27,20.77,2654906
2016-01-20T14:30,20.61,20.66,20.02,20.02,1327512
2016-01-20T16:30,20.02,20.06,19.6,19.71,1167040
2016-01-20T18:30,19.72,20.06,19.66,19.89,3086914
2016-01-21T14:30,19.9,19.98,19.56,19.86,1873452
2016-01-21T16:30,19.86,20.21,19.8,19.99,1076848
2016-01-21T18:30,19.99,20.05,19.8,19.99,2116850
2016-01-22T14:30,20.18,20.43,20.03,20.4,980487
2016-01-22T16:30,20.4,20.47,20.35,20.42,564757
2016-01-22T18:30,20.42,20.69,20.42,20.63,1674301
2016-01-25T14:30,20.62,20.65,20.34,20.5,1147596
2016-01-25T16:30,20.5,20.55,20.42,20.44,408958
2016-01-25T18:30,20.44,20.45,20.3,20.33,1152114
2016-01-26T14:30,20.36,20.78,20.32,20.34,935491
2016-01-26T16:30,20.34,20.45,20.3,20.36,672047
2016-01-26T18:30,20.36,20.5,20.3,20.5,1146221
2016-01-27T14:30,20.42,20.57,20.32,20.41,504273
2016-01-27T16:30,20.41,20.66,20.4,20.61,611828
2016-01-27T18:30,20.62,20.62,20.19,20.39,954708
2016-01-28T14:30,20.41,20.66,20.31,20.52,977799
2016-01-28T16:30,20.52,20.64,20.44,20.62,667876
2016-01-28T18:30,20.62,20.7,20.48,20.53,2019662
2016-01-29T14:30,20.71,21.03,20.67,20.94,848822
2016-01-29T16:30,20.94,21.07,20.92,21.06,719616
2016-01-29T18:30,21.06,21.15,20.99,21.12,1882108
2016-02-01T14:30,21.08,21.22,21.02,21.15,1043867
2016-02-01T16:30,21.15,21.26,21.08,21.08,1015669
2016-02-01T18:30,21.08,21.21,21.05,21.12,1746465
2016-02-02T14:30,20.89,21.16,20.83,21.16,958423
2016-02-02T16:30,21.15,21.16,20.91,21.01,785062
2016-02-02T18:30,21.01,21.15,20.95,21.06,2816077
2016-02-03T14:30,21.2,21.47,21.07,21.45,1809378
2016-02-03T16:30,21.45,21.5,21.3,21.5,1375326
2016-02-03T18:30,21.49,21.78,21.37,21.65,2383403
2016-02-04T14:30,21.67,21.68,21.47,21.53,1083984
2016-02-04T16:30,21.54,21.64,21.47,21.63,654120
2016-02-04T18:30,21.63,21.71,21.45,21.48,1767135
2016-02-05T14:30,21.37,22.03,21.26,21.99,1484128
2016-02-05T16:30,21.99,22.1,21.92,22.04,1063513
2016-02-05T18:30,22.04,22.04,21.76,21.76,2769150
2016-02-08T14:30,21.65,21.89,21.13,21.14,1189158
2016-02-08T16:30,21.14,21.37,21.11,21.36,1062919
2016-02-08T18:30,21.37,21.46,21.23,21.45,2657929
2016-02-09T14:30,21.34,21.63,21.14,21.37,937113
2016-02-09T16:30,21.37,21.58,21.36,21.49,567672
2016-02-09T18:30,21.5,21.64,21.47,21.52,1200287
2016-02-10T14:30,21.43,21.63,21.23,21.46,905807
2016-02-10T16:30,21.45,21.74,21.44,21.72,732072
2016-02-10T18:30,21.72,21.83,21.7,21.72,1062702
2016-02-11T14:30,21.52,21.68,21.29,21.43,675814
2016-02-11T16:30,21.43,21.44,21.14,21.17,475728
2016-02-11T18:30,21.17,21.28,21.03,21.19,1501462
2016-02-12T14:30,21.22,21.39,21.01,21.21,727185
2016-02-12T16:30,21.21,21.28,21.12,21.25,584628
2016-02-12T18:30,21.25,21.32,21.17,21.23,1512680
2016-02-16T14:30,21.37,21.54,21.18,21.54,778655
2016-02-16T16:30,21.54,21.58,21.47,21.48,642808
2016-02-16T18:30,21.48,21.62,21.33,21.61,1762482
2016-02-17T14:30,21.45,21.54,20.84,21.21,1877732
2016-02-17T16:30,21.21,21.23,20.99,21.08,1083468
2016-02-17T18:30,21.08,21.1,20.78,20.84,2268292
2016-02-18T14:30,21,21.82,20.91,21.79,2659421
2016-02-18T16:30,21.79,22.02,21.71,21.88,1063937
2016-02-18T18:30,21.89,22.05,21.85,21.92,2545363
2016-02-19T14:30,21.85,21.85,21.32,21.37,1601817
2016-02-19T16:30,21.37,21.48,21.34,21.42,926257
2016-02-19T18:30,21.43,21.43,21.19,21.3,2405508
2016-02-22T14:30,21.41,21.59,21.27,21.46,1017653
2016-02-22T16:30,21.46,21.48,21.41,21.44,465520
2016-02-22T18:30,21.44,21.53,21.43,21.53,1257896
2016-02-23T14:30,21.52,21.7,21.43,21.56,918079
2016-02-23T16:30,21.56,21.58,21.39,21.49,515042
2016-02-23T18:30,21.5,21.5,21.27,21.35,1806617
2016-02-24T14:30,21.32,21.43,20.99,21.01,1342671
2016-02-24T16:30,21.01,21.12,20.93,20.96,946862
2016-02-24T18:30,20.96,21.25,20.96,21.12,2325005
2016-02-25T14:30,21.27,21.56,21.17,21.54,1338074
2016-02-25T16:30,21.54,21.88,21.54,21.83,932057
2016-02-25T18:30,21.83,21.96,21.79,21.93,1958450
2016-02-26T14:30,21.92,22,21.36,21.43,1069150
2016-02-26T16:30,21.44,21.46,21.22,21.22,761091
2016-02-26T18:30,21.23,21.26,21.09,21.2,2507806
2016-02-29T14:30,21.2,21.68,21.09,21.68,908402
2016-02-29T16:30,21.68,21.77,21.66,21.71,504904
2016-02-29T18:30,21.7,21.78,21.59,21.62,1455365
2016-03-01T14:30,21.69,21.79,21.54,21.59,831582
2016-03-01T16:30,21.58,21.62,21.49,21.62,687104
2016-03-01T18:30,21.62,21.83,21.54,21.59,1885025
2016-03-02T14:30,21.51,21.61,21.04,21.61,850216
2016-03-02T16:30,21.6,21.72,21.52,21.71,490232
2016-03-02T18:30,21.71,21.79,21.65,21.78,962979
2016-03-03T14:30,21.74,22.01,21.54,21.99,791717
2016-03-03T16:30,22,22.05,21.79,21.84,431300
2016-03-03T18:30,21.84,21.96,21.78,21.94,1039066
2016-03-04T14:30,21.79,22.14,21.66,22.14,701494
2016-03-04T16:30,22.14,22.34,22.07,22.34,527835
2016-03-04T18:30,22.34,22.44,22.27,22.32,1317307
2016-03-07T14:30,22.24,22.59,22.18,22.57,573000
2016-03-07T16:30,22.56,22.63,22.47,22.48,483717
2016-03-07T18:30,22.48,22.7,22.48,22.67,1305024
2016-03-08T14:30,22.69,22.93,22.42,22.93,830035
2016-03-08T16:30,22.93,23.11,22.89,22.91,1085377
2016-03-08T18:30,22.91,23.03,22.85,22.98,1400725
2016-03-09T14:30,22.94,23.28,22.93,23.25,1079764
2016-03-09T16:30,23.25,23.55,23.07,23.13,1239651
2016-03-09T18:30,23.13,23.18,23.05,23.12,1604195
2016-03-10T14:30,23.05,23.4,23,23.25,1535644
2016-03-10T16:30,23.24,23.34,23.16,23.34,918318
2016-03-10T18:30,23.34,23.37,23.16,23.23,1168615
2016-03-11T14:30,23.31,23.49,23.16,23.26,1133540
2016-03-11T16:30,23.26,23.3,23.17,23.2,526749
2016-03-11T18:30,23.2,23.2,23.05,23.06,1537633
2016-03-14T13:30,23.05,23.1,22.91,22.96,762049
2016-03-14T15:30,22.95,23.02,22.9,22.98,463987
2016-03-14T17:30,22.98,23.02,22.89,22.98,1024265
2016-03-15T13:30,22.94,23.06,22.77,22.84,706572
2016-03-15T15:30,22.84,23.05,22.79,23,737579
2016-03-15T17:30,23.01,23.05,22.94,22.98,1191201
2016-03-16T13:30,22.88,22.98,22.75,22.95,493947
2016-03-16T15:30,22.95,23.05,22.95,22.96,386380
2016-03-16T17:30,22.96,23.36,22.94,23.19,2689298
2016-03-17T13:30,23.28,23.36,23.15,23.32,771155
2016-03-17T15:30,23.33,23.37,23.31,23.33,414438
2016-03-17T17:30,23.33,23.48,23.32,23.38,1159983
2016-03-18T13:30,23.36,23.38,23.15,23.18,2495456
2016-03-18T15:30,23.18,23.22,23.14,23.18,564663
2016-03-18T17:30,23.18,23.26,23.09,23.11,1150773
2016-03-21T13:30,23.08,23.23,22.87,23.23,800985
2016-03-21T15:30,23.23,23.3,23.07,23.16,891379
2016-03-21T17:30,23.16,23.27,23.15,23.16,1126807
2016-03-22T13:30,23.18,23.37,23,23.27,881293
2016-03-22T15:30,23.27,23.3,23.22,23.26,632856
2016-03-22T17:30,23.27,23.28,23.03,23.1,1242176
2016-03-23T13:30,23.08,23.28,22.94,23.19,576707
2016-03-23T15:30,23.19,23.29,23.19,23.2,552603
2016-03-23T17:30,23.2,23.3,23.2,23.25,1505081
2016-03-24T13:30,23.16,23.31,23.11,23.24,640098
2016-03-24T15:30,23.24,23.34,23.24,23.33,581894
2016-03-24T17:30,23.33,23.42,23.31,23.36,1474008
2016-03-28T13:30,23.36,23.48,23.04,23.07,480263
2016-03-28T15:30,23.07,23.16,23.05,23.1,393403
2016-03-28T17:30,23.1,23.16,23.07,23.09,1031906
2016-03-29T13:30,23.14,23.19,23.02,23.11,953252
2016-03-29T15:30,23.11,23.33,23.03,23.31,1200713
2016-03-29T17:30,23.31,23.5,23.25,23.48,1685664
2016-03-30T13:30,23.56,23.6,23.22,23.29,1420929
2016-03-30T15:30,23.29,23.32,23.2,23.25,1395364
2016-03-30T17:30,23.24,23.25,23.1,23.13,2377550
2016-03-31T13:30,23.22,23.36,23.18,23.31,1195570
2016-03-31T15:30,23.31,23.31,23.14,23.24,734592
2016-03-31T17:30,23.24,23.59,22.94,23.24,4770258
2016-04-01T13:30,23.24,23.44,23.15,23.18,1666047
2016-04-01T15:30,23.19,23.25,23.03,23.25,1222441
2016-04-01T17:30,23.24,23.43,23.22,23.27,3070411
2016-04-04T13:30,23.25,23.34,23.14,23.25,909999
