date,open,high,low,close,volume
2024-05-09T13:30,46.31,46.35,36.47,37.55,17212
2024-05-09T15:30,38.93,43.19,38.93,41.06,6747
2024-05-09T17:30,41.06,43.19,37.43,38.27,43633
2024-05-10T13:30,37.43,37.43,36.47,36.47,1111
2024-05-10T15:30,36,36.23,35.99,36.23,1705
2024-05-10T17:30,36.23,36.23,35.51,35.51,23076
2024-05-13T13:30,36.47,36.66,36.35,36.37,1621
2024-05-13T15:30,36.37,36.45,36.35,36.35,3513
2024-05-13T17:30,36.45,37.06,36.28,36.37,2575
2024-05-14T13:30,38.39,38.39,37.39,38.15,3029
2024-05-14T15:30,38.01,39.37,38.01,39.3,765
2024-05-14T17:30,38.82,38.87,38.39,38.77,1908
2024-05-15T13:30,39.25,39.55,38.78,39.35,29232
2024-05-15T15:30,39.68,40.75,38.95,40.63,83503
2024-05-15T17:30,40.36,40.36,39.63,39.85,13488
2024-05-16T13:30,39.39,39.55,38.56,38.77,6046
2024-05-16T15:30,38.77,39.05,38.76,38.97,3151
2024-05-16T17:30,39.04,39.04,38.68,38.68,2278
2024-05-17T13:30,38.74,39.16,38.74,39.16,808
2024-05-17T15:30,38.92,39.06,38.91,39.06,952
2024-05-17T17:30,39.06,39.75,38.77,38.83,4695
2024-05-20T15:30,38.28,39.23,38.28,39.19,906
2024-05-20T17:30,38.87,38.87,38.27,38.63,1183
2024-05-21T13:30,39.16,39.16,38.27,38.76,29743
2024-05-21T15:30,38.27,39.53,38.27,38.85,16671
2024-05-21T17:30,38.85,39.43,38.66,39.43,28369
2024-05-22T13:30,39.04,39.04,38.28,38.3,4354
2024-05-22T15:30,38.44,38.81,38.44,38.66,5968
2024-05-22T17:30,38.79,38.79,38.59,38.66,15660
2024-05-23T13:30,38.79,39.41,38.19,38.87,32818
2024-05-23T15:30,38.85,39.01,38.71,39.01,443
2024-05-23T17:30,38.66,38.66,38.5,38.66,21199
2024-05-24T13:30,38.41,38.55,37.94,38.52,14508
2024-05-24T15:30,38.55,39.02,38.39,39,4883
2024-05-24T17:30,38.98,40.3,38.52,38.58,15731
2024-05-28T13:30,38.4,38.62,38.39,38.62,530
2024-05-28T15:30,38.52,38.93,38.42,38.76,2126
2024-05-28T17:30,38.65,38.66,38.28,38.28,826
2024-05-29T13:30,38.27,38.27,38.05,38.05,1277
2024-05-29T15:30,37.89,38.04,37.89,38.04,1844
2024-05-29T17:30,37.89,38.27,37.89,38.27,3340
2024-05-30T13:30,38.37,38.37,38.37,38.37,180
2024-05-30T15:30,38.34,39.08,38.34,38.56,2055
2024-05-30T17:30,38.95,38.99,38.66,38.79,4828
2024-05-31T13:30,38.53,38.53,38.12,38.13,756
2024-05-31T15:30,38.4,38.8,38.4,38.79,663
2024-05-31T17:30,38.74,39.14,38.74,39.14,1133
2024-06-03T13:30,38.15,38.66,37.93,38.66,550
2024-06-03T17:30,38.95,39.53,38.51,39.01,5903
2024-06-04T13:30,38.1,38.53,38.1,38.49,3330
2024-06-04T15:30,38.37,38.74,38.37,38.74,798
2024-06-04T17:30,38.71,38.75,38.35,38.36,3418
2024-06-05T13:30,38.37,38.37,38.37,38.37,214
