date,open,high,low,close,volume
2016-01-04T14:30,95.6,95.99,94.7204,95.54,296570
2016-01-04T16:30,95.53,97.32,95.455,97.16,338360
2016-01-04T18:30,97.14,97.7,96.6,96.86,961464
2016-01-05T14:30,95.66,96.52,95.5,96.14,454165
2016-01-05T16:30,96.15,96.32,95.72,95.93,306403
2016-01-05T18:30,95.93,96.7,95.89,96.53,361781
2016-01-06T14:30,95.42,96.42,95.11,96.26,226222
2016-01-06T16:30,96.18,96.28,95.56,95.74,140907
2016-01-06T18:30,95.7,95.75,94.63,95.04,565928
2016-01-07T14:30,93.68,94.5,93.2,93.7,269640
2016-01-07T16:30,93.75,93.88,91.37,91.595,381199
2016-01-07T18:30,91.57,92.61,90.81,91.83,815173
2016-01-08T14:30,93.11,93.71,91.23,91.52,386994
2016-01-08T16:30,91.45,92.622,91.45,92.28,160471
2016-01-08T18:30,92.3,93.01,91.99,92.13,586481
2016-01-11T14:30,91.79,92.83,91.011,92.57,454084
2016-01-11T16:30,92.58,93.11,92.22,92.39,238240
2016-01-11T18:30,92.355,94.395,92.25,93.54,937272
2016-01-12T14:30,93.19,93.74,92.13,92.21,710846
2016-01-12T16:30,92.16,92.7,91.5,91.56,265649
2016-01-12T18:30,91.52,92.96,91.45,92.61,502595
2016-01-13T14:30,92.79,93.56,92.13,93.13,403610
2016-01-13T16:30,93.12,93.71,92.6,92.77,308554
2016-01-13T18:30,92.8,94.24,92.4,94,932048
2016-01-14T14:30,93.08,96.21,91.992,94.305,748296
2016-01-14T16:30,94.32,95.42,94.1,95.15,334943
2016-01-14T18:30,95.2,95.23,94.04,94.16,831257
2016-01-15T14:30,91.33,92.54,91,92.235,468372
2016-01-15T16:30,92.28,92.67,91.73,92.23,452763
2016-01-15T18:30,92.18,94.12,91.91,93.51,1284806
2016-01-19T14:30,94.51,94.98,92.3845,94.57,568971
2016-01-19T16:30,94.61,94.75,93.64,93.69,387109
2016-01-19T18:30,93.73,93.99,92.55,93.5,749595
2016-01-20T14:30,92.01,92.445,89.91,90.14,750265
2016-01-20T16:30,90.15,90.55,88.81,89.39,649250
2016-01-20T18:30,89.38,90.5,88.745,90.02,1620195
