date,open,high,low,close,volume
2016-01-04T14:30,45.05,45.49,44.09,44.41,1120926
2016-01-04T16:30,44.39,44.65,44.35,44.55,572234
2016-01-04T18:30,44.55,44.76,44.27,44.75,1238958
2016-01-05T14:30,44.71,45.12,44.64,44.85,626212
2016-01-05T16:30,44.85,44.99,44.68,44.8,398982
2016-01-05T18:30,44.79,45.05,44.79,44.96,1022776
2016-01-06T14:30,44.28,44.79,44.09,44.69,522866
2016-01-06T16:30,44.7,44.79,44.59,44.65,421432
2016-01-06T18:30,44.64,44.8,44.48,44.62,939006
2016-01-07T14:30,43.21,44.37,42.82,44.25,859638
2016-01-07T16:30,44.25,44.33,43.83,43.98,621538
2016-01-07T18:30,43.97,44.34,43.88,44.11,1790904
2016-01-08T14:30,44.12,44.38,43.55,44.06,876392
2016-01-08T16:30,44.06,44.51,43.96,44.34,590726
2016-01-08T18:30,44.34,44.49,43.75,43.77,1165866
2016-01-11T14:30,43.93,44.18,43.77,43.95,813952
2016-01-11T16:30,43.95,44.17,43.79,43.79,467076
2016-01-11T18:30,43.77,44.16,43.64,43.97,1295496
2016-01-12T14:30,44.04,44.41,43.85,44.23,560674
2016-01-12T16:30,44.22,44.37,44.1,44.18,327492
2016-01-12T18:30,44.18,44.74,44.1,44.64,1083190
2016-01-13T14:30,44.77,44.78,44.45,44.49,490148
2016-01-13T16:30,44.48,44.55,43.98,44,258034
2016-01-13T18:30,43.95,44.02,43.34,43.42,1104006
2016-01-14T14:30,43.59,44.41,43.4,44.25,805740
2016-01-14T16:30,44.27,44.73,44.19,44.72,690080
2016-01-14T18:30,44.72,44.92,44.47,44.51,1170454
2016-01-15T14:30,43.11,43.98,43.01,43.77,996476
2016-01-15T16:30,43.73,43.82,43.2,43.32,428346
2016-01-15T18:30,43.3,43.84,43.18,43.67,983356
2016-01-19T14:30,43.97,44.41,43.89,44.15,813824
2016-01-19T16:30,44.16,44.39,44.05,44.19,439110
2016-01-19T18:30,44.21,44.73,44.01,44.52,1831946
2016-01-20T14:30,43.83,44.3,43.55,43.73,1371702
2016-01-20T16:30,43.74,43.92,43.17,43.51,666218
2016-01-20T18:30,43.51,44.82,43.5,44.48,1869196
2016-01-21T14:30,44.7,45.09,44.29,44.9,698326
2016-01-21T16:30,44.91,45.26,44.88,44.96,548974
2016-01-21T18:30,44.97,45.14,44.72,44.82,1253678
2016-01-22T14:30,45.49,45.93,45.09,45.75,564190
2016-01-22T16:30,45.75,45.84,45.69,45.74,292436
