date,open,high,low,close,volume
2016-01-04T14:30,29.28,29.51,28.43,28.57,221973
2016-01-04T16:30,28.585,29,28.585,28.96,108514
2016-01-04T18:30,28.95,29.43,28.91,28.91,385656
2016-01-05T14:30,29.03,29.03,28.37,28.61,153349
2016-01-05T16:30,28.61,28.73,28.34,28.4925,158847
2016-01-05T18:30,28.48,28.77,28.46,28.64,280731
2016-01-06T14:30,28.2,28.89,28.13,28.72,154885
2016-01-06T16:30,28.74,28.79,28.42,28.51,210886
2016-01-06T18:30,28.51,28.695,28.39,28.58,248747
2016-01-07T14:30,28,28.3,27.79,28.22,216083
2016-01-07T16:30,28.22,28.29,28.068,28.1,125039
2016-01-07T18:30,28.0799,28.09,27.85,28.05,485120
2016-01-08T14:30,28.25,28.5275,27.85,28.015,328495
2016-01-08T16:30,28.01,28.15,27.98,28.05,253291
2016-01-08T18:30,28.06,28.25,27.95,28,540312
2016-01-11T14:30,28.19,28.61,28.1,28.49,396560
2016-01-11T16:30,28.47,28.73,28.44,28.6,351012
2016-01-11T18:30,28.59,29.28,28.4605,29.04,663689
2016-01-12T14:30,29.24,30.14,29.24,29.93,352598
2016-01-12T16:30,29.925,30.12,29.61,29.61,471080
2016-01-12T18:30,29.6,30.23,29.43,30.2,833164
2016-01-13T14:30,30.26,30.71,29.91,29.91,250211
2016-01-13T16:30,29.89,30.01,29.22,29.22,172482
2016-01-13T18:30,29.24,29.31,28.67,28.75,501517
2016-01-14T14:30,28.93,28.93,28.04,28.33,153794
2016-01-14T16:30,28.3,28.36,28.1,28.31,110769
2016-01-14T18:30,28.31,28.38,27.99,28.01,506299
2016-01-15T14:30,27.25,27.67,27.24,27.395,332438
2016-01-15T16:30,27.38,27.4199,26.89,27.105,340034
2016-01-15T18:30,27.1,27.8,27.08,27.34,615977
2016-01-19T14:30,27.71,27.74,26.78,27.044,250809
2016-01-19T16:30,27,27.67,26.97,27.61,410682
2016-01-19T18:30,27.6,27.7,26.84,27.27,407743
2016-01-20T14:30,26.8,27.01,26.29,27.01,315201
2016-01-20T16:30,27.02,27.52,26.83,27.43,253739
2016-01-20T18:30,27.43,28.68,27.41,28.56,468763
2016-01-21T14:30,28.74,29.6887,28.44,29.29,266556
2016-01-21T16:30,29.31,29.58,29.11,29.27,245612
2016-01-21T18:30,29.26,29.48,28.82,29.16,503970
2016-01-22T14:30,29.89,30.69,29.78,30.34,718492
2016-01-22T16:30,30.33,30.35,29.89,29.955,376418
2016-01-22T18:30,29.97,30.58,29.78,30.57,562952
2016-01-25T14:30,30,30.15,28.02,28.42,486208
2016-01-25T16:30,28.38,28.39,27.63,27.88,355120
2016-01-25T18:30,27.88,27.89,27.105,27.26,683665
2016-01-26T14:30,27.53,28.06,27.4801,27.83,354761
2016-01-26T16:30,27.83,28.03,27.695,27.89,145568
2016-01-26T18:30,27.89,27.94,27.78,27.89,285519
2016-01-27T14:30,27.81,28.25,27.65,28.14,117502
2016-01-27T16:30,28.1397,28.36,28.03,28.03,93329
2016-01-27T18:30,28.03,28.39,27.79,27.99,284738
2016-01-28T14:30,28.42,28.56,27.8,27.83,313419
2016-01-28T16:30,27.8,28.06,27.635,27.96,133607
2016-01-28T18:30,27.96,27.97,27.66,27.76,237739
2016-01-29T14:30,27.94,28.32,27.69,28,148439
2016-01-29T16:30,28.01,28.3,27.8915,28.25,276968
2016-01-29T18:30,28.25,28.42,28.05,28.42,427205
2016-02-01T14:30,28.25,29.12,27.96,28.91,320408
2016-02-01T16:30,28.92,29.03,28.72,29.03,104965
2016-02-01T18:30,29.02,29.63,28.85,29.39,283945
2016-02-02T14:30,28.92,29.045,28.36,28.64,91097
2016-02-02T16:30,28.64,28.87,28.454,28.68,77466
2016-02-02T18:30,28.66,28.66,28.16,28.26,208776
2016-02-03T14:30,28.47,28.47,27.2789,27.75,66405
2016-02-03T16:30,27.74,28.07,27.66,27.96,81035
2016-02-03T18:30,27.92,28.45,27.75,28.43,198053
2016-02-04T14:30,28.43,29.06,28.31,28.79,121820
2016-02-04T16:30,28.76,28.98,28.6,28.92,81108
2016-02-04T18:30,28.93,29.23,28.59,29.12,255780
2016-02-05T14:30,28.96,29.04,28.52,28.63,197937
2016-02-05T16:30,28.63,29.13,28.58,28.94,139259
2016-02-05T18:30,28.91,28.94,28.67,28.76,348244
2016-02-08T14:30,28.4,28.4,28.08,28.34,218056
2016-02-08T16:30,28.32,28.8,28.26,28.7,198377
2016-02-08T18:30,28.7,29.02,28.54,28.94,296543
2016-02-09T14:30,28.46,28.51,27.86,28.07,154173
2016-02-09T16:30,28.075,28.24,27.8,27.98,122142
2016-02-09T18:30,28,28.33,27.8699,27.93,404241
2016-02-10T14:30,28.02,28.59,27.79,28.015,91946
2016-02-10T16:30,28.005,28.38,27.89,28.25,94739
2016-02-10T18:30,28.25,28.25,27.825,27.97,392062
2016-02-11T14:30,27.31,28.13,27.14,27.95,158081
2016-02-11T16:30,27.92,28.21,27.87,28.04,103535
2016-02-11T18:30,28.02,28.45,27.76,28.27,250047
2016-02-12T14:30,28.43,28.55,27.63,28.34,259754
2016-02-12T16:30,28.33,28.43,27.83,27.91,264696
2016-02-12T18:30,27.9,27.99,27.78,27.9,562725
2016-02-16T14:30,30.95,31.9,29.344,31.36,1190603
2016-02-16T16:30,31.39,32.47,31.39,32.09,736118
2016-02-16T18:30,32.09,32.82,31.68,32.75,1336725
2016-02-17T14:30,33.39,35,33.02,33.87,770501
2016-02-17T16:30,33.84,33.88,31.98,32.34,569581
2016-02-17T18:30,32.32,32.76,31.92,32.67,830500
2016-02-18T14:30,32.48,33.13,32.38,32.66,404313
2016-02-18T16:30,32.69,33.11,32.5892,33.04,196567
2016-02-18T18:30,33.04,34.07,32.98,33.99,486296
2016-02-19T14:30,33.78,34.09,32.74,34.07,267571
2016-02-19T16:30,34.08,34.5,33.91,33.92,206713
2016-02-19T18:30,33.92,34.14,33.88,34.06,355752
2016-02-22T14:30,34.42,34.88,34.17,34.58,295407
2016-02-22T16:30,34.58,34.6,34.3225,34.36,175402
2016-02-22T18:30,34.38,34.43,33.9,34.11,312139
2016-02-23T14:30,34.11,34.47,34.05,34.19,257318
2016-02-23T16:30,34.21,34.32,33.89,34.23,265179
2016-02-23T18:30,34.24,34.67,34.19,34.64,354283
2016-02-24T14:30,34.23,34.33,33.72,33.9,220125
2016-02-24T16:30,33.9,34.47,33.89,34.16,173354
2016-02-24T18:30,34.16,34.68,34,34.62,381518
2016-02-25T14:30,34.73,34.98,34.07,34.26,220908
2016-02-25T16:30,34.26,34.33,33.77,34,223739
2016-02-25T18:30,34,34.13,33.9,34.1126,391254
2016-02-26T14:30,34.22,34.6,34.11,34.36,220595
2016-02-26T16:30,34.34,34.95,34.24,34.73,196763
2016-02-26T18:30,34.74,34.87,34.51,34.83,264361
2016-02-29T14:30,34.9,35.32,34.77,35.12,179028
2016-02-29T16:30,35.13,35.27,34.34,34.82,364758
2016-02-29T18:30,34.81,34.92,34.58,34.74,265901
2016-03-01T14:30,35.08,35.48,34.53,35.42,101202
2016-03-01T16:30,35.41,35.41,34.99,35.19,174289
2016-03-01T18:30,35.19,35.2701,34.93,34.97,361069
2016-03-02T14:30,34.85,35.03,34.22,34.76,133150
2016-03-02T16:30,34.77,34.9,34.64,34.645,93290
2016-03-02T18:30,34.645,34.69,34.46,34.61,337142
2016-03-03T14:30,34.68,34.87,34.46,34.5,182210
2016-03-03T16:30,34.5,35.08,34.361,34.99,179203
2016-03-03T18:30,35,35.42,35,35.325,185595
2016-03-04T14:30,35.2,35.25,34.58,35.19,128163
2016-03-04T16:30,35.22,35.36,34.98,35.11,92619
2016-03-04T18:30,35.11,35.17,34.65,34.92,235680
2016-03-07T14:30,34.74,35.51,34.74,35.35,190699
2016-03-07T16:30,35.36,35.94,35.35,35.43,163764
2016-03-07T18:30,35.44,35.99,35.37,35.95,417820
2016-03-08T14:30,35.6,35.75,34.98,35.22,84057
2016-03-08T16:30,35.19,35.56,35.14,35.4,77156
2016-03-08T18:30,35.385,35.54,35.02,35.08,131539
2016-03-09T14:30,35.17,35.67,34.83,35.57,112096
2016-03-09T16:30,35.59,35.59,34.945,34.99,85472
2016-03-09T18:30,35.01,35.0623,34.81,34.93,201017
2016-03-10T14:30,35,35.17,34.5,34.55,99313
2016-03-10T16:30,34.54,34.71,34.51,34.69,48799
2016-03-10T18:30,34.73,35.13,34.6,35.05,191080
2016-03-11T14:30,35.33,35.59,35.2,35.56,71620
2016-03-11T16:30,35.54,35.82,35.47,35.58,67780
2016-03-11T18:30,35.56,35.73,35.44,35.63,123117
2016-03-14T13:30,35.87,37.09,35.87,36.85,342935
2016-03-14T15:30,36.86,36.96,36.48,36.69,161262
2016-03-14T17:30,36.7,36.75,36.38,36.38,227559
2016-03-15T13:30,36.01,36.62,35.8508,36.5,157879
2016-03-15T15:30,36.47,36.58,36.41,36.55,107608
2016-03-15T17:30,36.55,36.62,36.25,36.4,200072
2016-03-16T13:30,36.29,36.7,36.03,36.49,73713
2016-03-16T15:30,36.5,36.63,36.4,36.463,70000
2016-03-16T17:30,36.45,36.79,36.42,36.69,394887
2016-03-17T13:30,36.68,37.14,36.46,37.065,127392
2016-03-17T15:30,37.06,38.025,37.06,37.792,219544
2016-03-17T17:30,37.8,38.2,37.74,38.09,345258
2016-03-18T13:30,38.25,38.62,37.79,37.991,413577
2016-03-18T15:30,37.995,38.59,37.79,38.48,208488
2016-03-18T17:30,38.47,38.61,38.25,38.52,334583
2016-03-21T13:30,38.29,38.48,37.72,37.89,71491
2016-03-21T15:30,37.91,38.005,37.83,37.93,65942
2016-03-21T17:30,37.92,37.92,37.77,37.775,156578
2016-03-22T13:30,37.68,37.94,37.45,37.86,56892
2016-03-22T15:30,37.86,38.1,37.82,37.99,52338
2016-03-22T17:30,37.98,38.25,37.93,37.99,110668
2016-03-23T13:30,37.78,37.814,37.35,37.53,96858
2016-03-23T15:30,37.51,37.61,37.3,37.32,140374
2016-03-23T17:30,37.33,37.56,37.12,37.12,261061
2016-03-24T13:30,36.82,37.23,36.54,36.75,91924
2016-03-24T15:30,36.8,36.965,36.57,36.57,104358
2016-03-24T17:30,36.56,36.79,36.47,36.71,210090
2016-03-28T13:30,36.79,36.87,36.13,36.21,349570
2016-03-28T15:30,36.21,36.23,35.955,36,292107
2016-03-28T17:30,36,36.5,35.8,35.96,393414
2016-03-29T13:30,35.83,36.61,35.7515,36.26,171296
2016-03-29T15:30,36.24,36.38,36.12,36.35,227849
2016-03-29T17:30,36.31,36.99,36.29,36.68,787382
2016-03-30T13:30,36.85,37.39,36.85,37.12,150484
2016-03-30T15:30,37.12,37.4,37.09,37.34,172081
2016-03-30T17:30,37.346,37.94,37.26,37.62,266019
2016-03-31T13:30,37.59,37.805,37.52,37.65,84396
2016-03-31T15:30,37.68,37.77,37.48,37.5,62574
2016-03-31T17:30,37.5,37.5,37.13,37.21,183117
2016-04-01T13:30,36.87,37.16,36.41,36.88,80345
