date,open,high,low,close,volume
2021-01-04T15:00,234.09,234.26,229.58,229.82,792478
2021-01-04T17:00,229.73,233.12,228.8,232.96,763694
2021-01-04T19:00,232.96,234.32,231.95,233.11,1098818
2021-01-05T15:00,235.47,238.19,234.55,237.99,860937
2021-01-05T17:00,238.06,240.54,237.92,239.16,1269821
2021-01-05T19:00,239.12,240.01,238.17,238.2,1038942
2021-01-06T15:00,245.94,252.12,245.82,249.96,1775911
2021-01-06T17:00,249.85,253.62,249.55,253.07,1128019
2021-01-06T19:00,253.1,253.24,247.59,250.93,1930820
2021-01-07T15:00,257.7,260.23,257.44,259.39,1275861
2021-01-07T17:00,259.39,259.69,256.81,258.36,800983
2021-01-07T19:00,258.21,258.79,256.45,256.5,779685
2021-01-08T15:00,252.41,253.82,251.31,252,705277
2021-01-08T17:00,252.03,253.89,250.7,251.63,479993
2021-01-08T19:00,251.68,255.62,251.63,255.12,828295
2021-01-11T15:00,257.02,257.55,254.63,255.93,625124
2021-01-11T17:00,255.93,259.45,255.73,257.78,524243
2021-01-11T19:00,257.7,259.26,257.37,258.41,733296
2021-01-12T15:00,262.42,266.66,261.11,265.08,1484928
2021-01-12T17:00,265.06,267.34,264.19,265.13,910295
2021-01-12T19:00,265.18,266.22,263.92,265.6,1070623
2021-01-13T15:00,264.96,266.32,263.98,264.1,567519
2021-01-13T17:00,264.09,266.4,263.13,266.3,490026
2021-01-13T19:00,266.3,267.11,265.58,266.43,757651
2021-01-14T15:00,267.97,270.17,266.96,269.81,732158
2021-01-14T17:00,269.81,271.23,269.27,271,633600
2021-01-14T19:00,271.07,272.12,270.12,270.73,1065588
2021-01-15T15:00,264.04,264.85,261.1,264.28,846464
2021-01-15T17:00,264.2,268.12,264.05,267.57,811180
2021-01-15T19:00,267.69,268.07,263.9,264.86,1137437
2021-01-19T15:00,262.96,264.59,260.04,262.52,1981830
2021-01-19T17:00,262.42,263.16,259.53,260.06,908613
2021-01-19T19:00,260.04,260.99,258.39,258.91,1447722
2021-01-20T15:00,256.2,256.51,253.31,253.9,1445234
2021-01-20T17:00,253.97,255.42,253.17,253.63,928017
2021-01-20T19:00,253.56,255.88,252.83,255.45,1146164
2021-01-21T15:00,255.35,257.46,255.03,255.67,576813
2021-01-21T17:00,255.76,255.96,253.76,254.53,525170
2021-01-21T19:00,254.47,255.86,254.16,254.65,702037
2021-01-22T15:00,253.83,254.23,251.65,253.39,718934
2021-01-22T17:00,253.42,254.62,252.89,253.82,394063
2021-01-22T19:00,253.84,255.4,253.51,254.41,590452
2021-01-25T15:00,247.77,249.95,244.05,246.9,1513438
2021-01-25T17:00,246.98,248.9,246.21,248.19,759974
2021-01-25T19:00,248.23,249.04,247.35,249.01,922887
2021-01-26T15:00,249.03,249.72,246.38,246.67,743900
2021-01-26T17:00,246.62,249.11,246.32,248.91,574826
2021-01-26T19:00,248.97,250.22,247.63,247.8,801392
2021-01-27T15:00,239.99,243.94,239.27,241.86,992047
2021-01-27T17:00,241.9,243.84,241.79,242.91,494986
2021-01-27T19:00,242.77,243.51,239.82,240.61,1166948
2021-01-28T15:00,242.15,245.15,241.42,245.02,916711
2021-01-28T17:00,245.08,246.1,244.07,244.49,575439
2021-01-28T19:00,244.49,244.71,241.63,241.92,1040066
2021-01-29T15:00,242.91,243.97,240.67,242.24,691172
2021-01-29T17:00,242.3,242.3,238,238.36,774104
2021-01-29T19:00,238.29,240.98,238.21,238.5,1095728
2021-02-01T15:00,241.49,241.76,239.42,241.2,580594
2021-02-01T17:00,241.21,242.69,241.02,241.83,427774
2021-02-01T19:00,241.86,243.44,241.5,241.52,651820
2021-02-02T15:00,246.66,250.91,246.6,250.14,1256815
2021-02-02T17:00,250.15,252.41,249.88,251.17,1210006
2021-02-02T19:00,251.29,253.51,251.28,252.32,1361177
2021-02-03T15:00,253.08,254.43,251.61,253.36,738866
2021-02-03T17:00,253.32,254.88,252.65,254.7,472077
2021-02-03T19:00,254.72,254.87,253.47,253.76,693451
2021-02-04T15:00,258.94,260.18,257.93,259.05,952803
2021-02-04T17:00,259.08,259.51,258.2,258.44,520653
2021-02-04T19:00,258.39,259.01,257.33,258.67,699797
2021-02-05T15:00,259.12,261.42,257.3,258.5,930127
2021-02-05T17:00,258.51,258.99,256.97,257.93,553207
2021-02-05T19:00,257.91,259.23,257.74,258.13,841039
2021-02-08T15:00,262.4,263.31,261.42,262.62,659024
