date,open,high,low,close,volume
2016-01-04T14:30,6.542,6.617,6.455,6.481,6657949
2016-01-04T16:30,6.481,6.547,6.442,6.512,5793050
2016-01-04T18:30,6.514,6.621,6.499,6.612,8813270
2016-01-05T14:30,6.593,6.665,6.538,6.558,3988501
2016-01-05T16:30,6.558,6.58,6.538,6.556,4301148
2016-01-05T18:30,6.558,6.577,6.529,6.569,6018876
2016-01-06T14:30,6.389,6.542,6.341,6.521,5764369
2016-01-06T16:30,6.521,6.535,6.459,6.512,2876256
2016-01-06T18:30,6.51,6.556,6.446,6.459,7418028
2016-01-07T14:30,6.337,6.363,6.162,6.208,5760138
2016-01-07T16:30,6.21,6.228,6.035,6.088,5762311
2016-01-07T18:30,6.092,6.11,5.966,5.996,16334084
2016-01-08T14:30,6.018,6.127,5.907,5.909,5228717
2016-01-08T16:30,5.913,5.913,5.817,5.856,6013064
2016-01-08T18:30,5.856,6.022,5.817,5.922,11825182
2016-01-11T14:30,5.869,5.992,5.817,5.826,4499308
2016-01-11T16:30,5.83,5.83,5.716,5.738,4509229
2016-01-11T18:30,5.738,5.837,5.712,5.795,13499241
2016-01-12T14:30,5.83,5.865,5.721,5.781,6702167
2016-01-12T16:30,5.782,5.808,5.736,5.743,4861119
2016-01-12T18:30,5.743,5.815,5.725,5.795,7314793
2016-01-13T14:30,5.821,5.834,5.641,5.655,4288975
2016-01-13T16:30,5.655,5.668,5.498,5.533,6695015
2016-01-13T18:30,5.537,5.633,5.476,5.572,14363263
2016-01-14T14:30,5.572,5.725,5.529,5.66,5983722
2016-01-14T16:30,5.66,5.725,5.638,5.713,2939077
2016-01-14T18:30,5.714,5.754,5.651,5.677,10796696
2016-01-15T14:30,5.507,5.594,5.494,5.526,12240656
2016-01-15T16:30,5.529,5.537,5.465,5.502,4811965
2016-01-15T18:30,5.502,5.526,5.459,5.48,13575146
2016-01-19T14:30,5.542,5.585,5.358,5.397,6579053
2016-01-19T16:30,5.402,5.406,5.336,5.382,3053286
2016-01-19T18:30,5.382,5.424,5.332,5.389,8102596
2016-01-20T14:30,5.244,5.288,5.081,5.214,8993378
2016-01-20T16:30,5.216,5.253,5.131,5.188,4966577
2016-01-20T18:30,5.192,5.332,5.19,5.266,11533472
2016-01-21T14:30,5.244,5.459,5.166,5.411,8542113
2016-01-21T16:30,5.413,5.419,5.314,5.319,5608273
2016-01-21T18:30,5.319,5.48,5.301,5.432,12324243
2016-01-22T14:30,5.55,5.813,5.529,5.791,9316348
2016-01-22T16:30,5.789,5.856,5.751,5.813,3714293
2016-01-22T18:30,5.813,5.869,5.782,5.834,10166098
2016-01-25T14:30,5.808,5.856,5.734,5.826,6020733
2016-01-25T16:30,5.826,5.896,5.795,5.887,2647930
2016-01-25T18:30,5.883,5.922,5.821,5.834,7654281
2016-01-26T14:30,5.834,5.9,5.834,5.883,4545353
2016-01-26T16:30,5.883,5.896,5.856,5.878,2831917
2016-01-26T18:30,5.876,5.998,5.874,5.944,7930165
2016-01-27T14:30,5.926,5.948,5.662,5.679,9051629
2016-01-27T16:30,5.679,5.848,5.679,5.813,6264669
2016-01-27T18:30,5.815,5.883,5.778,5.85,12152834
2016-01-28T14:30,5.878,5.987,5.826,5.891,3877252
2016-01-28T16:30,5.891,5.891,5.743,5.778,2676575
2016-01-28T18:30,5.773,5.786,5.712,5.765,6637086
2016-01-29T14:30,5.856,5.974,5.834,5.959,2646188
2016-01-29T16:30,5.959,6.066,5.942,6.027,2963589
2016-01-29T18:30,6.027,6.035,5.97,6.009,8412900
2016-02-01T14:30,5.974,6.014,5.926,5.966,3564546
2016-02-01T16:30,5.966,5.985,5.913,5.948,2597839
2016-02-01T18:30,5.948,6.066,5.931,6.022,6788291
2016-02-02T14:30,5.987,6.105,5.869,5.935,4831261
2016-02-02T16:30,5.935,5.966,5.856,5.904,2630239
2016-02-02T18:30,5.904,5.917,5.839,5.883,5731558
2016-02-03T14:30,5.97,6.018,5.782,5.813,2786442
2016-02-03T16:30,5.813,5.869,5.747,5.76,2251702
2016-02-03T18:30,5.76,5.887,5.73,5.839,4942928
2016-02-04T14:30,5.817,6.042,5.817,6.014,2941943
2016-02-04T16:30,6.014,6.053,5.959,6.001,1993488
2016-02-04T18:30,6.001,6.07,5.992,6.049,3710761
2016-02-05T14:30,5.985,6.009,5.878,5.913,4391195
2016-02-05T16:30,5.909,5.97,5.896,5.909,3128639
2016-02-05T18:30,5.911,5.922,5.697,5.773,11223365
2016-02-08T14:30,5.677,5.703,5.574,5.62,5011426
2016-02-08T16:30,5.618,5.668,5.483,5.511,5537867
2016-02-08T18:30,5.515,5.577,5.406,5.47,11295621
2016-02-09T14:30,5.406,5.616,5.38,5.555,2713328
2016-02-09T16:30,5.55,5.553,5.463,5.494,1880412
2016-02-09T18:30,5.494,5.62,5.482,5.561,4596323
2016-02-10T14:30,5.59,5.708,5.577,5.59,1884178
2016-02-10T16:30,5.585,5.701,5.555,5.69,1523752
2016-02-10T18:30,5.69,5.712,5.612,5.62,4288737
2016-02-11T14:30,5.472,5.537,5.323,5.329,3380617
2016-02-11T16:30,5.332,5.367,5.251,5.336,3210499
2016-02-11T18:30,5.336,5.491,5.31,5.415,7270232
2016-02-12T14:30,5.463,5.59,5.358,5.411,3887949
2016-02-12T16:30,5.406,5.432,5.376,5.393,4016823
2016-02-12T18:30,5.389,5.411,5.323,5.362,6942488
2016-02-16T14:30,5.424,5.459,5.362,5.406,5588656
2016-02-16T16:30,5.408,5.441,5.384,5.402,2830035
2016-02-16T18:30,5.4,5.441,5.362,5.384,8436535
2016-02-17T14:30,5.415,5.712,5.406,5.671,4014087
2016-02-17T16:30,5.668,5.738,5.651,5.712,2588944
2016-02-17T18:30,5.708,5.74,5.657,5.686,6363462
2016-02-18T14:30,5.747,5.889,5.69,5.808,5414448
2016-02-18T16:30,5.808,5.939,5.804,5.9,3972163
2016-02-18T18:30,5.902,5.987,5.878,5.909,7922711
2016-02-19T14:30,5.904,5.917,5.791,5.9,4865704
2016-02-19T16:30,5.9,5.922,5.878,5.896,2882008
2016-02-19T18:30,5.896,6.005,5.878,5.97,6744713
2016-02-22T14:30,6.009,6.062,5.931,6.007,4547247
2016-02-22T16:30,6.009,6.009,5.948,5.972,4197858
2016-02-22T18:30,5.97,6.066,5.97,6.031,5553607
2016-02-23T14:30,5.992,6.04,5.747,5.765,5244473
2016-02-23T16:30,5.769,5.782,5.633,5.647,5443322
2016-02-23T18:30,5.647,5.778,5.612,5.725,11174082
2016-02-24T14:30,5.681,5.747,5.603,5.612,4704164
2016-02-24T16:30,5.607,5.716,5.607,5.701,6274891
2016-02-24T18:30,5.703,5.931,5.695,5.896,8316740
2016-02-25T14:30,5.878,5.935,5.786,5.858,4447381
2016-02-25T16:30,5.861,5.974,5.839,5.9,6029645
2016-02-25T18:30,5.9,5.992,5.887,5.983,7366996
2016-02-26T14:30,6.022,6.031,5.848,5.852,3689425
2016-02-26T16:30,5.856,5.861,5.747,5.834,3572541
2016-02-26T18:30,5.83,5.909,5.771,5.869,8113063
2016-02-29T14:30,5.817,5.871,5.769,5.817,3969790
2016-02-29T16:30,5.819,5.887,5.791,5.848,2305507
2016-02-29T18:30,5.843,5.891,5.795,5.804,9474729
2016-03-01T14:30,5.865,5.887,5.721,5.765,4683728
2016-03-01T16:30,5.765,5.795,5.727,5.782,3077102
2016-03-01T18:30,5.778,5.808,5.73,5.804,5068998
2016-03-02T14:30,5.848,6.022,5.834,5.933,4252518
2016-03-02T16:30,5.933,6.031,5.913,6.009,3278205
2016-03-02T18:30,6.009,6.14,5.998,6.075,9176560
2016-03-03T14:30,6.079,6.097,5.804,5.913,5555961
2016-03-03T16:30,5.913,5.959,5.889,5.898,2603578
2016-03-03T18:30,5.9,5.961,5.887,5.939,6401300
2016-03-04T14:30,6.521,6.923,6.477,6.802,32086474
2016-03-04T16:30,6.805,6.809,6.722,6.787,7902933
2016-03-04T18:30,6.789,6.818,6.722,6.743,15072883
2016-03-07T14:30,6.636,6.912,6.605,6.785,11317077
2016-03-07T16:30,6.787,7,6.787,6.991,6761628
2016-03-07T18:30,6.988,7.013,6.912,7.004,12928247
2016-03-08T14:30,6.908,6.926,6.693,6.741,8129724
2016-03-08T16:30,6.741,6.886,6.741,6.798,3420773
2016-03-08T18:30,6.803,6.842,6.669,6.68,8212408
2016-03-09T14:30,6.728,6.945,6.711,6.895,5008105
2016-03-09T16:30,6.895,6.926,6.803,6.82,4399301
2016-03-09T18:30,6.816,6.829,6.733,6.792,7338888
2016-03-10T14:30,6.82,7.11,6.807,6.978,8866825
2016-03-10T16:30,6.978,7.026,6.958,7.024,3394270
2016-03-10T18:30,7.024,7.04,6.952,6.974,11671467
2016-03-11T14:30,7.018,7.211,7.018,7.118,9186851
2016-03-11T16:30,7.118,7.211,7.116,7.154,5092582
2016-03-11T18:30,7.154,7.197,7.132,7.167,9903598
2016-03-14T13:30,7.105,7.184,7.035,7.145,5356847
2016-03-14T15:30,7.149,7.224,7.083,7.196,3392140
2016-03-14T17:30,7.197,7.268,7.171,7.202,6995520
2016-03-15T13:30,7.171,7.404,7.127,7.349,7656567
