date,open,high,low,close,volume
2016-01-04T14:30,67.95,68.14,67.3,67.55,287968
2016-01-04T16:30,67.52,67.75,67.47,67.64,171089
2016-01-04T18:30,67.64,67.82,67.15,67.79,466537
2016-01-05T14:30,68.19,68.5,67.36,67.49,467808
2016-01-05T16:30,67.5,67.71,67.23,67.33,346600
2016-01-05T18:30,67.33,67.69,67.25,67.59,559322
2016-01-06T14:30,66.83,67.57,66.44,67.52,436941
2016-01-06T16:30,67.52,67.85,67.26,67.62,418360
2016-01-06T18:30,67.62,67.76,67.08,67.65,804909
2016-01-07T14:30,66.71,67.19,66.46,66.57,345171
2016-01-07T16:30,66.58,66.67,66.31,66.37,280179
2016-01-07T18:30,66.38,66.38,65.84,66.04,914950
2016-01-08T14:30,66.27,66.46,65.74,66.07,248509
2016-01-08T16:30,66.08,66.36,65.8,66.07,228986
2016-01-08T18:30,66.07,66.34,65.32,65.43,609500
2016-01-11T14:30,64.96,65.47,64.53,64.73,514346
2016-01-11T16:30,64.7,64.8,64.52,64.72,256712
2016-01-11T18:30,64.72,65.11,64.37,64.93,784838
2016-01-12T14:30,65.5,65.59,64.79,65.04,251347
2016-01-12T16:30,65.01,65.33,64.93,65.02,172151
2016-01-12T18:30,65,65.67,64.75,65.5,381817
2016-01-13T14:30,65.52,65.74,65.09,65.66,229872
2016-01-13T16:30,65.65,65.71,65.4,65.41,239048
2016-01-13T18:30,65.42,65.44,64.29,64.43,804359
2016-01-14T14:30,64.81,65,64.34,64.69,340465
2016-01-14T16:30,64.72,65.1,64.6,65.08,173680
2016-01-14T18:30,65.1,65.57,64.93,65.18,855689
2016-01-15T14:30,64.12,64.54,63.99,64.08,444931
2016-01-15T16:30,64.06,64.18,63.68,64.12,392941
2016-01-15T18:30,64.09,64.41,63.97,64.22,656683
2016-01-19T14:30,64.49,64.83,64.37,64.63,311985
2016-01-19T16:30,64.65,64.91,64.45,64.67,184906
2016-01-19T18:30,64.66,65.31,64.45,65.21,606314
2016-01-20T14:30,64.65,65.08,64.23,64.41,403166
2016-01-20T16:30,64.44,64.69,63.7,64.35,314717
2016-01-20T18:30,64.33,65.96,64.33,65.51,955623
2016-01-21T14:30,65.48,65.73,64.6,65,491058
2016-01-21T16:30,65.02,65.63,64.97,65.24,258663
2016-01-21T18:30,65.23,65.56,64.91,65.26,754955
2016-01-22T14:30,65.7,66.43,65.42,66.01,292167
2016-01-22T16:30,66.01,66.04,65.54,65.82,150862
2016-01-22T18:30,65.83,66.11,65.57,65.7,588494
2016-01-25T14:30,65.44,65.67,63.99,64.86,761775
2016-01-25T16:30,64.84,64.87,64.05,64.62,481449
2016-01-25T18:30,64.61,64.99,64.25,64.56,803861
2016-01-26T14:30,64.84,65.89,64.46,65.56,455506
2016-01-26T16:30,65.54,65.68,65.24,65.51,212355
2016-01-26T18:30,65.52,65.6,65.43,65.59,651910
2016-01-27T14:30,65.64,66.32,65.54,65.7,459384
2016-01-27T16:30,65.71,65.91,65.65,65.78,565159
2016-01-27T18:30,65.79,65.93,64.96,65.09,1136826
2016-01-28T14:30,66.25,66.25,63.52,66.04,1117411
2016-01-28T16:30,65.99,67.01,65.67,66.9,440758
2016-01-28T18:30,66.91,68,66.91,67.05,1839813
2016-01-29T14:30,67.25,67.6,66.78,67.08,723941
2016-01-29T16:30,67.09,67.7,67.06,67.39,458353
2016-01-29T18:30,67.4,68.04,67.38,67.91,937824
2016-02-01T14:30,67.97,69.17,67.79,69.16,601822
2016-02-01T16:30,69.15,69.61,68.86,69.12,442798
2016-02-01T18:30,69.13,69.6,68.82,68.87,1206918
2016-02-02T14:30,68.18,68.94,67.94,68.88,533881
2016-02-02T16:30,68.88,69.31,68.73,69.14,641494
2016-02-02T18:30,69.13,69.3,68.63,68.99,936896
2016-02-03T14:30,68.93,69.24,68.44,68.86,432198
2016-02-03T16:30,68.89,68.93,68.67,68.8,353920
2016-02-03T18:30,68.78,69.07,68.22,68.43,794252
2016-02-04T14:30,68.38,68.89,67.98,68.39,326273
