date,open,high,low,close,volume
2021-06-15T14:00,21.1,21.25,20.15,20.39,185687
2021-06-15T16:00,20.4,21.55,20.3,21.3,157592
2021-06-15T18:00,21.3,21.95,20.75,21,151071
2021-06-16T14:00,20.5,20.85,19.6,19.85,260096
2021-06-16T16:00,19.85,20.2,19.65,20,95328
2021-06-16T18:00,19.9,20.01,19.45,19.65,132017
2021-06-17T14:00,19.65,20.15,19.35,19.9,135202
2021-06-17T16:00,19.95,20.02,19.17,19.2,145516
2021-06-17T18:00,19.2,19.35,19,19,123098
2021-06-18T14:00,18.7,18.75,18,18.35,114225
2021-06-18T16:00,18.32,18.54,18.2,18.22,61692
2021-06-18T18:00,18.16,18.85,17.65,18.7,159488
2021-06-21T14:00,17.9,17.95,17.05,17.45,136594
2021-06-21T16:00,17.4,17.6,17.2,17.55,95741
2021-06-21T18:00,17.55,18.22,17.45,17.9,72307
2021-06-22T14:00,15.95,17.4,15.85,17.3,172561
2021-06-22T16:00,17.34,17.9,17.34,17.6,80763
2021-06-22T18:00,17.63,18.2,17.5,17.75,76619
2021-06-23T14:00,18.7,18.75,18,18.17,96808
2021-06-23T16:00,18.17,18.6,18.05,18.25,57635
2021-06-23T18:00,18.27,18.47,17.85,17.98,66838
2021-06-24T14:00,18.65,19.4,18.3,19.15,144427
2021-06-24T16:00,19.1,19.42,18.95,19.14,109499
2021-06-24T18:00,19.2,19.3,19,19.05,96693
2021-06-25T14:00,18.3,18.7,18.11,18.2,97965
2021-06-25T16:00,18.2,18.3,17.95,18.05,49528
2021-06-25T18:00,18.09,18.45,18,18.4,55043
2021-06-28T14:00,18.95,19.55,18.8,19.5,109586
2021-06-28T16:00,19.52,19.6,18.95,19,104206
2021-06-28T18:00,19,19.1,18.75,18.8,142687
2021-06-29T14:00,19.85,19.85,19.3,19.65,150984
2021-06-29T16:00,19.65,19.8,19.55,19.65,80248
2021-06-29T18:00,19.67,19.75,19.5,19.65,79631
2021-06-30T14:00,19.05,19.45,18.83,19.42,106789
2021-06-30T16:00,19.45,20.55,19.38,20.53,83696
2021-06-30T18:00,20.54,23.4,20.53,22,747873
2021-07-01T14:00,23.8,25,23.15,24.53,389727
2021-07-01T16:00,24.5,24.75,23.15,23.54,175763
2021-07-01T18:00,23.55,24.6,23.25,23.68,202831
2021-07-02T14:00,22.96,23.75,22.55,23.6,217092
2021-07-02T16:00,23.55,25.3,23.2,25.03,245848
2021-07-02T18:00,25.03,25.8,24.55,25.8,438451
2021-07-06T14:00,27.49,27.65,25.86,26.65,391528
2021-07-06T16:00,26.7,27.05,26.2,26.73,170735
2021-07-06T18:00,26.73,27.35,26.65,27.15,238090
2021-07-07T14:00,26.5,26.9,24.85,25.59,372158
2021-07-07T16:00,25.58,25.75,25.3,25.68,120984
2021-07-07T18:00,25.7,26.6,25.65,25.9,170372
2021-07-08T14:00,24.2,25.25,24,25.1,153621
2021-07-08T16:00,25.07,25.1,24.25,24.35,76846
2021-07-08T18:00,24.34,24.6,23.85,24.3,83894
2021-07-09T14:00,24.75,25.5,24.6,25.1,159799
2021-07-09T16:00,25.13,25.25,24.5,24.55,108534
2021-07-09T18:00,24.58,24.65,24.05,24.23,119064
2021-07-12T14:00,24.21,25.1,23.95,25.05,120009
2021-07-12T16:00,25.01,25.05,24.36,24.77,60509
2021-07-12T18:00,24.75,25.05,24.41,24.55,95396
2021-07-13T14:00,23.68,24,23.25,23.61,137284
2021-07-13T16:00,23.6,23.68,22.72,22.85,130078
2021-07-13T18:00,22.87,23.05,22.25,22.48,194243
2021-07-14T14:00,22.65,22.7,21.35,21.45,162958
2021-07-14T16:00,21.45,21.9,21.45,21.51,61742
2021-07-14T18:00,21.5,21.7,21.15,21.15,89072
2021-07-15T14:00,20.84,21.15,20.3,20.35,77467
2021-07-15T16:00,20.35,20.38,19.4,19.68,191849
2021-07-15T18:00,19.65,20.8,19.55,20.47,283407
2021-07-16T14:00,20.06,20.45,19.75,20.3,66107
2021-07-16T16:00,20.38,20.45,19.95,20.05,28975
2021-07-16T18:00,20.1,20.15,19.55,19.75,86471
2021-07-19T14:00,18.8,18.95,18.15,18.77,170343
2021-07-19T16:00,18.75,18.96,18.3,18.9,53080
2021-07-19T18:00,18.9,19.04,18.45,18.5,85028
2021-07-20T14:00,17.7,18.65,17.5,18.6,110613
2021-07-20T16:00,18.6,18.85,18.45,18.7,58781
2021-07-20T18:00,18.72,19.35,18.55,19.15,148181
2021-07-21T14:00,20.55,20.8,20,20.6,142505
2021-07-21T16:00,20.62,21.25,20.6,20.7,145254
2021-07-21T18:00,20.75,21.35,20.55,21.1,171676
2021-07-22T14:00,20.75,21.15,20.15,21.15,74286
2021-07-22T16:00,21.15,21.65,21,21.25,76415
2021-07-22T18:00,21.2,21.23,20.5,20.8,89113
2021-07-23T14:00,21.4,21.45,20.4,20.48,81729
2021-07-23T16:00,20.4,20.75,20.05,20.3,62664
2021-07-23T18:00,20.27,20.5,20,20.45,189867
2021-07-26T14:00,24.7,25.35,23.65,23.88,415586
2021-07-26T16:00,23.85,24.55,23.8,23.95,178329
2021-07-26T18:00,23.98,25.25,23.95,24.7,425070
2021-07-27T14:00,23.05,23.3,22.35,23.25,203206
2021-07-27T16:00,23.2,23.23,22.21,22.75,110386
2021-07-27T18:00,22.75,23.05,22.46,22.63,89138
2021-07-28T14:00,23.14,23.4,22.65,22.95,118204
2021-07-28T16:00,22.95,23.49,22.55,22.6,122439
2021-07-28T18:00,22.6,23,22.3,22.6,271482
2021-07-29T14:00,22.34,23,22.15,22.6,109952
2021-07-29T16:00,22.65,23.15,22.6,23.03,76144
2021-07-29T18:00,23.05,23.15,22.55,22.65,84094
2021-07-30T14:00,22.7,23,22.5,22.98,57387
2021-07-30T16:00,22.96,23.2,22.8,23.15,46878
2021-07-30T18:00,23.15,24.25,23.05,23.9,196689
2021-08-02T14:00,24.2,24.7,23.95,24.4,125313
2021-08-02T16:00,24.37,25,24.25,24.3,80870
2021-08-02T18:00,24.4,24.7,23.8,23.93,113659
2021-08-03T14:00,23.65,25,23.15,24.8,139615
2021-08-03T16:00,24.85,25.05,24.35,24.4,105493
2021-08-03T18:00,24.41,24.5,24.05,24.2,74633
2021-08-04T14:00,24.9,26.7,24.78,25.63,396456
2021-08-04T16:00,25.64,26.28,25.53,25.95,112844
2021-08-04T18:00,25.95,26.45,25.73,26.15,155632
2021-08-05T14:00,25.85,27.45,25.7,26.45,344150
2021-08-05T16:00,26.48,27.7,26.4,27.55,224640
2021-08-05T18:00,27.55,28,26.51,26.85,356130
2021-08-06T14:00,27.3,28.63,26.3,28.63,301898
2021-08-06T16:00,28.65,30.75,28.6,30.18,610421
2021-08-06T18:00,30.18,30.3,28.95,29.51,418580
2021-08-09T14:00,32.45,32.9,30.95,31.96,591394
2021-08-09T16:00,31.98,32.15,30.9,31.94,314115
2021-08-09T18:00,31.92,32.95,31.75,32.1,421431
2021-08-10T14:00,31.25,31.65,29.8,30.05,305239
2021-08-10T16:00,30.03,30.6,29.35,30.18,251827
2021-08-10T18:00,30.2,31.84,30.15,31.45,222961
2021-08-11T14:00,32.95,35.9,32.45,34.42,869198
2021-08-11T16:00,34.49,35.45,33.35,34.95,461893
2021-08-11T18:00,34.98,35.6,34.2,35.15,402637
2021-08-12T14:00,32.6,33,31.55,32.8,411824
2021-08-12T16:00,32.78,32.78,31.58,31.9,243055
2021-08-12T18:00,31.9,33.1,31.9,32.8,162819
2021-08-13T14:00,34.15,34.9,33.5,34.05,207913
2021-08-13T16:00,34,34.7,33.8,34.03,174064
2021-08-13T18:00,34,34.09,32.55,32.75,210291
2021-08-16T14:00,32.5,34.25,32.3,33.95,391234
2021-08-16T16:00,34.05,34.9,33.6,34.24,237422
2021-08-16T18:00,34.22,34.67,32.65,33.05,269188
2021-08-17T14:00,32.37,32.65,30.3,30.3,380271
2021-08-17T16:00,30.27,30.5,29.3,30.05,308646
2021-08-17T18:00,30.05,30.34,29.38,29.65,286398
2021-08-18T14:00,30.2,32.18,30.1,31.71,350296
2021-08-18T16:00,31.65,32.05,31.25,31.38,168782
2021-08-18T18:00,31.35,31.84,29.75,30.2,240811
2021-08-19T14:00,30.55,31.2,29.8,31.2,239796
2021-08-19T16:00,31.19,31.35,29.65,29.75,158770
2021-08-19T18:00,29.8,31.15,29.55,30.85,264088
2021-08-20T14:00,32.75,34,32.2,33.85,398621
2021-08-20T16:00,33.8,34.25,32.8,32.95,265593
2021-08-20T18:00,32.95,33.15,32.1,33,236882
2021-08-23T14:00,35.33,36.7,34.4,34.7,581337
2021-08-23T16:00,34.8,35.05,34.2,34.2,201043
2021-08-23T18:00,34.17,34.87,34,34.6,242128
2021-08-24T14:00,33.2,34.17,32.7,33.07,251376
2021-08-24T16:00,33.06,33.44,32.55,33.13,181154
2021-08-24T18:00,33.13,33.5,32.6,33.38,225647
2021-08-25T14:00,32.75,34.85,32.23,34.7,365738
2021-08-25T16:00,34.75,34.75,34.05,34.58,197385
2021-08-25T18:00,34.55,35.73,34.5,35.2,325156
2021-08-26T14:00,34.89,35.25,33.4,33.85,268100
2021-08-26T16:00,33.9,34.1,33.35,33.65,139633
2021-08-26T18:00,33.64,34.09,33.5,33.7,133553
2021-08-27T14:00,34,36.9,33.95,36.25,666965
2021-08-27T16:00,36.15,37.3,35.97,36.92,398571
2021-08-27T18:00,36.9,39.15,36.85,38.67,727641
2021-08-30T14:00,37.25,40.2,37.2,39.85,430265
2021-08-30T16:00,39.9,40.3,39.05,40.17,331657
2021-08-30T18:00,40.19,41.58,39.7,41.35,443012
2021-08-31T14:00,40.64,41.79,39.3,39.83,462481
2021-08-31T16:00,39.85,40.83,39.56,39.8,250755
2021-08-31T18:00,39.8,40.15,38.85,39.3,291974
2021-09-01T14:00,39.91,40.2,39.1,39.66,237809
2021-09-01T16:00,39.75,42.2,39.74,41.45,472153
2021-09-01T18:00,41.55,41.88,40.35,40.6,306121
2021-09-02T14:00,45.95,47.5,44.8,45.35,1100728
2021-09-02T16:00,45.3,46.4,43.85,44.5,370613
2021-09-02T18:00,44.47,45,43.75,44.65,373428
2021-09-03T14:00,49.2,51.45,48.35,51.25,1594568
2021-09-03T16:00,51.3,54.5,51.1,52.4,2678668
2021-09-03T18:00,52.4,53.7,51.6,53.25,1265685
2021-09-07T14:00,53.48,54.95,46.55,50.85,2656434
2021-09-07T16:00,50.85,52.85,50.25,50.48,683950
2021-09-07T18:00,50.48,52.05,49.85,50.15,602730
2021-09-08T14:00,47.75,49.3,45.1,49.21,1193316
2021-09-08T16:00,49.22,52.7,49,51.83,866865
2021-09-08T18:00,51.8,52.2,50.75,51.15,354854
2021-09-09T14:00,52.85,54.29,52.65,53.35,642782
2021-09-09T16:00,53.4,54,51.5,51.7,401871
2021-09-09T18:00,51.75,52.15,50.9,51.61,374790
2021-09-10T14:00,50,50.8,48.55,50.48,531476
2021-09-10T16:00,50.4,51,49.9,50.95,232465
2021-09-10T18:00,50.91,51.15,48.75,48.9,371364
2021-09-13T14:00,49.42,49.6,46.55,48.5,641410
2021-09-13T16:00,48.5,49.65,48.2,48.48,247970
2021-09-13T18:00,48.55,48.7,47.85,48.3,227825
2021-09-14T14:00,49.65,51.35,49,51.35,477064
2021-09-14T16:00,51.4,52.3,50.51,52.1,582819
2021-09-14T18:00,52.15,52.35,50.35,51.8,494761
2021-09-15T14:00,44.43,44.95,43.25,44.5,1326779
2021-09-15T16:00,44.5,45,44.05,44.2,648266
2021-09-15T18:00,44.2,44.3,43.45,43.7,848483
2021-09-16T14:00,43.93,46.5,43.85,46.4,922745
2021-09-16T16:00,46.45,46.5,45.25,45.65,323219
2021-09-16T18:00,45.65,46.25,45.45,45.5,343037
2021-09-17T14:00,44.35,44.9,43.45,43.9,418102
2021-09-17T16:00,43.95,45.1,43.7,43.85,347734
2021-09-17T18:00,43.88,44.7,43.6,44.5,408103
2021-09-20T14:00,41.53,41.7,39.25,39.45,767943
2021-09-20T16:00,39.45,39.65,38,39.64,545885
2021-09-20T18:00,39.63,39.8,38.35,39.15,533213
2021-09-21T14:00,39.7,39.75,37.85,39.25,515515
2021-09-21T16:00,39.3,39.7,38.22,38.3,374937
2021-09-21T18:00,38.3,39.2,38.28,38.55,256187
2021-09-22T14:00,40.9,42.9,40.85,42.8,669537
2021-09-22T16:00,42.77,42.83,41.3,41.6,337937
2021-09-22T18:00,41.55,44.35,41.4,43.2,1108998
2021-09-23T14:00,43.25,44.85,43.06,44.36,609901
2021-09-23T16:00,44.35,45.65,44,45,651248
2021-09-23T18:00,45,45.15,44.12,44.35,537571
2021-09-24T14:00,42.6,44.1,42.05,42.79,517852
2021-09-24T16:00,42.8,43.35,41.85,42.05,253243
2021-09-24T18:00,42,42.45,41.75,42.05,330832
2021-09-27T14:00,42.15,44.15,41.85,43.15,468202
2021-09-27T16:00,43.18,43.5,42.65,43.3,261646
