date,open,high,low,close,volume
2016-01-04T14:30,86.34,86.91,85.34,85.83,784356
2016-01-04T16:30,85.8,86.07,85.6,85.98,701995
2016-01-04T18:30,85.97,86.52,85.31,86.47,1094470
2016-01-05T14:30,87.32,87.92,86.63,87.21,519787
2016-01-05T16:30,87.2,87.5,86.75,87.01,250562
2016-01-05T18:30,87.02,88.04,86.99,87.88,1032293
2016-01-06T14:30,86.49,88.1,86.24,88.02,625244
2016-01-06T16:30,88.02,88.28,87.64,88.03,454285
2016-01-06T18:30,88.05,88.37,87.49,88.23,1172369
2016-01-07T14:30,86.83,88.59,85.67,87.28,689114
2016-01-07T16:30,87.3,87.47,86.26,86.4,426341
2016-01-07T18:30,86.37,87.07,86.17,86.77,1177706
2016-01-08T14:30,87.23,88.2,86.12,86.27,604909
2016-01-08T16:30,86.23,87.14,86.23,86.4,345142
2016-01-08T18:30,86.41,86.52,85.47,85.61,929803
2016-01-11T14:30,86.2,86.56,85.66,85.85,444745
2016-01-11T16:30,85.82,86.3,85.65,86.06,397051
2016-01-11T18:30,86.04,86.61,85.58,86.37,978649
2016-01-12T14:30,87,87.43,85.96,86.43,295887
2016-01-12T16:30,86.42,86.9,86.37,86.56,269085
2016-01-12T18:30,86.55,87.39,86.37,87.14,584758
2016-01-13T14:30,87.39,87.84,86.72,86.86,417903
2016-01-13T16:30,86.84,86.99,86.06,86.07,345723
2016-01-13T18:30,86.06,86.25,84.13,84.25,1015916
2016-01-14T14:30,84.81,85.6,83.74,85.53,948234
2016-01-14T16:30,85.56,87.03,85.38,87.01,427431
2016-01-14T18:30,87.05,87.72,86.58,86.66,967730
2016-01-15T14:30,84.11,85.38,84.01,84.69,963649
2016-01-15T16:30,84.69,84.89,83.62,83.96,535241
2016-01-15T18:30,83.98,84.61,83.22,84.06,944869
2016-01-19T14:30,85.38,85.57,83.85,84.26,579319
2016-01-19T16:30,84.32,84.8,83.67,83.81,460796
2016-01-19T18:30,83.83,83.99,82.73,83.49,1093906
2016-01-20T14:30,82.26,83.11,81.69,82.32,887837
2016-01-20T16:30,82.36,82.71,81.46,82.44,605499
2016-01-20T18:30,82.43,85.34,82.42,84.51,1177261
2016-01-21T14:30,85.26,85.95,83.8,85.42,470004
2016-01-21T16:30,85.48,86.06,85.08,85.08,258222
2016-01-21T18:30,85.04,85.32,84.23,84.48,626079
2016-01-22T14:30,85.51,86.26,84.71,85.74,319038
2016-01-22T16:30,85.79,86.02,85.41,85.91,179645
2016-01-22T18:30,85.91,86.37,85.79,86,492952
2016-01-25T14:30,85.88,86.05,84.36,84.93,304146
2016-01-25T16:30,84.92,85.57,84.83,85.41,233970
2016-01-25T18:30,85.42,85.47,84.15,84.28,651478
2016-01-26T14:30,84.47,85.02,83.64,84.69,262436
2016-01-26T16:30,84.67,85.17,84.35,84.91,280106
2016-01-26T18:30,84.9,85.18,84.63,85.13,508489
2016-01-27T14:30,84.86,85.24,84.13,84.9,251826
2016-01-27T16:30,84.88,85.69,84.87,85.03,131032
2016-01-27T18:30,84.93,85.31,83.1,83.39,457268
2016-01-28T14:30,84.36,84.73,83.33,84.21,449184
2016-01-28T16:30,84.21,84.47,83.58,84.1,194360
2016-01-28T18:30,84.13,84.66,83.9,84.56,434473
2016-01-29T14:30,85.17,86.68,84.61,86.27,345354
2016-01-29T16:30,86.25,87.37,86.2,87.06,367378
2016-01-29T18:30,87.07,87.86,87.02,87.74,816598
2016-02-01T14:30,87.46,88.17,86.7,87.74,416316
2016-02-01T16:30,87.74,88.24,87.63,88.09,228866
2016-02-01T18:30,88.12,89.1,88.02,88.54,507855
2016-02-02T14:30,87.57,87.89,86.89,87.35,551483
2016-02-02T16:30,87.36,87.49,86.47,86.89,483743
2016-02-02T18:30,86.87,86.95,86.34,86.48,1146913
