date,open,high,low,close,volume
2021-11-17T16:00,28,28.25,23.1301,25,3844616
2021-11-17T18:00,25,25.325,22.4,22.5,1295030
2021-11-17T20:00,22.565,24.5,21.46,24.08,1435289
2021-11-18T15:00,22.2401,22.9319,21.68,22.74,434020
2021-11-18T17:00,22.7653,23.24,22.6,22.895,219572
2021-11-18T19:00,22.9658,23.67,22.8,23.29,247671
2021-11-19T15:00,23.91,25,23.7,24.97,383131
2021-11-19T17:00,24.97,25.065,24.56,24.975,197689
2021-11-19T19:00,24.99,25.13,24.55,24.8,243874
2021-11-22T15:00,23.69,25.19,23.65,25.02,85271
2021-11-22T17:00,25.01,25.01,23.35,23.92,112970
2021-11-22T19:00,23.91,24.3,22.085,22.5,246889
2021-11-23T15:00,23.32,23.86,22.2201,22.2201,99580
2021-11-23T17:00,22.23,22.695,21.61,21.61,59128
2021-11-23T19:00,21.61,21.99,20.88,20.91,190167
2021-11-24T15:00,20.05,20.49,19.25,19.825,99492
2021-11-24T17:00,19.9,20.31,19.13,19.27,112794
2021-11-24T19:00,19.215,20.57,18.83,20.08,200704
2021-11-26T15:00,20.73,20.92,19.43,19.525,135694
2021-11-26T17:00,19.65,19.71,18.83,18.99,50051
2021-11-29T15:00,19.51,19.71,19,19.35,46287
2021-11-29T17:00,19.2791,19.5259,19.05,19.1901,93168
2021-11-29T19:00,19.25,19.49,18.9134,19.085,105045
2021-11-30T15:00,19.1034,19.13,17.17,17.51,213373
2021-11-30T17:00,17.49,18.07,17.13,17.555,143369
2021-11-30T19:00,17.5,18.5,17.5,18.16,224731
2021-12-01T15:00,18.66,19.3,18.14,18.915,134741
2021-12-01T17:00,18.91,18.99,18.37,18.92,58732
2021-12-01T19:00,18.79,18.85,18.435,18.45,68569
2021-12-02T15:00,17.96,19,17.055,17.11,49483
2021-12-02T17:00,17.475,17.64,16.9378,17.12,38421
2021-12-02T19:00,17.13,17.54,17.1,17.25,53619
2021-12-03T15:00,16.03,16.18,15.35,15.85,75679
2021-12-03T17:00,15.75,15.93,15.06,15.45,132218
2021-12-03T19:00,15.38,15.5,15.16,15.395,181735
2021-12-06T15:00,15.1,15.5,14.28,14.54,121545
2021-12-06T17:00,14.61,16.04,14.41,15.93,55391
2021-12-06T19:00,15.81,15.855,14.91,15.32,103275
2021-12-07T15:00,15.97,16.73,15.97,16.25,122144
2021-12-07T17:00,16.1918,16.3,15.7,15.93,163826
2021-12-07T19:00,16.06,16.32,15.91,16.09,49961
2021-12-08T15:00,16.3,16.3,15.11,15.4495,66453
2021-12-08T17:00,15.46,15.52,14.82,15.51,75535
2021-12-08T19:00,15.36,15.68,15.03,15.66,137332
