date,open,high,low,close,volume
2016-01-04T14:30,20.22,20.41,20.07,20.22,2322621
2016-01-04T16:30,20.21,20.44,20.21,20.37,1349012
2016-01-04T18:30,20.37,20.59,20.31,20.58,2990558
2016-01-05T14:30,20.67,20.79,20.31,20.33,1792812
2016-01-05T16:30,20.33,20.42,20.26,20.39,1107597
2016-01-05T18:30,20.39,20.57,20.39,20.53,1619637
2016-01-06T14:30,20,20.28,19.95,20.24,1708000
2016-01-06T16:30,20.24,20.32,20.02,20.07,920430
2016-01-06T18:30,20.07,20.19,19.96,20.17,2302661
2016-01-07T14:30,19.53,19.77,19.43,19.68,1498342
2016-01-07T16:30,19.67,19.69,19.52,19.54,1076443
2016-01-07T18:30,19.54,19.63,19.42,19.54,3382463
2016-01-08T14:30,19.7,19.73,19.22,19.24,1488353
2016-01-08T16:30,19.25,19.31,19.1,19.15,1086017
2016-01-08T18:30,19.15,19.21,18.63,18.68,2463398
2016-01-11T14:30,18.74,18.79,18.14,18.29,2209181
2016-01-11T16:30,18.29,18.51,18.26,18.38,1306056
2016-01-11T18:30,18.39,18.65,18.34,18.56,2129336
2016-01-12T14:30,18.76,18.84,18.33,18.36,1447201
2016-01-12T16:30,18.36,18.38,18.16,18.22,908902
2016-01-12T18:30,18.22,18.52,18.1,18.48,1832466
2016-01-13T14:30,18.61,18.67,18.24,18.36,1487717
2016-01-13T16:30,18.36,18.38,18.07,18.15,1311884
2016-01-13T18:30,18.14,18.21,17.91,18.04,3554513
2016-01-14T14:30,18.08,18.24,17.6,17.95,899978
2016-01-14T16:30,17.96,18.28,17.89,18.27,961338
2016-01-14T18:30,18.28,18.58,18.18,18.36,1737353
2016-01-15T14:30,17.71,18.14,17.71,17.87,1484157
2016-01-15T16:30,17.87,17.92,17.57,17.65,1082693
2016-01-15T18:30,17.65,17.95,17.65,17.83,1839973
2016-01-19T14:30,18.06,18.17,17.74,18.08,1064181
2016-01-19T16:30,18.09,18.1,17.89,17.96,652364
2016-01-19T18:30,17.96,17.97,17.69,17.87,1403210
2016-01-20T14:30,17.48,17.55,17.11,17.28,1413663
2016-01-20T16:30,17.27,17.29,16.96,17.16,1267054
2016-01-20T18:30,17.15,17.69,17.15,17.5,2727151
2016-01-21T14:30,17.66,17.94,17.42,17.71,1133151
2016-01-21T16:30,17.71,17.98,17.71,17.8,941290
2016-01-21T18:30,17.8,17.86,17.52,17.63,1697377
2016-01-22T14:30,17.96,18.31,17.91,18.13,1547537
2016-01-22T16:30,18.13,18.2,18,18.15,921487
2016-01-22T18:30,18.15,18.31,18.14,18.27,1532802
2016-01-25T14:30,18.15,18.2,17.91,18.03,1265265
2016-01-25T16:30,18.03,18.13,17.94,18.1,590763
2016-01-25T18:30,18.1,18.12,17.69,17.76,2358642
2016-01-26T14:30,17.84,18.14,17.83,18.13,1046936
2016-01-26T16:30,18.13,18.15,18.02,18.05,949494
2016-01-26T18:30,18.05,18.1,17.98,18.08,1623370
2016-01-27T14:30,18.06,18.27,17.92,18.27,994845
2016-01-27T16:30,18.27,18.48,18.25,18.4,1112496
2016-01-27T18:30,18.4,18.52,17.83,17.96,2876076
2016-01-28T14:30,18.15,18.51,17.71,17.74,2353018
2016-01-28T16:30,17.74,17.77,17.53,17.65,1415322
2016-01-28T18:30,17.64,17.85,17.55,17.7,2304303
2016-01-29T14:30,17.9,18.23,17.83,18.2,1466038
2016-01-29T16:30,18.21,18.61,18.16,18.53,2296447
2016-01-29T18:30,18.53,18.55,18.4,18.54,2953817
2016-02-01T14:30,18.37,18.41,18.07,18.15,1240735
2016-02-01T16:30,18.15,18.16,17.93,17.96,994997
2016-02-01T18:30,17.97,18.16,17.86,18.04,2549609
2016-02-02T14:30,17.61,17.61,17.15,17.28,1682122
2016-02-02T16:30,17.28,17.37,17.13,17.22,995919
2016-02-02T18:30,17.22,17.35,17.13,17.24,2328242
2016-02-03T14:30,17.38,17.43,16.59,16.99,1729314
2016-02-03T16:30,16.99,17.08,16.86,16.89,1883395
2016-02-03T18:30,16.88,17.16,16.81,17.09,4880189
2016-02-04T14:30,17.09,17.67,17.04,17.41,1429894
2016-02-04T16:30,17.41,17.53,17.27,17.36,921355
2016-02-04T18:30,17.37,17.41,17.27,17.34,2723481
2016-02-05T14:30,17.25,17.53,17.06,17.11,1028602
2016-02-05T16:30,17.12,17.15,16.88,16.91,1085929
2016-02-05T18:30,16.91,16.94,16.69,16.78,4063081
2016-02-08T14:30,16.38,16.38,15.93,16.07,1846637
2016-02-08T16:30,16.07,16.18,15.99,16.02,1083911
2016-02-08T18:30,16.02,16.07,15.77,15.98,2773374
2016-02-09T14:30,15.52,15.88,15.45,15.71,1273658
2016-02-09T16:30,15.7,15.8,15.61,15.69,1244891
2016-02-09T18:30,15.7,16.08,15.67,15.91,2831479
2016-02-10T14:30,16.04,16.38,15.97,16.21,1603148
2016-02-10T16:30,16.21,16.49,16.12,16.46,1227820
2016-02-10T18:30,16.46,16.57,16.31,16.31,3672741
2016-02-11T14:30,15.75,15.84,15.51,15.55,1981449
2016-02-11T16:30,15.54,15.68,15.49,15.58,1080131
2016-02-11T18:30,15.57,15.87,15.44,15.73,3241211
2016-02-12T14:30,16.23,16.5,15.78,16.48,1652764
2016-02-12T16:30,16.48,16.63,16.31,16.34,1534079
2016-02-12T18:30,16.35,16.48,16.2,16.43,1469227
2016-02-16T14:30,16.79,16.91,16.54,16.58,1156072
2016-02-16T16:30,16.59,16.81,16.57,16.79,1015224
2016-02-16T18:30,16.79,16.86,16.66,16.72,2131513
2016-02-17T14:30,16.99,17.36,16.93,17.31,1012254
2016-02-17T16:30,17.3,17.33,17.21,17.23,818236
2016-02-17T18:30,17.23,17.31,17.15,17.19,1542436
2016-02-18T14:30,17.19,17.22,16.96,16.99,1098141
2016-02-18T16:30,16.99,16.99,16.85,16.87,914459
2016-02-18T18:30,16.87,17.06,16.78,16.93,1889728
2016-02-19T14:30,16.76,16.84,16.42,16.47,1880447
2016-02-19T16:30,16.47,16.57,16.35,16.41,1604098
2016-02-19T18:30,16.41,16.52,16.41,16.49,2289999
2016-02-22T14:30,16.78,17.03,16.71,16.89,1068945
2016-02-22T16:30,16.89,16.95,16.84,16.92,915099
2016-02-22T18:30,16.92,17.09,16.92,17.02,1793967
2016-02-23T14:30,17.01,17.01,16.47,16.49,1206423
2016-02-23T16:30,16.5,16.62,16.45,16.5,702936
2016-02-23T18:30,16.5,16.57,16.41,16.51,1478818
2016-02-24T14:30,16.25,16.25,15.85,16.03,1078340
2016-02-24T16:30,16.03,16.31,16.02,16.25,575145
2016-02-24T18:30,16.25,16.42,16.2,16.39,1281393
2016-02-25T14:30,16.43,16.57,16.31,16.54,1111048
2016-02-25T16:30,16.54,16.69,16.52,16.69,772168
2016-02-25T18:30,16.69,16.85,16.67,16.84,2027197
2016-02-26T14:30,17.02,17.17,16.88,17,964492
2016-02-26T16:30,16.99,17.2,16.97,17.14,900774
2016-02-26T18:30,17.14,17.16,16.92,16.97,1267239
2016-02-29T14:30,16.89,17.01,16.81,16.96,901878
2016-02-29T16:30,16.95,17.04,16.91,16.91,413659
2016-02-29T18:30,16.91,16.97,16.72,16.74,1225217
2016-03-01T14:30,16.96,17.15,16.9,17.14,1615291
2016-03-01T16:30,17.14,17.34,17.09,17.33,1078804
2016-03-01T18:30,17.32,17.46,17.32,17.46,2219568
2016-03-02T14:30,17.51,17.63,17.37,17.55,1479628
2016-03-02T16:30,17.55,17.56,17.44,17.54,676009
2016-03-02T18:30,17.54,17.68,17.52,17.68,1735142
2016-03-03T14:30,17.62,17.95,17.6,17.78,1111718
2016-03-03T16:30,17.77,17.9,17.76,17.8,631943
2016-03-03T18:30,17.81,17.93,17.81,17.92,1616871
2016-03-04T14:30,18.01,18.41,17.83,18.3,1733872
2016-03-04T16:30,18.3,18.37,18.15,18.29,752643
2016-03-04T18:30,18.29,18.33,18.05,18.22,1994021
2016-03-07T14:30,17.91,18.3,17.91,18.15,1107638
2016-03-07T16:30,18.15,18.23,18.12,18.14,481950
2016-03-07T18:30,18.14,18.19,18.01,18.17,1252786
2016-03-08T14:30,17.95,18.05,17.6,17.73,1060091
2016-03-08T16:30,17.73,17.87,17.66,17.81,477124
