date,open,high,low,close,volume
2016-01-04T14:30,8.372,8.398,8.282,8.314,8297279
2016-01-04T16:30,8.308,8.385,8.308,8.333,3587672
2016-01-04T18:30,8.327,8.366,8.288,8.359,5636492
2016-01-05T14:30,8.385,8.43,8.217,8.24,7321369
2016-01-05T16:30,8.243,8.327,8.224,8.275,3714793
2016-01-05T18:30,8.275,8.33,8.262,8.288,6633266
2016-01-06T14:30,8.172,8.256,8.121,8.224,5247497
2016-01-06T16:30,8.217,8.243,8.172,8.204,4631790
2016-01-06T18:30,8.211,8.211,8.114,8.14,9422214
2016-01-07T14:30,8.011,8.108,7.953,7.979,6343952
2016-01-07T16:30,7.979,7.985,7.869,7.885,4825662
2016-01-07T18:30,7.885,7.908,7.831,7.85,8482071
2016-01-08T14:30,7.921,7.95,7.747,7.757,4768525
2016-01-08T16:30,7.757,7.837,7.728,7.815,3204561
2016-01-08T18:30,7.811,7.827,7.663,7.676,5943095
2016-01-11T14:30,7.728,7.776,7.573,7.592,6086678
2016-01-11T16:30,7.59,7.718,7.573,7.682,6746576
2016-01-11T18:30,7.679,7.737,7.637,7.695,9208077
2016-01-12T14:30,7.786,7.811,7.624,7.631,3971853
2016-01-12T16:30,7.631,7.676,7.592,7.605,2130732
2016-01-12T18:30,7.602,7.779,7.57,7.773,7785106
2016-01-13T14:30,7.818,7.85,7.666,7.679,5040613
2016-01-13T16:30,7.679,7.695,7.586,7.586,5081726
2016-01-13T18:30,7.592,7.605,7.46,7.528,11027623
2016-01-14T14:30,7.592,7.65,7.444,7.554,6103085
2016-01-14T16:30,7.554,7.657,7.528,7.65,3923467
2016-01-14T18:30,7.65,7.682,7.605,7.624,6135089
2016-01-15T14:30,7.309,7.463,7.309,7.399,6682301
2016-01-15T16:30,7.399,7.405,7.27,7.354,4902995
2016-01-15T18:30,7.354,7.438,7.334,7.418,7652011
2016-01-19T14:30,7.502,7.534,7.367,7.399,4860750
2016-01-19T16:30,7.399,7.431,7.328,7.341,2816514
2016-01-19T18:30,7.344,7.373,7.251,7.302,6167976
2016-01-20T14:30,7.154,7.186,7.006,7.077,8638306
2016-01-20T16:30,7.077,7.089,6.948,7.044,5762450
2016-01-20T18:30,7.044,7.296,7.038,7.225,13396087
2016-01-21T14:30,7.012,7.392,6.986,7.302,9421548
2016-01-21T16:30,7.302,7.392,7.225,7.231,4023461
2016-01-21T18:30,7.238,7.27,7.167,7.193,8521072
2016-01-22T14:30,7.321,7.457,7.302,7.328,7017801
2016-01-22T16:30,7.328,7.328,7.257,7.28,3178679
2016-01-22T18:30,7.28,7.315,7.257,7.296,8862575
2016-01-25T14:30,7.283,7.289,7.077,7.128,5853913
2016-01-25T16:30,7.122,7.135,7.044,7.131,4535639
2016-01-25T18:30,7.131,7.135,6.967,6.993,8132807
2016-01-26T14:30,7.031,7.135,7.012,7.025,6134782
2016-01-26T16:30,7.025,7.102,6.993,7.022,5137815
2016-01-26T18:30,7.025,7.07,7.012,7.044,4501084
2016-01-27T14:30,7.019,7.193,7.002,7.186,4602271
2016-01-27T16:30,7.193,7.267,7.186,7.193,3704524
2016-01-27T18:30,7.196,7.218,6.999,7.044,7955557
2016-01-28T14:30,7.173,7.251,7.06,7.141,5372064
2016-01-28T16:30,7.141,7.18,7.07,7.135,2965715
2016-01-28T18:30,7.141,7.18,7.103,7.138,5349823
2016-01-29T14:30,7.186,7.212,7.089,7.093,5122442
2016-01-29T16:30,7.096,7.16,7.057,7.106,3091619
2016-01-29T18:30,7.106,7.218,7.102,7.199,6921874
2016-02-01T14:30,7.251,7.251,7.102,7.17,4098166
2016-02-01T16:30,7.173,7.18,7.109,7.141,3095458
2016-02-01T18:30,7.141,7.173,7.125,7.135,6287033
2016-02-02T14:30,7.031,7.031,6.915,6.986,6178703
2016-02-02T16:30,6.986,7.012,6.941,6.977,3213397
2016-02-02T18:30,6.973,6.986,6.896,6.941,5467548
2016-02-03T14:30,6.98,6.993,6.651,6.78,7456970
2016-02-03T16:30,6.78,6.861,6.754,6.806,5421103
2016-02-03T18:30,6.803,6.993,6.78,6.961,9482523
2016-02-04T14:30,6.922,7.089,6.922,7.009,7613031
