date,open,high,low,close,volume
2016-01-04T14:30,39.41,39.59,38.78,38.88,1061722
2016-01-04T16:30,38.86,39.03,37.62,38.36,1661240
2016-01-04T18:30,38.38,38.54,37.79,38.3,2681768
2016-01-05T14:30,38.56,38.66,37.8,38.07,1218328
2016-01-05T16:30,38.08,38.21,37.85,38.1,594129
2016-01-05T18:30,38.11,38.45,38,38.35,1093109
2016-01-06T14:30,37.81,38.29,37.7,37.92,940358
2016-01-06T16:30,37.92,37.94,37.58,37.66,542564
2016-01-06T18:30,37.65,37.71,36.89,37.24,1824272
2016-01-07T14:30,36.43,36.65,36.01,36.42,1683844
2016-01-07T16:30,36.43,36.73,35.84,35.84,1132588
2016-01-07T18:30,35.83,35.94,35.46,35.6,2091624
2016-01-08T14:30,35.99,36.02,34.52,34.57,1829441
2016-01-08T16:30,34.57,34.84,34.36,34.64,1138659
2016-01-08T18:30,34.65,35.01,34.38,34.52,2110308
2016-01-11T14:30,34.88,35.08,34.5,34.63,947912
2016-01-11T16:30,34.61,34.95,34.36,34.38,574122
2016-01-11T18:30,34.38,34.98,34.27,34.76,1445374
2016-01-12T14:30,35.09,35.55,34.36,34.44,1177897
2016-01-12T16:30,34.44,34.79,34.25,34.66,622258
2016-01-12T18:30,34.64,35.35,34.64,35.31,1574434
2016-01-13T14:30,35.59,35.94,34.9,34.93,1075143
2016-01-13T16:30,34.93,35.03,34.22,34.25,753573
2016-01-13T18:30,34.25,34.38,33.86,34.02,1614313
2016-01-14T14:30,34.06,34.2,33.39,33.45,1664866
2016-01-14T16:30,33.46,33.7,33.17,33.59,1446335
2016-01-14T18:30,33.59,34.05,33.54,33.66,1373366
2016-01-15T14:30,32.79,33.71,32.4,33.41,2539505
2016-01-15T16:30,33.4,33.46,32.96,33.32,928699
2016-01-15T18:30,33.29,34.03,33.23,33.55,2245756
2016-01-19T14:30,34.2,34.34,33.55,33.84,1016592
2016-01-19T16:30,33.84,34.11,33.7,33.81,649071
2016-01-19T18:30,33.81,33.9,33.2,33.59,1152861
2016-01-20T14:30,33.21,33.21,31.97,32.24,1411156
2016-01-20T16:30,32.24,32.59,32,32.57,915556
2016-01-20T18:30,32.58,33.77,32.58,33.34,1360965
2016-01-21T14:30,33.49,34.38,33.38,33.88,1441815
2016-01-21T16:30,33.93,34.5,33.92,34.07,616242
2016-01-21T18:30,34.07,34.2,33.64,33.76,1216367
2016-01-22T14:30,34.36,35.38,34.33,34.66,1125638
2016-01-22T16:30,34.66,34.7,34.16,34.56,636794
2016-01-22T18:30,34.57,34.88,34.3,34.6,1171775
2016-01-25T14:30,34.48,34.48,33.45,33.86,1322872
2016-01-25T16:30,33.88,33.88,33.13,33.5,828725
2016-01-25T18:30,33.51,33.56,33.07,33.28,2049200
2016-01-26T14:30,33.75,34.66,33.15,34.62,1359425
2016-01-26T16:30,34.62,35.08,34.44,34.57,858030
2016-01-26T18:30,34.57,34.95,34.52,34.86,1514919
2016-01-27T14:30,34.73,34.9,34.39,34.7,563521
2016-01-27T16:30,34.69,35,34.66,34.67,555900
2016-01-27T18:30,34.66,34.94,34.07,34.32,881248
2016-01-28T14:30,34.66,35.02,34.29,34.49,966448
2016-01-28T16:30,34.48,34.53,34.01,34.13,646203
2016-01-28T18:30,34.12,34.26,33.8,33.88,1349550
2016-01-29T14:30,34.09,34.39,33.87,34.33,514494
2016-01-29T16:30,34.34,34.63,34.2,34.57,413622
2016-01-29T18:30,34.57,34.75,34.5,34.58,1503093
2016-02-01T14:30,34.33,34.69,34.03,34.51,650927
2016-02-01T16:30,34.52,34.53,34.06,34.18,452421
2016-02-01T18:30,34.18,34.34,34.02,34.14,876148
2016-02-02T14:30,33.67,33.93,33.2,33.61,603398
2016-02-02T16:30,33.61,33.65,33.16,33.3,358525
2016-02-02T18:30,33.3,33.3,32.91,32.98,1023649
2016-02-03T14:30,33.38,33.56,32.05,32.78,1404619
2016-02-03T16:30,32.76,33.05,32.68,32.73,557057
2016-02-03T18:30,32.73,33.22,32.56,33.13,1078178
2016-02-04T14:30,33.03,33.88,33.03,33.44,645257
2016-02-04T16:30,33.44,33.63,33.2,33.41,359868
2016-02-04T18:30,33.41,33.47,32.95,33.26,808270
2016-02-05T14:30,33.06,33.51,32.37,32.51,783081
2016-02-05T16:30,32.51,32.87,32.47,32.71,486195
2016-02-05T18:30,32.7,32.7,32.38,32.44,1654685
2016-02-08T14:30,31.96,32.07,31.39,31.6,805229
2016-02-08T16:30,31.59,31.82,31.44,31.52,557210
2016-02-08T18:30,31.52,31.69,31.07,31.55,1689873
2016-02-09T14:30,31.01,31.92,30.99,31.45,916577
2016-02-09T16:30,31.46,31.51,31.08,31.21,643769
2016-02-09T18:30,31.2,31.78,31.13,31.52,1636221
2016-02-10T14:30,31.92,32.33,31.51,31.92,409359
2016-02-10T16:30,31.9,32.38,31.8,32.22,365202
2016-02-10T18:30,32.22,32.54,31.98,31.99,992203
2016-02-11T14:30,31.42,31.72,31.04,31.05,829686
2016-02-11T16:30,31.07,31.31,31.02,31.19,834450
2016-02-11T18:30,31.19,31.28,30.48,31.01,2411145
2016-02-12T14:30,31.55,32.35,31.48,32.32,806009
2016-02-12T16:30,32.32,32.49,32.07,32.09,560896
2016-02-12T18:30,32.09,32.61,31.98,32.57,1186414
2016-02-16T14:30,33.01,33.29,32.42,32.47,694365
2016-02-16T16:30,32.48,32.98,32.47,32.92,611993
2016-02-16T18:30,32.92,33.12,32.85,33.07,894004
2016-02-17T14:30,33.41,33.62,33.14,33.43,687178
2016-02-17T16:30,33.43,33.56,33.06,33.06,947374
2016-02-17T18:30,33.05,33.27,32.92,33.25,1869769
2016-02-18T14:30,33.29,33.42,32.67,32.78,497477
2016-02-18T16:30,32.79,33.03,32.71,32.73,441926
2016-02-18T18:30,32.74,33,32.6,32.83,731081
2016-02-19T14:30,32.74,33.28,32.56,32.95,1153317
2016-02-19T16:30,32.95,33.03,32.56,32.7,676817
2016-02-19T18:30,32.7,32.81,32.56,32.81,1525793
2016-02-22T14:30,33.13,33.39,32.81,32.85,1132686
2016-02-22T16:30,32.85,33.19,32.85,33.19,579109
2016-02-22T18:30,33.18,33.53,33.18,33.52,1618601
2016-02-23T14:30,33.38,33.59,32.97,33.18,460108
2016-02-23T16:30,33.19,33.81,33.16,33.61,518308
2016-02-23T18:30,33.61,33.8,33.51,33.67,972799
2016-02-24T14:30,33.38,33.4,32.74,33.05,705705
2016-02-24T16:30,33.05,33.52,33.04,33.38,412864
2016-02-24T18:30,33.4,33.74,33.31,33.72,780234
2016-02-25T14:30,33.74,34.6,33.73,34.57,821790
2016-02-25T16:30,34.57,34.62,34.23,34.56,510579
2016-02-25T18:30,34.55,34.75,34.37,34.66,1194814
2016-02-26T14:30,34.8,35.14,34.48,34.93,769845
2016-02-26T16:30,34.92,34.98,34.73,34.83,329397
2016-02-26T18:30,34.83,34.86,34.48,34.66,729358
2016-02-29T14:30,34.63,34.98,34.54,34.89,508271
2016-02-29T16:30,34.89,35.06,34.61,34.64,393840
2016-02-29T18:30,34.64,34.76,34.39,34.41,856778
2016-03-01T14:30,34.77,35.46,34.77,35.39,576100
2016-03-01T16:30,35.38,35.67,35.31,35.61,454299
2016-03-01T18:30,35.61,35.98,35.53,35.81,1145394
2016-03-02T14:30,35.65,36.45,35.65,36.42,904805
2016-03-02T16:30,36.43,36.5,36.12,36.5,574911
2016-03-02T18:30,36.5,36.76,36.33,36.74,1291688
2016-03-03T14:30,36.74,37.38,36.71,36.87,878262
2016-03-03T16:30,36.87,37.23,36.87,37.18,457562
2016-03-03T18:30,37.19,37.47,37.18,37.44,917358
2016-03-04T14:30,37.43,37.63,37.01,37.41,532224
2016-03-04T16:30,37.41,37.59,37.2,37.42,407143
2016-03-04T18:30,37.42,37.49,37.01,37.23,829124
2016-03-07T14:30,36.97,37.76,36.93,37.44,595943
2016-03-07T16:30,37.44,37.77,37.44,37.62,639301
2016-03-07T18:30,37.61,37.7,37.3,37.53,786827
2016-03-08T14:30,37.42,37.52,36.2,36.28,872819
2016-03-08T16:30,36.28,36.82,36.22,36.75,364867
2016-03-08T18:30,36.75,36.82,36.45,36.54,1003473
2016-03-09T14:30,36.74,36.76,36.16,36.58,475181
2016-03-09T16:30,36.59,37.02,36.56,36.96,355349
2016-03-09T18:30,36.97,37.22,36.89,37.11,887415
2016-03-10T14:30,37.14,37.52,36.56,36.62,511517
