date,open,high,low,close,volume
2021-01-04T15:00,245.73,245.79,238.89,239.25,338288
2021-01-04T17:00,239.26,240.29,238.33,240,236392
2021-01-04T19:00,240,240.01,237.74,239.18,436262
2021-01-05T15:00,240.33,240.94,238.28,239.95,279043
2021-01-05T17:00,240.17,241.21,240.13,241.05,196341
2021-01-05T19:00,241.09,243.17,241.05,242.8,512484
2021-01-06T15:00,246.45,250.75,245.97,250.54,773852
2021-01-06T17:00,250.54,253.64,250,251.53,385176
2021-01-06T19:00,251.49,252.14,249.41,250.8,697001
2021-01-07T15:00,251.58,252.87,251,252.23,403268
2021-01-07T17:00,252.25,252.89,250.74,251.04,178604
2021-01-07T19:00,251.07,251.13,249.23,250.12,465405
2021-01-08T15:00,250.56,251.38,249,250.49,455019
2021-01-08T17:00,250.4,250.85,247.5,247.97,164631
2021-01-08T19:00,248.24,250.16,248.24,249.78,542810
2021-01-11T15:00,245.35,248.38,245.35,247.99,378093
2021-01-11T17:00,248.07,248.57,246.89,247.44,330381
2021-01-11T19:00,247.35,248.31,246.73,247.24,422712
2021-01-12T15:00,244.79,246.51,244.55,245.01,522961
2021-01-12T17:00,245.1,245.53,243.57,245.24,337365
2021-01-12T19:00,245.13,247.19,245.13,246.2,503778
2021-01-13T15:00,246.79,247.17,245.99,246.54,340005
2021-01-13T17:00,246.48,247.14,246.29,246.91,211640
2021-01-13T19:00,246.86,248.06,246.56,247.34,477808
2021-01-14T15:00,246.13,246.36,245.32,245.64,456843
2021-01-14T17:00,245.62,245.72,244.79,244.79,194526
2021-01-14T19:00,244.79,244.91,243.45,243.58,564385
2021-01-15T15:00,240.77,240.86,237.31,239.72,437114
2021-01-15T17:00,239.6,240.07,239.12,239.62,339484
2021-01-15T19:00,239.68,240.68,238.01,238.41,541044
2021-01-19T15:00,241.19,241.54,238.87,238.98,325657
2021-01-19T17:00,238.98,239.78,238.62,239.08,261835
2021-01-19T19:00,239.02,239.95,238.59,239.32,467872
2021-01-20T15:00,239.4,240.48,238.92,239.76,343222
2021-01-20T17:00,239.73,240.82,239.71,240.34,154539
2021-01-20T19:00,240.36,240.39,237.67,237.72,658014
2021-01-21T15:00,236.33,237.32,235.67,235.96,288285
2021-01-21T17:00,235.93,235.93,233.71,234.84,274492
2021-01-21T19:00,234.85,235.11,233.81,233.98,580113
2021-01-22T15:00,233.42,235.15,233.36,234.58,397562
2021-01-22T17:00,234.62,234.63,233.14,233.58,240316
2021-01-22T19:00,233.51,233.79,232.07,232.19,547770
2021-01-25T15:00,228.53,230.01,227.24,228.41,463300
2021-01-25T17:00,228.66,231.18,228.48,231.18,350335
2021-01-25T19:00,231.13,234.22,230.64,233.82,625125
2021-01-26T15:00,235.42,237.26,235.42,236.67,392973
2021-01-26T17:00,236.64,237.41,236.08,236.91,220723
2021-01-26T19:00,236.97,238.01,235.99,236.39,557531
2021-01-27T15:00,227.25,230.71,226.67,228.65,656532
2021-01-27T17:00,228.5,229.12,227.43,227.58,346343
2021-01-27T19:00,227.66,227.94,222.44,224.55,1131885
2021-01-28T15:00,227.64,231.95,227.31,231.34,519678
2021-01-28T17:00,231.5,232.04,230.68,231.44,361254
2021-01-28T19:00,231.49,231.88,229.65,230.51,645423
2021-01-29T15:00,229.11,230.31,226.48,227.43,352331
2021-01-29T17:00,227.37,227.37,225.49,226.11,233613
2021-01-29T19:00,226.3,228.9,226.23,226.53,513343
2021-02-01T15:00,228.53,230.67,227.19,230.44,410262
2021-02-01T17:00,230.44,231.31,229.63,230.52,267481
2021-02-01T19:00,230.48,232.05,230.16,231.31,481942
2021-02-02T15:00,232.05,234.3,232.05,233.84,462357
2021-02-02T17:00,233.84,234.16,232.98,233.1,195047
2021-02-02T19:00,233.05,233.93,232.7,232.9,425868
2021-02-03T15:00,233.24,233.5,231.84,233.47,523598
2021-02-03T17:00,233.54,233.54,232.01,232.15,424429
2021-02-03T19:00,232.16,232.33,230.76,230.89,858173
2021-02-04T15:00,229.48,232.77,228.93,232.15,894362
2021-02-04T17:00,232.15,233.17,231.1,231.74,364398
2021-02-04T19:00,231.72,231.76,229.6,230.1,764562
2021-02-05T15:00,236.14,238.45,233.87,237.65,917623
2021-02-05T17:00,237.72,239.88,237.27,239.35,553365
2021-02-05T19:00,239.36,239.69,237.25,237.77,537556
2021-02-08T15:00,238.82,239.99,238.27,238.72,598101
2021-02-08T17:00,238.68,239.13,236.62,237.16,330005
2021-02-08T19:00,237.12,237.77,236.14,237.72,430772
2021-02-09T15:00,236.1,237.12,235.51,236.74,301090
2021-02-09T17:00,236.71,237.88,236.66,236.88,275816
2021-02-09T19:00,236.85,237.4,236.04,236.19,500249
2021-02-10T15:00,234.62,235.62,232.19,233.47,445710
2021-02-10T17:00,233.39,234.28,232.48,234.14,184195
2021-02-10T19:00,234.18,234.75,232.73,233.3,413057
2021-02-11T15:00,233.5,235.05,233.3,234.74,298977
2021-02-11T17:00,234.7,234.84,232.59,233.81,235478
2021-02-11T19:00,233.77,234.42,233.02,233.84,387303
2021-02-12T15:00,233.04,234.37,232.69,233.96,356257
2021-02-12T17:00,233.91,234.13,232.14,232.55,291335
2021-02-12T19:00,232.59,233.57,231.77,233.42,532372
2021-02-16T15:00,233.29,233.49,231.55,231.71,359983
2021-02-16T17:00,231.82,232.47,231.33,231.42,285141
2021-02-16T19:00,231.38,231.6,230.8,231.08,448933
2021-02-17T15:00,230.12,231.05,228.95,229.65,391316
2021-02-17T17:00,229.65,230.5,228.92,229.46,292872
2021-02-17T19:00,229.5,230.69,229.08,230.3,510472
2021-02-18T15:00,228.58,231.5,227.68,231.35,984190
2021-02-18T17:00,231.31,232.08,230.38,231.58,342547
2021-02-18T19:00,231.51,231.86,230.34,230.87,543102
2021-02-19T15:00,232.28,232.36,230.56,231.29,271799
2021-02-19T17:00,231.22,231.96,230.93,231.96,200421
2021-02-19T19:00,232.01,232.76,230.96,231.67,569130
2021-02-22T15:00,231.23,232.79,230.25,231.74,598678
2021-02-22T17:00,231.67,232.35,230.84,232.32,441631
2021-02-22T19:00,232.33,232.63,231.12,231.92,542400
2021-02-23T15:00,231.79,236.29,231.21,236.19,733948
2021-02-23T17:00,236.06,236.45,234.37,236.13,401967
2021-02-23T19:00,236.12,239.44,236.03,238.81,1225464
2021-02-24T15:00,238,238.43,236.83,237.34,514721
2021-02-24T17:00,237.35,237.89,236.95,237.38,275912
2021-02-24T19:00,237.38,237.49,235.08,235.23,709895
2021-02-25T15:00,233.39,233.52,228.74,228.86,577077
2021-02-25T17:00,228.85,230.08,228.44,228.64,537787
2021-02-25T19:00,228.62,229.52,228.07,228.33,588471
2021-02-26T15:00,228.32,229.13,226.54,227.98,933886
2021-02-26T17:00,228.04,229.29,227.23,227.25,254382
2021-02-26T19:00,227.3,228.15,225.56,225.57,554274
2021-03-01T15:00,230.8,232.87,230.29,232.86,281432
2021-03-01T17:00,232.86,233.27,230.08,232.13,357327
2021-03-01T19:00,232.14,232.97,231.03,232.31,473772
2021-03-02T15:00,234.97,235.18,233.71,234.87,452875
2021-03-02T17:00,234.86,237.39,234.75,237.01,321171
2021-03-02T19:00,236.96,237.11,234.5,234.75,474656
2021-03-03T15:00,230.24,230.94,228.88,230.72,465863
2021-03-03T17:00,230.75,232.06,230.61,231.14,191600
2021-03-03T19:00,231.32,231.47,228.59,228.66,524828
2021-03-04T15:00,229.69,231.27,228.37,230.3,503327
2021-03-04T17:00,230.3,231.62,224.95,225.18,376237
2021-03-04T19:00,225.21,228.08,225.04,227.72,729917
2021-03-05T15:00,226.8,227.22,224.4,226.23,505230
2021-03-05T17:00,226.11,230.35,226.11,230.2,339620
2021-03-05T19:00,230.16,230.33,229.38,229.77,701003
2021-03-08T15:00,231.93,237.79,231.84,236.09,621707
2021-03-08T17:00,236.09,238.15,235.69,236.52,297515
2021-03-08T19:00,236.53,237.07,235.35,235.47,685192
2021-03-09T15:00,240.36,243.09,240.28,242.96,636963
2021-03-09T17:00,242.96,245.69,242.91,245.28,490584
2021-03-09T19:00,245.34,245.75,242.88,243.37,871664
2021-03-10T15:00,247.31,247.43,245.84,246.86,575466
2021-03-10T17:00,246.78,247.32,246.03,246.81,288114
2021-03-10T19:00,246.84,247.71,245.87,246.4,620439
2021-03-11T15:00,249.42,249.98,248.26,248.56,388787
2021-03-11T17:00,248.57,249.98,248.52,249.72,240573
2021-03-11T19:00,249.77,250.49,247.95,248.05,523403
2021-03-12T15:00,247.55,248.03,246.27,246.31,271865
2021-03-12T17:00,246.32,247.55,246.23,247.39,128384
2021-03-12T19:00,247.39,249.15,247.36,249.15,468768
2021-03-15T14:00,246.74,247.77,246.25,246.67,306150
2021-03-15T16:00,246.69,248.57,246.66,248.06,296643
2021-03-15T18:00,248.05,249.57,247.7,249.56,473288
2021-03-16T14:00,250.18,250.79,248.76,249.07,353552
2021-03-16T16:00,249.08,251.18,249.08,251.1,226328
2021-03-16T18:00,251.08,252.08,250.93,251.22,641047
2021-03-17T14:00,250.6,252.14,250.17,250.95,427776
2021-03-17T16:00,250.92,251.06,249.01,249.06,280432
2021-03-17T18:00,249.17,250.52,249.15,250.03,517720
2021-03-18T14:00,248.11,249.5,247.29,249.5,333605
2021-03-18T16:00,249.54,250.94,249.53,250.7,227254
2021-03-18T18:00,250.65,250.74,248.41,248.58,611378
2021-03-19T14:00,245.99,247.73,245.03,247.67,419895
2021-03-19T16:00,247.65,249.64,247.43,249.64,248737
2021-03-19T18:00,249.66,251.31,248.82,249.34,950300
2021-03-22T14:00,250.18,251.86,249.63,251.4,300943
2021-03-22T16:00,251.48,251.83,250.73,251.78,255620
2021-03-22T18:00,251.77,252.02,250.41,250.76,297300
2021-03-23T14:00,251.31,252.78,250.43,251.86,275887
2021-03-23T16:00,251.88,252.65,249.49,249.57,295899
2021-03-23T18:00,249.54,250.23,247.68,248.52,550340
2021-03-24T14:00,248.06,251.11,248.06,250.84,331974
2021-03-24T16:00,250.86,251.57,250.48,251.21,185146
2021-03-24T18:00,251.18,251.44,249.86,250.31,422220
2021-03-25T14:00,250.16,252.13,249.78,251.92,426055
2021-03-25T16:00,251.94,254.1,251.8,253.35,400717
2021-03-25T18:00,253.35,254.33,252.79,253.69,580822
2021-03-26T14:00,256.04,257.21,255.31,256.98,394917
2021-03-26T16:00,257.05,258.42,256.97,257.72,350459
2021-03-26T18:00,257.63,261.51,257.21,261.06,956683
2021-03-29T14:00,260.35,260.49,257.69,260.47,455779
2021-03-29T16:00,260.36,262.34,260.14,261.93,342735
2021-03-29T18:00,261.92,262.78,260.52,260.67,644432
2021-03-30T14:00,260.33,260.51,258.72,258.89,322155
2021-03-30T16:00,258.93,259.95,258.68,259.7,243763
2021-03-30T18:00,259.73,259.86,258.55,259.17,449971
2021-03-31T14:00,259.29,261.27,259.22,260.91,363605
2021-03-31T16:00,260.84,261.93,260.69,261.79,258881
2021-03-31T18:00,261.78,262.78,259.69,260.19,779256
2021-04-01T14:00,257.97,259.74,257.13,259.63,338989
2021-04-01T16:00,259.73,260.07,259.25,259.4,237146
2021-04-01T18:00,259.45,261.09,258.85,260.53,611996
2021-04-05T14:00,264.02,265.81,263.7,265.29,268784
2021-04-05T16:00,265.28,266.24,264.56,265.32,196538
2021-04-05T18:00,265.21,265.65,264.61,264.67,393989
2021-04-06T14:00,263.43,264.61,262.9,263.83,226854
2021-04-06T16:00,263.88,263.95,262.6,263.13,193456
2021-04-06T18:00,263.09,263.62,261.96,263.47,471128
2021-04-07T14:00,262.48,263.47,261.64,262,336058
2021-04-07T16:00,261.93,262.57,261.54,262.33,215274
2021-04-07T18:00,262.42,262.55,260.18,260.92,593995
2021-04-08T14:00,262.63,263.6,261.99,262.97,357913
2021-04-08T16:00,262.99,263.2,261.99,262.35,237364
2021-04-08T18:00,262.37,262.63,261.54,261.76,538737
2021-04-09T14:00,263.47,264.27,261.37,262.55,350320
2021-04-09T16:00,262.61,263.02,261.99,262.67,192220
2021-04-09T18:00,262.67,264.62,261.99,264.17,463225
2021-04-12T14:00,264.74,265.04,263.92,264.75,285155
2021-04-12T16:00,264.79,265.67,263.66,264.09,188891
2021-04-12T18:00,264.23,265.24,263.83,264.91,363391
2021-04-13T14:00,266.2,266.64,264.92,266.42,323086
2021-04-13T16:00,266.42,266.48,264.69,265.79,163891
2021-04-13T18:00,265.78,266.37,265.01,265.6,341034
2021-04-14T14:00,264.88,265.81,263.59,265.52,221560
2021-04-14T16:00,265.55,265.67,264.59,264.88,168632
2021-04-14T18:00,264.99,265.25,264.21,264.45,342811
2021-04-15T14:00,266.36,267.61,266.03,267.45,329398
2021-04-15T16:00,267.4,267.93,267.1,267.18,153378
2021-04-15T18:00,267.15,267.57,266.74,267.25,266083
2021-04-16T14:00,267.98,269.23,267.75,267.81,213253
2021-04-16T16:00,267.77,268.9,267.77,268.63,96297
2021-04-16T18:00,268.62,269.63,268.57,269.1,271025
2021-04-20T14:00,266.69,266.86,265.04,265.39,324641
2021-04-20T16:00,265.37,266.39,265.1,265.79,192718
2021-04-20T18:00,265.83,266.08,265.04,265.25,454421
2021-04-21T14:00,269.28,270.29,268.97,269.97,362671
2021-04-21T16:00,269.99,270.5,268.91,270.48,122292
2021-04-21T18:00,270.52,271.35,270.49,270.92,349338
2021-04-22T14:00,269.85,270.72,269.12,270.44,225688
2021-04-22T16:00,270.4,270.61,267.83,268.18,139310
2021-04-22T18:00,268.01,268.66,267.34,267.93,246396
2021-04-23T14:00,268.24,270.01,267.96,269.9,234826
2021-04-23T16:00,269.8,270.64,269.52,270.12,152133
2021-04-23T18:00,270.1,271.29,269.96,270.62,366065
2021-04-26T14:00,270.53,270.94,269.19,269.23,152926
2021-04-26T16:00,269.18,269.5,268.66,269.28,130146
2021-04-26T18:00,269.35,269.68,267.9,268.68,251933
2021-04-27T14:00,268.19,268.76,267.51,268.58,240012
2021-04-27T16:00,268.63,269.09,268.01,268.8,169423
2021-04-27T18:00,268.71,269.83,268.47,269.22,304035
2021-04-28T14:00,268.7,269.56,267.96,268.08,229045
2021-04-28T16:00,268.06,268.58,267,267.07,143815
2021-04-28T18:00,267.29,268.04,266.21,266.4,664828
2021-04-29T14:00,266.42,266.98,265.26,266.29,411484
2021-04-29T16:00,266.36,267.47,265.96,267.01,144371
2021-04-29T18:00,267.12,268.42,266.91,268.38,355428
2021-04-30T14:00,267.48,267.63,265.22,265.53,292151
2021-04-30T16:00,265.41,266.2,265.24,265.25,214005
2021-04-30T18:00,265.35,266.14,264.77,265.3,592556
2021-05-03T14:00,266.8,268.65,266.64,268.34,215944
2021-05-03T16:00,268.38,268.39,267.64,268.11,133804
2021-05-03T18:00,268.13,268.43,267.3,267.83,295018
2021-05-04T14:00,263.56,264.26,262.14,262.64,456157
2021-05-04T16:00,262.55,263.26,262.41,262.83,317313
2021-05-04T18:00,262.76,263.09,261.57,262.55,982583
2021-05-05T14:00,266.45,271.11,266.02,271.11,390930
2021-05-05T16:00,271.04,271.61,270.21,271.04,237285
2021-05-05T18:00,271.13,271.48,269.74,270.53,475980
2021-05-06T14:00,272.18,275.07,270.52,273.99,606211
2021-05-06T16:00,274.03,274.32,272.85,273.51,402638
2021-05-06T18:00,273.46,275.02,271.95,274.65,805888
2021-05-07T14:00,277.58,278.97,276.84,277.32,283659
2021-05-07T16:00,277.2,278.79,276.25,278.59,233055
2021-05-07T18:00,278.53,279.16,277.32,277.33,601197
2021-05-10T14:00,281.27,281.33,279.52,281.08,334159
2021-05-10T16:00,281.12,281.91,280.27,280.78,221111
2021-05-10T18:00,280.77,281.44,279.26,279.43,579538
2021-05-11T14:00,278.49,279.19,274.88,277.73,314701
2021-05-11T16:00,277.64,277.9,275.15,275.92,344448
2021-05-11T18:00,275.94,277.17,275.59,276.98,487304
2021-05-12T14:00,274.89,276.25,272.49,272.81,375851
2021-05-12T16:00,272.75,273.43,272.1,273.27,299750
2021-05-12T18:00,273.26,273.68,272.09,272.66,655515
2021-05-13T14:00,274.3,276.63,274.22,275.88,422339
2021-05-13T16:00,275.88,276.66,275.19,275.7,271884
2021-05-13T18:00,275.69,277.2,275.69,276.41,494012
2021-05-14T14:00,278.98,279.53,277.37,279.21,289537
2021-05-14T16:00,279.14,280.01,278.79,278.8,147492
2021-05-14T18:00,278.79,280.03,278.64,279.2,379870
2021-05-17T14:00,279.51,279.96,277.39,277.84,532448
2021-05-17T16:00,277.76,279.19,277.47,278.98,231218
2021-05-17T18:00,278.87,280.12,278.76,279.09,443325
2021-05-18T14:00,277.48,278.81,277.17,277.75,515086
2021-05-18T16:00,277.67,277.77,277.19,277.47,287412
