date,open,high,low,close,volume
2016-01-04T14:30,22.27,22.31,21.98,22.04,356400
2016-01-04T16:30,22.03,22.14,22.01,22.12,230704
2016-01-04T18:30,22.11,22.18,21.98,22.17,435582
2016-01-05T14:30,22.19,22.29,21.8,22.11,368382
2016-01-05T16:30,22.11,22.24,22.11,22.19,166308
2016-01-05T18:30,22.19,22.35,22.14,22.29,493454
2016-01-06T14:30,22.24,22.36,22.04,22.34,165864
2016-01-06T16:30,22.35,22.35,22.25,22.32,116754
2016-01-06T18:30,22.31,22.41,22.21,22.31,340626
2016-01-07T14:30,22.06,22.32,22.04,22.28,273024
2016-01-07T16:30,22.29,22.33,22.11,22.14,211316
2016-01-07T18:30,22.13,22.2,22.05,22.08,656054
2016-01-08T14:30,22.22,22.23,22.08,22.16,324266
2016-01-08T16:30,22.18,22.3,22.12,22.3,201466
2016-01-08T18:30,22.3,22.3,22.05,22.07,520356
2016-01-11T14:30,22.12,22.25,22.02,22.24,215978
2016-01-11T16:30,22.24,22.25,22.11,22.11,147290
2016-01-11T18:30,22.11,22.2,22.05,22.14,656076
2016-01-12T14:30,22.28,22.28,21.88,21.97,260526
2016-01-12T16:30,21.98,21.98,21.82,21.88,250592
2016-01-12T18:30,21.89,22,21.8,21.97,884572
2016-01-13T14:30,22.01,22.17,21.91,22.15,571210
2016-01-13T16:30,22.16,22.2,22.08,22.08,506772
2016-01-13T18:30,22.07,22.17,21.93,21.98,923846
2016-01-14T14:30,21.98,22.32,21.88,22.19,361844
2016-01-14T16:30,22.18,22.26,22.07,22.19,223924
2016-01-14T18:30,22.22,22.46,22.16,22.32,423644
2016-01-15T14:30,22.19,22.24,21.94,22.13,347652
2016-01-15T16:30,22.14,22.15,21.89,21.91,215884
2016-01-15T18:30,21.91,22.24,21.83,22.23,629712
2016-01-19T14:30,22.43,22.53,22.24,22.35,299772
2016-01-19T16:30,22.37,22.48,22.35,22.46,158922
2016-01-19T18:30,22.45,22.53,22.37,22.47,693976
2016-01-20T14:30,22.36,22.58,21.91,21.92,337190
2016-01-20T16:30,21.91,21.96,21.64,21.8,258648
2016-01-20T18:30,21.79,22.11,21.75,22,593622
2016-01-21T14:30,21.99,22.15,21.79,21.99,402092
2016-01-21T16:30,21.98,22.06,21.86,21.87,196442
2016-01-21T18:30,21.85,22,21.73,21.93,616842
2016-01-22T14:30,22,22.29,21.95,22.2,479980
2016-01-22T16:30,22.19,22.34,22.14,22.28,149722
2016-01-22T18:30,22.29,22.52,22.28,22.49,478522
2016-01-25T14:30,22.46,22.51,22.12,22.23,288816
2016-01-25T16:30,22.23,22.28,22.17,22.21,170804
