date,open,high,low,close,volume
2021-01-04T15:00,50.72,50.73,49.92,50.01,1974460
2021-01-04T17:00,50.01,50.12,49.7,49.94,1509349
2021-01-04T19:00,49.95,52.02,49.77,50.21,2432031
2021-01-05T15:00,50.01,50.17,49.69,50.02,1348248
2021-01-05T17:00,50.02,50.24,50.02,50.14,874208
2021-01-05T19:00,50.14,50.39,50.14,50.27,1859258
2021-01-06T15:00,50.34,50.53,50.06,50.31,1931941
2021-01-06T17:00,50.32,50.56,50.12,50.4,1049628
2021-01-06T19:00,50.4,50.51,49.99,50.18,2173825
2021-01-07T15:00,49.96,50.59,49.92,50.43,1535030
2021-01-07T17:00,50.43,50.47,49.9,50.08,2632390
2021-01-07T19:00,50.08,50.21,49.97,50.07,2554774
2021-01-08T15:00,49.84,50.17,49.81,50.02,1910795
2021-01-08T17:00,50.01,50.27,49.99,50.19,980922
2021-01-08T19:00,50.19,50.52,50.17,50.45,1800796
2021-01-11T15:00,50.03,50.06,49.67,49.92,943238
2021-01-11T17:00,49.91,49.94,49.49,49.54,1294450
2021-01-11T19:00,49.53,49.73,49.47,49.49,1642141
2021-01-12T15:00,49.6,49.73,49.44,49.47,1587647
2021-01-12T17:00,49.47,49.67,49.21,49.67,1925009
2021-01-12T19:00,49.66,49.77,49.58,49.69,1955143
2021-01-13T15:00,49.75,50.05,49.64,49.91,1692266
2021-01-13T17:00,49.9,49.99,49.76,49.87,1099888
2021-01-13T19:00,49.87,49.92,49.71,49.73,1890384
2021-01-14T15:00,49.6,49.78,49.48,49.63,1373646
2021-01-14T17:00,49.63,50.03,49.62,49.86,1585814
2021-01-14T19:00,49.86,49.93,49.65,49.69,2234721
2021-01-15T15:00,49.53,49.8,49.15,49.77,1526194
2021-01-15T17:00,49.76,49.85,49.54,49.56,1325940
2021-01-15T19:00,49.56,49.83,49.54,49.61,1876574
2021-01-19T15:00,49.65,49.79,49.43,49.71,1193527
2021-01-19T17:00,49.71,49.75,49.49,49.55,784402
2021-01-19T19:00,49.56,49.68,49.44,49.54,2196543
2021-01-20T15:00,49.11,49.48,49.09,49.16,1499727
2021-01-20T17:00,49.16,49.48,49.16,49.42,737096
2021-01-20T19:00,49.42,49.59,49.39,49.51,1248658
2021-01-21T15:00,49,49.03,48.77,48.92,1749957
2021-01-21T17:00,48.92,48.92,48.51,48.77,1398810
2021-01-21T19:00,48.77,48.83,48.62,48.65,2051268
2021-01-22T15:00,48.56,48.91,48.48,48.88,1181739
2021-01-22T17:00,48.89,49.05,48.88,48.98,889578
2021-01-22T19:00,48.97,49.03,48.76,48.77,1581382
2021-01-25T15:00,48.71,49.46,48.68,49.36,2482127
2021-01-25T17:00,49.36,49.45,49.16,49.29,1178700
2021-01-25T19:00,49.29,49.37,49.16,49.31,1849486
2021-01-26T15:00,49.32,49.65,49.18,49.62,1491451
2021-01-26T17:00,49.62,49.69,49.49,49.66,692508
2021-01-26T19:00,49.66,50.04,49.65,49.93,1464284
2021-01-27T15:00,49.94,49.94,49.26,49.49,1644289
2021-01-27T17:00,49.48,49.62,49.16,49.21,1029408
2021-01-27T19:00,49.19,49.35,48.8,48.91,2672912
2021-01-28T15:00,49.38,49.89,49.36,49.49,1934982
2021-01-28T17:00,49.49,49.86,49.43,49.85,1439741
2021-01-28T19:00,49.86,49.92,49.36,49.43,2332793
2021-01-29T15:00,48.91,49.28,47.95,47.97,3502598
2021-01-29T17:00,47.97,48.19,47.67,47.99,2439871
2021-01-29T19:00,47.98,48.49,47.98,48.06,3550000
2021-02-01T15:00,48.2,48.44,48.04,48.32,1774283
2021-02-01T17:00,48.32,48.43,48.14,48.35,1481304
2021-02-01T19:00,48.35,48.51,47.86,47.87,3241847
2021-02-02T15:00,48.76,49.22,48.68,48.95,2216568
2021-02-02T17:00,48.96,49.1,48.83,49.07,1157054
2021-02-02T19:00,49.08,49.13,48.66,48.68,2080743
2021-02-03T15:00,48.2,48.22,47.85,48.06,1470637
2021-02-03T17:00,48.07,48.08,47.91,47.94,1155545
