date,open,high,low,close,volume
2021-01-04T15:00,58.45,58.49,57.18,57.33,3824673
2021-01-04T17:00,57.32,57.39,56.8,57.35,2401674
2021-01-04T19:00,57.35,57.65,57.04,57.32,3961509
2021-01-05T15:00,57.74,58.03,57.35,58,2642550
2021-01-05T17:00,58,58.58,57.99,58.44,2686779
2021-01-05T19:00,58.45,58.78,58.23,58.28,3219815
2021-01-06T15:00,60.27,62.34,60.21,62.11,5110408
2021-01-06T17:00,62.11,62.8,61.96,62.45,3263165
2021-01-06T19:00,62.46,62.6,61.57,61.8,5457358
2021-01-07T15:00,63.72,64.17,63.62,63.92,3675695
2021-01-07T17:00,63.92,64.11,63.07,63.18,2587845
2021-01-07T19:00,63.18,63.36,62.83,62.85,3432099
2021-01-08T15:00,62.28,62.69,61.94,62.67,2741195
2021-01-08T17:00,62.67,63.14,62.17,62.42,2974322
2021-01-08T19:00,62.41,63.19,62.27,63.11,3524605
2021-01-11T15:00,63.15,63.42,62.91,63.3,2355961
2021-01-11T17:00,63.3,64.16,63.25,63.69,1800947
2021-01-11T19:00,63.69,64.03,63.61,63.79,2388036
2021-01-12T15:00,64.02,64.31,63.67,63.81,3448737
2021-01-12T17:00,63.81,63.95,63.39,63.56,2405504
2021-01-12T19:00,63.56,63.71,63.34,63.57,3291316
2021-01-13T15:00,63.47,63.82,63.04,63.07,2615790
2021-01-13T17:00,63.07,63.64,62.91,63.62,1817128
2021-01-13T19:00,63.62,63.72,63.2,63.36,2380628
2021-01-14T15:00,64.08,64.43,63.98,64.22,2467795
2021-01-14T17:00,64.22,64.42,64.05,64.17,1909080
2021-01-14T19:00,64.16,64.45,63.99,64.13,3510517
2021-01-15T15:00,63.11,63.17,62.19,62.61,3774520
2021-01-15T17:00,62.6,63.38,62.5,63.15,1722341
2021-01-15T19:00,63.15,63.28,62.87,63.09,3278961
2021-01-19T15:00,63.5,63.81,62.81,63.62,3415739
2021-01-19T17:00,63.63,63.83,63.33,63.35,2076377
2021-01-19T19:00,63.35,63.35,62.64,62.89,5067318
2021-01-20T15:00,63.87,63.99,62.59,63.02,4081106
2021-01-20T17:00,63.02,63.05,62.34,62.61,2223117
2021-01-20T19:00,62.62,62.94,62.31,62.75,4364999
2021-01-21T15:00,62.65,62.91,62.4,62.75,3311586
2021-01-21T17:00,62.74,62.83,62.4,62.73,2171702
2021-01-21T19:00,62.74,63.13,62.6,62.66,3955981
2021-01-22T15:00,61.46,61.82,61.09,61.8,3515136
2021-01-22T17:00,61.8,62.31,61.68,62.11,2133194
2021-01-22T19:00,62.11,62.65,61.92,62.17,4136363
2021-01-25T15:00,61.03,61.88,60.31,60.75,3922273
2021-01-25T17:00,60.75,60.89,60.4,60.8,2497639
2021-01-25T19:00,60.81,60.96,60.61,60.71,5797428
2021-01-26T15:00,60.55,60.82,60.25,60.29,2299681
2021-01-26T17:00,60.29,60.46,60.14,60.33,2374787
2021-01-26T19:00,60.32,60.57,59.66,59.73,4137890
2021-01-27T15:00,57.29,58.93,57.21,58.01,4549483
2021-01-27T17:00,58.01,58.52,57.89,58.01,2328854
2021-01-27T19:00,58.02,58.31,57.22,57.41,5493470
2021-01-28T15:00,58.03,59.33,57.87,59.3,4730620
2021-01-28T17:00,59.3,59.66,59.05,59.23,2479967
2021-01-28T19:00,59.23,59.45,58.36,58.45,4712716
2021-01-29T15:00,58.77,58.9,57.26,57.57,2574845
2021-01-29T17:00,57.57,57.57,56.35,56.52,3796809
2021-01-29T19:00,56.52,57.25,56.48,56.51,5564681
2021-02-01T15:00,57.27,57.35,56.71,57.01,2444758
2021-02-01T17:00,57.01,57.25,56.91,56.97,2257095
2021-02-01T19:00,56.97,57.31,56.91,57.04,4868669
2021-02-02T15:00,58.98,59.82,58.92,59.45,3589357
2021-02-02T17:00,59.46,59.79,59.3,59.45,2173415
2021-02-02T19:00,59.44,60.17,59.44,59.8,4252239
2021-02-03T15:00,59.9,60.14,59.41,59.87,2115614
2021-02-03T17:00,59.87,59.88,59.48,59.5,1579897
2021-02-03T19:00,59.5,59.72,59.27,59.5,2653220
2021-02-04T15:00,60.35,60.9,60.27,60.42,2194426
2021-02-04T17:00,60.41,60.72,60.41,60.67,1774066
2021-02-04T19:00,60.67,60.97,60.63,60.94,2668855
2021-02-05T15:00,61.56,62.14,61.16,61.72,2593115
2021-02-05T17:00,61.72,61.88,61.55,61.62,1469520
2021-02-05T19:00,61.61,61.83,61.56,61.72,2498138
2021-02-08T15:00,62.3,62.56,61.88,61.97,2029261
2021-02-08T17:00,61.96,62.33,61.94,62.29,1188305
2021-02-08T19:00,62.28,62.63,62.21,62.6,2401943
2021-02-09T15:00,62.04,62.7,61.85,62.61,2305293
2021-02-09T17:00,62.61,62.96,62.6,62.84,1452001
2021-02-09T19:00,62.84,62.94,62.48,62.58,2029490
2021-02-10T15:00,62.49,62.73,62,62.69,2434258
2021-02-10T17:00,62.7,63.11,62.64,62.93,1585490
2021-02-10T19:00,62.93,63,62.51,62.69,1840265
