date,open,high,low,close,volume
2016-01-04T14:30,333.07,334.77,325.71,328.34,65812
2016-01-04T16:30,329.11,330.54,327.145,328.94,50081
2016-01-04T18:30,328.63,330.48,326.785,329.64,58331
2016-01-05T14:30,330.29,336.8,329.5,332.08,26130
2016-01-05T16:30,332.07,332.18,328.7,329.45,23981
2016-01-05T18:30,329.47,332.98,329.31,331.175,73827
2016-01-06T14:30,328.24,331.34,326.885,330.38,26848
2016-01-06T16:30,330.11,330.71,327.51,327.75,22744
2016-01-06T18:30,327.36,327.74,322.37,324.69,126251
2016-01-07T14:30,318.79,320.36,316.0025,319.75,66704
2016-01-07T16:30,319.73,320.36,315.02,315.13,39804
2016-01-07T18:30,315.23,318.36,314.865,315.75,110243
2016-01-08T14:30,318.72,321.4,315.7,315.8,34049
2016-01-08T16:30,316.155,317.94,315.7,317.79,62395
2016-01-08T18:30,317.79,318.17,313.35,313.74,80045
2016-01-11T14:30,315.39,319.9899,309.34,310.74,45719
2016-01-11T16:30,310.74,312,308.9,310.305,45634
2016-01-11T18:30,310.24,312.53,308.78,310.62,113427
2016-01-12T14:30,312.38,317.35,311.84,315.23,119696
2016-01-12T16:30,315,316.77,313.31,313.78,56055
2016-01-12T18:30,313.29,317.5,310.46,317.38,155697
2016-01-13T14:30,326.63,326.64,318.4,320.05,44106
2016-01-13T16:30,319.725,320.38,316.06,316.31,36360
2016-01-13T18:30,316.24,317.39,310.635,311.75,73542
2016-01-14T14:30,312.33,316.605,309.03,311.33,70092
2016-01-14T16:30,310.818,314.24,310.04,311.25,45412
2016-01-14T18:30,311.67,313.72,309.92,310.6,58399
2016-01-15T14:30,303,309.44,301.34,308.98,38328
2016-01-15T16:30,309.44,313.3,308.97,310.515,76187
2016-01-15T18:30,310.5,314.48,309.82,313.23,169774
2016-01-19T14:30,316.45,316.9,310.5,312.415,62834
2016-01-19T16:30,312.7,313.9,309.6104,309.76,27090
2016-01-19T18:30,309.67,309.99,305.12,308.4,110879
2016-01-20T14:30,304.53,306.29,298.02,300.155,72672
2016-01-20T16:30,299.76,302.53,298.02,301.705,56311
2016-01-20T18:30,302.27,309.515,302.08,307.2599,116424
2016-01-21T14:30,307.9,309.29,302.85,305.7,36350
2016-01-21T16:30,305.69,309.06,305.595,308.55,40758
2016-01-21T18:30,307.3,309.5,305.33,307,73705
2016-01-22T14:30,310.1,323.15,310.1,317.99,134138
2016-01-22T16:30,316.955,318.67,314.8,315.69,67462
2016-01-22T18:30,316,317.12,314.53,316.25,111248
2016-01-25T14:30,316.09,319.35,314.21,315.28,42803
2016-01-25T16:30,315.185,316.94,314.43,315.7598,57486
2016-01-25T18:30,315.72,317.91,315.7,315.7,92570
2016-01-26T14:30,316.41,317.2075,314.2467,314.53,27820
2016-01-26T16:30,314.99,316.393,314.38,315.39,37952
2016-01-26T18:30,315.04,315.99,313.78,315.03,74380
2016-01-27T14:30,315.91,316.29,313.45,314.03,56451
2016-01-27T16:30,314.04,316.82,313.91,315.28,58034
2016-01-27T18:30,315.16,316.04,310.815,313.18,84439
2016-01-28T14:30,315.39,315.39,309.01,310.75,50363
2016-01-28T16:30,310.42,310.625,307.44,308.21,62082
2016-01-28T18:30,308.21,308.645,306.39,307.07,94092
2016-01-29T14:30,308.39,313.31,307.606,309.64,83200
2016-01-29T16:30,309.87,310.18,309.02,309.38,128591
2016-01-29T18:30,309.53,312.92,309.3644,312.88,373366
2016-02-01T14:30,310.29,316.65,310.29,315.6,77886
2016-02-01T16:30,315.65,319.06,315,317.55,90637
2016-02-01T18:30,317.35,318.99,316.345,317.6,102579
2016-02-02T14:30,312.13,316.15,311.77,313.2199,39040
2016-02-02T16:30,314.3,315.34,312.01,313.28,44774
2016-02-02T18:30,313.04,313.26,310.95,312.01,82052
2016-02-03T14:30,305.1,313.87,303.08,306.41,70796
2016-02-03T16:30,306.75,309.28,306,307,82376
2016-02-03T18:30,307.32,310.33,306,308.95,189528
2016-02-04T14:30,308.18,318.08,307.08,311.1,114960
2016-02-04T16:30,311.1,315.08,309.75,314.57,121855
2016-02-04T18:30,314.47,314.47,310.06,313.86,176371
2016-02-05T14:30,313.68,322.24,307,316.58,147803
2016-02-05T16:30,316.91,318.64,316.0101,318.26,149704
2016-02-05T18:30,318,318.89,311.04,311.68,172795
2016-02-08T14:30,308.43,309.7,300.89,301.5095,72264
2016-02-08T16:30,301.13,302.675,297.81,298.26,73846
2016-02-08T18:30,298.55,298.86,292.8905,298.41,181299
2016-02-09T14:30,294.97,304.66,291.325,304.41,60408
2016-02-09T16:30,304.4,304.9,301.63,301.84,34360
2016-02-09T18:30,302,308.705,300.19,306.96,142249
2016-02-10T14:30,309.67,315.14,306.8941,312.45,83408
2016-02-10T16:30,312.49,314.995,311.07,313.25,42446
2016-02-10T18:30,313.82,313.82,307.51,307.81,56910
2016-02-11T14:30,300.1,304.55,296.52,296.52,32972
2016-02-11T16:30,296.67,301.13,296.65,297.1201,35020
2016-02-11T18:30,297.21,301.8,295.89,299.19,115437
2016-02-12T14:30,301.31,306.16,299.53,304.45,32430
2016-02-12T16:30,304.19,304.32,301.74,304.28,13488
2016-02-12T18:30,304.65,307.07,303.0801,306.76,57171
2016-02-16T14:30,310.26,314.11,308.575,313.33,24690
2016-02-16T16:30,312.87,314.43,312.46,314,26006
2016-02-16T18:30,314.03,314.4,311.04,312.69,96339
2016-02-17T14:30,314,320.59,313.34,319.635,64288
2016-02-17T16:30,319.51,321.81,319.25,320.89,60938
2016-02-17T18:30,320.84,321.45,319.74,321.18,50334
2016-02-18T14:30,321.41,321.98,315.03,319.1,45676
2016-02-18T16:30,318.46,320.35,317.58,317.86,16045
2016-02-18T18:30,318.01,318.9,316.03,316.77,72560
2016-02-19T14:30,314.57,319.43,314.57,318.6,17784
2016-02-19T16:30,318.84,319.54,317.54,319.08,68067
2016-02-19T18:30,319.98,322.12,319.23,321.97,61229
2016-02-22T14:30,325.69,325.98,323.02,323.11,59531
