date,open,high,low,close,volume
2016-01-04T14:30,16.08,16.11,15.9,15.99,1022991
2016-01-04T16:30,15.98,16.04,15.91,15.95,635382
2016-01-04T18:30,15.94,16,15.79,15.94,2023158
2016-01-05T14:30,15.96,16.16,15.93,16.09,1136475
2016-01-05T16:30,16.1,16.15,16.06,16.09,508224
2016-01-05T18:30,16.09,16.22,16.08,16.18,1851696
2016-01-06T14:30,15.98,16.22,15.91,16.22,692145
2016-01-06T16:30,16.22,16.28,16.13,16.14,463803
2016-01-06T18:30,16.14,16.18,16.03,16.13,905007
2016-01-07T14:30,15.89,16.26,15.88,16.23,1748145
2016-01-07T16:30,16.23,16.32,16.15,16.19,1878576
2016-01-07T18:30,16.18,16.26,16.09,16.09,4311843
2016-01-08T14:30,16.2,16.21,15.89,15.9,936687
2016-01-08T16:30,15.89,16.01,15.84,15.9,768027
2016-01-08T18:30,15.9,15.98,15.71,15.73,1821501
2016-01-11T14:30,15.94,16.17,15.82,15.93,847422
2016-01-11T16:30,15.93,16.04,15.89,15.96,733977
2016-01-11T18:30,15.96,16.24,15.91,16.15,2607171
2016-01-12T14:30,16.32,16.34,16.18,16.22,1400823
2016-01-12T16:30,16.22,16.32,16.17,16.23,887439
2016-01-12T18:30,16.23,16.27,16.15,16.23,1313919
2016-01-13T14:30,16.28,16.33,16.11,16.15,918669
2016-01-13T16:30,16.15,16.16,15.92,15.93,748704
2016-01-13T18:30,15.93,15.96,15.64,15.72,2318937
2016-01-14T14:30,15.81,16.16,15.73,16.05,950601
2016-01-14T16:30,16.05,16.22,15.99,16.21,822006
2016-01-14T18:30,16.22,16.35,16.16,16.21,2600088
2016-01-15T14:30,15.74,16.21,15.74,16.03,1333539
2016-01-15T16:30,16.03,16.07,15.85,15.89,1076997
2016-01-15T18:30,15.89,16,15.8,15.92,1807776
2016-01-19T14:30,16.13,16.34,16.09,16.33,1091826
2016-01-19T16:30,16.34,16.39,16.23,16.26,533544
2016-01-19T18:30,16.27,16.31,16.13,16.2,1422114
2016-01-20T14:30,15.93,16.05,15.82,15.87,883692
2016-01-20T16:30,15.87,15.91,15.58,15.69,854967
2016-01-20T18:30,15.68,16.06,15.68,15.87,1659654
2016-01-21T14:30,15.89,16.15,15.82,15.96,1006716
2016-01-21T16:30,15.96,16.04,15.85,15.85,418950
2016-01-21T18:30,15.86,15.91,15.71,15.73,1744578
2016-01-22T14:30,15.97,16.17,15.64,16.1,887631
2016-01-22T16:30,16.1,16.15,16,16.13,571077
2016-01-22T18:30,16.14,16.33,16.13,16.28,1300701
2016-01-25T14:30,16.22,16.35,16.07,16.26,1096002
2016-01-25T16:30,16.26,16.26,16.12,16.17,364392
2016-01-25T18:30,16.17,16.19,15.95,15.96,1436805
2016-01-26T14:30,16.09,16.5,16,16.47,1709544
2016-01-26T16:30,16.47,16.53,16.4,16.43,886347
2016-01-26T18:30,16.43,16.52,16.38,16.5,1379844
2016-01-27T14:30,16.56,16.69,16.49,16.62,1011153
2016-01-27T16:30,16.61,16.9,16.59,16.68,1180254
2016-01-27T18:30,16.68,16.69,16.34,16.44,2700933
2016-01-28T14:30,16.35,16.63,15.86,16.51,2180943
2016-01-28T16:30,16.51,16.75,16.39,16.62,1274298
2016-01-28T18:30,16.62,16.87,16.57,16.6,2016945
2016-01-29T14:30,16.76,17.09,16.55,17.05,1746252
2016-01-29T16:30,17.06,17.33,17,17.32,1216758
2016-01-29T18:30,17.32,17.58,17.32,17.48,3111135
2016-02-01T14:30,17.45,17.48,17.02,17.3,1379619
2016-02-01T16:30,17.3,17.45,17.28,17.32,900645
2016-02-01T18:30,17.32,17.51,17.24,17.41,3410319
2016-02-02T14:30,17.2,17.4,17.13,17.4,1761129
2016-02-02T16:30,17.39,17.55,17.37,17.55,1003662
2016-02-02T18:30,17.55,17.63,17.45,17.57,3060033
2016-02-03T14:30,17.63,17.7,17.17,17.24,2296239
2016-02-03T16:30,17.23,17.33,17.1,17.1,1083807
2016-02-03T18:30,17.1,17.45,17.03,17.37,2545845
2016-02-04T14:30,17.4,17.54,16.57,16.73,2734278
2016-02-04T16:30,16.73,16.79,16.55,16.72,1449987
2016-02-04T18:30,16.72,16.88,16.67,16.88,3096096
2016-02-05T14:30,16.99,17.1,16.54,16.64,1524201
2016-02-05T16:30,16.66,16.72,16.5,16.71,1198443
2016-02-05T18:30,16.71,16.75,16.53,16.75,2756970
2016-02-08T14:30,16.53,16.68,16.31,16.67,1852227
2016-02-08T16:30,16.66,16.79,16.57,16.63,1306911
2016-02-08T18:30,16.63,17.08,16.56,16.98,2793327
2016-02-09T14:30,16.91,17.32,16.9,17.28,872295
2016-02-09T16:30,17.28,17.36,17.11,17.17,695850
2016-02-09T18:30,17.17,17.54,17.16,17.34,2029623
2016-02-10T14:30,17.46,17.64,17.15,17.23,1023540
2016-02-10T16:30,17.22,17.34,17.08,17.25,548355
2016-02-10T18:30,17.24,17.33,17.13,17.16,1122036
2016-02-11T14:30,16.73,17.03,16.67,16.68,802626
2016-02-11T16:30,16.67,16.95,16.61,16.95,499884
2016-02-11T18:30,16.95,17.05,16.88,16.9,1656975
2016-02-12T14:30,17.34,17.35,16.95,17.06,701406
2016-02-12T16:30,17.07,17.1,16.94,17.07,383409
2016-02-12T18:30,17.09,17.28,17.06,17.28,1000035
2016-02-16T14:30,17.63,17.65,17.18,17.22,634758
2016-02-16T16:30,17.23,17.38,17.23,17.38,538371
2016-02-16T18:30,17.39,17.41,17.31,17.38,1058634
2016-02-17T14:30,17.45,17.64,17.43,17.64,757359
2016-02-17T16:30,17.65,17.75,17.57,17.74,727731
2016-02-17T18:30,17.74,17.82,17.69,17.75,1347795
2016-02-18T14:30,17.81,17.91,17.69,17.73,711591
2016-02-18T16:30,17.73,17.83,17.69,17.7,641520
2016-02-18T18:30,17.7,17.75,17.67,17.73,1340400
2016-02-19T14:30,17.63,17.81,17.54,17.7,1155909
2016-02-19T16:30,17.71,17.74,17.65,17.67,327285
2016-02-19T18:30,17.68,17.75,17.63,17.74,926907
