date,open,high,low,close,volume
2016-01-04T14:30,56.75,57.34,55.91,56.08,57114
2016-01-04T16:30,56.01,56.97,56.01,56.88,62407
2016-01-04T18:30,56.86,56.95,56.58,56.63,164122
2016-01-05T14:30,56.83,57.72,56.21,56.29,69781
2016-01-05T16:30,56.29,56.4,55.68,55.77,71025
2016-01-05T18:30,55.74,56.02,55.63,55.79,158258
2016-01-06T14:30,54.98,55.38,54.4,54.8,102052
2016-01-06T16:30,54.8,54.8,54.16,54.29,56744
2016-01-06T18:30,54.26,54.71,54.02,54.3,271089
2016-01-07T14:30,54.08,54.14,52.89,53.41,238809
2016-01-07T16:30,53.41,53.46,52.7,52.78,101825
2016-01-07T18:30,52.73,53.21,52.27,52.87,395638
2016-01-08T14:30,53.08,53.11,52.42,52.73,218080
2016-01-08T16:30,52.79,52.93,52.39,52.41,98748
2016-01-08T18:30,52.45,52.5,51.6,51.72,333367
2016-01-11T14:30,51.78,51.93,51.28,51.59,124353
2016-01-11T16:30,51.58,51.78,51.36,51.36,63897
2016-01-11T18:30,51.38,51.85,51.12,51.56,158660
2016-01-12T14:30,52.11,52.33,51.2,51.21,94470
2016-01-12T16:30,51.26,51.68,51,51.14,39823
2016-01-12T18:30,51.11,51.88,50.98,51.7,112316
2016-01-13T14:30,51.8,53.03,51.53,51.79,130394
2016-01-13T16:30,51.78,51.86,51,51,48513
2016-01-13T18:30,51.02,51.05,50.09,50.41,133185
2016-01-14T14:30,50.6,50.88,49.83,50.12,101824
2016-01-14T16:30,50.1,50.53,50.01,50.48,78828
2016-01-14T18:30,50.44,50.68,50.22,50.28,325601
2016-01-15T14:30,49.25,49.72,48.94,49.36,194370
2016-01-15T16:30,49.3,49.42,48.91,49.25,84994
2016-01-15T18:30,49.26,49.84,49.16,49.63,210360
2016-01-19T14:30,49.93,50.16,49.44,49.67,104858
2016-01-19T16:30,49.78,49.84,49.1,49.1,64702
2016-01-19T18:30,49.1,49.4,48.64,49.08,174919
2016-01-20T14:30,48.27,48.83,46.39,48.12,159048
2016-01-20T16:30,48.15,48.24,47.6,47.89,212171
2016-01-20T18:30,47.82,48.83,47.65,48.05,874297
2016-01-21T14:30,48.25,49.13,47.59,48.83,319910
2016-01-21T16:30,48.92,49.8,48.92,49.21,162100
2016-01-21T18:30,49.17,50.26,48.95,49.92,461401
2016-01-22T14:30,50.92,51.94,50.47,50.68,157839
2016-01-22T16:30,50.7,50.94,50.43,50.68,69312
2016-01-22T18:30,50.69,51.07,50.54,51.06,189539
2016-01-25T14:30,50.44,51.33,50.04,50.44,98586
2016-01-25T16:30,50.41,50.48,50.07,50.27,42825
2016-01-25T18:30,50.27,50.42,49.64,49.84,182810
2016-01-26T14:30,50.17,51.61,50.05,51.56,88380
2016-01-26T16:30,51.53,52.08,51.27,51.94,71059
2016-01-26T18:30,51.9,52.21,51.76,52,209245
2016-01-27T14:30,51.76,52.08,51.29,52.03,89234
2016-01-27T16:30,52.05,52.78,52.05,52.3,103784
2016-01-27T18:30,52.32,53.72,51.7,52.04,269418
2016-01-28T14:30,52.45,52.93,52.02,52.29,56581
2016-01-28T16:30,52.31,52.38,51.79,52.14,26545
2016-01-28T18:30,52.12,52.2,51.74,52.14,73978
2016-01-29T14:30,52.17,53.52,52.17,52.87,74382
2016-01-29T16:30,52.84,53.41,52.6,53.41,46534
2016-01-29T18:30,53.43,54.15,53.18,53.99,210822
2016-02-01T14:30,53.5,53.87,52.53,53.23,68940
2016-02-01T16:30,53.27,53.38,53.02,53.24,49988
2016-02-01T18:30,53.21,53.47,52.98,53.24,95538
2016-02-02T14:30,52.48,52.55,51.65,51.91,42688
2016-02-02T16:30,51.95,52.31,51.76,52.06,30597
2016-02-02T18:30,52.02,52.03,51.22,51.34,106024
2016-02-03T14:30,51.86,52.17,50.62,51.44,36497
2016-02-03T16:30,51.4,51.99,51.25,51.67,19371
2016-02-03T18:30,51.61,52.71,51.37,52.61,135355
2016-02-04T14:30,52.43,54.65,52.22,53.91,93537
2016-02-04T16:30,53.9,53.91,53.14,53.25,50504
2016-02-04T18:30,53.24,53.64,52.98,53.48,101939
2016-02-05T14:30,53.18,54.01,52.51,52.79,49456
2016-02-05T16:30,52.83,53.13,52.73,52.99,36441
2016-02-05T18:30,52.87,52.99,52.35,52.64,113198
2016-02-08T14:30,51.91,52.27,51.31,51.75,63465
2016-02-08T16:30,51.75,52.02,51.62,51.69,49433
2016-02-08T18:30,51.69,52.28,51.54,52.15,187277
2016-02-09T14:30,51.46,52.72,51.46,52.54,68309
2016-02-09T16:30,52.47,52.58,52.09,52.42,63119
2016-02-09T18:30,52.45,53.04,52.12,52.77,126974
2016-02-10T14:30,52.88,53.61,52.88,53.33,74607
2016-02-10T16:30,53.33,54.13,53.17,53.91,86721
2016-02-10T18:30,53.89,54.15,53.37,53.38,191300
2016-02-11T14:30,52.53,53.81,52.3,52.62,90524
2016-02-11T16:30,52.61,53.25,52.4,53.13,75170
2016-02-11T18:30,53.13,53.66,52.77,53.14,153727
2016-02-12T14:30,53.86,54.77,53.73,54.66,43911
2016-02-12T16:30,54.68,54.99,54.36,54.53,52879
2016-02-12T18:30,54.49,55.06,54.39,54.89,89830
2016-02-16T14:30,55.51,55.76,54.83,55.4,60415
2016-02-16T16:30,55.47,55.97,55.4,55.91,31022
2016-02-16T18:30,55.84,56.21,55.73,56.16,104602
2016-02-17T14:30,56.39,57.76,56.39,57.3,70709
2016-02-17T16:30,57.29,57.79,57.21,57.54,87365
2016-02-17T18:30,57.51,57.71,57.3,57.54,99267
2016-02-18T14:30,57.76,57.76,56.9,57.05,32589
2016-02-18T16:30,57.01,57.31,56.92,57.03,41239
2016-02-18T18:30,57.01,57.72,57.01,57.31,87597
2016-02-19T14:30,56.76,57.17,56.08,56.83,63932
2016-02-19T16:30,56.81,57,56.41,56.66,99966
2016-02-19T18:30,56.71,57.43,56.71,57.29,120211
2016-02-22T14:30,58.01,59.17,57.99,58.26,51642
2016-02-22T16:30,58.25,58.47,58.04,58.27,102571
2016-02-22T18:30,58.2,58.37,57.68,58.1,310614
2016-02-23T14:30,61.64,64.02,61.09,62.83,358785
2016-02-23T16:30,62.83,63.53,62.54,62.98,131553
2016-02-23T18:30,62.92,63.04,62.15,62.56,376950
2016-02-24T14:30,62.67,63.08,61.45,62.79,141931
2016-02-24T16:30,62.79,63.46,62.62,63.13,92854
2016-02-24T18:30,63.12,63.31,62.85,63.11,240890
2016-02-25T14:30,63.27,63.68,62.42,62.94,61686
2016-02-25T16:30,62.96,63.1,62.59,62.96,57207
2016-02-25T18:30,62.93,63.44,62.88,63.42,185376
2016-02-26T14:30,63.77,64.47,63.43,63.99,104055
2016-02-26T16:30,63.95,64.31,63.89,64.14,30298
2016-02-26T18:30,64.12,64.52,63.74,64.44,135130
2016-02-29T14:30,64.27,64.82,63.49,64.65,55407
2016-02-29T16:30,64.6,64.76,64.13,64.25,68511
2016-02-29T18:30,64.22,64.55,64.04,64.25,196506
2016-03-01T14:30,64.78,65.18,64.17,65.14,68436
2016-03-01T16:30,65.08,65.58,64.84,65.39,95107
2016-03-01T18:30,65.39,65.72,65.05,65.69,115195
2016-03-02T14:30,65.33,65.6,64.64,65.56,39420
2016-03-02T16:30,65.57,65.64,64.91,65.04,41355
2016-03-02T18:30,65.14,65.92,64.9,65.88,98377
2016-03-03T14:30,65.95,66.69,65.61,66.23,48175
2016-03-03T16:30,66.23,66.64,65.95,66,92950
2016-03-03T18:30,66.07,66.48,65.91,66.47,85199
2016-03-04T14:30,66.45,67.08,65.72,67.01,49007
2016-03-04T16:30,67,67.55,66.93,67.44,76664
2016-03-04T18:30,67.43,67.56,66.57,67.23,174650
2016-03-07T14:30,66.96,67.39,65.99,66.97,150040
2016-03-07T16:30,67.01,67.55,66.98,67.16,84801
2016-03-07T18:30,67.22,67.74,66.99,67.73,170347
2016-03-08T14:30,67.48,67.77,66.18,66.43,64994
2016-03-08T16:30,66.44,66.65,66.18,66.31,53847
2016-03-08T18:30,66.31,66.39,65.75,65.96,150343
2016-03-09T14:30,66.2,66.31,65.36,66.31,41184
2016-03-09T16:30,66.26,66.26,65.79,65.81,40292
2016-03-09T18:30,65.82,66.09,65.55,65.86,93851
2016-03-10T14:30,66.01,66.46,65.05,65.2,49531
2016-03-10T16:30,65.2,65.86,65.13,65.49,71763
2016-03-10T18:30,65.45,66.05,65.45,66.01,136361
2016-03-11T14:30,66.68,67.16,65.87,66.86,51647
2016-03-11T16:30,66.82,66.83,66.51,66.54,24711
2016-03-11T18:30,66.54,66.58,66.25,66.43,102677
2016-03-14T13:30,66.06,66.56,65.61,66.14,34829
2016-03-14T15:30,66.24,66.43,65.97,66.43,37069
2016-03-14T17:30,66.39,66.6,66.19,66.26,73645
2016-03-15T13:30,65.59,66.49,65.24,66.18,67845
2016-03-15T15:30,66.19,66.24,66.05,66.18,36942
2016-03-15T17:30,66.2,66.62,66.09,66.25,113672
2016-03-16T13:30,66.13,66.66,65.87,66.33,52086
2016-03-16T15:30,66.35,66.6,66.17,66.56,30272
2016-03-16T17:30,66.5,67.58,66.43,67.45,111628
2016-03-17T13:30,67.34,68.61,66.6,68.52,63688
2016-03-17T15:30,68.5,68.74,68.46,68.7,41109
2016-03-17T17:30,68.66,69.4,68.64,69.34,103234
2016-03-18T13:30,68.84,69.97,68.84,69.3,190738
2016-03-18T15:30,69.27,69.72,69.13,69.58,39601
2016-03-18T17:30,69.6,69.71,69.42,69.64,122206
2016-03-21T13:30,69.44,69.75,68.39,69.29,31118
2016-03-21T15:30,69.29,69.54,69,69.5,40171
2016-03-21T17:30,69.57,69.66,69.36,69.49,92848
2016-03-22T13:30,68.98,69.46,68.84,69.25,67980
2016-03-22T15:30,69.35,69.51,69.14,69.5,47774
2016-03-22T17:30,69.52,69.72,69.24,69.42,83909
2016-03-23T13:30,69.18,69.83,68.61,68.76,41637
2016-03-23T15:30,68.7,68.83,68.43,68.69,34882
2016-03-23T17:30,68.74,68.86,68.1,68.48,134081
2016-03-24T13:30,68.11,68.25,67.35,67.97,35323
2016-03-24T15:30,67.97,68.32,67.8,68.18,34251
2016-03-24T17:30,68.2,68.89,68.14,68.88,90653
2016-03-28T13:30,68.79,69.26,67.41,67.43,101379
2016-03-28T15:30,67.47,67.84,67.31,67.68,170002
2016-03-28T17:30,67.69,67.83,67.56,67.8,221704
2016-03-29T13:30,67.51,67.94,67.31,67.8,108805
2016-03-29T15:30,67.79,68.39,67.61,68.1,144883
2016-03-29T17:30,68.11,69.11,68.06,69.05,251047
2016-03-30T13:30,69.52,69.89,68.74,68.88,48829
2016-03-30T15:30,68.79,69.13,68.78,68.92,43798
2016-03-30T17:30,68.94,68.94,68.45,68.49,118027
2016-03-31T13:30,68.37,68.99,67.92,68.39,34685
2016-03-31T15:30,68.4,68.44,68.18,68.28,45996
2016-03-31T17:30,68.26,68.48,68.1,68.26,109725
2016-04-01T13:30,67.65,67.98,67.04,67.94,50531
2016-04-01T15:30,67.96,68.06,67.68,67.98,45531
2016-04-01T17:30,67.99,68.66,67.98,68.58,95913
2016-04-04T13:30,68.48,68.81,67.39,67.68,68419
2016-04-04T15:30,67.77,67.94,67.56,67.71,34519
2016-04-04T17:30,67.67,67.73,67.35,67.66,111494
2016-04-05T13:30,67.2,67.43,66.76,67.34,30179
2016-04-05T15:30,67.33,67.51,66.97,67.02,30318
2016-04-05T17:30,67.07,67.36,66.95,67.04,94066
2016-04-06T13:30,67.02,67.56,66.33,67.06,56199
2016-04-06T15:30,67.04,67.5,67,67.39,30025
2016-04-06T17:30,67.37,67.6,67.11,67.47,90087
2016-04-07T13:30,67.09,67.24,66.47,66.58,47737
2016-04-07T15:30,66.59,66.95,66.47,66.67,39729
2016-04-07T17:30,66.67,66.76,66.22,66.71,129165
2016-04-08T13:30,67.31,68.3,67.04,67.95,39621
2016-04-08T15:30,67.97,67.99,67.27,67.39,23746
2016-04-08T17:30,67.31,67.44,66.81,67.34,60815
2016-04-11T13:30,67.68,68.59,67.62,67.84,38319
2016-04-11T15:30,67.79,68.09,67.56,67.81,27052
2016-04-11T17:30,67.84,67.88,67.23,67.48,75234
2016-04-12T13:30,67.7,69.13,67.08,69.02,105091
2016-04-12T15:30,69,69.3,68.63,68.64,43670
2016-04-12T17:30,68.77,69.18,68.52,68.87,123388
2016-04-13T13:30,69.34,69.38,68.71,69.35,39463
2016-04-13T15:30,69.4,69.56,69.08,69.23,39645
2016-04-13T17:30,69.22,69.98,69.16,69.92,122218
2016-04-14T13:30,69.8,69.9,69.29,69.75,27151
2016-04-14T15:30,69.75,69.94,69.66,69.83,21239
2016-04-14T17:30,69.84,69.93,69.6,69.61,76560
2016-04-15T13:30,69.66,70.14,69.27,69.93,56225
2016-04-15T15:30,69.93,70.19,69.71,69.88,16595
2016-04-15T17:30,69.86,70.13,69.85,70.05,59306
2016-04-18T13:30,69.67,70.15,69.67,70.11,20548
2016-04-18T15:30,70.13,70.36,70.1,70.16,22580
2016-04-18T17:30,70.12,70.18,69.85,70.01,57775
2016-04-19T13:30,70.26,70.83,69.73,70.16,27063
2016-04-19T15:30,70.09,70.21,69.79,70.13,17669
2016-04-19T17:30,70.09,70.12,69.83,69.97,47556
2016-04-20T13:30,69.91,70.3,69.5,70.26,47755
2016-04-20T15:30,70.28,70.41,70.12,70.26,42346
2016-04-20T17:30,70.25,70.68,70.04,70.47,156115
2016-04-21T13:30,70.47,70.71,69.95,70.01,75474
2016-04-21T15:30,69.99,70.55,69.79,70.44,55596
2016-04-21T17:30,70.49,70.69,70.16,70.18,164703
2016-04-22T13:30,70.36,70.97,70.05,70.53,41528
2016-04-22T15:30,70.53,70.65,70.32,70.52,30986
2016-04-22T17:30,70.5,71.03,70.5,70.89,118645
2016-04-25T13:30,70.51,70.7,69.75,70.01,68195
2016-04-25T15:30,70.01,70.28,69.75,70.28,29242
2016-04-25T17:30,70.27,70.28,69.7,70.05,85672
2016-04-26T13:30,70.32,71.14,70.01,70.97,70290
2016-04-26T15:30,70.98,71.23,70.96,71.06,42805
2016-04-26T17:30,71.07,71.33,70.94,71.28,82712
2016-04-27T13:30,71.35,72.23,70.82,71.09,76431
2016-04-27T15:30,71.07,71.21,70.75,70.85,54974
2016-04-27T17:30,71.06,71.74,70.92,71.56,110690
2016-04-28T13:30,71.58,71.69,70.94,71.07,62392
2016-04-28T15:30,71.03,71.06,70.39,70.39,71287
2016-04-28T17:30,70.44,70.49,69.22,69.36,140239
2016-04-29T13:30,69.32,69.66,68.79,69.25,151987
2016-04-29T15:30,69.24,69.24,68.91,69.09,45529
2016-04-29T17:30,69.09,69.09,68.42,68.84,215952
2016-05-02T13:30,68.92,69.72,68.5,69.57,34688
2016-05-02T15:30,69.63,69.74,69.31,69.51,26884
2016-05-02T17:30,69.52,69.89,69.48,69.78,71411
2016-05-03T13:30,69.08,69.64,68.35,68.51,52076
2016-05-03T15:30,68.44,69.03,68.44,68.88,34061
2016-05-03T17:30,68.91,69.15,68.9,68.92,75507
2016-05-04T13:30,68.62,69.36,68.15,68.15,69091
2016-05-04T15:30,68.17,68.44,67.96,68.32,47397
2016-05-04T17:30,68.36,68.37,67.74,67.83,123590
2016-05-05T13:30,68.24,68.7,67.81,68.44,46632
2016-05-05T15:30,68.44,68.65,68.08,68.08,19710
2016-05-05T17:30,68.15,68.54,67.93,68.03,95208
2016-05-06T13:30,67.74,68.44,67.55,68,79816
2016-05-06T15:30,67.95,68.13,67.62,67.97,23980
2016-05-06T17:30,67.93,68.36,67.84,68.36,123974
2016-05-09T13:30,68,68.67,67.57,68.18,37609
2016-05-09T15:30,68.1,68.39,67.96,68.35,22498
2016-05-09T17:30,68.36,68.78,68.31,68.52,83498
2016-05-10T13:30,68.56,69.24,68.21,69.17,32971
2016-05-10T15:30,69.13,69.67,69.09,69.33,39003
2016-05-10T17:30,69.38,69.78,69.24,69.78,100824
2016-05-11T13:30,69.37,70.23,69.28,69.77,64492
