date,open,high,low,close,volume
2016-01-04T14:30,66.86,66.87,65.44,65.94,749379
2016-01-04T16:30,65.96,65.99,65.25,65.86,603726
2016-01-04T18:30,65.83,65.9,64.67,65.4,983633
2016-01-05T14:30,65.36,65.88,65.09,65.29,386887
2016-01-05T16:30,65.24,65.49,65.07,65.31,169036
2016-01-05T18:30,65.31,66,65.26,65.77,412309
2016-01-06T14:30,64.92,65.31,64.36,64.66,408589
2016-01-06T16:30,64.65,64.68,63.7,64,332950
2016-01-06T18:30,64.05,64.15,63.16,63.63,526360
2016-01-07T14:30,62.62,63.01,61.99,62.65,520968
2016-01-07T16:30,62.66,62.76,62.11,62.33,545047
2016-01-07T18:30,62.31,62.47,62.14,62.35,725954
2016-01-08T14:30,62.59,63.15,62.16,62.34,286758
2016-01-08T16:30,62.33,62.65,62.26,62.38,320257
2016-01-08T18:30,62.35,62.69,61.99,62.17,625063
2016-01-11T14:30,62.37,62.62,60.75,61.19,398291
2016-01-11T16:30,61.16,61.34,60.15,60.15,259802
2016-01-11T18:30,60.19,60.9,59.95,60.72,758451
2016-01-12T14:30,61.18,61.83,60.38,60.4,252183
2016-01-12T16:30,60.41,60.86,59.48,59.58,270466
2016-01-12T18:30,59.61,60.76,58.83,60.62,1157963
2016-01-13T14:30,61.14,61.14,58.03,58.32,516422
2016-01-13T16:30,58.35,58.51,56.83,57.07,316668
2016-01-13T18:30,57.07,57.49,56.03,57.11,1043591
2016-01-14T14:30,57.67,58.83,57.12,57.8,550432
2016-01-14T16:30,57.79,58.45,57.22,58.33,332822
2016-01-14T18:30,58.31,58.45,57.27,57.67,891582
2016-01-15T14:30,56.14,57.23,56.1,56.78,752833
2016-01-15T16:30,56.79,57.17,56.54,57.11,419520
2016-01-15T18:30,57.09,57.58,56.79,57.37,543857
2016-01-19T14:30,57.76,57.94,56.51,57.42,408069
2016-01-19T16:30,57.4,58.01,57.3,57.51,338592
2016-01-19T18:30,57.51,57.73,56.86,57.42,666759
2016-01-20T14:30,56.75,56.75,54.82,55,624885
2016-01-20T16:30,55.09,55.11,54.24,54.6,365899
2016-01-20T18:30,54.6,57.83,54.58,56.9,1039271
2016-01-21T14:30,56.71,56.99,55.36,55.58,713332
2016-01-21T16:30,55.59,55.82,53.17,55,1462883
2016-01-21T18:30,54.96,56.43,54.52,56.05,1369634
2016-01-22T14:30,56.97,57.27,55.74,56.08,637907
2016-01-22T16:30,56.05,56.12,54.87,55.06,824429
2016-01-22T18:30,55.08,55.6,54.82,54.84,767630
2016-01-25T14:30,54.88,55.44,54.2,54.95,513369
2016-01-25T16:30,54.95,55.19,54.37,54.58,388654
2016-01-25T18:30,54.61,54.79,53.97,54.17,602328
2016-01-26T14:30,54.36,55.44,54.34,55.24,682885
2016-01-26T16:30,55.24,55.32,54.78,55.05,176497
2016-01-26T18:30,55.01,55.32,54.82,55.08,622531
2016-01-27T14:30,54.44,56.49,54.26,56.17,588712
2016-01-27T16:30,56.21,56.56,55.89,56.2,427299
2016-01-27T18:30,56.13,56.54,55.48,55.89,703468
2016-01-28T14:30,55.9,57.07,55.34,55.93,535507
2016-01-28T16:30,55.92,56.48,55.81,56.2,353104
2016-01-28T18:30,56.24,56.36,56.01,56.04,423450
2016-01-29T14:30,56.59,57.13,56.24,56.46,372810
2016-01-29T16:30,56.45,56.99,56.27,56.29,397672
2016-01-29T18:30,56.31,56.66,55.98,56.35,910142
2016-02-01T14:30,56.12,56.4,55.16,55.84,503335
2016-02-01T16:30,55.89,56.07,55.45,55.93,243602
2016-02-01T18:30,55.92,56.32,55.8,56.04,538526
2016-02-02T14:30,55.26,55.56,54.21,54.45,307868
2016-02-02T16:30,54.45,54.61,53.62,53.71,265786
2016-02-02T18:30,53.73,53.85,53.13,53.23,697224
2016-02-03T14:30,53.94,54.05,52.03,53.11,774501
2016-02-03T16:30,53.15,54.58,53,53.74,458555
2016-02-03T18:30,53.77,54.58,53.54,54.28,587186
2016-02-04T14:30,54.46,56.45,54.46,55.91,717371
2016-02-04T16:30,55.9,56.08,55.08,56.08,417966
2016-02-04T18:30,56.08,56.42,55.75,55.94,860655
2016-02-05T14:30,55.75,56.45,55.29,55.81,380725
2016-02-05T16:30,55.81,56.06,55.65,55.94,348989
2016-02-05T18:30,55.93,56.95,55.87,56.56,670857
2016-02-08T14:30,55.93,57.13,55.77,56.64,484042
2016-02-08T16:30,56.67,56.93,56.29,56.6,248341
2016-02-08T18:30,56.62,57.71,56.11,56.87,1877425
2016-02-09T14:30,56.21,59.12,55.75,56.86,2163046
2016-02-09T16:30,56.86,57.6,56.08,56.29,558879
2016-02-09T18:30,56.29,58.38,56.29,57.62,1507701
2016-02-10T14:30,58.21,59.24,57.81,58.21,546796
2016-02-10T16:30,58.24,59.29,58.09,58.82,277698
2016-02-10T18:30,58.87,59.41,58.79,58.89,705375
2016-02-11T14:30,57.85,58.25,57.11,57.19,514222
2016-02-11T16:30,57.21,57.55,56.9,57.12,245709
2016-02-11T18:30,57.12,57.8,56.45,57.73,796068
2016-02-12T14:30,57.8,59.35,57.31,58.69,497823
2016-02-12T16:30,58.74,58.86,58.18,58.31,211138
2016-02-12T18:30,58.32,58.67,57.92,58.54,647769
2016-02-16T14:30,58.77,59.94,58.52,58.96,427597
2016-02-16T16:30,58.94,59.61,58.79,59.42,278038
2016-02-16T18:30,59.43,59.95,59.27,59.67,536234
2016-02-17T14:30,59.96,61.23,59.38,60.81,852231
2016-02-17T16:30,60.81,61.16,60.6,61.04,318578
2016-02-17T18:30,60.99,61.31,60.76,61.11,787675
2016-02-18T14:30,61.03,61.46,60.5,60.57,332626
2016-02-18T16:30,60.58,60.91,60.33,60.4,235233
2016-02-18T18:30,60.45,60.55,59.75,60.36,412452
2016-02-19T14:30,60.08,60.71,59.72,60.63,419564
2016-02-19T16:30,60.59,60.89,60.38,60.65,384087
2016-02-19T18:30,60.69,60.86,60.43,60.48,506993
2016-02-22T14:30,60.96,61.6,60.67,60.98,657007
2016-02-22T16:30,60.98,61.55,60.85,61.49,364192
2016-02-22T18:30,61.49,62.22,61.19,61.31,784419
2016-02-23T14:30,61.55,62.05,59.77,59.86,395388
2016-02-23T16:30,59.97,60.38,59.76,60.2,150906
2016-02-23T18:30,60.22,60.31,59.46,59.55,323133
2016-02-24T14:30,58.5,59.21,58.08,58.85,286875
2016-02-24T16:30,58.9,59.5,58.86,59.21,167983
2016-02-24T18:30,59.24,59.88,58.94,59.64,264526
2016-02-25T14:30,59.87,60.46,58.58,58.74,198497
2016-02-25T16:30,58.71,59.09,58.61,58.83,179500
2016-02-25T18:30,58.83,59.56,58.77,59.43,417770
2016-02-26T14:30,59.64,61.17,59.51,61.06,400566
2016-02-26T16:30,61.04,61.42,60.83,61.01,266681
2016-02-26T18:30,61,61.06,60.21,60.25,550822
2016-02-29T14:30,60.24,60.79,59.67,59.88,361143
2016-02-29T16:30,59.83,60.22,59.63,59.78,194734
2016-02-29T18:30,59.71,60.06,59,59.01,606831
2016-03-01T14:30,59.43,60.32,59.13,60.14,531085
2016-03-01T16:30,60.17,60.91,60.13,60.71,451598
2016-03-01T18:30,60.71,61.04,60.45,60.71,803140
2016-03-02T14:30,61.35,62.43,61.01,62.28,660136
2016-03-02T16:30,62.29,62.45,61.84,61.89,267817
2016-03-02T18:30,61.91,62.2,61.33,61.62,739943
2016-03-03T14:30,61.67,63.29,61.67,62.53,547596
2016-03-03T16:30,62.54,62.72,61.93,62.02,414130
2016-03-03T18:30,62.09,62.54,61.89,62.09,559908
2016-03-04T14:30,62.3,63.46,62.29,63.24,306253
2016-03-04T16:30,63.24,63.35,62.84,63.14,251253
2016-03-04T18:30,63.12,63.26,62.36,62.42,473670
2016-03-07T14:30,62.13,63.51,61.86,63.51,1174323
2016-03-07T16:30,63.51,64.02,63.18,63.89,1060671
2016-03-07T18:30,63.9,64.51,63.53,64.13,842331
2016-03-08T14:30,64.01,64.29,62.77,63.37,1740835
2016-03-08T16:30,63.42,63.42,62.72,62.87,288238
2016-03-08T18:30,62.87,62.91,61.26,61.58,3814895
2016-03-09T14:30,62.03,62.5,61.72,62.25,480031
2016-03-09T16:30,62.25,62.28,61.74,61.96,272624
2016-03-09T18:30,61.95,62.09,60.71,61.08,1634221
2016-03-10T14:30,61.99,62.14,60.46,60.65,1016592
2016-03-10T16:30,60.65,61.53,60.25,60.64,433166
2016-03-10T18:30,60.67,61.24,60.38,61.12,659288
2016-03-11T14:30,61.84,63.19,61.46,62.92,564170
2016-03-11T16:30,62.98,63.37,62.96,63.29,331988
2016-03-11T18:30,63.28,63.96,63.22,63.71,832565
2016-03-14T13:30,63.16,64.55,63.1,64.09,470109
2016-03-14T15:30,64.09,64.24,63.69,63.9,318718
2016-03-14T17:30,63.89,64.05,63.35,63.68,647539
2016-03-15T13:30,63.13,63.39,62.34,63.1,369828
2016-03-15T15:30,63.05,63.22,62.75,62.99,182108
2016-03-15T17:30,63.04,63.79,62.96,63.71,370079
2016-03-16T13:30,63.39,65.01,62.57,64.75,305611
2016-03-16T15:30,64.77,64.8,64.17,64.54,274938
2016-03-16T17:30,64.54,65.66,64.21,65.35,779335
2016-03-17T13:30,65.3,66.24,64.75,65.77,387591
2016-03-17T15:30,65.82,66.73,65.59,66.3,380435
2016-03-17T17:30,66.29,66.93,66.19,66.78,709026
2016-03-18T13:30,67.03,68.16,67.03,67.42,947980
2016-03-18T15:30,67.39,67.63,67.26,67.47,279948
2016-03-18T17:30,67.46,68.21,67.35,67.77,994761
2016-03-21T13:30,67.54,68.75,67.13,67.67,443683
2016-03-21T15:30,67.65,67.87,67.46,67.82,181680
2016-03-21T17:30,67.81,67.88,67.6,67.82,346113
2016-03-22T13:30,67.24,68.75,67.16,68.64,451482
2016-03-22T15:30,68.66,68.68,68.07,68.54,514038
2016-03-22T17:30,68.53,68.53,67.77,68,684844
2016-03-23T13:30,68.01,68.18,66.92,67.42,300401
2016-03-23T15:30,67.43,67.64,67.35,67.4,196730
2016-03-23T17:30,67.4,67.75,66.73,66.83,521705
2016-03-24T13:30,66.24,66.79,65.65,66.64,205671
2016-03-24T15:30,66.66,67.25,66.5,67.21,120449
2016-03-24T17:30,67.18,67.68,67.05,67.66,231014
2016-03-28T13:30,67.57,67.57,65.59,65.62,469855
2016-03-28T15:30,65.64,65.71,65.22,65.51,324285
2016-03-28T17:30,65.52,65.98,65.34,65.91,576110
2016-03-29T13:30,65.44,66,64.92,65.44,244941
2016-03-29T15:30,65.5,66.55,65.38,66.5,204961
2016-03-29T17:30,66.49,67.21,66.45,66.79,345172
2016-03-30T13:30,67.2,69.89,67.13,68.71,896119
2016-03-30T15:30,68.68,68.96,68.45,68.67,308537
