date,open,high,low,close,volume
2021-01-04T15:00,82.67,82.78,81.78,81.83,462292
2021-01-04T17:00,81.82,82.47,81.66,82.44,318482
2021-01-04T19:00,82.44,82.96,82.19,82.69,827910
2021-01-05T15:00,81.87,82.33,81.05,81.61,552873
2021-01-05T17:00,81.59,82.09,81.59,81.79,229451
2021-01-05T19:00,81.79,82.6,81.79,82.47,933089
2021-01-06T15:00,82.67,83.46,82.31,82.91,677986
2021-01-06T17:00,82.96,83.87,82.85,83.78,487033
2021-01-06T19:00,83.79,84.2,83.42,84.12,885730
2021-01-07T15:00,84.72,85.11,84.01,84.19,565304
2021-01-07T17:00,84.19,84.77,84.11,84.61,361730
2021-01-07T19:00,84.6,84.86,84.27,84.58,821986
2021-01-08T15:00,84.38,84.69,83.75,83.82,288366
2021-01-08T17:00,83.8,83.93,83.3,83.51,234338
2021-01-08T19:00,83.48,84.47,83.48,84.37,480434
2021-01-11T15:00,84.44,84.52,84.07,84.32,295139
2021-01-11T17:00,84.32,84.76,84.22,84.43,290098
2021-01-11T19:00,84.43,84.94,84.32,84.92,572264
2021-01-12T15:00,84.88,85.6,84.86,85.08,607732
2021-01-12T17:00,85.08,85.59,84.69,85.56,296290
2021-01-12T19:00,85.55,85.75,84.76,84.88,642163
2021-01-13T15:00,84.54,85.07,84.3,84.72,436447
2021-01-13T17:00,84.73,85.02,84.42,84.98,382497
2021-01-13T19:00,84.98,85.13,84.52,84.76,571509
2021-01-14T15:00,84.77,84.85,84.26,84.58,282270
2021-01-14T17:00,84.6,84.6,83.95,83.99,289186
2021-01-14T19:00,83.97,84.08,83.36,83.44,642522
2021-01-15T15:00,83.48,84.44,83.13,84.44,477165
2021-01-15T17:00,84.41,84.83,84.2,84.36,406225
2021-01-15T19:00,84.36,84.73,84.19,84.64,1092943
2021-01-19T15:00,84.73,85.77,84.71,85.47,749451
2021-01-19T17:00,85.47,86.53,85.41,86.53,443138
2021-01-19T19:00,86.52,86.73,85.87,85.88,983294
2021-01-20T15:00,85.47,86.37,85.4,85.86,269674
2021-01-20T17:00,85.9,86.47,85.89,85.94,240376
2021-01-20T19:00,85.95,85.98,85.63,85.75,476589
2021-01-21T15:00,86.08,86.09,84.87,85,294713
2021-01-21T17:00,84.96,85.22,84.81,85,200120
2021-01-21T19:00,84.98,85.03,84.16,84.16,695153
2021-01-22T15:00,83.63,83.67,82.54,83.06,619039
2021-01-22T17:00,83.03,83.13,82.69,82.78,561727
2021-01-22T19:00,82.78,83.03,82.41,82.42,837340
2021-01-25T15:00,81.93,83.11,81.59,82.77,840339
2021-01-25T17:00,82.81,83.56,82.62,83.04,523981
2021-01-25T19:00,83.05,83.19,82.28,82.54,744801
2021-01-26T15:00,82.23,82.33,81.37,81.94,467711
2021-01-26T17:00,81.94,82.08,81.71,81.77,358629
2021-01-26T19:00,81.77,82.18,81.39,81.82,1064746
2021-01-27T15:00,80.78,81.03,78,78.11,1061033
2021-01-27T17:00,78.06,79.37,77.93,78.6,1373559
2021-01-27T19:00,78.67,78.76,77.42,77.71,1575442
2021-01-28T15:00,78.12,79.4,77.99,78.9,1589937
2021-01-28T17:00,78.92,80.06,78.7,80.01,847697
2021-01-28T19:00,80,80.09,78.93,79.01,2753329
2021-01-29T15:00,78.8,79.16,77.81,78.05,1095132
2021-01-29T17:00,78.04,78.19,77.43,78,853417
2021-01-29T19:00,77.98,78.65,77.81,77.81,1556800
2021-02-01T15:00,76.82,77.37,76.44,76.87,885499
2021-02-01T17:00,76.87,77.28,76.31,76.77,2173003
2021-02-01T19:00,76.76,77.19,76.55,76.94,1274154
2021-02-02T15:00,77.85,78.81,77.72,78.15,765978
2021-02-02T17:00,78.16,78.4,77.55,77.86,549046
2021-02-02T19:00,77.89,77.99,77.44,77.44,1070787
2021-02-03T15:00,77.32,77.72,77.19,77.5,619602
