date,open,high,low,close,volume
2016-01-04T14:30,80.63,81.48,79.86,80.49,522665
2016-01-04T16:30,80.53,81.39,80.45,81.39,262487
2016-01-04T18:30,81.39,81.99,81.28,81.87,527195
2016-01-05T14:30,82.38,82.4,80.71,80.84,299603
2016-01-05T16:30,80.85,80.97,80.16,80.5,267327
2016-01-05T18:30,80.5,80.95,80.33,80.5,738459
2016-01-06T14:30,79.36,80.03,79.19,79.88,544957
2016-01-06T16:30,79.91,80.14,79.03,79.2,293213
2016-01-06T18:30,79.21,79.48,78.75,79.47,478089
2016-01-07T14:30,78.09,79.16,77.75,78.83,337351
2016-01-07T16:30,78.79,78.83,77.84,78.01,187781
2016-01-07T18:30,77.95,78.23,77.59,78.12,610069
2016-01-08T14:30,78.7,79.14,77.51,77.63,702136
2016-01-08T16:30,77.67,78.31,77.4,77.46,266328
2016-01-08T18:30,77.48,77.55,76.5,76.69,592804
2016-01-11T14:30,77.09,77.3,75.97,76.37,344938
2016-01-11T16:30,76.37,76.48,75.83,76.02,193902
2016-01-11T18:30,76.01,76.77,75.74,76.54,686763
2016-01-12T14:30,77.33,77.58,76,76,293455
2016-01-12T16:30,75.99,76.31,75.3,75.52,219585
2016-01-12T18:30,75.54,76.78,75.26,76.65,661170
2016-01-13T14:30,77.05,77.58,76.26,76.6,215611
2016-01-13T16:30,76.63,77.29,76.44,76.65,325689
2016-01-13T18:30,76.63,76.71,75.81,75.99,798259
2016-01-14T14:30,76.13,77.54,74.81,76.97,433316
2016-01-14T16:30,76.97,78.28,76.79,77.98,280735
2016-01-14T18:30,77.98,78.02,76.69,76.76,1247444
2016-01-15T14:30,74.27,75.47,74.27,75.03,827417
2016-01-15T16:30,75.04,75.11,74.01,74.08,501692
2016-01-15T18:30,74.08,75.14,74.04,74.53,993675
2016-01-19T14:30,75.75,75.8,74.34,74.66,424814
2016-01-19T16:30,74.72,75.06,74.22,74.27,213237
2016-01-19T18:30,74.31,74.83,73.81,74.43,593712
2016-01-20T14:30,73.18,73.18,71.86,72.11,596244
2016-01-20T16:30,72.11,72.22,70.57,70.74,734380
