date,open,high,low,close,volume
2016-01-04T14:30,15.54,15.59,15.36,15.37,1438976
2016-01-04T16:30,15.38,15.45,14.87,15.1,2529231
2016-01-04T18:30,15.11,15.21,14.98,15.19,4237173
2016-01-05T14:30,15.23,15.48,15.15,15.27,3053664
2016-01-05T16:30,15.28,15.35,15.14,15.32,2223953
2016-01-05T18:30,15.31,15.46,15.28,15.34,4238500
2016-01-06T14:30,15.09,15.36,15.06,15.2,1494017
2016-01-06T16:30,15.2,15.21,15.05,15.06,1449449
2016-01-06T18:30,15.06,15.11,14.86,15,4361825
2016-01-07T14:30,14.39,14.85,14.39,14.75,1688011
2016-01-07T16:30,14.75,14.83,14.5,14.51,1471469
2016-01-07T18:30,14.51,14.54,14.32,14.36,2913323
2016-01-08T14:30,14.69,14.83,13.96,14,3734881
2016-01-08T16:30,14,14.23,13.97,14.15,1512962
2016-01-08T18:30,14.16,14.36,14.04,14.08,4813275
2016-01-11T14:30,14.21,14.29,14.01,14.12,2330200
2016-01-11T16:30,14.12,14.25,14.11,14.11,1260085
2016-01-11T18:30,14.11,14.5,14.07,14.3,5240365
2016-01-12T14:30,14.46,14.6,14.13,14.14,1192543
2016-01-12T16:30,14.14,14.22,14.03,14.14,1165772
2016-01-12T18:30,14.14,14.41,14.13,14.37,2094750
2016-01-13T14:30,14.75,15.13,14.69,14.83,4154273
2016-01-13T16:30,14.83,14.88,14.54,14.61,2660178
2016-01-13T18:30,14.61,14.75,14.4,14.44,5623026
2016-01-14T14:30,14.44,14.55,13.97,14.14,1940088
2016-01-14T16:30,14.14,14.28,14.01,14.25,1145648
2016-01-14T18:30,14.26,14.41,14.2,14.23,2622677
2016-01-15T14:30,13.83,14.06,13.73,13.99,2298008
2016-01-15T16:30,13.99,14.06,13.82,14.04,2234244
2016-01-15T18:30,14.04,14.29,14.01,14.12,3334069
2016-01-19T14:30,14.29,14.41,14.09,14.17,1683250
2016-01-19T16:30,14.18,14.25,14.02,14.07,1024299
2016-01-19T18:30,14.08,14.09,13.75,13.89,2456204
2016-01-20T14:30,13.68,13.69,12.94,13.15,2184483
2016-01-20T16:30,13.15,13.36,13.03,13.36,1712320
2016-01-20T18:30,13.35,13.9,13.35,13.78,3647759
2016-01-21T14:30,13.8,14.28,13.73,14.13,3343706
2016-01-21T16:30,14.13,14.61,14.1,14.25,2910728
