date,open,high,low,close,volume
2016-01-04T14:30,45.54,45.7,45.13,45.56,312094
2016-01-04T16:30,45.55,45.84,45.44,45.81,110257
2016-01-04T18:30,45.81,45.94,45.38,45.8,284246
2016-01-05T14:30,46.02,46.02,45.51,45.66,200815
2016-01-05T16:30,45.67,45.74,45.39,45.54,91971
2016-01-05T18:30,45.53,45.8,45.48,45.75,424888
2016-01-06T14:30,45.05,45.39,44.87,45.16,206406
2016-01-06T16:30,45.14,45.21,44.72,44.82,158416
2016-01-06T18:30,44.84,44.94,44.36,44.75,433275
2016-01-07T14:30,43.89,44.46,43.64,44.07,196585
2016-01-07T16:30,44.06,44.07,43.57,43.69,126889
2016-01-07T18:30,43.71,43.83,43.37,43.69,573031
2016-01-08T14:30,44.29,44.78,43.48,43.54,451807
2016-01-08T16:30,43.53,43.73,43.29,43.56,279246
2016-01-08T18:30,43.54,43.71,42.76,42.77,576340
2016-01-11T14:30,43,44.12,42.91,43.97,369908
2016-01-11T16:30,43.97,44.03,43.41,43.41,279973
2016-01-11T18:30,43.43,43.94,43.27,43.67,672814
2016-01-12T14:30,44.23,44.7,43.57,43.58,181321
2016-01-12T16:30,43.58,43.79,42.97,43.03,190693
2016-01-12T18:30,43.01,43.73,42.9,43.67,510609
2016-01-13T14:30,44.16,44.16,43.31,43.53,265225
2016-01-13T16:30,43.53,43.57,43.13,43.18,239097
2016-01-13T18:30,43.2,43.28,42.31,42.33,455606
2016-01-14T14:30,42.58,42.69,41.74,42.14,177996
2016-01-14T16:30,42.12,42.52,41.99,42.49,134043
2016-01-14T18:30,42.5,43.01,42.38,42.71,352440
2016-01-15T14:30,41.49,43.08,41.43,42.37,339278
2016-01-15T16:30,42.38,42.57,41.86,42.51,362028
2016-01-15T18:30,42.54,43.39,42.46,42.93,680538
2016-01-19T14:30,43.42,43.51,42.16,42.4,280717
2016-01-19T16:30,42.44,42.54,41.95,42.21,161114
2016-01-19T18:30,42.18,42.37,41.54,42.1,330489
2016-01-20T14:30,41.58,41.6,40.06,40.27,317540
2016-01-20T16:30,40.26,40.64,39.66,40.52,272147
2016-01-20T18:30,40.54,42.32,40.54,41.85,474024
2016-01-21T14:30,41.79,41.9,41,41.46,392108
2016-01-21T16:30,41.5,42.42,41.45,41.49,220543
2016-01-21T18:30,41.53,41.75,41.1,41.1,595413
2016-01-22T14:30,41.92,42.7,41.53,42.13,553977
2016-01-22T16:30,42.06,42.07,41.82,42.01,345958
2016-01-22T18:30,42.02,42.34,41.94,42.32,708319
2016-01-25T14:30,39.19,39.52,37.26,38.09,1783073
2016-01-25T16:30,38.06,38.11,37.13,37.22,605978
2016-01-25T18:30,37.22,37.64,36.65,36.83,1357218
2016-01-26T14:30,36.62,38.37,35.79,36.91,1423902
2016-01-26T16:30,36.91,37.1,36.38,36.73,892757
2016-01-26T18:30,36.73,37.31,36.2,36.5,1528211
2016-01-27T14:30,36.33,37.02,36.18,37.02,1010363
2016-01-27T16:30,37.03,37.51,36.98,37.4,508110
2016-01-27T18:30,37.38,37.56,36.54,36.62,978970
2016-01-28T14:30,37.01,37.12,36.04,36.12,266734
2016-01-28T16:30,36.1,36.12,35.76,35.85,190116
2016-01-28T18:30,35.92,36.03,35.64,35.89,780170
2016-01-29T14:30,35.99,36.3,35.46,35.76,375220
2016-01-29T16:30,35.77,36.66,35.62,36.57,428868
2016-01-29T18:30,36.57,37.33,36.53,37.33,693582
2016-02-01T14:30,36.81,36.87,35.93,36.7,485241
2016-02-01T16:30,36.7,37.29,36.69,37.29,369511
2016-02-01T18:30,37.28,37.62,37.09,37.46,609121
