date,open,high,low,close,volume
2021-01-04T15:00,23.03,24.5,22.86,23.9219,17263379
2021-01-04T17:00,23.9213,24.03,23.305,23.575,7030533
2021-01-04T19:00,23.57,23.74,23.23,23.3383,6323005
2021-01-05T15:00,23.6,24.26,23.21,24.1766,8726277
2021-01-05T17:00,24.175,24.67,24,24.56,6874042
2021-01-05T19:00,24.57,24.61,24.16,24.59,6872427
2021-01-06T15:00,23.97,24.37,23.76,23.9899,8336442
2021-01-06T17:00,23.9863,24.28,23.92,23.96,4859792
2021-01-06T19:00,23.9589,24,23.25,23.53,12524205
2021-01-07T15:00,24.4494,25.19,24.1,24.665,13286864
2021-01-07T17:00,24.66,24.71,24.33,24.63,5393053
2021-01-07T19:00,24.615,25,24.53,25,6317124
2021-01-08T15:00,26.11,26.44,25.56,25.99,14498481
2021-01-08T17:00,25.98,26,24.7,25.1,8754494
2021-01-08T19:00,25.0931,25.4,24.79,25.2,8291991
2021-01-11T15:00,25.77,26.6,25.4101,25.8851,15115119
2021-01-11T17:00,25.89,26.175,25.61,26.075,5153416
2021-01-11T19:00,26.07,26.07,25.43,25.96,5340603
2021-01-12T15:00,26,26.29,25.61,26.07,8899582
2021-01-12T17:00,26.0789,26.1,25.51,26.0611,5542451
2021-01-12T19:00,26.06,26.2,25.91,26.18,5669797
2021-01-13T15:00,26.93,27.101,25.65,25.8111,15928816
2021-01-13T17:00,25.82,25.95,25.13,25.55,10980994
2021-01-13T19:00,25.543,25.6811,25.32,25.47,7643081
2021-01-14T15:00,24.7,25.1799,24.63,25.02,8218969
2021-01-14T17:00,25.02,25.45,24.81,25.0111,5693987
2021-01-14T19:00,25.02,25.3,24.81,24.91,7301240
2021-01-15T15:00,27.8,27.9,26.02,26.95,34345981
2021-01-15T17:00,26.9484,27,26.31,26.57,8453010
2021-01-15T19:00,26.57,26.9799,25.46,25.645,17850540
2021-01-19T15:00,27.415,27.54,26,26.31,16159315
2021-01-19T17:00,26.3178,26.96,26.09,26.93,8607708
2021-01-19T19:00,26.91,26.9158,26.3711,26.62,8599418
2021-01-20T15:00,26.67,26.99,25.7,26.73,14301217
2021-01-20T17:00,26.73,26.91,26.03,26.2901,7493775
2021-01-20T19:00,26.2998,26.35,25.84,26.33,6434012
2021-01-21T15:00,25.8966,26.33,25.58,25.98,8434368
2021-01-21T17:00,25.977,26.06,25.73,25.92,5100514
2021-01-21T19:00,25.9204,26.22,25.86,25.96,6591522
2021-01-22T15:00,27.04,28.56,26.63,28.2518,34384426
2021-01-22T17:00,28.25,30.5,28.0522,30.2,44997383
2021-01-22T19:00,30.19,32.65,30.07,32.515,62302071
2021-01-25T15:00,35.87,37.69,29.56,35.7,71008787
2021-01-25T17:00,35.7271,35.85,32.08,33.51,28511251
2021-01-25T19:00,33.525,36.6091,33.45,36.2,34309296
2021-01-26T15:00,35.86,36.4,34.32,34.8199,18963544
2021-01-26T17:00,34.82,35.56,34.7248,35.1,10532832
2021-01-26T19:00,35.11,36.05,34.53,35.4,15582672
2021-01-27T15:00,36.7418,40.2,35.08,37.79,45169077
2021-01-27T17:00,37.7801,43.37,37.5201,43.2395,37025526
2021-01-27T19:00,43.2383,45,37.3,39.28,63927683
2021-01-28T15:00,40,40.98,33.1,35.1999,39670113
2021-01-28T17:00,35.1655,36.7,34.4,35.9439,18690989
2021-01-28T19:00,35.9,36.53,35.14,35.73,11760554
2021-01-29T15:00,36.96,38.01,36.15,36.8,13419090
2021-01-29T17:00,36.83,36.95,34.66,35.38,10835744
2021-01-29T19:00,35.38,35.92,34.8,35.22,7881940
2021-02-01T15:00,33.1,34.57,32.58,34.47,17577021
2021-02-01T17:00,34.46,35.45,34.02,34.485,7439187
2021-02-01T19:00,34.4989,35.03,33.43,33.92,9010126
2021-02-02T15:00,32.34,32.35,30.5,31.525,28056694
2021-02-02T17:00,31.54,32.35,31.36,31.625,9878780
2021-02-02T19:00,31.63,31.82,31,31.02,12960426
2021-02-03T15:00,32.1504,32.65,31.74,32.08,10316778
2021-02-03T17:00,32.08,32.52,32,32.1,5506948
2021-02-03T19:00,32.1,32.12,31.38,31.79,7840613
2021-02-04T15:00,32.0701,32.11,31.05,31.8,13564299
2021-02-04T17:00,31.8,32.3599,31.7302,32.0411,5303862
2021-02-04T19:00,32.04,32.15,31.8,32.05,5013508
2021-02-05T15:00,33.47,34.79,33.25,34.2017,22891656
2021-02-05T17:00,34.21,35.2,33.77,33.85,17870302
2021-02-05T19:00,33.85,34.08,33.29,34.04,10426561
2021-02-08T15:00,38.3859,38.7,36.5,36.8311,22979252
2021-02-08T17:00,36.8598,37.46,36.56,36.595,8432993
2021-02-08T19:00,36.6,36.694,35.89,36.13,12663863
2021-02-09T15:00,37.09,37.4,36.51,36.7411,11211318
2021-02-09T17:00,36.745,38.255,36.72,37.7,10156546
2021-02-09T19:00,37.7,38.24,37.5222,38.14,10950053
2021-02-10T15:00,37.4197,37.59,35,36.27,19588247
2021-02-10T17:00,36.2622,36.85,36.03,36.35,7094060
2021-02-10T19:00,36.35,36.45,35.55,35.73,9180686
2021-02-11T15:00,34.8138,35.5,34.18,34.3475,9750530
2021-02-11T17:00,34.34,34.62,33.61,33.92,11180460
2021-02-11T19:00,33.9286,33.9289,32.61,33.06,22506051
2021-02-12T15:00,32.87,32.9248,31.98,32.1282,16309127
2021-02-12T17:00,32.1289,32.29,31.85,31.92,12050599
2021-02-12T19:00,31.9111,31.99,31.34,31.8,20163255
2021-02-16T15:00,28.93,29.52,28.66,28.75,42371189
2021-02-16T17:00,28.7489,28.79,28,28.2499,36746792
2021-02-16T19:00,28.25,28.58,27.3,27.84,41040882
2021-02-17T15:00,29.42,29.6,28.01,28.59,33337380
2021-02-17T17:00,28.585,29.5,28.4,29.0616,26455609
2021-02-17T19:00,29.07,29.15,27,27.075,49396194
2021-02-18T15:00,25.785,25.99,24.83,25.06,75834648
2021-02-18T17:00,25.06,25.29,24.88,24.9802,45685431
2021-02-18T19:00,24.985,25.37,24.9,25.18,65199324
2021-02-19T15:00,27.99,29.96,27.5,28.52,121286370
2021-02-19T17:00,28.517,28.97,27.85,28.65,54555687
2021-02-19T19:00,28.655,29.2,28.46,28.9901,50978099
2021-02-22T15:00,29.39,29.43,27.8,28.4483,60248820
2021-02-22T17:00,28.4511,28.5591,28,28.24,23114229
2021-02-22T19:00,28.2301,28.69,27.536,27.95,33140150
2021-02-23T15:00,25.91,27.46,25.47,26.02,48111852
2021-02-23T17:00,26.01,26.63,25.65,26.24,20323773
2021-02-23T19:00,26.23,26.92,26.15,26.75,22269735
2021-02-24T15:00,26.38,27.03,25.75,26.52,28541338
2021-02-24T17:00,26.5199,26.92,26.26,26.37,16384516
2021-02-24T19:00,26.37,26.65,26,26.3889,21162555
2021-02-25T15:00,25.4125,25.5,24.53,24.66,53042376
2021-02-25T17:00,24.65,24.84,23.15,24.265,53802078
2021-02-25T19:00,24.26,24.82,23.51,23.96,30731198
2021-02-26T15:00,23.34,24.2,22.7,23.99,49838810
2021-02-26T17:00,23.9889,24.27,23.61,23.6199,19018557
2021-02-26T19:00,23.61,24.15,23.42,23.89,20699071
2021-03-01T15:00,25.31,25.9,24.83,25.075,29258737
2021-03-01T17:00,25.0777,25.13,24.62,24.845,14579923
2021-03-01T19:00,24.84,24.92,24.71,24.83,14131998
2021-03-02T15:00,24.98,25.59,24.77,25.0178,25324561
2021-03-02T17:00,25.01,25.37,24.99,25.14,12995428
2021-03-02T19:00,25.13,25.17,24.26,24.49,21040652
2021-03-03T15:00,24.36,24.63,23.82,24.505,23406072
2021-03-03T17:00,24.505,24.67,23.86,23.9017,13581899
2021-03-03T19:00,23.91,23.97,23.43,23.59,21031792
2021-03-04T15:00,24.04,25.49,23.27,25.2611,50259622
2021-03-04T17:00,25.27,25.56,23.05,23.055,47636639
2021-03-04T19:00,23.05,24.75,23.05,24.73,32161795
2021-03-05T15:00,23.54,23.74,20.18,22.3187,84161807
2021-03-05T17:00,22.3101,23.7,22.01,23.4278,35869197
2021-03-05T19:00,23.44,24.1,23.01,23.935,26664451
2021-03-08T15:00,24.0301,24.55,23.41,23.458,28159514
2021-03-08T17:00,23.45,23.67,22.66,22.76,20124148
2021-03-08T19:00,22.75,23.1,22.4,22.5311,24172636
2021-03-09T15:00,23.57,24.11,23.37,23.9,31378521
