date,open,high,low,close,volume
2016-01-04T14:30,52.49,52.56,51.96,52.04,1428120
2016-01-04T16:30,52.04,52.27,51.83,52.16,805371
2016-01-04T18:30,52.16,52.61,51.95,52.6,1590296
2016-01-05T14:30,52.59,53.03,52.49,52.99,1054469
2016-01-05T16:30,52.98,53.19,52.83,52.93,647194
2016-01-05T18:30,52.94,53.32,52.91,53.14,1350015
2016-01-06T14:30,52.6,53.25,52.6,53.17,1429500
2016-01-06T16:30,53.17,53.25,52.97,53.11,686712
2016-01-06T18:30,53.11,53.31,52.83,53.11,1960249
2016-01-07T14:30,52.42,53.46,52.39,53,1644331
2016-01-07T16:30,52.99,53.2,52.87,52.9,1247039
2016-01-07T18:30,52.89,53.02,52.45,52.75,2632897
2016-01-08T14:30,52.9,52.97,52.27,52.72,1886479
2016-01-08T16:30,52.72,52.87,52.54,52.67,708682
2016-01-08T18:30,52.67,52.79,52.27,52.39,2311443
2016-01-11T14:30,52.85,53.83,52.82,53.54,2197693
2016-01-11T16:30,53.53,53.75,53.45,53.57,1513746
2016-01-11T18:30,53.57,53.99,53.43,53.88,3322406
2016-01-12T14:30,54.16,54.32,53.28,53.46,1612052
2016-01-12T16:30,53.45,53.67,53.42,53.53,979741
2016-01-12T18:30,53.53,53.99,53.5,53.85,1630846
2016-01-13T14:30,53.81,53.91,53.59,53.86,1470077
2016-01-13T16:30,53.84,53.87,53.38,53.44,922834
2016-01-13T18:30,53.44,53.59,53.22,53.37,2905978
2016-01-14T14:30,53.42,53.82,52.55,52.99,4180615
2016-01-14T16:30,53,53.2,52.87,53.06,913716
2016-01-14T18:30,53.08,53.33,52.97,53.09,2236856
2016-01-15T14:30,52.05,52.54,51.93,52.19,2883743
2016-01-15T16:30,52.2,52.21,51.48,51.57,1220125
2016-01-15T18:30,51.56,52.29,51.44,52.14,2651172
2016-01-19T14:30,52.24,53.08,52.24,52.8,1822612
2016-01-19T16:30,52.8,52.95,52.5,52.5,990129
2016-01-19T18:30,52.5,53.08,52.5,52.88,1720513
2016-01-20T14:30,52.48,52.52,51.71,51.73,1641802
2016-01-20T16:30,51.75,51.88,51.04,51.31,1218104
2016-01-20T18:30,51.3,52.22,51.27,51.91,2449243
2016-01-21T14:30,51.62,52.1,51.18,51.52,1883679
2016-01-21T16:30,51.53,51.9,51.48,51.61,1312739
2016-01-21T18:30,51.61,52.08,51.49,51.85,1645613
2016-01-22T14:30,52.43,52.43,51.85,52.17,1520523
2016-01-22T16:30,52.17,52.48,52.05,52.48,632744
2016-01-22T18:30,52.49,52.68,52.33,52.5,1137637
2016-01-25T14:30,52.61,52.79,52.32,52.77,916149
2016-01-25T16:30,52.77,52.94,52.71,52.9,673555
2016-01-25T18:30,52.89,52.94,52.28,52.4,1241178
2016-01-26T14:30,52.43,53.38,52.43,52.97,1143753
2016-01-26T16:30,52.97,53.12,52.78,52.88,1054441
2016-01-26T18:30,52.88,52.98,52.51,52.77,1583351
2016-01-27T14:30,52.97,53.62,52.85,53.62,1428667
2016-01-27T16:30,53.61,54.02,53.61,53.92,1022823
2016-01-27T18:30,53.91,53.95,52.71,53.24,2087701
2016-01-28T14:30,53.71,53.71,52.95,53.46,1147442
2016-01-28T16:30,53.46,53.89,53.26,53.86,758364
2016-01-28T18:30,53.86,54.22,53.8,53.82,1652483
2016-01-29T14:30,53.72,53.97,53.38,53.97,2321463
2016-01-29T16:30,53.97,54.39,53.97,54.22,1292967
2016-01-29T18:30,54.23,54.54,54.14,54.39,2846833
2016-02-01T14:30,54.24,54.58,54.15,54.36,1566263
2016-02-01T16:30,54.36,54.39,54.07,54.11,996030
2016-02-01T18:30,54.11,54.22,53.99,54.01,2540679
2016-02-02T14:30,53.49,53.92,53.37,53.73,1392795
2016-02-02T16:30,53.73,53.78,53.4,53.74,837231
2016-02-02T18:30,53.73,54.06,53.6,53.99,2103472
2016-02-03T14:30,54.3,54.56,53.47,53.76,1606092
2016-02-03T16:30,53.76,54.29,53.76,54.15,1495667
2016-02-03T18:30,54.15,54.49,53.81,54.25,2615746
2016-02-04T14:30,52.99,54.6,52.99,53.64,2246268
2016-02-04T16:30,53.64,54.07,53.35,53.98,1264059
2016-02-04T18:30,53.98,54.09,53.26,53.85,2145919
2016-02-05T14:30,53.86,54.04,52.83,53.52,1221464
2016-02-05T16:30,53.52,54.02,53.47,54.02,730919
2016-02-05T18:30,54.02,54.16,53.63,54.11,2001135
2016-02-08T14:30,53.96,54.36,53.58,54.24,1768441
2016-02-08T16:30,54.24,54.57,54.11,54.33,972783
2016-02-08T18:30,54.32,54.42,53.99,54.24,1918229
2016-02-09T14:30,53.96,54.69,53.75,54.64,1610783
2016-02-09T16:30,54.65,54.72,54.42,54.57,1246689
2016-02-09T18:30,54.57,54.73,54.22,54.42,2064326
2016-02-10T14:30,54.5,54.63,54.19,54.43,1131340
2016-02-10T16:30,54.42,54.47,54.17,54.22,630662
2016-02-10T18:30,54.22,54.28,53.81,53.92,1645968
2016-02-11T14:30,53.28,53.59,52.97,52.99,1322738
2016-02-11T16:30,53,53.31,52.88,53.29,865453
2016-02-11T18:30,53.29,53.64,53.05,53.38,1652085
2016-02-12T14:30,53.81,54.09,53.34,53.51,1320921
2016-02-12T16:30,53.52,53.61,53.37,53.49,953292
2016-02-12T18:30,53.5,53.87,53.43,53.82,1822973
2016-02-16T14:30,54.1,54.27,53.55,54.1,1243560
2016-02-16T16:30,54.1,54.42,54.1,54.27,772485
2016-02-16T18:30,54.26,54.6,54.03,54.45,1638765
2016-02-17T14:30,54.44,54.99,54.25,54.94,1981728
2016-02-17T16:30,54.94,55.72,54.86,55.61,1611182
2016-02-17T18:30,55.61,55.61,55.08,55.11,2085492
2016-02-18T14:30,55.08,55.47,55.04,55.38,2168855
2016-02-18T16:30,55.38,55.49,55.2,55.36,1129588
2016-02-18T18:30,55.36,55.46,55.3,55.37,2013419
2016-02-19T14:30,55.35,55.66,54.86,55.54,1734340
2016-02-19T16:30,55.54,55.72,55.34,55.53,621319
2016-02-19T18:30,55.51,55.61,55.43,55.57,1198335
2016-02-22T14:30,55.81,56.12,55.61,55.85,1247119
2016-02-22T16:30,55.85,56,55.75,55.81,646609
2016-02-22T18:30,55.81,55.96,55.7,55.92,1336052
2016-02-23T14:30,55.89,56.08,55.6,55.81,1224164
2016-02-23T16:30,55.81,55.83,55.65,55.7,653744
2016-02-23T18:30,55.7,55.75,55.48,55.64,1423662
2016-02-24T14:30,55.51,55.55,54.83,54.83,1493132
2016-02-24T16:30,54.83,55.08,54.82,54.93,851119
2016-02-24T18:30,54.94,55.38,54.86,55.28,1674854
2016-02-25T14:30,55.39,55.48,55.21,55.43,911705
2016-02-25T16:30,55.42,55.8,55.41,55.71,655188
2016-02-25T18:30,55.7,55.89,55.68,55.88,1174990
2016-02-26T14:30,55.93,56.13,55.69,55.69,972213
2016-02-26T16:30,55.69,55.73,55.2,55.25,1073368
2016-02-26T18:30,55.24,55.32,55.06,55.27,1453433
2016-02-29T14:30,55,55.24,54.68,55.15,1121417
2016-02-29T16:30,55.14,55.46,55.12,55.13,602445
2016-02-29T18:30,55.13,55.25,54.82,55,1550046
2016-03-01T14:30,55.36,55.44,55.09,55.26,1308552
2016-03-01T16:30,55.25,55.41,55.05,55.09,988930
2016-03-01T18:30,55.09,55.35,55.01,55.3,1382555
2016-03-02T14:30,55.17,55.54,54.87,55.35,1011442
2016-03-02T16:30,55.34,55.42,55.25,55.37,456674
2016-03-02T18:30,55.35,55.37,55.15,55.34,1175430
2016-03-03T14:30,55.39,55.66,55.18,55.56,1132448
2016-03-03T16:30,55.56,56.04,55.54,55.96,631610
2016-03-03T18:30,55.96,56.38,55.95,56.36,1817412
2016-03-04T14:30,56.38,57.12,56.36,57.03,1794542
2016-03-04T16:30,57.03,57.33,56.85,57.33,1051935
2016-03-04T18:30,57.33,57.36,56.96,57.08,2104996
2016-03-07T14:30,56.82,56.93,56.35,56.36,1573963
2016-03-07T16:30,56.36,56.68,56.27,56.67,989845
2016-03-07T18:30,56.67,56.8,56.57,56.74,1932587
2016-03-08T14:30,56.93,57.18,56.67,57.02,1277913
2016-03-08T16:30,57.02,57.25,57.01,57.2,788517
2016-03-08T18:30,57.2,57.29,56.94,57.08,2461641
2016-03-09T14:30,57.34,57.6,57.21,57.54,1510949
2016-03-09T16:30,57.55,57.64,57.45,57.59,1528489
2016-03-09T18:30,57.58,58.06,57.55,58.03,2599152
2016-03-10T14:30,58.01,58.38,57.87,58.29,2408347
2016-03-10T16:30,58.29,58.3,57.89,58.12,770301
2016-03-10T18:30,58.13,58.55,58.08,58.54,1953768
2016-03-11T14:30,58.62,58.71,58.09,58.41,2000023
2016-03-11T16:30,58.41,58.62,58.12,58.13,1496407
2016-03-11T18:30,58.13,58.5,58.05,58.31,2671353
2016-03-14T13:30,58.37,58.7,58.02,58.52,2023418
2016-03-14T15:30,58.53,58.54,58.28,58.28,808523
2016-03-14T17:30,58.27,58.42,58.15,58.27,1357769
2016-03-15T13:30,57.96,58.21,57.9,58.06,1537521
2016-03-15T15:30,58.06,58.29,57.93,58.27,670610
2016-03-15T17:30,58.29,58.44,58.26,58.29,1600889
2016-03-16T13:30,58.27,58.31,57.81,58.07,663446
2016-03-16T15:30,58.07,58.19,57.94,57.99,705968
2016-03-16T17:30,57.98,58.84,57.98,58.76,2240457
2016-03-17T13:30,58.8,59.55,58.8,59.54,2046047
2016-03-17T15:30,59.54,60.03,59.48,59.69,1389252
2016-03-17T17:30,59.68,60.01,59.59,59.75,2875254
2016-03-18T13:30,59.91,59.98,59.18,59.42,5137906
2016-03-18T15:30,59.42,59.51,59.23,59.33,792112
2016-03-18T17:30,59.32,59.57,59.23,59.37,2114941
2016-03-21T13:30,59.28,59.65,59.08,59.6,1082189
2016-03-21T15:30,59.6,59.64,59.45,59.56,689090
2016-03-21T17:30,59.56,59.72,59.51,59.57,1416825
2016-03-22T13:30,59.44,59.66,58.9,59.04,1422663
2016-03-22T15:30,59.05,59.2,58.89,59.11,684429
2016-03-22T17:30,59.11,59.13,58.91,59.08,1254238
2016-03-23T13:30,59.08,59.41,58.8,59.31,800106
2016-03-23T15:30,59.32,59.34,59.11,59.18,510361
2016-03-23T17:30,59.18,59.41,59.15,59.27,1170341
2016-03-24T13:30,59.26,59.55,59.03,59.13,886541
2016-03-24T15:30,59.13,59.51,59.1,59.51,612974
2016-03-24T17:30,59.5,59.6,59.46,59.59,1176747
2016-03-28T13:30,59.76,59.98,59.49,59.68,785476
2016-03-28T15:30,59.69,59.91,59.66,59.83,648187
2016-03-28T17:30,59.83,59.91,59.71,59.77,1390423
2016-03-29T13:30,59.86,59.89,59.46,59.64,1413262
2016-03-29T15:30,59.64,60.04,59.6,59.99,944274
2016-03-29T17:30,59.99,60.39,59.98,60.37,1989127
2016-03-30T13:30,60.48,60.78,60.4,60.6,1360863
2016-03-30T15:30,60.6,60.63,60.32,60.32,556731
2016-03-30T17:30,60.32,60.48,60.24,60.29,1152067
2016-03-31T13:30,60.17,60.46,60.13,60.35,867573
2016-03-31T15:30,60.35,60.36,60.13,60.23,566567
2016-03-31T17:30,60.23,60.27,59.85,59.91,1923087
2016-04-01T13:30,59.71,60.65,59.57,60.59,1053370
2016-04-01T15:30,60.59,60.7,60.43,60.51,731655
2016-04-01T17:30,60.52,60.96,60.47,60.91,1657061
2016-04-04T13:30,61.04,61.36,60.74,61.18,1394292
2016-04-04T15:30,61.17,61.28,61.01,61.07,528964
2016-04-04T17:30,61.07,61.33,61.02,61.28,1324399
2016-04-05T13:30,61.07,61.32,61,61.27,1097845
2016-04-05T15:30,61.28,61.31,61.13,61.23,604200
2016-04-05T17:30,61.23,61.29,61.07,61.23,1282216
2016-04-06T13:30,61.27,61.5,61.2,61.43,1165447
2016-04-06T15:30,61.43,61.5,61.27,61.43,888702
2016-04-06T17:30,61.43,61.87,61.35,61.8,1921174
2016-04-07T13:30,61.69,61.77,61.34,61.4,1108053
2016-04-07T15:30,61.4,61.42,61.18,61.34,591549
2016-04-07T17:30,61.34,61.44,61.18,61.41,1352644
2016-04-08T13:30,61.56,61.65,61.34,61.44,1269021
2016-04-08T15:30,61.43,61.57,61.41,61.49,707658
2016-04-08T17:30,61.5,61.64,61.46,61.59,1421703
2016-04-11T13:30,61.85,62.17,61.61,61.73,1651938
2016-04-11T15:30,61.73,61.77,61.37,61.38,976766
2016-04-11T17:30,61.39,61.53,61.12,61.27,1764057
2016-04-12T13:30,61.36,62.06,61.32,62.05,1790808
2016-04-12T15:30,62.05,62.17,61.92,62.1,887228
2016-04-12T17:30,62.1,62.18,61.98,62.05,1433138
2016-04-13T13:30,62.22,62.29,61.3,61.48,1374230
2016-04-13T15:30,61.47,61.53,61.02,61.1,768321
2016-04-13T17:30,61.09,61.28,60.68,61.26,2738322
2016-04-14T13:30,61.31,61.97,61.23,61.25,1421338
2016-04-14T15:30,61.24,61.3,60.81,61,1126207
2016-04-14T17:30,61,61.06,60.8,60.92,1483653
2016-04-15T13:30,60.99,61.36,60.57,60.91,2072318
2016-04-15T15:30,60.92,61.05,60.89,60.98,614123
2016-04-15T17:30,60.98,61.18,60.93,61.14,1932998
2016-04-18T13:30,60.96,61.89,60.93,61.58,970614
2016-04-18T15:30,61.58,61.84,61.5,61.74,623036
2016-04-18T17:30,61.74,61.92,61.37,61.54,2229221
2016-04-19T13:30,59.85,60.68,59.29,60.67,3258333
2016-04-19T15:30,60.67,60.9,60.37,60.46,1240146
2016-04-19T17:30,60.46,60.68,60.23,60.61,2105910
2016-04-20T13:30,60.39,60.6,59.9,60.16,1619406
2016-04-20T15:30,60.16,60.44,60.15,60.25,708770
2016-04-20T17:30,60.25,60.29,59.85,59.92,1575088
2016-04-21T13:30,59.74,59.92,58.57,59.07,2335171
2016-04-21T15:30,59.07,59.22,58.92,58.97,759259
2016-04-21T17:30,58.98,59.05,58.76,58.88,1391722
2016-04-22T13:30,58.99,59.14,58.71,58.94,1319102
2016-04-22T15:30,58.95,59.05,58.85,58.86,570659
2016-04-22T17:30,58.86,59.22,58.81,59.19,1275414
2016-04-25T13:30,58.99,59.24,58.75,58.96,1028697
2016-04-25T15:30,58.96,59.46,58.96,59.37,548212
2016-04-25T17:30,59.36,59.57,59.27,59.56,1106612
2016-04-26T13:30,59.74,59.9,59.36,59.6,1055967
2016-04-26T15:30,59.61,59.71,59.29,59.29,575784
2016-04-26T17:30,59.29,59.39,59.19,59.37,1414413
2016-04-27T13:30,59.46,59.99,59.41,59.51,1118777
2016-04-27T15:30,59.51,59.57,59.16,59.16,718609
2016-04-27T17:30,59.16,59.58,58.88,59.4,1293390
2016-04-28T13:30,59,59.81,58.93,59.48,1155795
2016-04-28T15:30,59.48,59.74,59.43,59.49,552845
2016-04-28T17:30,59.49,59.63,59.26,59.46,1173652
2016-04-29T13:30,59.49,60.2,59.49,59.99,1267148
2016-04-29T15:30,59.99,60.01,59.74,59.74,505271
2016-04-29T17:30,59.74,60.11,59.5,59.93,1392154
