date,open,high,low,close,volume
2016-01-04T14:30,6.351,6.439,6.317,6.364,7270494
2016-01-04T16:30,6.361,6.419,6.351,6.392,3624400
2016-01-04T18:30,6.392,6.412,6.344,6.412,5624018
2016-01-05T14:30,6.419,6.46,6.351,6.392,4686113
2016-01-05T16:30,6.388,6.426,6.344,6.385,3956987
2016-01-05T18:30,6.381,6.405,6.337,6.392,6800561
2016-01-06T14:30,6.29,6.337,6.232,6.324,5687376
2016-01-06T16:30,6.331,6.344,6.256,6.297,4307322
2016-01-06T18:30,6.297,6.303,6.242,6.29,6029841
2016-01-07T14:30,6.147,6.229,6.134,6.218,6591054
2016-01-07T16:30,6.215,6.222,6.14,6.151,5103131
2016-01-07T18:30,6.147,6.188,6.086,6.086,14910515
2016-01-08T14:30,6.14,6.181,6.011,6.019,8588757
2016-01-08T16:30,6.025,6.079,5.998,6.035,4437097
2016-01-08T18:30,6.035,6.066,5.93,5.95,8929751
2016-01-11T14:30,6.004,6.045,5.865,5.889,6364824
2016-01-11T16:30,5.886,5.923,5.862,5.869,3830435
2016-01-11T18:30,5.869,5.937,5.821,5.903,8391992
2016-01-12T14:30,5.964,5.991,5.848,5.855,5698299
2016-01-12T16:30,5.855,5.882,5.797,5.808,3802749
2016-01-12T18:30,5.801,5.937,5.787,5.93,7860282
2016-01-13T14:30,5.984,5.998,5.787,5.797,6840615
2016-01-13T16:30,5.794,5.808,5.678,5.692,5431336
2016-01-13T18:30,5.692,5.712,5.624,5.658,15157255
2016-01-14T14:30,5.692,5.76,5.549,5.594,16810013
2016-01-14T16:30,5.594,5.706,5.58,5.699,11235523
2016-01-14T18:30,5.689,5.74,5.644,5.672,14596828
2016-01-15T14:30,5.088,5.611,4.809,5.481,17552578
2016-01-15T16:30,5.485,5.556,5.434,5.522,7584622
2016-01-15T18:30,5.515,5.604,5.502,5.57,11854331
2016-01-19T14:30,5.651,5.706,5.536,5.587,12272287
2016-01-19T16:30,5.59,5.607,5.509,5.532,4452401
2016-01-19T18:30,5.536,5.556,5.434,5.495,9557824
2016-01-20T14:30,5.339,5.407,5.223,5.298,12171487
2016-01-20T16:30,5.298,5.312,5.162,5.264,9633781
2016-01-20T18:30,5.264,5.454,5.264,5.366,12073497
2016-01-21T14:30,5.339,5.488,5.284,5.393,13896523
2016-01-21T16:30,5.397,5.488,5.373,5.373,7666760
2016-01-21T18:30,5.373,5.386,5.291,5.318,9797705
2016-01-22T14:30,5.407,5.502,5.386,5.407,8535883
2016-01-22T16:30,5.407,5.427,5.373,5.403,3219336
2016-01-22T18:30,5.403,5.448,5.38,5.386,5654666
2016-01-25T14:30,5.346,5.373,5.203,5.244,5857366
2016-01-25T16:30,5.244,5.264,5.217,5.244,3281933
2016-01-25T18:30,5.237,5.251,5.128,5.149,8539422
2016-01-26T14:30,5.183,5.386,5.183,5.271,7125843
2016-01-26T16:30,5.274,5.339,5.237,5.298,4010262
2016-01-26T18:30,5.301,5.318,5.278,5.305,6545565
2016-01-27T14:30,5.305,5.481,5.264,5.479,10470000
2016-01-27T16:30,5.481,5.556,5.475,5.495,5745081
2016-01-27T18:30,5.495,5.536,5.346,5.393,11491362
2016-01-28T14:30,5.488,5.611,5.468,5.519,12671631
2016-01-28T16:30,5.519,5.529,5.427,5.458,7748127
2016-01-28T18:30,5.458,5.488,5.42,5.434,8647512
2016-01-29T14:30,5.448,5.539,5.414,5.461,7929637
2016-01-29T16:30,5.468,5.475,5.42,5.434,4084159
2016-01-29T18:30,5.437,5.502,5.407,5.498,10123662
2016-02-01T14:30,5.522,5.536,5.383,5.437,8546877
2016-02-01T16:30,5.441,5.448,5.352,5.383,5001545
2016-02-01T18:30,5.383,5.427,5.359,5.386,9456898
2016-02-02T14:30,5.284,5.284,5.169,5.227,9276179
2016-02-02T16:30,5.223,5.251,5.183,5.213,5876552
2016-02-02T18:30,5.213,5.217,5.135,5.183,10701421
2016-02-03T14:30,5.23,5.251,4.986,5.128,11183653
2016-02-03T16:30,5.128,5.179,5.101,5.16,5879113
2016-02-03T18:30,5.162,5.346,5.135,5.316,15929757
2016-02-04T14:30,5.271,5.502,5.257,5.427,9374671
2016-02-04T16:30,5.427,5.431,5.346,5.352,4246081
2016-02-04T18:30,5.352,5.373,5.298,5.363,7817858
2016-02-05T14:30,5.4,5.464,5.346,5.373,6746319
2016-02-05T16:30,5.373,5.38,5.284,5.346,5912270
2016-02-05T18:30,5.339,5.346,5.284,5.288,6600267
2016-02-08T14:30,5.21,5.217,5.006,5.077,10805737
2016-02-08T16:30,5.081,5.115,5.047,5.064,4669815
2016-02-08T18:30,5.06,5.149,5.006,5.108,10552122
2016-02-09T14:30,5.006,5.162,4.986,5.142,6665707
2016-02-09T16:30,5.135,5.155,5.074,5.098,4644365
2016-02-09T18:30,5.101,5.227,5.081,5.196,10633065
2016-02-10T14:30,5.23,5.291,5.128,5.128,10623388
2016-02-10T16:30,5.128,5.183,5.101,5.155,4747575
2016-02-10T18:30,5.155,5.169,5.101,5.108,7588216
2016-02-11T14:30,4.924,4.956,4.761,4.795,11323781
2016-02-11T16:30,4.799,4.85,4.768,4.829,4789446
2016-02-11T18:30,4.829,4.87,4.755,4.816,11081307
2016-02-12T14:30,4.918,5.088,4.901,5.088,16381933
2016-02-12T16:30,5.088,5.169,5.067,5.084,5184328
2016-02-12T18:30,5.084,5.183,5.074,5.169,9503173
2016-02-16T14:30,5.271,5.318,5.176,5.251,9834934
2016-02-16T16:30,5.251,5.363,5.251,5.359,5799951
2016-02-16T18:30,5.355,5.386,5.305,5.318,7481653
2016-02-17T14:30,5.393,5.448,5.346,5.363,8545866
2016-02-17T16:30,5.366,5.366,5.305,5.335,3760366
2016-02-17T18:30,5.332,5.339,5.271,5.305,7049834
