date,open,high,low,close,volume
2016-01-04T14:30,173.89,175.25,172.46,173.98,156769
2016-01-04T16:30,173.91,174.64,173.51,173.95,103109
2016-01-04T18:30,174.13,174.66,172.96,174.61,138988
2016-01-05T14:30,174.46,176.03,172.71,173.95,96338
2016-01-05T16:30,173.89,174.25,173.22,173.62,54206
2016-01-05T18:30,173.64,175.69,173.52,175.55,162359
2016-01-06T14:30,172.99,175.83,172.04,173.96,113753
2016-01-06T16:30,174.09,174.1,172.79,173.31,59677
2016-01-06T18:30,173.31,173.39,171.54,171.9,233924
2016-01-07T14:30,168.59,169.92,168.57,169.08,114464
2016-01-07T16:30,168.9,169.12,166.92,167.38,68333
2016-01-07T18:30,167.3,167.74,166.39,166.8,220550
2016-01-08T14:30,168.02,168.6,166.63,167.08,74790
2016-01-08T16:30,167.13,167.13,165.97,165.99,91208
2016-01-08T18:30,166.01,166.48,164.28,164.63,221387
2016-01-11T14:30,165.47,166.8,162.34,162.82,93398
2016-01-11T16:30,162.8,163.53,161.16,161.33,137855
2016-01-11T18:30,161.33,163.51,160.93,162.59,400070
2016-01-12T14:30,164.23,165.82,163.6,163.77,188179
2016-01-12T16:30,163.82,164.49,162.65,162.71,106359
2016-01-12T18:30,162.84,165.29,162.41,165.04,222162
2016-01-13T14:30,166.16,167.39,163.49,163.52,111465
2016-01-13T16:30,163.71,163.73,162.16,162.29,113531
2016-01-13T18:30,162.22,162.31,159.89,160.08,230867
2016-01-14T14:30,160.26,161.58,158.24,159.79,195457
2016-01-14T16:30,159.69,160.67,159.61,159.83,103739
2016-01-14T18:30,159.98,160.86,159.58,160.11,474983
2016-01-15T14:30,157.47,158.46,155.67,158.44,239206
2016-01-15T16:30,158.37,159.71,157.64,159.14,135689
2016-01-15T18:30,159.25,160.37,158.47,158.84,490729
2016-01-19T14:30,160.8,161.34,159.21,161.05,126290
2016-01-19T16:30,161.14,161.53,159.57,159.63,77194
2016-01-19T18:30,159.65,160.18,157.84,158.89,246307
2016-01-20T14:30,156.6,157.69,155.13,155.76,128000
2016-01-20T16:30,155.87,156.14,154.43,155.42,147512
2016-01-20T18:30,155.56,158.38,155.32,157.11,374258
2016-01-21T14:30,157.2,157.97,156.21,156.49,115706
2016-01-21T16:30,156.71,158.32,155.52,155.6,134435
2016-01-21T18:30,155.6,156.71,154.89,156,299061
2016-01-22T14:30,160.57,161.46,157.45,157.79,139956
2016-01-22T16:30,157.7,158.42,157.41,158.16,66820
2016-01-22T18:30,158.09,158.36,157.1,157.98,295361
2016-01-25T14:30,157.76,158.13,155.7,156.77,125275
2016-01-25T16:30,156.71,157.17,156.03,157.01,101324
2016-01-25T18:30,157.04,157.21,155.56,155.73,254870
2016-01-26T14:30,156.93,158.48,155.83,158.03,146340
