date,open,high,low,close,volume
2021-01-04T15:00,284.49,288.71,281.5,281.6606,1068288
2021-01-04T17:00,281.93,282.0516,277.7,279.45,764617
2021-01-04T19:00,279.44,280.455,277.25,278.21,861912
2021-01-05T15:00,292.25,293,283.02,285.395,2037555
2021-01-05T17:00,285.6089,287.44,279.3,280.758,1048013
2021-01-05T19:00,280.735,285.13,280.25,283,1009580
2021-01-06T15:00,277.9697,283.6394,273.65,275.19,1513802
2021-01-06T17:00,275.27,276.42,271.9,273.2854,1189915
2021-01-06T19:00,273.404,273.404,266.41,268.04,2110577
2021-01-07T15:00,290.83,300.7799,285.5801,295.125,5118307
2021-01-07T17:00,295.335,302.65,289.13,299.545,3492363
2021-01-07T19:00,299.6994,304.9,297.61,304.02,3233120
2021-01-08T15:00,319.85,325.25,305.53,311.0281,2781451
2021-01-08T17:00,311,311.24,298.26,302.4526,1617216
2021-01-08T19:00,302.53,306.34,298,300.05,1514231
2021-01-11T15:00,301.9,312.17,298.9871,304.9094,1871202
2021-01-11T17:00,304.823,305.1899,297,298.88,700479
2021-01-11T19:00,299.0503,299.0503,289.62,293.1,1054577
2021-01-12T15:00,290.995,292.9455,286.63,290.13,1015995
2021-01-12T17:00,290.1827,293.545,286.2056,293.19,530437
2021-01-12T19:00,293.19,295.55,292.54,293.6299,989194
2021-01-13T15:00,297.9733,303.9,294.15,298.745,1008423
2021-01-13T17:00,298.97,300.5631,296.28,299.36,366235
2021-01-13T19:00,299.3,300.1,295.1808,296.55,473093
2021-01-14T15:00,301.23,313.48,300.5543,308.0387,2144279
2021-01-14T17:00,307.8,309.85,304,305.635,706058
2021-01-14T19:00,305.55,305.77,301.5,303.76,815624
2021-01-15T15:00,306.215,306.5,294.7715,300.07,1200531
2021-01-15T17:00,300.43,302.61,299.55,300.805,495772
2021-01-15T19:00,301.13,301.33,290.65,291.32,1013245
2021-01-19T15:00,292.1,292.9609,284.61,285.53,870602
2021-01-19T17:00,285.85,287.58,284.04,287.43,602559
2021-01-19T19:00,287.39,287.4,285.22,286.2,629195
2021-01-20T15:00,284.235,287.2366,281.8671,285.12,800463
2021-01-20T17:00,285.0024,285.6737,282.7,284.59,338022
2021-01-20T19:00,284.8065,285.4,280.88,281.88,588886
2021-01-21T15:00,284.8,287.25,282.6,285.72,584223
2021-01-21T17:00,285.685,286.22,283.89,285.58,267978
2021-01-21T19:00,285.58,286.6,284.59,285.99,477235
2021-01-22T15:00,284.7369,284.7369,279,282.3799,717904
2021-01-22T17:00,282.36,286.11,281.57,284.4311,379320
2021-01-22T19:00,284.4824,287.48,284.1001,285.68,619740
2021-01-25T15:00,291.65,295,276,286.6201,1845687
2021-01-25T17:00,286.84,287.76,280.5,286.29,506701
2021-01-25T19:00,286.2,288.59,284.7401,287.155,691299
2021-01-26T15:00,286.3701,288.6,284.6,285.35,553933
2021-01-26T17:00,285.46,288.15,285.36,287.79,425752
2021-01-26T19:00,287.62,288.01,280.98,281,586721
2021-01-27T15:00,272.535,285.75,271,282.43,1237471
2021-01-27T17:00,282.83,284.81,277.87,278.67,701528
2021-01-27T19:00,278.67,279.4681,265,266.18,1513591
2021-01-28T15:00,275.175,278.53,268.4234,274.855,748566
2021-01-28T17:00,274.99,279.635,274.5,279.39,404547
2021-01-28T19:00,279.55,280.35,272.63,273.17,657705
2021-01-29T15:00,271.5,277.7784,268.8,275.045,558353
2021-01-29T17:00,274.78,275.41,269.55,269.7501,753981
2021-01-29T19:00,270.08,274.54,270,272.44,446534
2021-02-01T15:00,276.51,281,273.38,277.96,679876
2021-02-01T17:00,278.2214,280.2408,276.34,279.525,319119
2021-02-01T19:00,279.53,282.44,279.24,282,699680
2021-02-02T15:00,300.16,305.95,292.8004,305,2810731
2021-02-02T17:00,304.76,310.66,300.64,304.63,1303554
2021-02-02T19:00,304.71,307.4958,298.89,300.9546,1042932
2021-02-03T15:00,317.58,317.8799,304,311.999,1681366
2021-02-03T17:00,311.755,312.1,307.01,309.54,660043
2021-02-03T19:00,309.54,309.69,300.54,304.63,932884
2021-02-04T15:00,306.6338,309.95,299.2,299.83,851004
2021-02-04T17:00,300,305.6488,299.03,303.3,487229
2021-02-04T19:00,303.16,304.39,299.57,303.61,474608
2021-02-05T15:00,306.38,306.76,301.4,304.0551,513911
2021-02-05T17:00,303.88,305.8229,303.3115,304.49,196023
2021-02-05T19:00,304.5879,306.43,299.64,305.89,707006
2021-02-08T15:00,311.7365,312.37,305.2,306.67,818085
2021-02-08T17:00,306.64,307.35,302.1,302.55,448433
2021-02-08T19:00,302.675,305,302.03,304.49,434307
2021-02-09T15:00,307.39,318.25,307.39,314,1536366
2021-02-09T17:00,314.3499,323.23,313.87,321.685,1515520
2021-02-09T19:00,321.84,323,313,314.29,884983
2021-02-10T15:00,316.1491,319.49,300,309.5649,1602747
2021-02-10T17:00,309.52,309.99,305,306.035,413966
2021-02-10T19:00,306.27,307.75,304.55,305.82,560778
2021-02-11T15:00,307.89,312.3,306,306.4101,641559
2021-02-11T17:00,306.475,307.749,300.69,301.94,626166
2021-02-11T19:00,301.79,301.85,296.38,298.76,766120
2021-02-12T15:00,301.98,302.1,297.7652,301.53,427039
2021-02-12T17:00,301.58,302.19,296.22,297.31,378919
2021-02-12T19:00,297.46,299.72,296.3,299.35,319232
2021-02-16T15:00,299.15,301.3899,293.25,293.3701,649758
2021-02-16T17:00,293.37,296.62,290.16,293.81,484549
2021-02-16T19:00,293.87,296.68,291.9,294.15,350982
2021-02-17T15:00,290.9,291.28,283.265,285.4,639332
2021-02-17T17:00,285.445,288.7,285,287.52,272944
2021-02-17T19:00,287.98,288.81,287.14,288.77,312341
2021-02-18T15:00,285.6,296.95,283.4066,295.25,981256
2021-02-18T17:00,295.24,296.0978,292.6316,294.6689,392682
2021-02-18T19:00,294.56,295.74,289.27,289.71,473300
2021-02-19T15:00,293.455,298,292.62,295.77,742190
2021-02-19T17:00,295.73,295.74,289.39,290.33,379661
2021-02-19T19:00,290.335,291.32,287.59,290.03,572728
2021-02-22T15:00,284.35,284.52,271.25,276.13,1491340
2021-02-22T17:00,276,277.14,273.87,274.06,540518
2021-02-22T19:00,273.97,274.45,268,269.5,1269800
2021-02-23T15:00,256.032,267.38,254,262.605,1477682
2021-02-23T17:00,262.225,264.32,258.84,262.66,456562
2021-02-23T19:00,262.67,271,261.8372,269.08,729894
2021-02-24T15:00,265.64,274.3,262.36,273.8738,741103
2021-02-24T17:00,273.8,275.25,272.09,272.71,429808
2021-02-24T19:00,272.93,274.31,269.08,273.52,563775
2021-02-25T15:00,269.905,270.01,260.06,260.24,778829
2021-02-25T17:00,260.33,262.69,255.25,261.8,1029865
2021-02-25T19:00,261.93,264.42,258.28,260.12,831295
2021-02-26T15:00,258.4,262.8739,254.31,261.62,718163
2021-02-26T17:00,261.65,265.96,260.6,262.23,457536
2021-02-26T19:00,262.34,262.77,258.66,259.39,665916
2021-03-01T15:00,265.99,273.71,264.955,272.86,910510
2021-03-01T17:00,272.68,272.68,267.42,269.805,488128
2021-03-01T19:00,269.99,272.95,267.82,272.14,700494
2021-03-02T15:00,276,280.1,271.25,273.01,1155055
2021-03-02T17:00,272.66,274.93,272.011,273.87,456854
2021-03-02T19:00,273.86,275.7999,270.58,270.6,747562
2021-03-03T15:00,258.267,261.25,255.2,256.677,1093001
2021-03-03T17:00,256.3778,258.39,251.77,252.14,1060494
2021-03-03T19:00,252.25,252.42,246.36,247.01,2107688
2021-03-04T15:00,239.5,270.84,236,268.585,4388110
2021-03-04T17:00,268.53,279.45,247.1201,248.56,5262604
2021-03-04T19:00,248.56,262.87,247.52,249.38,3785439
2021-03-05T15:00,236.38,240.19,217.8197,227.45,5900516
2021-03-05T17:00,227.26,242.2618,223.6501,237.6498,4037101
2021-03-05T19:00,237.67,243.155,233.13,238.3,4240971
2021-03-08T15:00,236.48,237.08,224.11,224.11,1981802
