date,open,high,low,close,volume
2016-01-04T14:30,112.78,113.25,111.71,112,374733
2016-01-04T16:30,112,112.77,111.94,112.35,205498
2016-01-04T18:30,112.33,113.07,111.78,112.99,491981
2016-01-05T14:30,113.31,114.64,113.09,114.54,287211
2016-01-05T16:30,114.6,114.99,114.37,114.8,249628
2016-01-05T18:30,114.78,115.52,114.77,115.22,535015
2016-01-06T14:30,114.3,115.01,114.3,114.73,218990
2016-01-06T16:30,114.77,115.37,114.62,115.19,161076
2016-01-06T18:30,115.17,115.36,114.29,114.95,450479
2016-01-07T14:30,113.26,113.8,113.04,113.4,358618
2016-01-07T16:30,113.4,113.71,113.03,113.23,279957
2016-01-07T18:30,113.23,113.45,112.36,112.47,499218
2016-01-08T14:30,112.57,113.22,110.94,110.96,307441
2016-01-08T16:30,111,111.22,110.53,110.68,265012
2016-01-08T18:30,110.65,110.85,108.96,109.2,654651
2016-01-11T14:30,109.9,110.34,109.58,110.2,313599
2016-01-11T16:30,110.22,110.24,109.55,109.61,169958
2016-01-11T18:30,109.57,110.14,109.05,109.63,482673
2016-01-12T14:30,110.03,110.06,108.69,108.92,255122
2016-01-12T16:30,108.89,109.02,108.47,108.75,229982
2016-01-12T18:30,108.74,109.25,108.36,108.95,566792
2016-01-13T14:30,109.13,111.14,108.43,110.82,265847
2016-01-13T16:30,110.82,111.05,110.06,110.14,167598
2016-01-13T18:30,110.13,110.21,107.94,108.18,711705
2016-01-14T14:30,108.44,109.27,107.76,109.07,271819
2016-01-14T16:30,109.08,109.29,108.62,109.26,196735
2016-01-14T18:30,109.25,110.33,108.89,108.99,699364
2016-01-15T14:30,107.05,108.01,106.19,107.25,745301
2016-01-15T16:30,107.26,107.51,106.56,107.35,376477
2016-01-15T18:30,107.32,108.67,106.98,108.12,1165462
2016-01-19T14:30,109.2,109.89,108.68,109.19,305700
2016-01-19T16:30,109.19,109.32,108.45,109.05,245497
2016-01-19T18:30,109.04,109.92,108.96,109.43,444456
2016-01-20T14:30,108.51,108.68,105.38,106.06,490969
2016-01-20T16:30,106.1,106.35,104.53,104.73,417207
2016-01-20T18:30,104.74,107.78,104.71,106.15,850967
2016-01-21T14:30,107.3,107.87,105.74,107.29,365806
2016-01-21T16:30,107.26,108.05,106.57,106.57,306120
2016-01-21T18:30,106.63,107.9,105.96,107.22,688749
2016-01-22T14:30,108.67,109.62,108.33,109.53,381455
2016-01-22T16:30,109.48,110.01,109,110,196508
2016-01-22T18:30,110,110.45,109.49,109.96,474566
2016-01-25T14:30,110,111,108.69,109.66,282195
2016-01-25T16:30,109.64,110.35,109.36,110,165419
2016-01-25T18:30,110,110.19,108.64,108.72,494682
2016-01-26T14:30,108.98,111.46,108.63,111.38,368111
2016-01-26T16:30,111.36,111.58,111.07,111.24,236334
2016-01-26T18:30,111.29,111.61,110.73,111.53,560084
2016-01-27T14:30,111.25,111.25,109.12,109.43,400574
2016-01-27T16:30,109.45,110.03,109.37,109.87,344616
2016-01-27T18:30,109.85,110.1,108.52,109.2,636778
2016-01-28T14:30,109.67,110.39,109.12,110.13,210740
2016-01-28T16:30,110.09,110.72,109.69,110.19,156915
2016-01-28T18:30,110.16,110.54,108.97,109.72,798491
2016-01-29T14:30,111.09,111.32,104.24,106.74,1308006
2016-01-29T16:30,106.73,109.31,106.45,108.61,558192
2016-01-29T18:30,108.61,109.74,107.77,109.22,1160931
2016-02-01T14:30,108.95,111.04,108.89,110.41,504741
2016-02-01T16:30,110.38,111.19,110.17,111.11,309931
