date,open,high,low,close,volume
2016-01-04T14:30,193.34,194.4,191.72,192.45,61794
2016-01-04T16:30,192.48,194.55,192.22,194.16,49689
2016-01-04T18:30,194.12,196.62,193.9,196.58,108403
2016-01-05T14:30,196.79,197.31,195.37,196.32,72352
2016-01-05T16:30,196.19,197.38,195.37,196.08,47123
2016-01-05T18:30,196.15,196.84,196.02,196.45,111857
2016-01-06T14:30,193.04,193.88,191.65,193.04,63906
2016-01-06T16:30,192.95,193.38,190.75,191.05,32094
2016-01-06T18:30,191.05,191.44,190.01,191.01,118792
2016-01-07T14:30,187.08,192.52,186.34,190.27,78524
2016-01-07T16:30,190.32,190.49,188.89,189.41,49272
2016-01-07T18:30,189.32,189.88,188.16,189.11,157722
2016-01-08T14:30,188.03,188.59,184.7,186.73,109916
2016-01-08T16:30,186.73,186.86,185.61,185.95,100091
2016-01-08T18:30,185.91,186.04,180.25,180.99,214899
2016-01-11T14:30,181.68,182.24,175.46,176.41,149119
2016-01-11T16:30,176.28,176.37,172.7,173.13,136012
2016-01-11T18:30,173.13,174.34,170.19,171.66,316917
2016-01-12T14:30,172.83,174.64,167.3,167.36,160362
2016-01-12T16:30,167.45,168.25,164.58,164.58,125257
2016-01-12T18:30,164.62,166.69,163.67,165.61,288661
2016-01-13T14:30,163.76,172.83,163.76,166.88,201156
2016-01-13T16:30,166.87,168.29,165.79,166.91,117624
2016-01-13T18:30,166.91,167.34,163.63,163.89,387128
2016-01-14T14:30,164.71,166.13,161.6,163.11,79584
2016-01-14T16:30,163.24,166.91,162.63,166.61,51522
2016-01-14T18:30,166.56,168.12,165.66,166.22,139467
2016-01-15T14:30,162.2,164.79,160.86,160.99,119710
2016-01-15T16:30,160.95,161.81,160.17,161.68,85829
2016-01-15T18:30,161.68,162.03,159.35,159.96,180604
2016-01-19T14:30,161.68,162.29,158.27,160.22,70168
2016-01-19T16:30,160.3,160.82,158.92,158.92,56124
2016-01-19T18:30,158.96,159.22,156.41,157.41,237892
2016-01-20T14:30,154.95,158.62,149.42,150.97,127250
2016-01-20T16:30,150.89,152.4,149.07,152.01,78451
2016-01-20T18:30,151.92,158.79,151.88,155.72,209661
2016-01-21T14:30,156.46,158.9,154.52,156.95,84289
2016-01-21T16:30,157.11,161.34,157.06,158.19,57191
2016-01-21T18:30,158.27,159.65,157.11,157.15,121357
2016-01-22T14:30,160.86,164.88,159.4,161.86,102939
2016-01-22T16:30,161.73,163.33,160.69,162.94,72673
2016-01-22T18:30,162.98,163.93,161.64,162.98,110556
2016-01-25T14:30,147.13,147.65,142.86,143.63,478489
2016-01-25T16:30,143.59,143.59,140.61,141.54,284083
2016-01-25T18:30,141.54,142.68,136.16,138.67,592939
2016-01-26T14:30,139.92,142.25,137.59,139.57,192380
2016-01-26T16:30,139.57,140.61,137.76,138.8,116578
2016-01-26T18:30,138.8,139.36,137.98,138.45,157121
2016-01-27T14:30,137.03,143.07,137.03,142.53,140953
2016-01-27T16:30,142.55,145.58,142.47,143.63,63219
2016-01-27T18:30,143.63,144.58,140.26,140.83,129475
2016-01-28T14:30,141.65,143.81,137.2,139.96,120327
2016-01-28T16:30,140.05,140.18,138.67,139.53,55219
2016-01-28T18:30,139.62,140.35,136.59,136.64,176412
2016-01-29T14:30,137.59,140.78,136.9,138.62,308570
2016-01-29T16:30,138.73,151.54,138.54,147.74,209032
2016-01-29T18:30,147.78,152.92,145.79,152.36,283873
2016-02-01T14:30,150.24,150.24,144.24,150.07,212244
2016-02-01T16:30,150.11,151.49,149.25,150.33,122542
2016-02-01T18:30,150.24,152.27,148.44,151.1,222502
2016-02-02T14:30,147.43,148.51,144.15,145.32,133902
2016-02-02T16:30,145.27,146.27,144.54,145.66,103334
2016-02-02T18:30,145.62,146.05,143.89,143.94,230408
2016-02-03T14:30,146.61,148.17,142.04,144.28,152124
2016-02-03T16:30,144.11,144.97,142.77,143.07,107278
2016-02-03T18:30,143.07,144.58,142.08,143.85,340692
2016-02-04T14:30,143.07,148.56,142.99,146.87,174181
2016-02-04T16:30,146.83,147.22,144.11,145.02,127078
2016-02-04T18:30,145.1,149.2,144.76,148.69,221178
2016-02-05T14:30,147.74,150.54,146.74,147,46538
2016-02-05T16:30,147,147.99,145.97,146.48,53687
2016-02-05T18:30,146.48,146.48,143.81,144.24,103356
2016-02-08T14:30,143.37,144.19,137.76,140.39,92333
2016-02-08T16:30,140.44,140.7,138.93,139.36,46804
2016-02-08T18:30,139.44,139.83,137.33,139.06,177052
2016-02-09T14:30,136.77,139.36,136.59,139.1,129664
2016-02-09T16:30,139.01,140.22,137.89,138.28,104605
2016-02-09T18:30,138.28,142.2,137.41,141.17,228839
2016-02-10T14:30,138.18,144.82,136.96,141.06,171217
2016-02-10T16:30,141.06,141.85,139.88,141.02,122976
2016-02-10T18:30,141.02,141.24,136.69,136.87,207118
2016-02-11T14:30,134.64,136.74,130.88,131.06,94968
2016-02-11T16:30,131.01,132.59,130.45,131.19,144550
2016-02-11T18:30,131.06,132.33,129.88,130.75,209430
2016-02-12T14:30,132.72,135.25,131.58,135.08,91105
2016-02-12T16:30,135.08,135.57,133.9,133.9,59841
2016-02-12T18:30,133.99,135.82,133.77,135.6,160996
2016-02-16T14:30,137.87,138.44,134.07,134.94,78051
2016-02-16T16:30,134.86,136.61,134.77,136.37,68525
2016-02-16T18:30,136.39,137.74,136.17,137.61,149964
2016-02-17T14:30,140.1,144.12,138.53,142.9,96419
2016-02-17T16:30,142.85,144.47,142.24,144.47,78525
2016-02-17T18:30,144.34,144.69,142.59,142.94,118026
2016-02-18T14:30,143.51,143.64,139.8,142.15,69274
2016-02-18T16:30,142.29,144.86,142.11,144.25,63172
2016-02-18T18:30,144.25,144.51,142.02,142.98,168518
2016-02-19T14:30,139.75,141.94,133.5,139.4,257371
2016-02-19T16:30,139.4,139.93,135.95,137.17,105889
2016-02-19T18:30,137.22,138.4,137.2,137.83,221056
2016-02-22T14:30,144.03,144.03,139.66,139.88,89808
2016-02-22T16:30,139.93,141.32,138.75,140.97,31949
2016-02-22T18:30,141.02,141.8,140.45,141.32,116767
2016-02-23T14:30,140.54,142.68,139.49,141.24,58439
2016-02-23T16:30,141.28,142.77,140.84,142.42,46571
2016-02-23T18:30,142.37,142.72,141.76,142.33,124112
2016-02-24T14:30,139.84,141.5,138.31,139.93,58348
2016-02-24T16:30,140.01,142.55,139.99,140.76,47424
2016-02-24T18:30,140.8,141.59,140.19,141.15,150929
2016-02-25T14:30,142.24,144.12,139.58,139.93,60232
2016-02-25T16:30,139.97,141.8,139.1,141.32,40631
2016-02-25T18:30,141.41,142.64,141.3,141.63,109371
2016-02-26T14:30,142.15,148.1,140.63,146.92,69380
2016-02-26T16:30,146.96,148.93,146.09,148.31,115979
2016-02-26T18:30,148.31,148.94,146.57,146.61,147001
2016-02-29T14:30,142.15,153.73,142.15,152.81,150728
2016-02-29T16:30,152.77,153.6,149.32,149.49,59207
2016-02-29T18:30,149.41,149.62,146.63,147.44,164677
2016-03-01T14:30,149.32,150.8,148.45,150.67,66492
2016-03-01T16:30,150.72,152.55,150.45,152.53,53855
2016-03-01T18:30,152.52,154.71,152.42,154.56,184827
2016-03-02T14:30,153.77,160.2,153.21,159.85,133078
2016-03-02T16:30,159.85,159.93,158.76,159.19,99952
2016-03-02T18:30,159.24,161.55,158.97,161.11,222777
2016-03-03T14:30,160.46,164.96,160.46,163.12,107658
2016-03-03T16:30,163.17,164.43,162.77,163.91,69129
2016-03-03T18:30,164,165.26,163.74,164.65,200951
2016-03-04T14:30,165.61,165.83,163.28,165.05,96015
2016-03-04T16:30,165.09,166.01,162.64,163.74,134816
2016-03-04T18:30,163.6,163.91,158.27,160.63,284544
2016-03-07T14:30,160.07,162.47,159.5,159.93,70692
2016-03-07T16:30,159.93,159.93,157.79,158.32,80250
2016-03-07T18:30,158.32,158.41,155.65,158.27,177679
2016-03-08T14:30,156.57,157.86,151.42,152.6,117112
2016-03-08T16:30,152.55,154.3,151.77,154.17,72853
2016-03-08T18:30,154.08,155.35,153.64,154.47,194105
2016-03-09T14:30,155.74,157.44,154.12,154.87,83459
2016-03-09T16:30,154.91,155.65,154.39,154.87,141664
2016-03-09T18:30,154.91,155.81,154.26,155.52,166160
2016-03-10T14:30,155.7,156.92,151.46,151.68,66546
2016-03-10T16:30,151.81,152.33,150.98,152.25,57162
2016-03-10T18:30,152.2,153.38,151.98,153.03,154102
2016-03-11T14:30,155.22,159.1,153.62,158.36,83883
2016-03-11T16:30,158.41,160.59,158.36,159.76,44994
2016-03-11T18:30,159.85,161.59,159.02,161.42,96621
2016-03-14T13:30,161.46,167.27,158.58,165.09,154231
2016-03-14T15:30,165.05,167.49,164.3,167.23,85375
2016-03-14T17:30,167.23,167.8,165.7,166.01,159064
2016-03-15T13:30,165.7,165.7,159.02,161.29,62760
2016-03-15T15:30,161.33,161.36,159.85,160.81,35691
2016-03-15T17:30,160.85,162.29,160.55,161.79,95015
2016-03-16T13:30,161.86,163.65,160.5,160.5,104243
2016-03-16T15:30,160.5,161.94,159.91,161.51,54361
2016-03-16T17:30,161.55,167.1,161,165.96,167668
2016-03-17T13:30,164.91,170.86,164.91,169.35,86762
2016-03-17T15:30,169.46,169.63,168.15,168.82,97557
2016-03-17T17:30,168.76,172.95,168.72,172.04,225581
2016-03-18T13:30,172.56,174.31,167.27,167.45,221284
2016-03-18T15:30,167.36,168.93,167.27,168.19,71017
2016-03-18T17:30,168.24,172.6,167.54,171.73,292417
2016-03-21T13:30,171.56,177.57,171.56,174.35,206836
2016-03-21T15:30,174.39,174.7,173.65,174.09,63440
2016-03-21T17:30,174.05,175.31,173.74,175.22,177822
2016-03-22T13:30,173.35,176.67,172.65,176.14,139217
2016-03-22T15:30,176.19,176.67,174.48,175.4,75002
2016-03-22T17:30,175.4,176.58,175.18,175.57,126712
2016-03-23T13:30,174.13,175.27,173,174.05,67464
2016-03-23T15:30,174.07,174.13,172.17,172.78,43700
2016-03-23T17:30,172.73,172.73,170.51,171.29,85299
2016-03-24T13:30,168.76,169.24,167.23,167.77,47466
2016-03-24T15:30,167.75,168.19,166.66,167.8,47033
2016-03-24T17:30,167.8,168.45,167.45,168.28,102724
2016-03-28T13:30,168.89,169.11,166.23,167.32,38346
2016-03-28T15:30,167.41,169.02,166.84,168.63,22283
2016-03-28T17:30,168.63,169.33,167.36,167.95,87954
2016-03-29T13:30,166.4,167.41,163.39,164.43,55231
2016-03-29T15:30,164.43,167.8,163.52,166.62,54938
2016-03-29T17:30,166.62,170.29,166.58,170.2,107175
2016-03-30T13:30,170.33,171.77,166.23,166.27,72034
2016-03-30T15:30,166.31,166.62,163.82,164.22,48944
2016-03-30T17:30,164.22,167.32,164.19,167.14,118195
