date,open,high,low,close,volume
2016-01-04T14:30,23.98,24.05,23.6,23.68,1537922
2016-01-04T16:30,23.68,23.85,23.68,23.71,1027802
2016-01-04T18:30,23.71,23.82,23.56,23.81,2229903
2016-01-05T14:30,23.78,23.99,23.66,23.69,943579
2016-01-05T16:30,23.69,23.83,23.62,23.73,760015
2016-01-05T18:30,23.73,23.86,23.68,23.82,1481581
2016-01-06T14:30,23.42,23.77,23.29,23.73,1334925
2016-01-06T16:30,23.73,23.73,23.49,23.55,830249
2016-01-06T18:30,23.55,23.6,23.38,23.48,1899257
2016-01-07T14:30,22.98,23.24,22.94,23.12,1158837
2016-01-07T16:30,23.12,23.14,22.75,22.79,846558
2016-01-07T18:30,22.78,22.93,22.66,22.81,2320153
2016-01-08T14:30,23.01,23.02,22.68,22.71,1256188
2016-01-08T16:30,22.71,22.83,22.63,22.67,646155
2016-01-08T18:30,22.67,22.75,22.27,22.3,2634082
2016-01-11T14:30,22.51,22.57,22.27,22.38,1475938
2016-01-11T16:30,22.38,22.53,22.35,22.36,1573024
2016-01-11T18:30,22.36,22.63,22.31,22.51,2822663
2016-01-12T14:30,22.84,22.85,22.48,22.5,1668355
2016-01-12T16:30,22.5,22.61,22.36,22.38,706429
2016-01-12T18:30,22.38,22.72,22.32,22.67,1864409
2016-01-13T14:30,22.82,22.89,22.4,22.48,1061065
2016-01-13T16:30,22.47,22.5,22.16,22.16,872846
2016-01-13T18:30,22.16,22.19,21.83,21.92,2411634
2016-01-14T14:30,21.98,22.24,21.69,22,1304812
2016-01-14T16:30,22,22.19,21.92,22.18,789648
2016-01-14T18:30,22.19,22.25,22.06,22.09,2012551
2016-01-15T14:30,21.37,21.67,21.36,21.59,2197105
2016-01-15T16:30,21.59,21.63,21.26,21.43,1072567
2016-01-15T18:30,21.42,21.64,21.41,21.53,3283970
2016-01-19T14:30,21.89,21.89,21.43,21.56,1855993
2016-01-19T16:30,21.57,21.6,21.3,21.36,932838
2016-01-19T18:30,21.36,21.47,21.16,21.39,2638512
2016-01-20T14:30,20.88,21.17,20.77,20.92,3881823
2016-01-20T16:30,20.92,21.03,20.64,20.9,2483518
2016-01-20T18:30,20.89,21.62,20.89,21.35,6300319
2016-01-21T14:30,21.22,21.23,20.73,21.02,3124213
2016-01-21T16:30,21.02,21.28,21,21.03,2557757
2016-01-21T18:30,21.04,21.05,20.6,20.64,4046728
2016-01-22T14:30,20.93,21.12,20.54,20.6,2642609
2016-01-22T16:30,20.6,20.75,20.5,20.72,1319411
2016-01-22T18:30,20.73,20.84,20.71,20.76,2213396
2016-01-25T14:30,20.65,20.71,20.33,20.43,2440862
2016-01-25T16:30,20.43,20.57,20.37,20.54,1545840
2016-01-25T18:30,20.54,20.56,20.18,20.21,2738469
2016-01-26T14:30,20.28,20.47,20.13,20.38,2555602
2016-01-26T16:30,20.38,20.52,20.33,20.37,1112394
2016-01-26T18:30,20.37,20.45,20.32,20.45,2070976
2016-01-27T14:30,20.41,20.85,20.34,20.84,1508634
2016-01-27T16:30,20.84,21.03,20.82,20.88,1412104
2016-01-27T18:30,20.87,20.98,20.42,20.56,2293371
2016-01-28T14:30,20.69,20.97,20.6,20.8,2041034
2016-01-28T16:30,20.8,20.93,20.67,20.76,1329000
2016-01-28T18:30,20.75,20.88,20.69,20.73,4899249
2016-01-29T14:30,20.89,21.06,20.79,20.9,1637823
2016-01-29T16:30,20.9,20.98,20.84,20.9,1081341
2016-01-29T18:30,20.9,21.23,20.9,21.21,3114149
2016-02-01T14:30,21.13,21.19,20.84,20.95,1325997
2016-02-01T16:30,20.95,21.01,20.82,20.87,960699
2016-02-01T18:30,20.87,21.05,20.82,20.96,1809272
2016-02-02T14:30,20.64,20.68,20.42,20.54,1379561
2016-02-02T16:30,20.54,20.62,20.46,20.53,1075318
2016-02-02T18:30,20.53,20.58,20.4,20.51,2606921
2016-02-03T14:30,20.6,20.66,19.95,20.18,2224274
2016-02-03T16:30,20.18,20.34,20.1,20.25,1525879
2016-02-03T18:30,20.25,20.71,20.17,20.65,2882134
2016-02-04T14:30,20.59,20.95,20.58,20.75,2304515
2016-02-04T16:30,20.75,20.81,20.64,20.72,1712923
2016-02-04T18:30,20.71,20.9,20.6,20.89,2901180
2016-02-05T14:30,20.9,21.14,20.75,20.82,2072237
2016-02-05T16:30,20.82,20.87,20.7,20.87,1421473
2016-02-05T18:30,20.86,20.86,20.73,20.82,3342419
2016-02-08T14:30,20.51,20.53,20.17,20.31,2016123
2016-02-08T16:30,20.31,20.43,20.2,20.25,1365454
2016-02-08T18:30,20.25,20.45,20.07,20.35,2511965
2016-02-09T14:30,20,20.45,19.97,20.38,1805829
2016-02-09T16:30,20.38,20.44,20.27,20.31,992044
2016-02-09T18:30,20.31,20.64,20.26,20.53,3235871
2016-02-10T14:30,20.72,20.93,20.58,20.58,1780353
2016-02-10T16:30,20.58,20.77,20.51,20.68,1150561
2016-02-10T18:30,20.69,20.7,20.47,20.49,2750260
2016-02-11T14:30,19.92,20.14,19.73,19.77,1699327
2016-02-11T16:30,19.77,19.82,19.64,19.78,941268
2016-02-11T18:30,19.78,20,19.62,19.84,3200770
2016-02-12T14:30,20.35,20.6,20.15,20.58,1356015
2016-02-12T16:30,20.59,20.7,20.47,20.5,1130888
2016-02-12T18:30,20.51,20.7,20.47,20.69,2249608
2016-02-16T14:30,21,21.08,20.8,21.02,1187133
2016-02-16T16:30,21.03,21.44,21.02,21.43,1054462
2016-02-16T18:30,21.43,21.5,21.29,21.34,2160178
2016-02-17T14:30,21.51,21.7,21.47,21.59,1620041
2016-02-17T16:30,21.59,21.61,21.47,21.55,1124975
2016-02-17T18:30,21.55,21.61,21.47,21.56,2195277
2016-02-18T14:30,21.57,21.65,21.24,21.28,1359374
2016-02-18T16:30,21.29,21.32,21.09,21.11,774634
2016-02-18T18:30,21.11,21.21,21.03,21.15,1531652
2016-02-19T14:30,21,21.21,20.92,21.2,1797762
2016-02-19T16:30,21.19,21.22,21.14,21.18,658385
2016-02-19T18:30,21.18,21.23,21.13,21.21,1340323
2016-02-22T14:30,21.4,21.59,21.38,21.54,1328159
2016-02-22T16:30,21.54,21.57,21.5,21.51,851809
2016-02-22T18:30,21.51,21.6,21.5,21.59,1486399
2016-02-23T14:30,21.47,21.61,20.89,20.95,1965661
2016-02-23T16:30,20.96,21.06,20.94,21,1064437
2016-02-23T18:30,21,21.11,20.96,21.02,2249639
2016-02-24T14:30,20.72,20.74,20.49,20.54,2262309
2016-02-24T16:30,20.54,20.72,20.53,20.68,1571126
2016-02-24T18:30,20.68,20.99,20.67,20.96,2379407
2016-02-25T14:30,21.03,21.18,20.98,21.04,1597559
2016-02-25T16:30,21.04,21.22,21.03,21.2,1069469
2016-02-25T18:30,21.19,21.29,21.15,21.28,2211445
2016-02-26T14:30,21.51,21.88,21.37,21.76,1881840
2016-02-26T16:30,21.76,21.97,21.76,21.85,1421826
2016-02-26T18:30,21.84,21.91,21.72,21.82,2694170
2016-02-29T14:30,21.76,21.81,21.22,21.43,1618456
2016-02-29T16:30,21.43,21.51,21.37,21.4,1413455
2016-02-29T18:30,21.4,21.42,21.06,21.07,2771112
2016-03-01T14:30,21.28,21.69,21.17,21.69,2664116
2016-03-01T16:30,21.7,21.87,21.68,21.77,1446854
2016-03-01T18:30,21.76,21.91,21.6,21.91,2850980
2016-03-02T14:30,21.97,22.22,21.85,22.19,2177679
2016-03-02T16:30,22.2,22.21,21.97,22.04,1189808
2016-03-02T18:30,22.04,22.14,21.95,22.14,1554072
