date,open,high,low,close,volume
2016-01-04T14:30,15,15.73,14.88,15.35,299054
2016-01-04T16:30,15.35,15.45,15.27,15.38,107057
2016-01-04T18:30,15.41,15.44,15.06,15.13,247953
2016-01-05T14:30,15.21,15.35,15,15.13,103406
2016-01-05T16:30,15.13,15.13,14.85,14.87,48387
2016-01-05T18:30,14.85,15.03,14.77,14.81,191556
2016-01-06T14:30,14.58,14.96,14.52,14.84,96141
2016-01-06T16:30,14.87,14.87,14.52,14.58,86813
2016-01-06T18:30,14.58,14.64,14.27,14.35,321063
2016-01-07T14:30,14.19,14.35,14.03,14.35,145555
2016-01-07T16:30,14.31,14.44,14.24,14.24,146580
2016-01-07T18:30,14.23,14.26,14.02,14.02,195555
2016-01-08T14:30,14.14,14.2,13.76,13.99,211346
2016-01-08T16:30,13.99,14.13,13.96,14.01,85892
2016-01-08T18:30,14,14.1,13.93,14.02,288410
2016-01-11T14:30,14.08,14.3,14.02,14.15,201727
2016-01-11T16:30,14.15,14.31,14.06,14.06,55273
2016-01-11T18:30,14.06,14.17,13.94,14.17,231528
2016-01-12T14:30,14.34,14.47,14.23,14.33,103772
2016-01-12T16:30,14.33,14.41,14.2,14.23,74435
2016-01-12T18:30,14.23,14.44,14.18,14.43,157218
2016-01-13T14:30,14.77,14.77,14.18,14.33,75694
2016-01-13T16:30,14.33,14.39,13.96,13.96,54608
2016-01-13T18:30,13.95,13.97,13.57,13.85,291717
2016-01-14T14:30,14.48,14.82,13.98,13.98,633156
2016-01-14T16:30,14,14.61,14,14.58,322366
2016-01-14T18:30,14.59,14.71,14.37,14.46,491748
2016-01-15T14:30,13.89,14.52,13.89,14.1,212268
2016-01-15T16:30,14.12,14.37,13.96,14.33,146771
2016-01-15T18:30,14.35,14.67,14.26,14.46,347777
2016-01-19T14:30,14.58,14.8,14.27,14.29,286559
2016-01-19T16:30,14.3,14.46,14.23,14.23,220922
2016-01-19T18:30,14.23,14.34,14.03,14.27,480155
2016-01-20T14:30,14.09,14.22,13.89,14.09,412143
2016-01-20T16:30,14.11,14.19,13.97,14.09,385263
2016-01-20T18:30,14.09,14.33,14.08,14.21,976597
2016-01-21T14:30,14.21,14.23,13.92,14.03,283664
2016-01-21T16:30,14.06,14.09,13.72,13.85,296846
2016-01-21T18:30,13.85,13.95,13.61,13.7,540991
2016-01-22T14:30,13.94,14.39,13.86,14.11,160984
2016-01-22T16:30,14.09,14.2,14.06,14.14,131313
2016-01-22T18:30,14.15,14.41,14.14,14.39,269685
2016-01-25T14:30,14.37,14.87,14.25,14.84,123902
2016-01-25T16:30,14.84,15.19,14.74,15.11,109326
2016-01-25T18:30,15.11,15.11,14.72,14.86,215626
2016-01-26T14:30,15.22,15.5,15.22,15.31,297191
2016-01-26T16:30,15.31,15.84,15.28,15.55,212354
2016-01-26T18:30,15.55,15.58,15.42,15.48,371002
2016-01-27T14:30,15.5,15.5,14.65,14.74,186008
2016-01-27T16:30,14.73,14.94,14.69,14.85,79679
2016-01-27T18:30,14.85,15.16,14.84,15.09,259255
2016-01-28T14:30,15.37,15.51,15.17,15.46,165949
2016-01-28T16:30,15.44,15.5,15.22,15.26,101354
2016-01-28T18:30,15.26,15.36,15.07,15.31,171608
2016-01-29T14:30,15.4,15.8,15.34,15.38,201357
2016-01-29T16:30,15.4,15.59,15.37,15.49,93457
2016-01-29T18:30,15.48,15.56,15.25,15.38,299545
2016-02-01T14:30,15.16,15.41,14.85,15.29,205769
2016-02-01T16:30,15.28,15.28,15.09,15.16,171172
2016-02-01T18:30,15.16,15.48,15.08,15.31,323183
2016-02-02T14:30,15.2,15.2,14.74,14.82,187235
2016-02-02T16:30,14.82,14.82,14.33,14.46,125135
2016-02-02T18:30,14.45,14.75,14.37,14.7,248978
2016-02-03T14:30,14.85,14.85,13.89,14.28,152798
2016-02-03T16:30,14.28,14.39,13.93,14.01,92255
2016-02-03T18:30,14.06,14.36,13.9,14.31,198156
2016-02-04T14:30,14.59,14.74,14.18,14.39,77693
2016-02-04T16:30,14.4,14.45,14.23,14.26,68647
2016-02-04T18:30,14.26,14.64,14.21,14.63,177690
2016-02-05T14:30,14.81,14.81,14.19,14.29,127055
2016-02-05T16:30,14.29,14.38,14.09,14.14,77415
2016-02-05T18:30,14.14,14.38,14.09,14.25,276719
2016-02-08T14:30,14.11,14.18,13.55,13.82,218354
2016-02-08T16:30,13.8,14.03,13.72,13.72,182327
2016-02-08T18:30,13.72,14.35,13.63,14.17,433460
2016-02-09T14:30,13.93,14.72,13.87,14.43,206480
2016-02-09T16:30,14.41,14.52,14.08,14.25,160024
2016-02-09T18:30,14.25,14.37,14.07,14.15,343253
2016-02-10T14:30,14.11,14.23,13.76,13.87,188582
2016-02-10T16:30,13.86,13.97,13.66,13.77,354603
2016-02-10T18:30,13.78,13.96,13.47,13.53,709963
2016-02-11T14:30,14.15,14.15,12.29,12.55,718440
2016-02-11T16:30,12.55,13.22,12.46,12.55,352485
2016-02-11T18:30,12.54,13.23,12.21,12.83,678477
2016-02-12T14:30,12.64,12.83,12.27,12.83,366505
2016-02-12T16:30,12.83,12.96,12.69,12.95,160286
2016-02-12T18:30,12.95,13.01,12.5,12.59,460226
2016-02-16T14:30,12.99,13.45,12.82,13.22,307428
2016-02-16T16:30,13.23,13.33,13.2,13.21,74251
2016-02-16T18:30,13.21,13.27,13.1,13.19,261849
2016-02-17T14:30,13.26,13.57,13.21,13.23,138064
2016-02-17T16:30,13.22,13.29,13.05,13.23,232787
