date,open,high,low,close,volume
2021-01-04T15:00,446.63,447.24,429.18,429.18,92172
2021-01-04T17:00,429.41,430.89,425.01,429.22,61257
2021-01-04T19:00,429.49,433.87,426.96,431.76,93272
2021-01-05T15:00,433.8543,434.25,427.255,428.845,27534
2021-01-05T17:00,428.285,428.695,426.45,428.03,18598
2021-01-05T19:00,428.41,432.88,428.41,431.68,61386
2021-01-06T15:00,431.95,436.24,431.95,436.075,37614
2021-01-06T17:00,435.95,438.145,434.515,436.63,39174
2021-01-06T19:00,436.31,438.29,432.94,433.64,90180
2021-01-07T15:00,440.09,441.76,437.12,438.1,31655
2021-01-07T17:00,438.02,439.16,436.46,438.5,27761
2021-01-07T19:00,438.33,438.41,436.32,437.66,63956
2021-01-08T15:00,440.965,441.115,435,437.59,33711
2021-01-08T17:00,437.415,438.2,432.75,433.015,53996
2021-01-08T19:00,433.025,437.48,432.2,436.27,65171
2021-01-11T15:00,433.56,433.93,430.99,431.6,30714
2021-01-11T17:00,431.78,434.9,430.41,431.095,35292
2021-01-11T19:00,430.7017,431.26,429.03,429.57,60793
2021-01-12T15:00,428.37,429.33,426.18,426.8,28740
2021-01-12T17:00,426.71,427.16,423.82,427.01,30920
2021-01-12T19:00,427.3,427.66,424.47,424.47,60717
2021-01-13T15:00,426.84,429.41,425.5,427.48,32128
2021-01-13T17:00,427.575,428.15,422.92,423.255,29910
2021-01-13T19:00,422.95,423.39,420.265,421.99,88450
2021-01-14T15:00,423.915,426.96,422.495,425.87,44378
2021-01-14T17:00,426.52,427.385,422,422.03,20775
2021-01-14T19:00,421.65,422.33,418.68,419.52,81929
2021-01-15T15:00,425.43,425.88,417.18,417.775,26657
2021-01-15T17:00,418.08,422.27,417.45,421.46,15310
2021-01-15T19:00,421.74,423.47,421.17,422.33,35436
2021-01-19T15:00,425,428.08,421.53,421.53,35678
2021-01-19T17:00,421.5,424.44,421.5,424.08,17556
2021-01-19T19:00,424.22,425.08,422.66,423.65,56619
2021-01-20T15:00,428.7,430.1,426.655,428.49,11626
2021-01-20T17:00,428.08,430.66,428.01,430,18421
2021-01-20T19:00,430.12,430.66,428.65,430.17,47584
2021-01-21T15:00,428.9,431.97,428.56,429.87,10691
2021-01-21T17:00,429,429.515,427.91,428.51,19544
2021-01-21T19:00,428.01,429.14,426.54,426.77,28014
2021-01-22T15:00,427.69,427.725,421.79,423.585,24695
2021-01-22T17:00,423.86,424.35,420.08,420.08,23980
2021-01-22T19:00,420.1,425.77,419.5,424.09,59780
2021-01-25T15:00,425.23,427.32,421.1,425.19,21811
2021-01-25T17:00,426.555,430.4,424.715,429.855,21134
2021-01-25T19:00,429.885,430.48,426.21,429.36,110091
2021-01-26T15:00,427.51,429.505,424.91,428.37,40637
2021-01-26T17:00,428.42,430.1,425.95,427.47,34237
2021-01-26T19:00,427.26,428.92,425.825,428.39,154978
2021-01-27T15:00,422.6,425.73,418.311,422.66,44706
2021-01-27T17:00,422.815,429.1,421.785,428.185,31250
2021-01-27T19:00,428.66,432.27,424.875,431.42,172247
2021-01-28T15:00,428.745,430,425.68,427,51566
2021-01-28T17:00,427.13,430.01,427.13,429.4844,26883
2021-01-28T19:00,429.27,430.42,427.7317,430,177457
2021-01-29T15:00,432.07,434.48,430.1,433.65,39997
2021-01-29T17:00,433.42,433.42,423.875,424.66,22912
2021-01-29T19:00,424.43,428.655,422.5,422.5,90145
2021-02-01T15:00,421.015,428.02,419.62,428.01,31218
2021-02-01T17:00,428.78,430.5,426.54,427.91,25917
2021-02-01T19:00,427.99,429.925,426.54,426.79,120120
2021-02-02T15:00,425.91,430.005,424.9,427.82,54370
2021-02-02T17:00,428.1,430.75,427.47,430.19,38277
2021-02-02T19:00,430.64,431.09,428.43,429.59,54204
2021-02-03T15:00,428.71,429.89,424.61,427.02,40031
2021-02-03T17:00,427.03,428.61,426.38,427.935,15109
2021-02-03T19:00,428.15,429.115,427.05,427.4,33777
2021-02-04T15:00,426.45,427.98,424.255,424.64,28612
2021-02-04T17:00,424.805,428,423.96,426.055,28321
2021-02-04T19:00,426.08,427.01,423.82,424.9,88872
2021-02-05T15:00,421.34,425.06,420.89,424.625,41655
2021-02-05T17:00,424.4,428.52,424.4,425.17,48348
2021-02-05T19:00,424.67,425.23,418.91,421.38,124340
2021-02-08T15:00,426.45,427.99,422.745,423.73,68493
2021-02-08T17:00,424.17,424.74,421.83,423.28,34607
2021-02-08T19:00,423.29,427.42,423.05,427.42,94370
2021-02-09T15:00,428.85,428.92,422.05,426.03,49500
2021-02-09T17:00,425.58,426.56,423.77,425.7,39007
2021-02-09T19:00,425.555,426.45,421.36,423.32,95140
2021-02-10T15:00,446.64,455.88,446.635,454.98,148971
2021-02-10T17:00,455.39,456.03,449.29,451.33,83404
2021-02-10T19:00,451.21,453.12,448.79,451.74,104043
2021-02-11T15:00,447.86,457.305,444.13,457.19,69909
2021-02-11T17:00,457.69,461.775,455.75,461.775,47518
2021-02-11T19:00,460.95,466.43,460.815,465.32,83898
2021-02-12T15:00,470.23,471.1,464.21,469.955,49883
2021-02-12T17:00,470.04,470.19,467.07,469.44,27623
2021-02-12T19:00,469.595,475.43,469.52,475.1,79826
2021-02-16T15:00,468.825,471.36,465.1294,469.275,38687
2021-02-16T17:00,469.66,474.54,468.77,472.66,24846
2021-02-16T19:00,473.08,474.82,471.615,471.73,66500
2021-02-17T15:00,466.42,466.42,460.04,464.99,24844
2021-02-17T17:00,464.83,467.22,463.54,465.315,23698
2021-02-17T19:00,466.26,471.195,465.63,469.04,60674
2021-02-18T15:00,469.56,469.8,463.82,464.57,31183
2021-02-18T17:00,465.09,471.24,464.725,470.4787,28607
2021-02-18T19:00,470.41,472.63,469.61,470.99,56732
2021-02-19T15:00,476.85,479.615,476.06,476.39,29350
2021-02-19T17:00,476.77,477.59,474.49,477.24,16544
2021-02-19T19:00,477.58,478.42,473.24,473.89,50442
2021-02-22T15:00,466.58,466.71,458.2,460.785,25053
2021-02-22T17:00,461.19,465.84,460,464.62,18412
2021-02-22T19:00,464.93,466.64,458.99,459.61,59639
2021-02-23T15:00,451.17,464.43,451.17,458.9,63231
2021-02-23T17:00,457.97,460.5,454.63,460.39,56176
2021-02-23T19:00,460.39,465,459.11,462.08,87451
