date,open,high,low,close,volume
2021-01-04T15:00,223.96,223.96,216.14,219.54,234053
2021-01-04T17:00,219.38,222.29,217.84,222.05,144404
2021-01-04T19:00,221.83,221.89,219.79,221.06,276225
2021-01-05T15:00,224.56,228.16,224,227.34,217385
2021-01-05T17:00,227.39,230.34,227.18,229.18,163427
2021-01-05T19:00,229.24,230.49,226.58,226.78,260008
2021-01-06T15:00,244.63,252.24,243.85,249.68,630461
2021-01-06T17:00,249.79,252.26,249.61,249.88,244772
2021-01-06T19:00,249.95,251.39,244.35,246.8,522197
2021-01-07T15:00,252.22,257.6,252.1,252.88,349625
2021-01-07T17:00,253.29,255.95,253.15,253.52,157867
2021-01-07T19:00,253.52,255.63,253.18,254.81,322830
2021-01-08T15:00,252.85,253.9,250.68,252.58,125926
2021-01-08T17:00,252.64,252.85,244.01,244.01,177661
2021-01-08T19:00,244.27,250.59,244.1,250.43,260336
2021-01-11T15:00,250.66,251.54,247.9,249.46,103613
2021-01-11T17:00,249.44,251.69,248.31,249.1,84006
2021-01-11T19:00,248.91,249.12,247.51,247.73,147741
2021-01-12T15:00,250.03,252.43,249.51,252.17,162033
2021-01-12T17:00,252.23,252.97,250.7,251.79,131234
2021-01-12T19:00,251.82,254.23,251.51,252.36,280874
2021-01-13T15:00,250.39,250.67,246.85,247.45,168203
2021-01-13T17:00,247.35,247.6,246.15,246.69,116818
2021-01-13T19:00,246.72,247.78,244.17,244.95,203679
2021-01-14T15:00,249.59,251.63,248.37,251,142785
2021-01-14T17:00,251.06,254.4,250.52,253.64,95139
2021-01-14T19:00,253.79,254.53,249.72,250.64,208029
2021-01-15T15:00,248.42,248.42,242.64,245.56,188961
2021-01-15T17:00,245.17,248.19,245.06,247.08,88918
2021-01-15T19:00,247.15,247.66,244.81,245.61,179428
2021-01-19T15:00,252.47,256.64,251.72,253.78,198030
2021-01-19T17:00,253.65,254.69,249.88,250.78,188538
2021-01-19T19:00,250.84,252.16,250.22,251.08,185554
2021-01-20T15:00,253.93,254.34,250.49,250.8,147945
2021-01-20T17:00,250.94,252.65,249.81,251.63,97467
2021-01-20T19:00,251.52,251.63,248.96,250.41,139356
2021-01-21T15:00,249.64,251.63,248.38,250.74,93155
2021-01-21T17:00,250.75,250.96,249.53,250.51,69341
2021-01-21T19:00,250.5,252.02,249.36,249.53,149875
2021-01-22T15:00,246.82,249.43,245.71,248.34,90723
2021-01-22T17:00,248.2,248.46,245.68,245.68,86666
2021-01-22T19:00,245.52,250.05,245.37,248.82,172067
2021-01-25T15:00,247.88,252.21,244.01,246.22,147180
2021-01-25T17:00,246.14,246.33,243.22,244.95,115925
2021-01-25T19:00,244.81,245.53,242.53,244.06,207887
2021-01-26T15:00,244.25,244.69,239.13,240.52,133614
2021-01-26T17:00,240.34,241.74,239.46,239.83,81366
2021-01-26T19:00,239.76,241.02,238.18,239.08,188505
2021-01-27T15:00,223.32,230.86,221.78,228.67,385831
2021-01-27T17:00,228.66,231.28,225.76,230.02,229343
2021-01-27T19:00,230.15,230.43,224.94,227.76,339761
2021-01-28T15:00,241.18,244.9,238.56,242.57,345132
2021-01-28T17:00,242.89,247.95,242.25,243.56,244494
2021-01-28T19:00,243.78,246.99,243.34,244.02,369885
2021-01-29T15:00,234.21,237.24,232.76,235.28,340349
2021-01-29T17:00,235.11,235.45,229.65,231.34,244339
2021-01-29T19:00,231.48,235.46,230.81,233.93,307564
2021-02-01T15:00,237.84,240.46,236.67,240.05,137861
2021-02-01T17:00,240.17,240.94,238.56,240.68,124586
2021-02-01T19:00,240.71,244.72,240.65,243.7,298481
2021-02-02T15:00,248.27,249.64,245.4,248.85,164102
2021-02-02T17:00,249.01,249.29,243.66,243.95,158051
2021-02-02T19:00,243.85,244.26,240.43,241.3,276730
2021-02-03T15:00,243.69,243.69,238.95,241.63,74237
2021-02-03T17:00,241.41,242.92,240.22,240.22,74324
2021-02-03T19:00,239.99,241.5,238.81,241.44,205090
2021-02-04T15:00,245.84,249.74,245.75,248.29,184858
2021-02-04T17:00,248.08,250.73,247.82,250.32,132345
2021-02-04T19:00,250.3,250.37,247.86,250.13,239085
2021-02-05T15:00,253.01,256.17,252.41,254.27,144860
2021-02-05T17:00,254.15,256.72,254.15,255.49,105178
2021-02-05T19:00,255.4,256.49,254.65,255.72,208312
2021-02-08T15:00,259.62,261.79,257.8,260.6,158789
2021-02-08T17:00,260.77,262.81,260.09,262.1,103008
2021-02-08T19:00,262.08,263.89,261.22,261.98,286827
2021-02-09T15:00,258.09,266.09,257.29,265.42,149747
2021-02-09T17:00,265.16,267.82,264.77,266.53,127816
2021-02-09T19:00,266.96,268.45,266.51,266.9,234902
2021-02-10T15:00,270.1,271.57,265.25,271.43,230207
2021-02-10T17:00,270.8,270.8,267.73,267.86,100748
2021-02-10T19:00,268.06,269.01,266.19,266.6,328346
2021-02-11T15:00,269,270.64,268.05,270.4,104835
