date,open,high,low,close,volume
2021-01-04T15:00,17.53,17.56,17.29,17.29,974043
2021-01-04T17:00,17.29,17.4,17.18,17.35,1089266
2021-01-04T19:00,17.35,17.37,17.18,17.21,1078974
2021-01-05T15:00,17.31,17.5,17.16,17.49,1156985
2021-01-05T17:00,17.5,17.83,17.49,17.82,795030
2021-01-05T19:00,17.82,17.98,17.73,17.78,1405980
2021-01-06T15:00,18.54,18.74,18.38,18.53,1260062
2021-01-06T17:00,18.53,18.68,18.49,18.58,1055183
2021-01-06T19:00,18.59,18.64,18.11,18.21,1856790
2021-01-07T15:00,18.21,18.48,18.17,18.29,732340
2021-01-07T17:00,18.29,18.35,18.19,18.26,405876
2021-01-07T19:00,18.26,18.3,18.09,18.09,927996
2021-01-08T15:00,18.65,18.84,18.6,18.78,1224397
2021-01-08T17:00,18.76,18.87,18.65,18.66,1027033
2021-01-08T19:00,18.67,18.89,18.67,18.83,1267696
2021-01-11T15:00,18.64,18.85,18.54,18.85,923072
2021-01-11T17:00,18.85,18.94,18.75,18.83,1487601
2021-01-11T19:00,18.83,19.08,18.82,18.99,1459964
2021-01-12T15:00,19.26,19.42,19.13,19.18,1267529
2021-01-12T17:00,19.18,19.38,19.15,19.36,536089
2021-01-12T19:00,19.36,19.48,19.34,19.35,1297878
2021-01-13T15:00,19.48,19.66,19.46,19.61,866335
2021-01-13T17:00,19.62,19.71,19.56,19.6,454660
2021-01-13T19:00,19.59,19.69,19.53,19.55,1137920
2021-01-14T15:00,19.52,19.64,19.39,19.42,703489
2021-01-14T17:00,19.42,19.45,19.27,19.33,689524
2021-01-14T19:00,19.34,19.41,19.11,19.12,1271703
2021-01-15T15:00,19.22,19.32,19.06,19.19,1283376
2021-01-15T17:00,19.19,19.45,19.19,19.4,581718
2021-01-15T19:00,19.39,19.45,19.23,19.28,1397445
2021-01-19T15:00,19.34,19.43,19.29,19.37,617026
2021-01-19T17:00,19.36,19.49,19.3,19.48,520369
2021-01-19T19:00,19.48,19.62,19.45,19.47,1364964
2021-01-20T15:00,19.54,19.57,19.29,19.34,882392
2021-01-20T17:00,19.35,19.37,19.18,19.21,628169
2021-01-20T19:00,19.21,19.23,19.11,19.22,1965019
2021-01-21T15:00,19,19.04,18.8,19.03,1081486
2021-01-21T17:00,19.03,19.13,19,19.02,801016
2021-01-21T19:00,19.01,19.19,18.95,19,1509239
2021-01-22T15:00,18.87,18.92,18.65,18.82,642580
2021-01-22T17:00,18.83,19.05,18.8,19.01,819081
2021-01-22T19:00,19.01,19.22,18.89,19.12,1735386
2021-01-25T15:00,19.21,19.29,18.78,18.93,962816
2021-01-25T17:00,18.93,19,18.78,18.93,807789
2021-01-25T19:00,18.93,18.97,18.69,18.7,2150074
2021-01-26T15:00,18.65,18.7,18.58,18.6,753971
2021-01-26T17:00,18.59,18.74,18.55,18.66,933283
2021-01-26T19:00,18.67,18.75,18.57,18.66,1634076
2021-01-27T15:00,18.36,18.74,18.33,18.49,1134408
2021-01-27T17:00,18.49,18.67,18.41,18.57,818506
2021-01-27T19:00,18.57,18.6,18.1,18.1,2082028
2021-01-28T15:00,17.84,18.25,17.79,18.23,963217
2021-01-28T17:00,18.23,18.37,18.17,18.28,537444
2021-01-28T19:00,18.28,18.33,18.09,18.1,1230294
2021-01-29T15:00,18.18,18.37,18.14,18.14,692441
2021-01-29T17:00,18.14,18.22,17.95,18.04,805984
2021-01-29T19:00,18.04,18.15,17.91,17.91,1358482
2021-02-01T15:00,18.03,18.17,17.89,18.09,869091
2021-02-01T17:00,18.09,18.3,18.07,18.18,458964
2021-02-01T19:00,18.18,18.43,18.17,18.26,1447251
2021-02-02T15:00,18.42,18.94,18.41,18.83,1314488
2021-02-02T17:00,18.84,18.88,18.7,18.73,921171
2021-02-02T19:00,18.73,18.81,18.62,18.67,1708650
2021-02-03T15:00,18.57,19.05,18.56,18.99,1141083
2021-02-03T17:00,18.99,19.49,18.99,19.11,3221236
2021-02-03T19:00,19.11,19.26,19,19.1,2839500
2021-02-04T15:00,18.97,19.12,18.71,19.1,1569994
2021-02-04T17:00,19.11,19.12,18.77,18.85,822231
2021-02-04T19:00,18.84,18.91,18.82,18.91,1271306
2021-02-05T15:00,18.82,19.06,18.79,19.04,674575
2021-02-05T17:00,19.04,19.06,18.94,18.99,558105
2021-02-05T19:00,18.99,19.02,18.86,18.87,1106520
2021-02-08T15:00,19.13,19.17,18.85,18.89,1007745
2021-02-08T17:00,18.89,18.92,18.69,18.75,776534
2021-02-08T19:00,18.75,18.88,18.75,18.87,1158433
2021-02-09T15:00,19.13,19.26,19.02,19.16,756195
2021-02-09T17:00,19.16,19.19,19.01,19.05,425282
2021-02-09T19:00,19.05,19.13,19.04,19.12,623412
2021-02-10T15:00,19.19,19.22,18.91,19.08,453387
2021-02-10T17:00,19.08,19.22,19,19.21,272006
2021-02-10T19:00,19.21,19.36,19.19,19.25,836049
2021-02-11T15:00,19.28,19.33,19.19,19.26,365729
2021-02-11T17:00,19.26,19.4,19.18,19.28,520462
2021-02-11T19:00,19.29,19.37,19.14,19.3,2572062
2021-02-12T15:00,19.28,19.33,19.19,19.2,516639
2021-02-12T17:00,19.2,19.21,19.03,19.18,729125
2021-02-12T19:00,19.18,19.21,19.08,19.13,776378
2021-02-16T15:00,19.76,19.83,19.65,19.68,1995383
2021-02-16T17:00,19.68,19.69,19.47,19.49,926260
2021-02-16T19:00,19.49,19.7,19.48,19.65,2101094
2021-02-17T15:00,19.77,19.8,19.53,19.59,796614
2021-02-17T17:00,19.6,19.67,19.53,19.55,731179
2021-02-17T19:00,19.56,19.74,19.47,19.74,1704213
2021-02-18T15:00,20.19,20.9,20.15,20.63,3805057
2021-02-18T17:00,20.62,20.8,20.6,20.74,1396973
2021-02-18T19:00,20.74,20.9,20.69,20.76,2251138
2021-02-19T15:00,20.71,20.83,20.55,20.67,1235142
2021-02-19T17:00,20.67,20.81,20.61,20.72,1334963
2021-02-19T19:00,20.73,20.76,20.45,20.56,1831051
2021-02-22T15:00,20.83,20.83,20.37,20.53,1256136
2021-02-22T17:00,20.53,20.72,20.43,20.59,953435
2021-02-22T19:00,20.59,20.76,20.42,20.66,2121377
2021-02-23T15:00,20.34,20.7,20.14,20.7,1561441
2021-02-23T17:00,20.69,20.92,20.66,20.9,1372690
2021-02-23T19:00,20.9,21.06,20.84,20.97,2490182
2021-02-24T15:00,21.57,21.62,21.32,21.42,1063821
2021-02-24T17:00,21.42,21.57,21.39,21.57,878079
2021-02-24T19:00,21.57,21.7,21.37,21.38,2125605
2021-02-25T15:00,21.35,21.53,20.66,20.7,2229543
2021-02-25T17:00,20.7,20.84,20.67,20.75,1146884
2021-02-25T19:00,20.76,20.81,20.39,20.46,2399958
2021-02-26T15:00,16.53,16.65,16.17,16.17,8203018
2021-02-26T17:00,16.17,16.17,15.71,15.88,6339685
2021-02-26T19:00,15.88,15.98,15.35,15.51,10303661
2021-03-01T15:00,15.96,16.14,15.7,15.71,6431209
2021-03-01T17:00,15.71,16.05,15.69,15.82,3135590
2021-03-01T19:00,15.83,15.87,15.58,15.61,6052438
2021-03-02T15:00,15.25,15.3,15.08,15.23,3500687
2021-03-02T17:00,15.23,15.32,15.16,15.23,2088556
2021-03-02T19:00,15.23,15.36,14.97,14.97,4165083
2021-03-03T15:00,14.64,14.99,14.52,14.83,4331945
2021-03-03T17:00,14.84,14.91,14.67,14.74,2047299
2021-03-03T19:00,14.74,14.81,14.65,14.74,3293031
2021-03-04T15:00,15.14,15.42,14.97,15.34,2130687
2021-03-04T17:00,15.35,15.6,15.28,15.29,2771348
2021-03-04T19:00,15.3,15.76,15.29,15.69,2969358
2021-03-05T15:00,16.07,16.08,15.53,15.81,2394402
2021-03-05T17:00,15.82,16.05,15.78,15.99,1229410
2021-03-05T19:00,15.99,16.11,15.84,15.99,2169430
2021-03-08T15:00,16.59,17,16.57,16.95,2435801
2021-03-08T17:00,16.95,17.2,16.85,16.87,2072247
2021-03-08T19:00,16.87,17.05,16.82,16.93,1805746
2021-03-09T15:00,17.25,17.35,16.94,17.03,2337179
2021-03-09T17:00,17.03,17.04,16.63,16.72,1880950
2021-03-09T19:00,16.71,17.04,16.68,16.73,2628524
2021-03-10T15:00,17.18,17.47,16.99,17.33,2602036
2021-03-10T17:00,17.33,17.4,17.23,17.31,820188
2021-03-10T19:00,17.31,17.55,17.3,17.52,2116864
2021-03-11T15:00,17,17.03,16.44,16.45,2474244
2021-03-11T17:00,16.45,16.83,16.42,16.83,2017373
2021-03-11T19:00,16.82,17.05,16.81,16.87,2020377
2021-03-12T15:00,17,17.03,16.73,16.77,2321341
2021-03-12T17:00,16.77,16.78,16.28,16.36,5028444
2021-03-12T19:00,16.37,16.57,16.34,16.5,4373495
2021-03-15T14:00,16.38,16.65,16.34,16.6,1730530
2021-03-15T16:00,16.61,16.71,16.49,16.59,1946773
