date,open,high,low,close,volume
2016-01-04T14:30,45.78,45.97,45.34,45.61,763449
2016-01-04T16:30,45.61,45.87,45.51,45.79,382166
2016-01-04T18:30,45.79,46.25,45.69,46.23,940694
2016-01-05T14:30,46.21,46.84,46.04,46.8,732089
2016-01-05T16:30,46.8,47.18,46.8,47.11,559014
2016-01-05T18:30,47.09,47.59,47.09,47.38,1382059
2016-01-06T14:30,46.95,47.34,46.82,47.22,845876
2016-01-06T16:30,47.22,47.4,47.18,47.23,491834
2016-01-06T18:30,47.24,47.36,47.02,47.26,1031365
2016-01-07T14:30,46.78,47.2,46.67,46.87,898424
2016-01-07T16:30,46.87,46.9,46.28,46.4,1472030
2016-01-07T18:30,46.4,46.4,45.67,45.87,1658325
2016-01-08T14:30,46.05,46.26,45.9,46.12,602828
2016-01-08T16:30,46.12,46.38,45.99,46.34,497688
2016-01-08T18:30,46.34,46.42,45.94,46,889131
2016-01-11T14:30,46.21,46.54,46.07,46.54,603997
2016-01-11T16:30,46.53,46.76,46.47,46.59,769557
2016-01-11T18:30,46.59,46.63,46.25,46.32,1068882
2016-01-12T14:30,46.5,46.59,45.82,45.9,518065
2016-01-12T16:30,45.88,46.01,45.74,45.85,308312
2016-01-12T18:30,45.86,46.13,45.74,45.96,1170130
2016-01-13T14:30,45.99,46.29,45.74,46.04,707986
2016-01-13T16:30,46.03,46.17,45.74,45.77,700635
2016-01-13T18:30,45.76,45.82,44.76,44.98,1566267
2016-01-14T14:30,44.84,45.28,44.53,44.9,912384
2016-01-14T16:30,44.9,45.04,44.76,44.97,811507
2016-01-14T18:30,44.99,45.07,44.73,44.85,1163875
2016-01-15T14:30,44.27,44.83,44.06,44.82,832870
2016-01-15T16:30,44.83,44.86,44.4,44.63,611462
2016-01-15T18:30,44.63,44.94,44.59,44.82,1171898
2016-01-19T14:30,45.24,45.92,45.01,45.92,555196
2016-01-19T16:30,45.92,46.23,45.69,45.99,612585
2016-01-19T18:30,46.01,46.24,45.78,45.79,1008230
2016-01-20T14:30,45.44,45.7,43.71,43.73,678349
2016-01-20T16:30,43.73,43.83,43.03,43.36,796263
2016-01-20T18:30,43.35,44.3,43.27,43.58,1543961
2016-01-21T14:30,44.01,44.46,43.3,44.35,703319
2016-01-21T16:30,44.35,44.92,44.32,44.48,527378
2016-01-21T18:30,44.49,44.67,43.99,44.22,863021
2016-01-22T14:30,44.67,45.44,44.59,45.4,510846
2016-01-22T16:30,45.41,45.91,45.28,45.88,419853
2016-01-22T18:30,45.89,46.13,45.65,45.77,751825
2016-01-25T14:30,45.72,46.24,45.22,45.51,551029
2016-01-25T16:30,45.5,45.68,45.09,45.53,417623
2016-01-25T18:30,45.53,45.61,45.02,45.09,768903
2016-01-26T14:30,45.28,45.88,44.36,44.84,1828497
2016-01-26T16:30,44.85,44.94,44.61,44.72,664729
2016-01-26T18:30,44.74,44.84,44.47,44.59,1743710
2016-01-27T14:30,44.05,44.15,42.14,42.27,1915945
2016-01-27T16:30,42.26,42.32,42.01,42.13,1219292
2016-01-27T18:30,42.13,42.36,41.03,41.61,3231700
2016-01-28T14:30,41.48,41.68,40.85,41.41,1680483
2016-01-28T16:30,41.4,41.7,41.27,41.47,787845
2016-01-28T18:30,41.47,41.92,40.76,40.8,2319374
2016-01-29T14:30,41.4,41.61,40.89,41.47,1165897
2016-01-29T16:30,41.47,41.59,41.36,41.5,647751
2016-01-29T18:30,41.5,42.04,41.42,42.01,1654877
2016-02-01T14:30,41.8,42.04,41.58,42.03,560305
2016-02-01T16:30,42.03,42.2,41.88,42.17,408955
2016-02-01T18:30,42.18,42.77,42.09,42.45,1153323
2016-02-02T14:30,42.45,42.47,41.8,41.92,574448
2016-02-02T16:30,41.91,42.01,41.76,41.97,520864
2016-02-02T18:30,41.99,42.03,41.71,41.74,1874796
2016-02-03T14:30,42.11,42.36,41.93,42.28,664901
2016-02-03T16:30,42.29,42.61,42.24,42.42,662680
2016-02-03T18:30,42.42,43.04,42.19,42.99,1054599
2016-02-04T14:30,42.87,43.12,42.45,42.95,617154
2016-02-04T16:30,42.96,43.17,42.72,43.07,452383
2016-02-04T18:30,43.07,43.12,42.95,43.03,1161833
2016-02-05T14:30,42.94,43.25,42.41,43.2,791952
2016-02-05T16:30,43.2,43.26,42.89,43.17,382322
2016-02-05T18:30,43.16,43.3,43.05,43.19,1263663
2016-02-08T14:30,43.14,43.3,41.11,41.11,1080805
2016-02-08T16:30,41.12,41.23,40.85,40.88,794832
2016-02-08T18:30,40.89,41.67,40.51,41.5,1506587
2016-02-09T14:30,41.01,41.04,37.26,37.68,3601882
2016-02-09T16:30,37.68,37.84,37.44,37.6,1448954
2016-02-09T18:30,37.61,38.57,37.6,38.18,2343159
2016-02-10T14:30,38.34,38.6,38.09,38.17,1044928
2016-02-10T16:30,38.16,38.64,38.14,38.55,587173
2016-02-10T18:30,38.56,38.67,38.08,38.15,929622
2016-02-11T14:30,37.45,37.45,36.16,37.1,1863740
2016-02-11T16:30,37.08,37.82,36.94,37.1,1163095
2016-02-11T18:30,37.08,37.18,36.45,36.76,2460745
2016-02-12T14:30,37.9,37.9,36.64,36.89,1286406
2016-02-12T16:30,36.9,37.17,36.84,37.08,749571
2016-02-12T18:30,37.06,37.37,37.05,37.25,1686132
2016-02-16T14:30,37.81,37.84,37.24,37.8,905332
2016-02-16T16:30,37.8,38.14,37.78,38.08,716978
2016-02-16T18:30,38.09,38.34,37.87,38.3,1734215
2016-02-17T14:30,38.38,39.02,37.99,38.53,2158073
2016-02-17T16:30,38.55,38.83,38.44,38.56,1186578
2016-02-17T18:30,38.56,38.8,38.44,38.69,2300112
2016-02-18T14:30,39.03,40.47,38.43,39.99,1542511
2016-02-18T16:30,39.99,40.7,39.98,40.27,767894
2016-02-18T18:30,40.28,40.38,40.11,40.19,1334320
2016-02-19T14:30,39.96,41.12,39.62,41.08,1720787
2016-02-19T16:30,41.07,41.07,40.69,40.86,583266
2016-02-19T18:30,40.84,40.89,40.52,40.54,1270338
2016-02-22T14:30,40.77,41.25,40.51,41.08,676884
2016-02-22T16:30,41.08,41.19,41,41.02,457191
2016-02-22T18:30,41.01,41.35,40.96,41.31,1192306
2016-02-23T14:30,41.1,42.41,41.1,41.7,1288198
2016-02-23T16:30,41.71,41.74,41.42,41.49,499216
2016-02-23T18:30,41.49,41.71,41.42,41.55,869301
2016-02-24T14:30,41.35,41.88,41.17,41.62,809164
2016-02-24T16:30,41.62,41.77,41.46,41.56,423360
2016-02-24T18:30,41.57,42.22,41.53,42.14,1222491
2016-02-25T14:30,42.36,42.9,42.15,42.73,620349
2016-02-25T16:30,42.73,42.85,42.56,42.76,444875
2016-02-25T18:30,42.76,42.94,42.67,42.92,1286678
2016-02-26T14:30,42.88,43.51,42.77,43.31,628430
