date,open,high,low,close,volume
2016-01-04T14:30,58.58,59.64,56.49,58.61,2161392
2016-01-04T16:30,58.6,60.21,58.49,59.89,771239
2016-01-04T18:30,59.92,60.54,59.17,60.1,1192970
2016-01-05T14:30,60.51,63.49,59.13,62.13,1967799
2016-01-05T16:30,62.24,62.45,61.38,61.71,1013868
2016-01-05T18:30,61.73,62.19,61.21,61.24,1188530
2016-01-06T14:30,59.2,60.2,58.38,59.72,1426646
2016-01-06T16:30,59.68,59.75,58.57,58.78,483449
2016-01-06T18:30,58.8,58.94,57.12,58.04,1310721
2016-01-07T14:30,55.88,55.94,54.27,54.71,2216167
2016-01-07T16:30,54.75,54.75,53.01,53.31,1128974
2016-01-07T18:30,53.27,53.31,52.26,52.61,2037192
2016-01-08T14:30,53.78,55.14,51.08,51.32,2443461
2016-01-08T16:30,51.29,52.35,50.53,50.82,1329860
2016-01-08T18:30,50.84,51.31,50.3,50.46,1808378
2016-01-11T14:30,51.57,52.43,50.2,50.84,2245923
2016-01-11T16:30,50.84,50.9,49.79,49.9,812887
2016-01-11T18:30,49.92,50.12,48.95,49.62,1462798
2016-01-12T14:30,51.05,51.23,48.37,48.47,1403815
2016-01-12T16:30,48.51,49.14,48.01,48.72,928830
2016-01-12T18:30,48.7,49.02,48.05,48.61,1384796
2016-01-13T14:30,49.08,49.72,47.47,48.36,1903801
2016-01-13T16:30,48.31,48.56,46.82,46.88,1132321
2016-01-13T18:30,46.87,46.95,45.13,45.87,2304784
2016-01-14T14:30,46.11,46.31,43.66,44.46,2270633
2016-01-14T16:30,44.47,45.74,44.47,45.5,1066379
2016-01-14T18:30,45.46,45.7,44.66,45.01,1520904
2016-01-15T14:30,46.53,49.92,45.49,49.17,4757545
2016-01-15T16:30,49.18,49.98,47.91,49.55,1862682
2016-01-15T18:30,49.51,51.67,49.3,51.01,3468173
2016-01-19T14:30,52.33,53.42,50.09,52.47,2821594
2016-01-19T16:30,52.5,53.05,52.14,52.27,752614
2016-01-19T18:30,52.33,52.59,50.81,51.67,2164411
2016-01-20T14:30,50.27,50.43,45.9,46.32,2595068
2016-01-20T16:30,46.33,48.56,46.32,48.45,1434512
2016-01-20T18:30,48.44,50.3,48.37,49.22,2120537
2016-01-21T14:30,49.31,49.42,47.48,48.58,1638837
2016-01-21T16:30,48.61,50.23,48.61,49.25,1033199
2016-01-21T18:30,49.27,49.81,48.84,49.54,1371758
2016-01-22T14:30,51.57,53.13,50.66,51.23,1685976
2016-01-22T16:30,51.23,51.9,51,51.28,814036
2016-01-22T18:30,51.26,51.87,50.78,51.71,989119
2016-01-25T14:30,53.02,55.72,52.59,54.28,2741633
2016-01-25T16:30,54.27,54.68,53.89,54.48,857068
2016-01-25T18:30,54.42,54.56,53.15,53.32,2008113
2016-01-26T14:30,53.87,54.31,52.14,54.14,1202499
2016-01-26T16:30,54.09,55.6,53.72,55.29,699644
2016-01-26T18:30,55.3,55.71,54.77,55.42,1081226
2016-01-27T14:30,54.79,56.81,53.53,54.9,1408720
2016-01-27T16:30,54.9,55.72,54.59,54.73,545583
2016-01-27T18:30,54.77,55.78,53.9,54.39,1112977
2016-01-28T14:30,56.37,58.04,54.44,55.74,1738292
2016-01-28T16:30,55.73,56.15,55.31,55.89,811950
2016-01-28T18:30,55.88,56.2,54.96,55.17,1079292
2016-01-29T14:30,55.68,58.05,55.54,57.47,1203995
2016-01-29T16:30,57.5,58.12,57.13,58.03,636126
2016-01-29T18:30,58.03,58.87,57.88,58.85,1168364
2016-02-01T14:30,58.13,58.46,55.54,57.17,1977573
2016-02-01T16:30,57.23,58.02,57.19,57.99,530573
2016-02-01T18:30,58.01,59.15,57.71,58.68,1268821
2016-02-02T14:30,57.28,57.64,54.81,55.67,2204582
2016-02-02T16:30,55.64,55.89,54.44,54.76,1144444
2016-02-02T18:30,54.75,54.89,53.54,54.19,1863101
2016-02-03T14:30,54.6,55.58,52.03,52.74,1862386
2016-02-03T16:30,52.71,54.81,52.39,54.47,1070696
2016-02-03T18:30,54.48,55.86,53.67,55.21,1249248
2016-02-04T14:30,54.83,57.25,53.58,55.71,1402432
2016-02-04T16:30,55.7,56.59,54.57,56.3,1006476
2016-02-04T18:30,56.35,56.87,55.26,55.73,1164435
2016-02-05T14:30,55.33,56.23,53.75,53.91,936728
2016-02-05T16:30,53.95,55.09,53.94,54.52,542983
2016-02-05T18:30,54.57,54.62,53.79,54.1,875419
2016-02-08T14:30,53.38,53.72,51.25,51.67,1260981
