date,open,high,low,close,volume
2021-01-04T15:00,33.67,33.85,32.85,33,7403365
2021-01-04T17:00,33,33.36,32.88,33.32,4173968
2021-01-04T19:00,33.32,33.33,33,33.26,6834976
2021-01-05T15:00,34.15,35.08,34.08,35.01,10396380
2021-01-05T17:00,35.02,35.78,34.99,35.66,11626833
2021-01-05T19:00,35.66,35.9,34.81,34.85,13298357
2021-01-06T15:00,35.25,36.13,35.23,35.91,10614980
2021-01-06T17:00,35.92,36.14,35.8,36.01,5655901
2021-01-06T19:00,36.01,36.1,35.4,35.74,11652555
2021-01-07T15:00,36.07,36.51,35.94,36.04,7437040
2021-01-07T17:00,36.04,36.24,35.78,35.87,5696663
2021-01-07T19:00,35.87,36.13,35.83,36.02,7334247
2021-01-08T15:00,36.14,36.61,36.02,36.59,6363090
2021-01-08T17:00,36.59,36.68,36.13,36.27,5859349
2021-01-08T19:00,36.27,36.71,36.27,36.42,8533810
2021-01-11T15:00,36.68,37.34,36.47,37.31,8043213
2021-01-11T17:00,37.31,37.77,37.26,37.55,10712885
2021-01-11T19:00,37.55,37.71,37.43,37.54,9191450
2021-01-12T15:00,38.14,38.52,37.94,38.21,11113921
2021-01-12T17:00,38.21,38.28,37.95,38.22,5749122
2021-01-12T19:00,38.22,38.6,38.2,38.36,8730297
2021-01-13T15:00,38.54,38.86,38.21,38.6,8717233
2021-01-13T17:00,38.6,38.94,38.52,38.91,4890842
2021-01-13T19:00,38.9,39.03,38.74,38.8,7042550
2021-01-14T15:00,39.5,40.25,39.44,40.11,10157544
2021-01-14T17:00,40.11,40.73,40.05,40.68,7481778
2021-01-14T19:00,40.68,40.93,40.29,40.32,10896265
2021-01-15T15:00,38.78,38.88,37.89,38.68,13381731
2021-01-15T17:00,38.68,39.04,38.61,38.68,5588210
2021-01-15T19:00,38.68,38.69,38.24,38.36,9481491
2021-01-19T15:00,39.2,39.61,38.96,39.44,7257428
2021-01-19T17:00,39.44,39.48,39.08,39.24,3626042
2021-01-19T19:00,39.24,39.39,39.1,39.12,5182524
2021-01-20T15:00,39.7,39.85,39.27,39.41,5421948
2021-01-20T17:00,39.42,39.78,39.4,39.69,3363506
2021-01-20T19:00,39.69,39.74,39.58,39.69,5623712
2021-01-21T15:00,38.88,38.94,38.42,38.59,7580301
2021-01-21T17:00,38.58,38.72,38.2,38.29,5633692
2021-01-21T19:00,38.29,38.73,38.28,38.55,7083874
2021-01-22T15:00,37.71,38.09,37.59,38.02,6150818
2021-01-22T17:00,38.02,38.09,37.89,37.91,3450444
2021-01-22T19:00,37.91,38.13,37.84,38,5309794
2021-01-25T15:00,37.08,37.7,37.02,37.32,7313366
2021-01-25T17:00,37.33,37.47,36.99,37.15,5893014
2021-01-25T19:00,37.15,37.59,37.07,37.57,6071780
2021-01-26T15:00,37.59,37.75,37.15,37.2,6858451
2021-01-26T17:00,37.2,37.27,36.91,36.95,4057771
2021-01-26T19:00,36.95,37.05,36.74,36.75,6905326
2021-01-27T15:00,36.02,37.1,35.8,36.94,10413857
2021-01-27T17:00,36.93,37.39,36.84,36.89,5102851
2021-01-27T19:00,36.9,36.95,36.16,36.34,8332940
2021-01-28T15:00,36.83,37.13,36.61,36.85,6277971
2021-01-28T17:00,36.86,37.05,36.67,36.94,3524698
2021-01-28T19:00,36.95,37.09,36.83,36.9,8889253
2021-01-29T15:00,36.78,36.89,36.1,36.22,6619356
2021-01-29T17:00,36.22,36.23,35.66,35.85,6482549
2021-01-29T19:00,35.84,36.19,35.74,35.92,8307339
2021-02-01T15:00,35.86,35.86,35.49,35.71,6529482
2021-02-01T17:00,35.71,35.94,35.51,35.92,4474021
2021-02-01T19:00,35.92,36.25,35.86,36,6840204
2021-02-02T15:00,36.61,37.65,36.28,37.42,11559712
2021-02-02T17:00,37.42,37.43,36.59,36.59,4819876
2021-02-02T19:00,36.6,36.82,36.54,36.56,6207771
2021-02-03T15:00,37.23,38.19,37.05,37.94,9854417
