date,open,high,low,close,volume
2016-01-04T14:30,67.68,67.68,65.665,65.95,163083
2016-01-04T16:30,65.92,66.7,65.62,66.64,104850
2016-01-04T18:30,66.63,66.8,66.09,66.45,256746
2016-01-05T14:30,66.54,66.65,65.25,65.53,154627
2016-01-05T16:30,65.49,65.65,64.77,64.84,105353
2016-01-05T18:30,64.85,65.99,64.62,64.82,299592
2016-01-06T14:30,63.57,64.32,62.59,63.1,238187
2016-01-06T16:30,63.07,63.12,61.82,61.915,221029
2016-01-06T18:30,61.91,62.31,61.55,62.24,366393
2016-01-07T14:30,60.67,61.5456,59.405,59.86,216094
2016-01-07T16:30,59.86,59.9657,58.31,58.69,308188
2016-01-07T18:30,58.62,59.51,58.11,59.4,661315
2016-01-08T14:30,59.8,59.9799,58.97,59.245,204632
2016-01-08T16:30,59.24,59.87,59.02,59.31,152817
2016-01-08T18:30,59.3,59.8,59.06,59.21,583852
2016-01-11T14:30,59.5,60.32,58.695,59.04,291140
2016-01-11T16:30,59.01,59.06,58.685,58.76,186189
2016-01-11T18:30,58.77,59.19,57.7,58.86,472349
2016-01-12T14:30,59.57,60.28,58.46,59,122897
2016-01-12T16:30,59.0001,59.53,58.65,58.67,106647
2016-01-12T18:30,58.68,60.05,58.355,59.85,283490
2016-01-13T14:30,59.97,60.76,59.4,60.04,159263
2016-01-13T16:30,60.03,60.12,59.02,59.08,145760
2016-01-13T18:30,59.11,59.13,56.33,56.51,291291
2016-01-14T14:30,56.81,59.05,55.94,57.59,185768
2016-01-14T16:30,57.7,58.49,57.15,57.94,300379
2016-01-14T18:30,58.11,58.5,57.76,57.83,253563
2016-01-15T14:30,56.01,56.61,55.2,55.67,270044
2016-01-15T16:30,55.61,55.76,54.89,55.23,181627
2016-01-15T18:30,55.29,56.9,54.97,56.57,1281491
2016-01-19T14:30,57.12,58.37,56.83,57.8,183764
2016-01-19T16:30,57.83,58.68,57.485,58.04,186680
2016-01-19T18:30,58.04,58.2,56.43,56.65,810198
2016-01-20T14:30,55.58,56.925,55.5001,56.38,437420
2016-01-20T16:30,56.29,57.62,56.15,57.31,343777
2016-01-20T18:30,57.29,59.83,57.13,57.25,916437
2016-01-21T14:30,57.25,57.6,55.58,56.44,206454
2016-01-21T16:30,56.51,57.73,56.235,56.235,155524
2016-01-21T18:30,56.3,56.55,55.5,55.55,386966
2016-01-22T14:30,56.61,57.64,55.65,56.42,134892
2016-01-22T16:30,56.52,56.56,55.625,55.88,74129
2016-01-22T18:30,55.95,56.69,55.56,56.49,304104
2016-01-25T14:30,55.89,56.9499,55.15,55.7,194578
2016-01-25T16:30,55.71,56.18,55.375,55.5,229324
2016-01-25T18:30,55.56,55.75,55.32,55.39,488029
2016-01-26T14:30,55.5,57.34,55.3,57.29,348929
2016-01-26T16:30,57.3,58.26,57.05,58.03,164637
2016-01-26T18:30,58.01,58.59,57.79,58.52,387369
2016-01-27T14:30,58,58.73,57.38,58.61,151606
2016-01-27T16:30,58.6,59.17,58.39,58.84,180704
2016-01-27T18:30,58.89,59.33,57.12,57.27,572190
2016-01-28T14:30,58.2,58.24,55.99,57.02,94916
2016-01-28T16:30,57.025,57.05,56.075,56.31,129669
2016-01-28T18:30,56.32,56.4899,55.33,55.73,205488
2016-01-29T14:30,56.11,58.66,56.11,58.525,144496
2016-01-29T16:30,58.5,59.95,58.32,59.93,134573
2016-01-29T18:30,59.95,60.47,59.44,60.41,273638
2016-02-01T14:30,59.46,59.84,58.674,59.67,162675
2016-02-01T16:30,59.63,59.7437,59,59.51,144149
2016-02-01T18:30,59.575,60.46,59.46,60.03,359115
2016-02-02T14:30,58.91,59.54,58.43,59.05,197002
2016-02-02T16:30,59.05,59.28,58.87,58.99,282989
2016-02-02T18:30,58.99,59.04,57.69,57.93,331687
2016-02-03T14:30,58.2,58.32,56.5,57.69,171555
2016-02-03T16:30,57.68,58.659,57.39,58.08,138111
2016-02-03T18:30,58.09,59.74,57.89,59.7,350224
2016-02-04T14:30,59.4,62.38,58.97,62,160885
2016-02-04T16:30,62,62,60.8,60.955,210293
2016-02-04T18:30,61,61.28,60.1,61,333961
2016-02-05T14:30,60.81,60.885,58.08,58.17,233721
2016-02-05T16:30,58.2,58.9,57.88,58.6,134496
2016-02-05T18:30,58.565,58.61,57.075,57.37,447165
2016-02-08T14:30,56.36,56.62,54.66,55.03,186471
2016-02-08T16:30,55.045,55.19,54.58,54.96,119149
2016-02-08T18:30,54.92,55,53.75,54.44,377840
2016-02-09T14:30,53.44,54.65,52.14,54.04,118147
2016-02-09T16:30,54.02,54.14,53.15,53.46,82780
2016-02-09T18:30,53.45,54.99,53.28,54.68,276271
2016-02-10T14:30,55.25,58.22,54.83,57.5,255301
2016-02-10T16:30,57.5,58.2,57.49,57.88,108235
2016-02-10T18:30,57.92,58.7499,57.72,57.8,467579
2016-02-11T14:30,56.35,57.885,56.03,57.05,274928
2016-02-11T16:30,57.045,57.78,56.99,57.42,158134
2016-02-11T18:30,57.35,58.52,57.075,57.64,340278
2016-02-12T14:30,58.88,59.01,57.68,58.89,162535
2016-02-12T16:30,58.92,59.61,58.84,59.05,74778
2016-02-12T18:30,59.06,59.91,58.7501,59.34,281388
2016-02-16T14:30,60.15,62.61,59.59,62.42,214029
2016-02-16T16:30,62.47,64.45,62.47,64.18,176773
2016-02-16T18:30,64.2,64.6,63.872,64.38,351809
2016-02-17T14:30,65.28,67.22,64.14,66.25,332628
2016-02-17T16:30,66.27,66.98,65.95,66.6,190830
2016-02-17T18:30,66.66,67.16,66.145,67.05,376349
2016-02-18T14:30,67.12,67.76,66.012,66.3,153343
2016-02-18T16:30,66.35,66.73,66.15,66.26,103713
2016-02-18T18:30,66.32,67.29,66.14,66.76,349203
2016-02-19T14:30,66.27,67.38,64.22,65.18,142388
2016-02-19T16:30,65.44,65.85,65.01,65.8,112408
2016-02-19T18:30,65.84,67.31,65.73,67.25,231582
2016-02-22T14:30,68.1,69.52,67.1,68.155,112604
2016-02-22T16:30,68.26,68.37,67.59,68.28,126982
2016-02-22T18:30,68.28,68.408,67.78,68.28,230465
2016-02-23T14:30,68.07,69.21,67.42,67.84,181693
2016-02-23T16:30,67.84,68.73,67.77,68.66,100676
2016-02-23T18:30,68.66,69.3299,68.56,68.93,281710
2016-02-24T14:30,68.1,68.5299,66.98,67.12,222355
2016-02-24T16:30,67.1,69.08,67.08,68.71,155687
2016-02-24T18:30,68.7,70.17,68.69,70.07,463952
2016-02-25T14:30,69.37,70.295,61.58,61.89,859038
2016-02-25T16:30,61.86,62.02,58.62,59.87,789576
2016-02-25T18:30,59.89,60.82,58.67,59.78,961579
2016-02-26T14:30,59.66,60.193,58.23,59.06,368233
2016-02-26T16:30,59.06,59.3999,58.93,59.23,228088
2016-02-26T18:30,59.21,59.63,58.38,59.52,490276
2016-02-29T14:30,59.57,61.28,59.18,60.97,181018
2016-02-29T16:30,60.97,61.93,60.9695,61.86,171040
2016-02-29T18:30,61.8,61.97,61.12,61.78,425999
2016-03-01T14:30,62.26,62.97,61.29,62.25,187248
2016-03-01T16:30,62.33,62.39,61.78,62.105,185391
2016-03-01T18:30,62.1,63.05,61.63,62.89,337929
2016-03-02T14:30,63.06,65.09,62.35,64.54,175521
2016-03-02T16:30,64.56,64.91,64.07,64.77,121298
2016-03-02T18:30,64.79,65.57,64.55,65.52,223571
2016-03-03T14:30,65.47,66.525,65.27,65.97,103348
2016-03-03T16:30,65.94,66.58,65.94,66.08,126582
2016-03-03T18:30,66.09,66.8144,66,66.51,353028
2016-03-04T14:30,66.53,66.905,65.59,66.42,136797
2016-03-04T16:30,66.4,67.19,66.11,66.29,111189
2016-03-04T18:30,66.305,66.39,64.7,65.38,295845
2016-03-07T14:30,65.08,66.15,64.52,66,121414
2016-03-07T16:30,66.03,67.05,66,66.74,108031
2016-03-07T18:30,66.73,67.45,66.27,67.43,291673
2016-03-08T14:30,66.84,67.71,63.905,64.835,312388
2016-03-08T16:30,64.81,64.95,63.58,64.11,168207
2016-03-08T18:30,64.08,64.25,63.41,63.51,196209
2016-03-09T14:30,63.78,64.15,62.77,63.99,103517
2016-03-09T16:30,63.98,64.84,63.98,64.43,75833
2016-03-09T18:30,64.44,65.24,64.44,65.11,198440
