date,open,high,low,close,volume
2016-01-04T14:30,35.73,35.82,34.6,34.94,6824989
2016-01-04T18:30,34.94,34.98,34.56,34.91,4384387
2016-01-05T14:30,34.93,35.13,34.65,34.72,3761846
2016-01-05T18:30,34.72,34.95,34.7,34.9,3531990
2016-01-06T14:30,34.4,34.95,34.33,34.68,2980916
2016-01-06T18:30,34.69,34.76,34.38,34.62,2127740
2016-01-07T14:30,33.91,34.3,33.74,33.79,3841670
2016-01-07T18:30,33.8,33.93,33.67,33.78,2904207
2016-01-08T14:30,34.04,34.07,33.37,33.42,2894754
2016-01-08T18:30,33.43,33.54,32.97,33.06,3760623
2016-01-11T14:30,33.15,33.26,32.64,32.72,3691873
2016-01-11T18:30,32.72,33.25,32.61,33.12,3564488
2016-01-12T14:30,33.33,33.72,33.24,33.42,3893797
2016-01-12T18:30,33.41,33.84,33.24,33.73,3086903
2016-01-13T14:30,33.94,34.12,33.56,33.56,2245264
2016-01-13T18:30,33.56,33.6,32.86,32.96,3108849
2016-01-14T14:30,33.18,33.71,32.85,33.7,3623662
2016-01-14T18:30,33.71,33.81,33.45,33.63,3024058
2016-01-15T14:30,32.61,33.49,32.53,32.97,5313947
2016-01-15T18:30,32.97,33.28,32.82,33.18,4373381
2016-01-19T14:30,33.63,33.81,33.19,33.2,3235180
2016-01-19T18:30,33.2,33.37,32.84,33.09,3531543
2016-01-20T14:30,32.51,32.81,31.98,32.15,6459178
2016-01-20T18:30,32.15,32.96,32.14,32.71,4070599
2016-01-21T14:30,32.86,32.88,32.17,32.43,4960535
2016-01-21T18:30,32.44,32.5,32.11,32.3,4363640
2016-01-22T14:30,32.9,32.9,32.52,32.68,4303765
2016-01-22T18:30,32.68,32.81,32.59,32.75,4116092
2016-01-25T14:30,32.73,32.86,32.6,32.81,2460305
2016-01-25T18:30,32.81,32.85,32.39,32.47,2376210
2016-01-26T14:30,32.69,33.09,32.44,33.04,3192049
2016-01-26T18:30,33.04,33.04,32.75,32.87,1584478
2016-01-27T14:30,32.69,33.95,32.65,33.55,5621548
2016-01-27T18:30,33.55,33.68,32.9,33.12,4484244
2016-01-28T14:30,31.51,31.51,29.97,30.31,13905085
2016-01-28T18:30,30.31,30.4,29.46,30.05,9131173
2016-01-29T14:30,30.02,30.92,30.02,30.81,8544373
2016-01-29T18:30,30.81,30.99,30.65,30.97,5602272
2016-02-01T14:30,29.6,31.2,29.6,31.18,8466725
2016-02-01T18:30,31.18,31.68,30.97,31.46,5409931
2016-02-02T14:30,31.1,31.69,31.01,31.2,5185247
2016-02-02T18:30,31.2,31.34,30.95,31,3480607
2016-02-03T14:30,31.32,31.43,30.36,30.52,3612478
2016-02-03T18:30,30.53,31.15,30.38,31.13,2948244
2016-02-04T14:30,30.92,31.28,30.71,31.14,2819017
2016-02-04T18:30,31.14,31.16,30.94,31.1,1981611
2016-02-05T14:30,31.29,31.38,30.57,30.8,2693102
2016-02-05T18:30,30.79,30.8,30.37,30.61,2636748
2016-02-08T14:30,30.4,30.56,30.02,30.17,3841423
2016-02-08T18:30,30.18,30.8,30.08,30.66,3565400
2016-02-09T14:30,30.25,30.92,30.18,30.34,3561278
2016-02-09T18:30,30.34,30.66,30.17,30.28,4224279
2016-02-10T14:30,30.75,31.24,30.57,30.7,4239684
2016-02-10T18:30,30.71,30.91,30.38,30.45,3006975
2016-02-11T14:30,29.82,30.16,29.76,29.77,3745167
2016-02-11T18:30,29.77,29.92,29.48,29.72,3667547
