date,open,high,low,close,volume
2016-01-04T14:30,65.83,66.03,64.91,65.13,1024620
2016-01-04T18:30,65.12,65.17,64.49,65.15,947335
2016-01-05T14:30,65.61,66.05,64.94,65.02,1198506
2016-01-05T18:30,65.02,65.47,64.97,65.29,741988
2016-01-06T14:30,64.36,64.86,64.2,64.55,708184
2016-01-06T18:30,64.56,64.7,64.25,64.53,666592
2016-01-07T14:30,63.21,63.78,62.29,62.33,2289740
2016-01-07T18:30,62.33,62.87,62.28,62.53,2446230
2016-01-08T14:30,62.65,62.9,61.75,62.37,1176332
2016-01-08T18:30,62.34,62.7,61.94,62.02,1124855
2016-01-11T14:30,62.27,62.73,61.89,61.9,967401
2016-01-11T18:30,61.9,62.67,61.68,62.32,871331
2016-01-12T14:30,62.6,62.9,62.26,62.39,900580
2016-01-12T18:30,62.38,63.1,62.29,63.08,801585
2016-01-13T14:30,62.98,63.34,62.23,62.24,709865
2016-01-13T18:30,62.25,62.29,61.21,61.39,936481
2016-01-14T14:30,61.6,62.91,61.52,62.91,944827
2016-01-14T18:30,62.91,63.11,62.65,62.72,1628586
2016-01-15T14:30,60.99,62.23,60.84,61.32,1706201
2016-01-15T18:30,61.3,61.99,61.14,61.85,1136210
2016-01-19T14:30,62.64,62.99,62.29,62.51,1007059
2016-01-19T18:30,62.52,63.07,62.12,62.79,1046343
2016-01-20T14:30,61.98,62.47,61.04,61.26,1774742
2016-01-20T18:30,61.22,62.74,61.22,62.07,1145257
2016-01-21T14:30,62.46,63.48,61.73,63.02,1229073
2016-01-21T18:30,63.02,63.33,62.6,62.9,1253477
2016-01-22T14:30,64.16,64.37,63.35,64.1,910369
2016-01-22T18:30,64.1,64.44,64.06,64.38,855594
2016-01-25T14:30,63.79,64.3,63.61,64.24,879574
2016-01-25T18:30,64.25,64.28,63.49,63.56,747903
2016-01-26T14:30,63.57,64.65,63.54,64.31,887625
2016-01-26T18:30,64.31,64.34,63.94,64.23,536249
2016-01-27T14:30,64.28,64.95,63.41,64.6,690748
