date,open,high,low,close,volume
2016-01-04T14:30,64.99,65,63.43,64.18,414735
2016-01-04T18:30,64.18,64.33,63.94,64.25,500333
2016-01-05T14:30,64.64,67,64.64,64.87,521104
2016-01-05T18:30,64.89,65.59,64.8,64.95,203799
2016-01-06T14:30,64.11,65.82,64.03,64.7357,275631
2016-01-06T18:30,64.71,65.17,64.12,64.88,412474
2016-01-07T14:30,63.53,64.89,63.03,63.41,448760
2016-01-07T18:30,63.38,63.99,62.905,63.49,296156
2016-01-08T14:30,64.38,66.1,63.94,65.04,591888
2016-01-08T18:30,65.025,65.47,64.44,64.53,283677
2016-01-11T14:30,64.78,64.95,61.63,61.63,288596
2016-01-11T18:30,61.57,61.73,60.44,60.99,565516
2016-01-12T14:30,61,62.21,60.9,61.115,217234
2016-01-12T18:30,61.15,61.83,60.61,61.74,131254
2016-01-13T14:30,61.89,62.025,60.46,60.52,160735
2016-01-13T18:30,60.54,60.55,58.68,58.86,299234
2016-01-14T14:30,59.31,60.39,58.18,59.885,158118
2016-01-14T18:30,59.97,60.52,59.75,59.96,239897
2016-01-15T14:30,58.7,59.32,57.83,58.87,178454
2016-01-15T18:30,58.84,59.86,58.76,59.85,171825
2016-01-19T14:30,60.27,61.05,59.87,60.05,280537
2016-01-19T18:30,60.1,60.3,59.305,59.75,269319
2016-01-20T14:30,59.16,59.16,57.31,57.81,312710
2016-01-20T18:30,57.82,60.94,57.82,60.37,410935
2016-01-21T14:30,60.46,61.3476,59.88,60.84,190817
2016-01-21T18:30,60.85,61.26,60.37,60.75,176946
2016-01-22T14:30,61.18,61.46,59.86,60.3436,278987
2016-01-22T18:30,60.4,60.9599,59.92,60.945,389061
2016-01-25T14:30,60.81,61.33,60.375,61.17,91232
2016-01-25T18:30,61.14,61.29,60.17,60.42,195646
2016-01-26T14:30,60.47,61.99,59.94,61.92,117753
2016-01-26T18:30,61.91,62.34,61.54,62.19,195676
2016-01-27T14:30,62.4,62.66,61.44,62.3825,124575
2016-01-27T18:30,62.4,62.94,61.21,61.4,222714
2016-01-28T14:30,61.58,62.2,58.55,58.75,639905
2016-01-28T18:30,58.73,59.68,58.43,59.5,571359
2016-01-29T14:30,64.5,69.36,62.885,65.67,1473789
2016-01-29T18:30,65.76,66.24,65.48,66.12,639229
2016-02-01T14:30,66.92,66.92,65.58,66.47,538541
2016-02-01T18:30,66.46,68.03,66.09,67.55,457602
2016-02-02T14:30,65.67,67.72,65.57,67.2307,363286
2016-02-02T18:30,67.3,67.75,66.77,67.54,428877
2016-02-03T14:30,67.76,68,65.56,65.93,273368
2016-02-03T18:30,65.89,67.25,65.25,67.15,259100
2016-02-04T14:30,67.01,67.99,66.59,67.505,205172
2016-02-04T18:30,67.54,67.57,66.76,67.37,141955
2016-02-05T14:30,67.1,67.34,65.02,66.32,160635
2016-02-05T18:30,66.31,66.42,65.62,65.85,342981
2016-02-08T14:30,65,65,58.205,58.22,849766
2016-02-08T18:30,58.22,59.14,57.51,58.65,672819
2016-02-09T14:30,58.22,59.63,58.045,59,461059
2016-02-09T18:30,59.03,59.74,58.595,58.66,332287
2016-02-10T14:30,59.21,62.68,58.69,61.89,736484
2016-02-10T18:30,61.93,62.0199,59.99,60.13,360592
2016-02-11T14:30,59.21,59.72,58.181,58.68,198880
2016-02-11T18:30,58.7,59.46,57.75,58.79,479504
2016-02-12T14:30,59.74,59.95,58,58.24,195740
2016-02-12T18:30,58.25,59.1532,58.17,58.78,263712
2016-02-16T14:30,59.61,61.39,58.955,60.94,405057
2016-02-16T18:30,60.97,61.95,60.95,61.88,280229
2016-02-17T14:30,62.07,63.66,61.06,63.32,324688
2016-02-17T18:30,63.27,63.39,62.9,63.1,254395
2016-02-18T14:30,63.62,63.83,62.39,62.64,206876
2016-02-18T18:30,62.64,63,62.53,62.88,213749
2016-02-19T14:30,62.35,63.17,61.44,62.9,142130
2016-02-19T18:30,62.95,63.44,62.87,63.32,105127
2016-02-22T14:30,63.77,64.66,63.68,64.11,177288
2016-02-22T18:30,64.13,64.559,64.065,64.35,146579
2016-02-23T14:30,63.42,64.5,62.82,63.17,226598
2016-02-23T18:30,63.24,63.53,62.89,62.93,179803
2016-02-24T14:30,62.24,62.88,61.49,62.65,225696
2016-02-24T18:30,62.68,63.55,62.6501,63.3,144370
2016-02-25T14:30,63.5,64.33,63.275,63.93,192090
2016-02-25T18:30,63.93,64.495,63.91,64.46,140803
2016-02-26T14:30,64.2,65.32,64.16,65.13,222156
2016-02-26T18:30,65.2,65.62,65.11,65.41,186125
2016-02-29T14:30,65.32,65.99,65.08,65.75,170307
2016-02-29T18:30,65.71,66.25,65.665,66.03,392450
2016-03-01T14:30,66.26,67.35,65.77,67.32,403236
2016-03-01T18:30,67.38,68.08,67.37,67.86,277957
2016-03-02T14:30,67.98,68.27,66.715,68.17,317299
2016-03-02T18:30,68.11,68.62,67.99,68.54,225252
2016-03-03T14:30,68.59,69.23,67.765,69.18,214057
2016-03-03T18:30,69.18,69.58,68.97,69.45,224773
2016-03-04T14:30,69.48,70.31,68.48,70.23,361636
2016-03-04T18:30,70.21,70.6,69.93,70.37,368051
2016-03-07T14:30,70.35,71.6375,69.84,71.315,254355
2016-03-07T18:30,71.25,71.65,70.91,71.52,314524
2016-03-08T14:30,71.07,71.51,69.84,70.68,591900
2016-03-08T18:30,70.65,70.76,70.44,70.61,230033
2016-03-09T14:30,70.66,70.98,70.13,70.595,415230
2016-03-09T18:30,70.56,71.14,70.51,70.7,272583
2016-03-10T14:30,70.63,71.075,69.45,69.92,429079
2016-03-10T18:30,69.86,70.58,69.66,70.42,245604
2016-03-11T14:30,71.22,72.4,70.84,71.94,413820
2016-03-11T18:30,71.9472,72.75,71.93,72.32,216828
2016-03-14T13:30,71.58,72.56,71.1229,71.94,358302
2016-03-14T17:30,71.94,72.51,71.88,72.19,130374
2016-03-15T13:30,71.97,72.74,70.83,70.85,273078
2016-03-15T17:30,70.86,71.17,70.82,71.03,279681
2016-03-16T13:30,70.6,71.615,70.41,71.49,272380
2016-03-16T17:30,71.495,72.83,71.41,72.66,393844
2016-03-17T13:30,68.67,69.24,66.79,68.675,2115233
2016-03-17T17:30,68.66,69.085,68.31,68.48,961257
2016-03-18T13:30,68.5,69.43,68.25,69.18,685483
2016-03-18T17:30,69.24,69.364,68.8,68.86,426544
2016-03-21T13:30,69.22,69.88,68.46,68.79,451312
2016-03-21T17:30,68.8,69.01,68.6,68.81,385821
2016-03-22T13:30,68.71,69.59,68.44,69.535,258707
2016-03-22T17:30,69.515,69.88,69.27,69.8,360461
2016-03-23T13:30,69.91,70.25,69.51,70.2,384491
2016-03-23T17:30,70.23,70.4,69.69,69.8,256169
2016-03-24T13:30,69.6,69.69,68.81,69.59,423022
2016-03-24T17:30,69.56,70.35,69.51,70.23,144696
2016-03-28T13:30,70.34,70.68,69.7,70.14,253494
2016-03-28T17:30,70.12,70.45,69.82,70.34,338906
2016-03-29T13:30,70.06,71.96,69.71,71.96,364281
2016-03-29T17:30,71.93,72.63,71.85,72.48,466565
2016-03-30T13:30,72.53,73.43,71.98,72.16,298477
2016-03-30T17:30,72.14,72.34,71.94,71.99,282249
2016-03-31T13:30,72,73.55,71.9736,73.14,423642
2016-03-31T17:30,73.14,73.17,72.35,72.7,474019
2016-04-01T13:30,72.57,73.46,71.9,72.6,350347
2016-04-01T17:30,72.61,73.04,72.6,73.02,190333
2016-04-04T13:30,73.3,73.83,72.29,73.43,330216
2016-04-04T17:30,73.39,73.595,73.195,73.34,254381
2016-04-05T13:30,72.92,73.06,71.93,72.2,279218
2016-04-05T17:30,72.21,72.44,71.97,72.18,314090
