date,open,high,low,close,volume
2016-01-04T14:30,49.33,49.33,48.73,49.03,708499
2016-01-04T18:30,49.02,49.14,48.73,49.07,1017612
2016-01-05T14:30,49.07,49.28,48.51,48.68,548833
2016-01-05T18:30,48.68,48.96,48.66,48.81,624546
2016-01-06T14:30,48.02,48.38,47.7,47.74,1005442
2016-01-06T18:30,47.74,47.85,47.51,47.72,887201
2016-01-07T14:30,47,47.01,46.2,46.27,1150489
2016-01-07T18:30,46.27,46.75,46.03,46.58,1217780
2016-01-08T14:30,46.87,47.16,46.25,46.37,757090
2016-01-08T18:30,46.37,46.5,45.65,45.72,723155
2016-01-11T14:30,45.81,46.16,44.55,44.74,1166117
2016-01-11T18:30,44.74,45.08,44.67,44.92,1218893
2016-01-12T14:30,45.39,45.46,44.68,44.7,650357
2016-01-12T18:30,44.7,45.2,44.62,45.18,995503
2016-01-13T14:30,45.46,45.61,44.77,44.77,489207
2016-01-13T18:30,44.78,44.8,44.12,44.15,743701
2016-01-14T14:30,44.25,44.97,43.59,44.94,616664
2016-01-14T18:30,44.94,45.14,44.68,44.73,764576
2016-01-15T14:30,43.74,44.58,43.74,44.43,998339
2016-01-15T18:30,44.42,44.89,44.4,44.65,765661
2016-01-19T14:30,45.14,45.18,44.17,44.19,540321
2016-01-19T18:30,44.19,44.39,43.78,44.2,553043
2016-01-20T14:30,43.22,43.4,42.03,42.54,980132
2016-01-20T18:30,42.58,43.82,42.55,43.41,826632
2016-01-21T14:30,43.36,43.78,43,43.04,969994
2016-01-21T18:30,43.05,43.43,42.7,43.18,823047
2016-01-22T14:30,43.98,44.31,43.41,43.56,529242
2016-01-22T18:30,43.57,43.78,43.47,43.72,764327
2016-01-25T14:30,43.61,43.74,42.87,43.03,611473
2016-01-25T18:30,43.03,43.06,42.78,42.82,570363
2016-01-26T14:30,43.1,43.36,42.95,43.28,990804
2016-01-26T18:30,43.29,43.55,43.23,43.46,755103
2016-01-27T14:30,43.37,43.64,43.06,43.4,757965
2016-01-27T18:30,43.4,43.94,42.91,43.16,783156
2016-01-28T14:30,43.59,43.7,42.8,43.02,701478
2016-01-28T18:30,43.02,43.25,42.97,43.04,798613
2016-01-29T14:30,43.33,43.73,43.02,43.59,1008362
2016-01-29T18:30,43.59,43.93,43.5,43.86,1458964
