date,open,high,low,close,volume
2016-01-04T14:30,115.75,115.91,113.93,113.96,2317063
2016-01-04T18:30,113.96,115.42,113.63,115.15,1787731
2016-01-05T14:30,115.75,116.63,114.47,115.27,1349992
2016-01-05T18:30,115.23,116.07,114.74,115.13,1144776
2016-01-06T14:30,112.84,114.96,112.76,114.01,1981394
2016-01-06T18:30,114.02,114.41,112.78,113.98,1238924
2016-01-07T14:30,111.72,113.89,111.31,112.17,1834731
2016-01-07T18:30,112.15,112.83,111.3,111.36,1665582
2016-01-08T14:30,111.41,112.73,109.94,110.72,2309888
2016-01-08T18:30,110.69,111.51,109.53,109.7,1307033
2016-01-11T14:30,110.22,110.35,105.63,105.65,2418477
2016-01-11T18:30,105.67,108.34,104.95,107.45,1890836
2016-01-12T14:30,108.09,110.09,107.35,107.39,2347088
2016-01-12T18:30,107.4,110.01,106.95,109.77,1603995
2016-01-13T14:30,110.02,111.25,108.67,108.82,1658174
2016-01-13T18:30,108.8,108.95,105.76,105.89,1920675
2016-01-14T14:30,106.3,111.31,105.24,111.31,2341643
2016-01-14T18:30,111.33,113.05,111.09,111.51,2699656
2016-01-15T14:30,107.58,110.87,107.51,108.66,3896285
2016-01-15T18:30,108.65,110.58,108.39,110.17,1742458
2016-01-19T14:30,111.81,112.54,109.24,109.45,2350046
2016-01-19T18:30,109.47,110.96,107.91,110.1,1634376
2016-01-20T14:30,108.47,111.54,107.77,109.22,3640706
2016-01-20T18:30,109.24,114.17,109.23,112.85,2953466
2016-01-21T14:30,112.65,112.85,109.37,111.4,2794436
2016-01-21T18:30,111.36,112.46,109.9,111.22,1563789
2016-01-22T14:30,113.89,114.26,112.28,113.33,2047499
2016-01-22T18:30,113.37,113.87,113.03,113.62,1564802
2016-01-25T14:30,113.69,115.02,112.86,113.76,2524445
2016-01-25T18:30,113.76,113.97,111.38,111.69,1744692
2016-01-26T14:30,111.27,113,109.99,112.55,2302427
2016-01-26T18:30,112.56,112.66,111.44,111.95,1174656
2016-01-27T14:30,112.75,112.75,110.45,111.81,1614745
2016-01-27T18:30,111.79,111.96,108.37,109.54,1843168
2016-01-28T14:30,110.18,110.44,105.86,107.62,2146017
2016-01-28T18:30,107.67,108.79,107.17,107.88,1633274
2016-01-29T14:30,108.76,110.21,105.74,109.94,4089894
2016-01-29T18:30,109.91,111.38,109.19,111.09,1993743
2016-02-01T14:30,110.15,111.63,108.71,109.59,2305261
