date,open,high,low,close,volume
2016-01-04T14:30,32.81,32.89,31.78,31.89,115078960
2016-01-04T18:30,31.89,32.03,31.38,31.84,64824880
2016-01-05T14:30,32.34,32.35,31.38,31.51,76766780
2016-01-05T18:30,31.53,32,31.49,31.69,34278920
2016-01-06T14:30,31.1,31.99,31.02,31.41,66461860
2016-01-06T18:30,31.4,31.65,31.21,31.64,35268620
2016-01-07T14:30,31.12,31.5,30.58,30.6,75804980
2016-01-07T18:30,30.59,30.84,30.26,30.39,58984820
2016-01-08T14:30,30.94,31.21,30.52,30.64,75678360
2016-01-08T18:30,30.62,30.76,30.3,30.36,29596420
2016-01-11T14:30,30.62,30.99,30.21,30.21,48027740
2016-01-11T18:30,30.21,30.94,29.93,30.89,46535960
2016-01-12T14:30,31.26,31.3,30.9,30.98,56561860
2016-01-12T18:30,30.97,31.06,30.61,30.89,31113820
2016-01-13T14:30,31.04,31.04,29.85,29.86,66108360
2016-01-13T18:30,29.86,29.9,28.96,29.1,78520940
2016-01-14T14:30,29.02,30,28.49,29.7,103520640
2016-01-14T18:30,29.71,30.11,29.6,29.65,35772540
2016-01-15T14:30,28.61,29.23,28.26,28.62,100534820
2016-01-15T18:30,28.61,28.75,28.31,28.5,46508560
2016-01-19T14:30,28.85,29.2,28.51,28.63,58400400
2016-01-19T18:30,28.63,28.82,28.32,28.72,33344200
2016-01-20T14:30,28.22,28.35,27.36,27.61,95402060
2016-01-20T18:30,27.6,28.92,27.59,28.58,60313560
2016-01-21T14:30,28.68,29.44,28.41,29.03,64329280
2016-01-21T18:30,29.03,29.39,28.72,28.75,27878960
2016-01-22T14:30,29.44,29.88,29.21,29.83,60215980
2016-01-22T18:30,29.83,30.01,29.67,29.81,38257660
2016-01-25T14:30,29.9,30.43,29.73,30.26,54446160
2016-01-25T18:30,30.27,30.32,29.77,29.83,28422420
2016-01-26T14:30,30.11,30.23,29.52,30.13,50266180
2016-01-26T18:30,30.13,30.13,29.76,30.06,22210540
2016-01-27T14:30,30.1,30.17,29.21,29.56,52220800
2016-01-27T18:30,29.56,29.8,28.94,29.18,43292740
2016-01-28T14:30,30.46,31.44,29.88,31.18,121498840
2016-01-28T18:30,31.17,31.9,31.12,31.78,81869260
2016-01-29T14:30,28.6,29.65,28.5,29.18,200683760
2016-01-29T18:30,29.19,29.41,29.01,29.28,66629180
2016-02-01T14:30,28.91,29.09,28.52,28.74,83334520
2016-02-01T18:30,28.75,28.8,28.61,28.75,38417320
2016-02-02T14:30,28.5,28.58,27.8,27.83,73845980
2016-02-02T18:30,27.83,27.83,27.5,27.59,44634240
2016-02-03T14:30,27.68,27.8,26.16,26.45,138815760
2016-02-03T18:30,26.44,26.85,26.1,26.54,56767780
2016-02-04T14:30,26.21,26.94,25.96,26.93,86657440
2016-02-04T18:30,26.91,26.95,26.35,26.81,32164300
2016-02-05T14:30,26.46,26.47,25.09,25.31,124770960
2016-02-05T18:30,25.3,25.33,24.96,25.1,64442380
2016-02-08T14:30,24.32,24.68,23.76,23.97,137986320
2016-02-08T18:30,23.96,24.62,23.84,24.42,54518340
2016-02-09T14:30,23.91,24.92,23.7,23.75,94755720
2016-02-09T18:30,23.74,24.59,23.74,24.1,43761180
2016-02-10T14:30,24.59,25.23,24.3,24.79,87596600
2016-02-10T18:30,24.8,24.94,24.48,24.53,35464780
2016-02-11T14:30,24.56,25.09,24.2,25.02,85785400
2016-02-11T18:30,25.02,25.47,24.57,25.18,52219040
2016-02-12T14:30,25.53,25.84,25.07,25.2,75000660
2016-02-12T18:30,25.2,25.49,25.16,25.35,28378220
2016-02-16T14:30,25.99,26.22,25.58,25.82,67022100
2016-02-16T18:30,25.83,26.07,25.79,26.06,29286740
2016-02-17T14:30,26.41,26.87,25.97,26.8,64443220
2016-02-17T18:30,26.81,26.87,26.59,26.71,26728180
2016-02-18T14:30,27.04,27.06,26.55,26.61,55267020
2016-02-18T18:30,26.61,26.62,26.19,26.25,35687760
2016-02-19T14:30,26.05,26.61,25.77,26.47,70585060
2016-02-19T18:30,26.47,26.8,26.41,26.74,27567520
2016-02-22T14:30,27.11,28.02,27.05,27.88,53447560
2016-02-22T18:30,27.88,28.03,27.79,27.97,37074980
2016-02-23T14:30,27.78,27.85,27.27,27.66,51575680
2016-02-23T18:30,27.67,27.76,27.56,27.64,26566300
2016-02-24T14:30,27.29,27.29,26.66,27.05,74006040
2016-02-24T18:30,27.06,27.71,26.94,27.7,46199340
2016-02-25T14:30,27.78,27.97,27.26,27.56,55995020
2016-02-25T18:30,27.56,27.78,27.36,27.76,32933300
2016-02-26T14:30,28.01,28.13,27.66,27.82,65624060
2016-02-26T18:30,27.83,27.89,27.7,27.76,28401520
2016-02-29T14:30,27.7,28.24,27.64,28.07,43579240
2016-02-29T18:30,28.07,28.1,27.63,27.64,26644680
2016-03-01T14:30,27.81,28.68,27.8,28.59,58278020
2016-03-01T18:30,28.6,28.96,28.58,28.95,39101860
2016-03-02T14:30,29.09,29.25,28.69,28.83,63370200
2016-03-02T18:30,28.83,29.03,28.71,29.01,25838960
2016-03-03T14:30,28.9,28.99,28.66,28.82,33536020
2016-03-03T18:30,28.83,28.95,28.81,28.87,19503380
