date,open,high,low,close,volume
2016-01-04T14:30,9.636,9.745,9.469,9.739,221888
2016-01-04T18:30,9.745,9.97,9.719,9.951,285499
2016-01-05T14:30,9.951,9.996,9.797,9.819,444741
2016-01-05T18:30,9.816,9.829,9.71,9.797,403722
2016-01-06T14:30,9.591,9.617,9.404,9.552,754859
2016-01-06T18:30,9.552,9.61,9.507,9.559,876161
2016-01-07T14:30,9.449,9.604,9.391,9.417,523185
2016-01-07T18:30,9.414,9.414,9.288,9.366,384999
2016-01-08T14:30,9.372,9.488,9.089,9.102,275718
2016-01-08T18:30,9.102,9.153,8.999,9.038,342056
2016-01-11T14:30,9.018,9.141,8.98,8.993,1409771
2016-01-11T18:30,8.993,9.038,8.883,9.012,818926
2016-01-12T14:30,9.063,9.192,8.845,9.102,1029788
2016-01-12T18:30,9.102,9.115,8.996,9.096,474411
2016-01-13T14:30,9.121,9.288,8.928,8.983,610119
2016-01-13T18:30,8.983,9.018,8.87,8.986,892591
2016-01-14T14:30,8.986,9.005,8.452,8.909,1300946
2016-01-14T18:30,8.915,8.98,8.626,8.626,968826
2016-01-15T14:30,8.382,8.459,8.066,8.317,918715
2016-01-15T18:30,8.317,8.735,8.317,8.607,561231
2016-01-19T14:30,8.697,8.87,8.427,8.439,621317
2016-01-19T18:30,8.436,8.504,8.266,8.494,536661
2016-01-20T14:30,8.285,8.298,7.976,8.15,710215
2016-01-20T18:30,8.144,8.536,8.144,8.372,570412
2016-01-21T14:30,8.404,8.845,8.394,8.562,725682
2016-01-21T18:30,8.568,8.587,8.417,8.465,355421
2016-01-22T14:30,8.562,8.883,8.562,8.71,472078
2016-01-22T18:30,8.716,8.87,8.703,8.87,331100
2016-01-25T14:30,8.787,8.919,8.639,8.645,423456
2016-01-25T18:30,8.648,8.761,8.462,8.517,387462
2016-01-26T14:30,8.523,8.883,8.484,8.867,369479
2016-01-26T18:30,8.858,8.87,8.748,8.832,460670
2016-01-27T14:30,8.832,8.914,8.748,8.774,396491
2016-01-27T18:30,8.787,8.877,8.626,8.735,618549
2016-01-28T14:30,8.825,8.877,8.49,8.536,327176
2016-01-28T18:30,8.536,8.639,8.468,8.639,434475
2016-01-29T14:30,8.748,8.896,8.607,8.639,317781
2016-01-29T18:30,8.639,8.748,8.594,8.729,308068
2016-02-01T14:30,8.639,8.687,8.452,8.568,359322
2016-02-01T18:30,8.574,8.935,8.555,8.735,555749
2016-02-02T14:30,8.613,8.658,8.272,8.317,539065
2016-02-02T18:30,8.311,8.42,8.246,8.343,507358
2016-02-03T14:30,8.536,8.671,8.105,8.124,1568074
2016-02-03T18:30,8.144,8.407,8.021,8.176,992529
2016-02-04T14:30,8.137,8.845,8.124,8.681,2071793
2016-02-04T18:30,8.681,8.838,8.529,8.62,1917620
2016-02-05T14:30,8.652,8.729,8.51,8.677,1060549
2016-02-05T18:30,8.677,8.784,8.652,8.748,764281
2016-02-08T14:30,8.587,8.652,8.237,8.246,1409117
2016-02-08T18:30,8.253,8.394,8.066,8.324,1523569
2016-02-09T14:30,8.182,8.465,8.079,8.272,1114188
2016-02-09T18:30,8.279,8.517,8.279,8.478,934453
2016-02-10T14:30,8.677,8.716,8.4,8.407,876593
2016-02-10T18:30,8.402,8.497,8.279,8.356,975408
2016-02-11T14:30,8.105,8.169,7.944,8.079,1622124
2016-02-11T18:30,8.073,8.246,7.983,8.105,1216475
2016-02-12T14:30,8.221,8.574,8.156,8.523,916869
2016-02-12T18:30,8.523,8.626,8.484,8.497,986068
2016-02-16T14:30,8.62,9.057,8.523,9.038,1286355
2016-02-16T18:30,9.031,9.147,9.025,9.089,970926
2016-02-17T14:30,9.188,9.654,9.083,9.522,1080067
2016-02-17T18:30,9.522,9.614,9.442,9.608,783464
2016-02-18T14:30,9.7,9.7,9.404,9.522,731314
2016-02-18T18:30,9.519,10.14,9.476,9.923,1529723
2016-02-19T14:30,9.942,9.942,9.618,9.811,1411138
2016-02-19T18:30,9.811,9.89,9.765,9.765,1715753
2016-02-22T14:30,9.923,9.982,9.765,9.805,857819
2016-02-22T18:30,9.805,9.844,9.765,9.837,735267
2016-02-23T14:30,9.732,9.821,9.542,9.627,374247
2016-02-23T18:30,9.628,9.673,9.581,9.654,578583
2016-02-24T14:30,9.516,9.555,9.28,9.535,630093
2016-02-24T18:30,9.549,9.588,9.463,9.562,482734
2016-02-25T14:30,9.634,9.732,9.476,9.732,430720
2016-02-25T18:30,9.739,9.798,9.576,9.693,364101
2016-02-26T14:30,9.726,9.923,9.667,9.864,213589
2016-02-26T18:30,9.864,9.893,9.785,9.89,356036
2016-02-29T14:30,9.91,10.11,9.759,10.09,578303
2016-02-29T18:30,10.09,10.22,10.09,10.22,462235
2016-03-01T14:30,10.35,10.53,10.2,10.38,840385
2016-03-01T18:30,10.38,10.4,10.24,10.33,604644
